"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"
"PIT196904110","19690411",0,"Friday",0,"F","D","PHI","PIT","PIT06","johnj104","moosb101","olsea901","barla901","varge901","kiblj901","","",31641,"PHI","Marc Stephenson","Marc Stephenson","1996/08/24 8:19PM","",1,2,0,0,-1,0,0,0,127,9,1,7,5,12,0,1,5,7,"moosb101","johnj104","","","taylt101",5,"rojac101",4,"stonr102",7,"alled101",3,"callj101",9,"moned101",6,"hisll101",8,"ryanm101",2,"johnj104",1,"aloum101",8,"hebnr001",5,"oliva001",9,"starw101",7,"robeb101",3,"mazeb101",4,"may-j101",2,"patef101",6,"moosb101",1,"peral101","","","",,,51,,,,010000000,00101221x,32,0,0,1,1,0,0,0,1,0,9,0,0,1,0,3,7,7,0,0,24,8,1,0,0,32,1,0,1,7,1,2,0,3,0,5,0,0,0,0,1,1,1,0,0,27,11,0,1,0,,,,,,,,,,,"Bob Moose","Jerry Johnson","(none)","aloum101","Matty Alou","Tony Taylor","Cookie Rojas","Ron Stone","Dick Allen","Johnny Callison","Don Money","Larry Hisle","Mike Ryan","Jerry Johnson","Matty Alou","Richie Hebner","Al Oliver","Willie Stargell","Bob Robertson","Bill Mazeroski","Jerry May","Freddie Patek","Bob Moose",,
"PIT196904120","19690412",0,"Saturday",0,"F","D","PHI","PIT","PIT06","jackg101","bunnj101","barla901","varge901","kiblj901","olsea901","","",12474,"PHI","Marc Stephenson","Marc Stephenson","1996/08/25 8:53PM","",1,2,0,0,-1,0,0,0,148,9,8,1,12,5,0,0,8,5,"jackg101","bunnj101","","","taylt101",4,"brigj102",7,"alled101",3,"callj101",9,"johnd103",5,"moned101",6,"hisll101",8,"ryanm101",2,"jackg101",1,"aloum101",8,"hebnr001",5,"clemr101",9,"starw101",7,"robeb101",3,"mazeb101",4,"may-j101",2,"patef101",6,"bunnj101",1,"","klinr102","","",,,54,,,,302010011,000001000,36,3,1,0,8,0,1,0,6,1,4,1,0,0,0,1,1,1,0,0,27,10,0,1,0,31,0,0,0,0,0,0,0,2,0,6,0,0,1,0,6,8,8,0,0,27,11,0,1,0,,,,,,,,,,,"Grant Jackson","Jim Bunning","(none)","moned101","Don Money","Tony Taylor","John Briggs","Dick Allen","Johnny Callison","Deron Johnson","Don Money","Larry Hisle","Mike Ryan","Grant Jackson","Matty Alou","Richie Hebner","Roberto Clemente","Willie Stargell","Bob Robertson","Bill Mazeroski","Jerry May","Freddie Patek","Jim Bunning",,
"PIT196904130","19690413",0,"Sunday",0,"F","D","PHI","PIT","PIT06","wiser101","blass101","varge901","kiblj901","olsea901","barla901","","",14981,"PHI","Marc Stephenson","Marc Stephenson","1996/08/26 10:13PM","",1,2,0,0,-1,0,0,0,152,9,5,6,5,12,2,2,4,8,"klinr102","wilsb101","","","taylt101",4,"brigj102",7,"alled101",3,"callj101",9,"johnd103",5,"moned101",6,"hisll101",8,"ryanm101",2,"wiser101",1,"aloum101",8,"hebnr001",5,"clemr101",9,"starw101",7,"oliva001",3,"sangm101",2,"mazeb101",4,"patef101",6,"blass101",1,"farrt101","klinr102","","",,,51,,,,000302000,01000023x,31,0,2,1,3,0,0,0,5,0,7,0,1,1,0,3,5,5,0,0,24,12,0,2,0,35,2,0,2,5,1,0,0,2,1,2,1,0,2,0,3,3,3,1,0,27,14,0,1,0,,,,,,,,,,,"Ron Kline","Bill Wilson","(none)","","(none)","Tony Taylor","John Briggs","Dick Allen","Johnny Callison","Deron Johnson","Don Money","Larry Hisle","Mike Ryan","Rick Wise","Matty Alou","Richie Hebner","Roberto Clemente","Willie Stargell","Al Oliver","Manny Sanguillen","Bill Mazeroski","Freddie Patek","Steve Blass",,
"PIT196904160","19690416",0,"Wednesday",0,"F","N","NYN","PIT","PIT06","koosj001","moosb101","steld901","donaa901","steim901","engeb901","","",7666,"Mets","Dobrow","Dobrow","1994/12/04 9:21PM","",1,0,0,0,-1,0,0,0,183,9,3,11,8,15,0,0,6,7,"moosb101","koosj001","","","ageet101",8,"gaspr101",9,"boswk101",4,"jonec102",7,"krane101",3,"otisa001",5,"martj107",2,"harrb101",6,"koosj001",1,"aloum101",8,"davir102",7,"clemr101",9,"robeb101",3,"pagaj101",5,"mazeb101",4,"may-j101",2,"patef101",6,"moosb101",1,"taylr101","","","",,,51,,,,010200000,40140002x,34,2,2,0,3,0,0,0,2,0,11,0,0,1,0,4,11,11,0,0,24,7,1,0,0,37,2,2,0,11,0,1,0,4,0,10,0,0,0,0,1,3,3,0,0,27,12,0,1,0,,,,,,,,,,,"Bob Moose","Jerry Koosman","(none)","pagaj101","Jose Pagan","Tommie Agee","Rod Gaspar","Ken Boswell","Cleon Jones","Ed Kranepool","Amos Otis","J.C. Martin","Bud Harrelson","Jerry Koosman","Matty Alou","Ron Davis","Roberto Clemente","Bob Robertson","Jose Pagan","Bill Mazeroski","Jerry May","Freddie Patek","Bob Moose",,
"PIT196904170","19690417",0,"Thursday",0,"F","N","NYN","PIT","PIT06","cardd101","bunnj101","donaa901","steim901","engeb901","steld901","","",8097,"Mets","Dobrow","Dobrow","1994/12/04 9:38PM","",1,0,0,0,-1,0,0,0,132,9,0,4,3,6,2,0,5,8,"bunnj101","cardd101","klinr102","","ageet101",8,"gaspr101",9,"boswk101",4,"jonec102",7,"krane101",3,"otisa001",5,"martj107",2,"weisa101",6,"cardd101",1,"aloum101",8,"hebnr001",5,"clemr101",9,"starw101",7,"oliva001",3,"mazeb101",4,"sangm101",2,"patef101",6,"bunnj101",1,"koonc101","klinr102","","",,,51,,,,000000000,00010003x,28,1,0,0,0,0,0,0,4,0,9,0,2,0,0,2,4,4,2,0,24,19,0,0,0,29,2,0,1,3,1,0,1,5,3,1,2,0,0,0,2,0,0,0,0,27,6,0,0,0,,,,,,,,,,,"Jim Bunning","Don Cardwell","Ron Kline","","(none)","Tommie Agee","Rod Gaspar","Ken Boswell","Cleon Jones","Ed Kranepool","Amos Otis","J.C. Martin","Al Weis","Don Cardwell","Matty Alou","Richie Hebner","Roberto Clemente","Willie Stargell","Al Oliver","Bill Mazeroski","Manny Sanguillen","Freddie Patek","Jim Bunning",,
"PIT196904221","19690422",1,"Tuesday",105,"F","D","CHN","PIT","PIT06","handb101","ellid101","olsea901","barla901","varge901","kiblj901","","",0,"Cubs","Stuart Shea","Stuart Shea","1995/02/13 4:03PM","",1,2,50,0,-1,2,3,2,140,9,5,7,6,12,2,0,3,6,"hartc105","handb101","","","kessd101",6,"beckg101",4,"willb104",7,"santr102",5,"banke101",3,"hundr101",2,"spana101",9,"yound103",8,"handb101",1,"aloum101",8,"hebnr001",5,"clemr101",9,"starw101",7,"oliva001",3,"sangm101",2,"mazeb101",4,"patef101",6,"ellid101",1,"abert101","hartc105","","",,,51,,,,300002000,05020000x,32,0,1,0,4,0,0,1,2,0,9,0,0,1,0,4,6,6,0,0,24,7,1,1,0,35,3,0,0,7,1,0,0,1,0,3,0,1,0,0,2,4,4,0,0,27,11,1,1,0,,,,,,,,,,,"Chuck Hartenstein","Bill Hands","(none)","hebnr001","Richie Hebner","Don Kessinger","Glenn Beckert","Billy Williams","Ron Santo","Ernie Banks","Randy Hundley","Al Spangler","Don Young","Bill Hands","Matty Alou","Richie Hebner","Roberto Clemente","Willie Stargell","Al Oliver","Manny Sanguillen","Bill Mazeroski","Freddie Patek","Dock Ellis",,
"PIT196904222","19690422",2,"Tuesday",400,"F","D","CHN","PIT","PIT06","rossg102","moosb101","barla901","varge901","kiblj901","olsea901","","",7906,"Cubs","Stuart Shea","Stuart Shea","1995/02/13 4:15PM","",1,2,0,0,-1,2,0,0,155,9,5,6,7,9,0,1,5,7,"dalcb101","nye-r101","klinr102","","kessd101",6,"beckg101",4,"willb104",7,"santr102",5,"smitw102",3,"hundr101",2,"spana101",9,"phila101",8,"rossg102",1,"aloum101",8,"hebnr001",5,"clemr101",9,"starw101",7,"robeb101",3,"mazeb101",4,"may-j101",2,"patef101",6,"moosb101",1,"regap101","klinr102","","",,,51,,,,000030200,50000010x,32,1,1,1,4,0,0,0,5,0,1,1,0,1,0,6,6,6,2,0,24,12,0,2,0,29,1,1,1,6,0,2,1,5,0,4,1,0,1,0,3,4,4,0,0,27,12,0,1,0,,,,,,,,,,,"Bruce DalCanton","Rich Nye","Ron Kline","robeb101","Bob Robertson","Don Kessinger","Glenn Beckert","Billy Williams","Ron Santo","Willie Smith","Randy Hundley","Al Spangler","Adolfo Phillips","Gary Ross","Matty Alou","Richie Hebner","Roberto Clemente","Willie Stargell","Bob Robertson","Bill Mazeroski","Jerry May","Freddie Patek","Bob Moose",,
"PIT196904250","19690425",0,"Friday",0,"F","N","MON","PIT","PIT06","mortc102","blass101","steim901","engeb901","steld901","donaa901","","",10947,"Montreal Expos","Tim Cashion","Tim Cashion","1996/04/21 9:25PM","",1,0,0,0,-1,0,0,0,171,9,2,8,11,16,2,0,13,13,"blass101","mortc102","hartc105","","clint101",8,"willm102",6,"staur001",9,"jonem102",7,"clend101",3,"laboc101",5,"batej102",2,"suthg101",4,"mortc102",1,"aloum101",8,"hebnr001",5,"clemr101",9,"starw101",7,"robeb101",3,"mazeb101",4,"may-j101",2,"patef101",6,"blass101",1,"sheas102","hartc105","","",,,51,,,,001010000,00023210x,36,3,0,0,2,0,0,1,5,2,4,0,1,1,0,3,8,8,0,1,24,12,0,0,0,38,5,1,0,6,0,0,0,7,3,5,1,0,0,0,2,2,2,2,0,27,15,0,1,0,,,,,,,,,,,"Steve Blass","Carl Morton","Chuck Hartenstein","blass101","Steve Blass","Ty Cline","Maury Wills","Rusty Staub","Mack Jones","Donn Clendenon","Coco Laboy","John Bateman","Gary Sutherland","Carl Morton","Matty Alou","Richie Hebner","Roberto Clemente","Willie Stargell","Bob Robertson","Bill Mazeroski","Jerry May","Freddie Patek","Steve Blass",,
"PIT196904260","19690426",0,"Saturday",0,"F","D","MON","PIT","PIT06","stonb101","vealb101","engeb901","steld901","donaa901","steim901","","",8372,"Montreal Expos","Tim Cashion","Tim Cashion","1996/04/21 11:46PM","",1,0,0,0,-1,0,0,0,155,9,3,4,10,7,1,0,9,4,"vealb101","stonb101","hartc105","","willm102",6,"motam101",8,"staur001",9,"clend101",3,"laboc101",5,"jonem102",7,"suthg101",4,"batej102",2,"stonb101",1,"aloum101",8,"pagaj101",5,"clemr101",9,"starw101",7,"oliva001",3,"mazeb101",4,"may-j101",2,"patef101",6,"vealb101",1,"mcgid101","hartc105","","",,,51,,,,100100010,00010300x,33,1,0,0,3,0,1,2,3,0,9,0,1,2,0,2,3,3,1,0,24,15,0,2,0,27,1,0,2,3,2,0,0,3,1,3,0,0,2,0,2,3,3,0,0,27,9,0,2,0,,,,,,,,,,,"Bob Veale","Bill Stoneman","Chuck Hartenstein","clemr101","Roberto Clemente","Maury Wills","Manny Mota","Rusty Staub","Donn Clendenon","Coco Laboy","Mack Jones","Gary Sutherland","John Bateman","Bill Stoneman","Matty Alou","Jose Pagan","Roberto Clemente","Willie Stargell","Al Oliver","Bill Mazeroski","Jerry May","Freddie Patek","Bob Veale",,
"PIT196904270","19690427",0,"Sunday",0,"F","D","MON","PIT","PIT06","jastl101","ellid101","steld901","donaa901","steim901","engeb901","","",24425,"Montreal Expos","Tim Cashion","Tim Cashion","1996/04/22 10:43AM","",1,0,0,0,-1,0,0,0,135,9,4,2,9,6,1,0,5,2,"jastl101","ellid101","","","boscd101",8,"willm102",6,"staur001",9,"jonem102",7,"clend101",3,"laboc101",5,"suthg101",4,"batej102",2,"jastl101",1,"aloum101",8,"pagaj101",5,"clemr101",9,"starw101",7,"sangm101",2,"mazeb101",4,"oliva001",3,"patef101",6,"ellid101",1,"","klinr102","","",,,54,,,,010003000,001000010,31,0,0,2,4,0,0,0,5,0,4,0,2,2,0,1,1,1,0,0,27,12,0,2,0,30,0,0,1,2,0,0,1,0,0,4,0,0,2,0,3,4,4,0,0,27,15,0,3,0,,,,,,,,,,,"Larry Jaster","Dock Ellis","(none)","staur001","Rusty Staub","Don Bosch","Maury Wills","Rusty Staub","Mack Jones","Donn Clendenon","Coco Laboy","Gary Sutherland","John Bateman","Larry Jaster","Matty Alou","Jose Pagan","Roberto Clemente","Willie Stargell","Manny Sanguillen","Bill Mazeroski","Al Oliver","Freddie Patek","Dock Ellis",,
