"MIN197010030",0,"$the assigned umpires struck to force the leagues to recognize the newly-formed Major League Umpires Association; major league umpires walked a picket line outside while minor league and recently retired umpires worked the game Debut for umpires Bill Deegan and Darold Satchell"FILENAME_TX","LINE_NUMBER_CT"

"MIN197010030",33,"330' HR"1970ALCS.EVE.post.comment.csv",2

"MIN197010030",34,"375' HR"1970ALCS.EVE.post.comment.csv",3

"MIN197010030",36,"407' HR"1970ALCS.EVE.post.comment.csv",4

"MIN197010030",54,"$subs with 3-1 count, walk charged to Woodson"1970ALCS.EVE.post.comment.csv",5

"MIN197010040",19,"400' HR"1970ALCS.EVE.post.comment.csv",6

"MIN197010040",32,"376' HR"1970ALCS.EVE.post.comment.csv",7

"MIN197010040",33,"383' HR"1970ALCS.EVE.post.comment.csv",8

"MIN197010040",76,"363' HR"1970ALCS.EVE.post.comment.csv",9

