GAME_ID,EVENT_ID,COMMENT_TX
"CIN197104070",67,"missing fielding in CIN197104070"
"CIN197104300",70,"ej,carrc103,P,colon901,Ball 4 (bumped umpire) $Reds Carroll ejected by HP Colosi at end of inning for arguing ball 4 to Rosario earlier in the inning and bumped umpire during argument"
"CIN197105150",36,"$Hal McRae injured rounding 3B; Expos got Dave Concepcion in rundown then Bobby Wine tagged McRae, who was carried off"
"CIN197105160",1,"$Debut game for Ross Grimsley"
"CIN197105160",22,"$Ron Fairly hit on face by pitch, taken off on stretcher"
"CIN197105280",51,"$Johnny Bench allowed popped-up bunt to drop in front of HP"
"CIN197105310",6,"ej,grama101,C,barla901,Umpire baiting (praise strike zone) $Reds coach Grammas ejected by 3B umpire Barlick for for praising Barlick's strike zone in previous game as Rose came to bat in 1st inning"
"CIN197106021",5,"Jim Hickman left with bruised arm"
"CIN197106021",54,"missing fielding in CIN197106021"
"CIN197106030",57,"$Buddy Bradford called for interference for running into his own bunt"
"CIN197106201",67,"ej,harrl101,M,froeb901,Call at 2B Braves manager Lum Harris ejected by 3B umpire Bruce Froemming"
"CIN197107090",73,"$Pete Rose intentionally let ball drop"
"CIN197107112",1,"$Debut game for Jon Matlack"
"CIN197107180",42,"$game called for rain, second game cancelled"
"CIN197108150",56,"$Pete Rose called for interference during rundown"
"CIN197108150",57,"ej,andes101,M,steld901,Called third strike ej,may-l101,P,steld901,Called third strike Lee May and Reds Manager Sparky Anderson ejected by HP umpire Dick Stello"
"CIN197108170",20,"ej,carls001,P,harvd901,Bench jockeying Steve Carlton ejected by HP umpire Doug Harvey"
"CIN197109010",0,"45 minute rain delay before start of game"
"CIN197109110",45,"$J.R. Richard left with a blister on his finger"
"CIN197109130",98,"$throw hit 3B, Gil Garrido late covering bag"
