"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID","FILENAME_TX","LINE_NUMBER_CT"
"CLE197204150",7,1,"sandk101",0,3,1,"brigj102",3,55,"1972CLE.EVA.regular.sub.csv",2
"CLE197204150",7,1,"ferrm101",0,9,5,"parsb101",1,55,"1972CLE.EVA.regular.sub.csv",3
"CLE197204150",7,1,"scotg102",0,4,3,"scotg102",5,55,"1972CLE.EVA.regular.sub.csv",4
"CLE197204150",7,1,"mccrt102",1,9,11,"perrg101",1,57,"1972CLE.EVA.regular.sub.csv",5
"CLE197204150",8,0,"mccrt102",1,9,9,"mccrt102",11,58,"1972CLE.EVA.regular.sub.csv",6
"CLE197204150",8,0,"riddd102",1,7,1,"bellb001",9,58,"1972CLE.EVA.regular.sub.csv",7
"CLE197204150",8,0,"rodre101",0,7,11,"ratlp101",2,60,"1972CLE.EVA.regular.sub.csv",8
"CLE197204150",8,1,"rodre101",0,7,2,"rodre101",11,61,"1972CLE.EVA.regular.sub.csv",9
"CLE197204210",8,0,"farme101",1,9,1,"wilcm001",1,57,"1972CLE.EVA.regular.sub.csv",10
"CLE197204210",8,1,"fostr101",1,9,11,"farme101",1,61,"1972CLE.EVA.regular.sub.csv",11
"CLE197204210",9,0,"mings101",1,9,1,"fostr101",11,62,"1972CLE.EVA.regular.sub.csv",12
"CLE197204210",9,0,"colbv101",1,9,1,"mings101",1,69,"1972CLE.EVA.regular.sub.csv",13
"CLE197204220",4,0,"crowt101",0,4,12,"poweb101",3,28,"1972CLE.EVA.regular.sub.csv",14
"CLE197204220",4,1,"crowt101",0,4,3,"crowt101",12,31,"1972CLE.EVA.regular.sub.csv",15
"CLE197204220",5,1,"leond101",0,9,1,"palmj001",1,46,"1972CLE.EVA.regular.sub.csv",16
"CLE197204220",6,1,"camil101",1,9,11,"tidrd001",1,54,"1972CLE.EVA.regular.sub.csv",17
"CLE197204220",7,0,"farme101",1,9,1,"camil101",11,56,"1972CLE.EVA.regular.sub.csv",18
