GAME_ID,EVENT_ID,COMMENT_TX
"NYN197205111",34,"$Bill Singer called for interference"
"NYN197205160",12,"ej,maucg101,M,wendh901,Balls and strikes Expos Manager Gene Mauch ejected by 3B umpire Harry Wendelstedt"
"NYN197206030",43,"$Marty Perez got back to 1B after force removed"
"NYN197206090",64,"missing fielding in NYN197206090"
"NYN197207041",24,"ej,zimmd101,M,weyel901,Balls and strikes Padres Manager Don Zimmer ejected by HP umpire Lee Weyer"
"NYN197207042",2,"$Wayne Garrett strained his knee in collision with Derrell Thomas"
"NYN197207310",1,"$Debut game for Brent Strom"
"NYN197208060",62,"$Debut game for Lute Barnes"
"NYN197208200",53,"$Ray Sadecki fielded the ball but made no throw"
"NYN197209050",16,"Tommie Agee left with stomach disorder"
"NYN197209050",38,"Tom Seaver left with pulled hip muscle"
"NYN197209050",62,"$Debut game for Hank Webb"
"NYN197209060",1,"$Debut game for Pepe Mangual"
"NYN197209100",41,"ej,boswk101,P,mcshj901,Called third strike Ken Boswell ejected by HP umpire John McSherry"
"NYN197209100",41,"Tom Seaver aggravated his hip muscle hurt against Cubs"
"NYN197209190",18,"$Rennie Stennett called for interference for running into his own batted ball"
"NYN197209210",19,"$Debut game for Joe Nolan"
"NYN197205111",34,"$Bill Singer called for interference"
"NYN197205160",12,"ej,maucg101,M,wendh901,Balls and strikes Expos Manager Gene Mauch ejected by 3B umpire Harry Wendelstedt"
"NYN197206030",43,"$Marty Perez got back to 1B after force removed"
"NYN197206090",64,"missing fielding in NYN197206090"
"NYN197207041",24,"ej,zimmd101,M,weyel901,Balls and strikes Padres Manager Don Zimmer ejected by HP umpire Lee Weyer"
"NYN197207042",2,"$Wayne Garrett strained his knee in collision with Derrell Thomas"
"NYN197207310",1,"$Debut game for Brent Strom"
"NYN197208060",62,"$Debut game for Lute Barnes"
"NYN197208200",53,"$Ray Sadecki fielded the ball but made no throw"
"NYN197209050",16,"Tommie Agee left with stomach disorder"
"NYN197209050",38,"Tom Seaver left with pulled hip muscle"
"NYN197209050",62,"$Debut game for Hank Webb"
"NYN197209060",1,"$Debut game for Pepe Mangual"
"NYN197209100",41,"ej,boswk101,P,mcshj901,Called third strike Ken Boswell ejected by HP umpire John McSherry"
"NYN197209100",41,"Tom Seaver aggravated his hip muscle hurt against Cubs"
"NYN197209190",18,"$Rennie Stennett called for interference for running into his own batted ball"
"NYN197209210",19,"$Debut game for Joe Nolan"
