"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"SDN197204150",5,0,"baked002",0,4,11,"cepeo101",3,371972SDN.EVN.regular.sub.csv",2

"SDN197204150",5,1,"aaroh101",0,3,3,"aaroh101",9,381972SDN.EVN.regular.sub.csv",3

"SDN197204150",5,1,"baked002",0,4,9,"baked002",11,381972SDN.EVN.regular.sub.csv",4

"SDN197204150",6,1,"nashj101",0,9,1,"niekp001",1,541972SDN.EVN.regular.sub.csv",5

"SDN197204150",7,0,"rossg102",1,9,1,"kirbc101",1,551972SDN.EVN.regular.sub.csv",6

"SDN197204150",8,0,"caldm001",1,9,1,"rossg102",1,651972SDN.EVN.regular.sub.csv",7

"SDN197204150",8,0,"browo101",0,9,11,"nashj101",1,671972SDN.EVN.regular.sub.csv",8

"SDN197204150",8,1,"barbs102",0,9,1,"browo101",11,701972SDN.EVN.regular.sub.csv",9

"SDN197204150",8,1,"browo102",1,5,11,"stahl101",9,721972SDN.EVN.regular.sub.csv",10

"SDN197204150",9,0,"browo102",1,5,9,"browo102",11,741972SDN.EVN.regular.sub.csv",11

"SDN197204150",9,0,"jetej101",1,3,8,"lee-l101",7,741972SDN.EVN.regular.sub.csv",12

"SDN197204150",9,0,"moraj101",1,6,7,"moraj101",8,741972SDN.EVN.regular.sub.csv",13

"SDN197204161",5,1,"gastc101",1,9,11,"arlis101",1,411972SDN.EVN.regular.sub.csv",14

"SDN197204161",6,0,"normf101",1,9,1,"gastc101",11,421972SDN.EVN.regular.sub.csv",15

"SDN197204161",8,0,"cartr101",0,9,11,"reedr001",1,631972SDN.EVN.regular.sub.csv",16

"SDN197204161",8,0,"stong102",0,9,12,"cartr101",11,641972SDN.EVN.regular.sub.csv",17

"SDN197204161",8,1,"upshc101",0,9,1,"stong102",12,651972SDN.EVN.regular.sub.csv",18

"SDN197204161",8,1,"masod101",1,9,11,"normf101",1,651972SDN.EVN.regular.sub.csv",19

