"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID","FILENAME_TX","LINE_NUMBER_CT"
"OAK197410050",5,0,"odomj101",1,0,1,"huntj101",1,42,"1974ALCS.EVE.post.sub.csv",2
"OAK197410050",9,0,"fingr001",1,0,1,"odomj101",1,70,"1974ALCS.EVE.post.sub.csv",3
"OAK197410050",9,1,"alouj101",1,8,11,"fossr101",2,74,"1974ALCS.EVE.post.sub.csv",4
"OAK197410050",9,1,"washc001",1,9,11,"greed102",4,75,"1974ALCS.EVE.post.sub.csv",5
"OAK197410050",9,1,"trilm001",1,8,12,"alouj101",11,75,"1974ALCS.EVE.post.sub.csv",6
"OAK197410050",9,1,"grimr101",0,0,1,"cuelm101",1,76,"1974ALCS.EVE.post.sub.csv",7
"OAK197410060",6,1,"garlw101",0,0,1,"mcnad102",1,46,"1974ALCS.EVE.post.sub.csv",8
"OAK197410060",7,1,"holtj101",1,9,11,"greed102",4,52,"1974ALCS.EVE.post.sub.csv",9
"OAK197410060",7,1,"odomj101",1,9,12,"holtj101",11,53,"1974ALCS.EVE.post.sub.csv",10
"OAK197410060",7,1,"reynb102",0,0,1,"garlw101",1,53,"1974ALCS.EVE.post.sub.csv",11
"OAK197410060",8,0,"maxvd101",1,9,4,"odomj101",12,56,"1974ALCS.EVE.post.sub.csv",12
"OAK197410060",8,0,"mottc101",0,1,11,"belam101",6,60,"1974ALCS.EVE.post.sub.csv",13
"OAK197410060",8,0,"bumba001",0,9,12,"etcha101",2,60,"1974ALCS.EVE.post.sub.csv",14
"OAK197410060",8,1,"bakef101",0,1,6,"mottc101",11,61,"1974ALCS.EVE.post.sub.csv",15
"OAK197410060",8,1,"hende103",0,9,2,"bumba001",12,61,"1974ALCS.EVE.post.sub.csv",16
"OAK197410060",8,1,"washh101",1,4,12,"jackr001",10,62,"1974ALCS.EVE.post.sub.csv",17
"OAK197410060",8,1,"jackg101",0,0,1,"reynb102",1,65,"1974ALCS.EVE.post.sub.csv",18
"BAL197410080",7,0,"washh101",0,6,12,"tenag101",3,44,"1974ALCS.EVE.post.sub.csv",19
"BAL197410080",7,1,"holtj101",0,6,3,"washh101",12,46,"1974ALCS.EVE.post.sub.csv",20
"BAL197410080",9,1,"cabee001",1,1,11,"coggr101",9,61,"1974ALCS.EVE.post.sub.csv",21
"BAL197410090",5,0,"grimr101",1,0,1,"cuelm101",1,39,"1974ALCS.EVE.post.sub.csv",22
"BAL197410090",7,0,"odomj101",0,4,12,"jackr001",10,53,"1974ALCS.EVE.post.sub.csv",23
"BAL197410090",8,1,"fingr001",0,0,1,"huntj101",1,62,"1974ALCS.EVE.post.sub.csv",24
"BAL197410090",8,1,"bumba001",1,9,11,"belam101",6,64,"1974ALCS.EVE.post.sub.csv",25
"BAL197410090",9,0,"bakef101",1,9,6,"bumba001",11,65,"1974ALCS.EVE.post.sub.csv",26
"BAL197410090",9,1,"cabee001",1,4,12,"davit103",10,72,"1974ALCS.EVE.post.sub.csv",27
"BAL197410090",9,1,"palmj001",1,5,12,"poweb101",3,73,"1974ALCS.EVE.post.sub.csv",28
