"BOS197404130",0,"35 minute rain delay before start of game","FILENAME_TX","LINE_NUMBER_CT"
"BOS197404150",0,"Patriots Day","1974BOS.EVA.regular.comment.csv",2
"BOS197404190",17,"ej,asprk101,M,mccol901,Interference call $Bob Didier collided with Remy Hermoso as the latter attempted to field the grounder; Dider was called for interference and ruled out; when batter Mario Guerrero was ruled safe at 1B, Indians Manager Ken Aspromonte argued and was ejected by 2B umpire Larry McCoy","1974BOS.EVA.regular.comment.csv",3
"BOS197404210",33,"ej,popoe801,C,brinj901,Fair/foul call Red Sox Coach Eddie Popowski ejected by 1B umpire Joe Brinkman fair/foul call","1974BOS.EVA.regular.comment.csv",4
"BOS197404220",6,"$Bernie Carbo called for interference for running into his own bunt","1974BOS.EVA.regular.comment.csv",5
"BOS197404220",7,"Doug Griffin pulled leg muscle rounding 3B","1974BOS.EVA.regular.comment.csv",6
"BOS197404220",39,"Nelson Briles reinjured right knee, evidently on last pitch to Harper","1974BOS.EVA.regular.comment.csv",7
"BOS197404220",46,"Rick Wise removed as precautionary move; started to stiffen up","1974BOS.EVA.regular.comment.csv",8
"BOS197404290",70,"$1B umpire Dave Phillips struck by ball","1974BOS.EVA.regular.comment.csv",9
"BOS197405040",19,"Debut game for Rick Burleson","1974BOS.EVA.regular.comment.csv",10
"BOS197405210",14,"over the screen","1974BOS.EVA.regular.comment.csv",11
"BOS197405210",86,"Roy White pulled hamstring trying for 3B","1974BOS.EVA.regular.comment.csv",12
"BOS197405220",7,"$Rick Dempsey argued call at HP and Dwight Evans went to 3B; Dempsey threw wildly to 3B and Evans scored","1974BOS.EVA.regular.comment.csv",13
"BOS197405260",39,"$ball hit 3B bag and deflected to SS","1974BOS.EVA.regular.comment.csv",14
"BOS197405310",52,"over the screen","1974BOS.EVA.regular.comment.csv",15
"BOS197406010",46,"$Pat Kelly out on appeal; he did not touch 2B returning to 1B","1974BOS.EVA.regular.comment.csv",16
"BOS197406221",26,"48 minute rain delay","1974BOS.EVA.regular.comment.csv",17
"BOS197406222",59,"38 minute rain delay","1974BOS.EVA.regular.comment.csv",18
"BOS197407031",0,"Protest=V","1974BOS.EVA.regular.comment.csv",19
"BOS197407031",5,"$1B umpire Hank Morganweck called balk on Dave McNally after Red Sox manager Darrell Johnson complained earlier about McNally's move to 1B; Orioles manager Earl Weaver protested game","1974BOS.EVA.regular.comment.csv",20
"BOS197407031",9,"ej,mcnad102,P,morgh901,Balk call $1B umpire Hank Morganweck called a second balk on Dave McNally, who punted his glove high into the air; McNally ejected by Morgenweck","1974BOS.EVA.regular.comment.csv",21
"BOS197407032",25,"Debut game for Tim Blackwell","1974BOS.EVA.regular.comment.csv",22
"BOS197407060",16,"into LF screen","1974BOS.EVA.regular.comment.csv",23
"BOS197407060",29,"420' HR","1974BOS.EVA.regular.comment.csv",24
"BOS197407060",38,"$Cookie Rojas broke for 2B and signalled Freddie Patek to go home; weak throw to 2B; Patek nailed diving back to 3B","1974BOS.EVA.regular.comment.csv",25
"BOS197407071",59,"390' HR","1974BOS.EVA.regular.comment.csv",26
"BOS197407080",17,"400' HR","1974BOS.EVA.regular.comment.csv",27
"BOS197407090",0,"Protest=V","1974BOS.EVA.regular.comment.csv",28
"BOS197407090",34,"$Rangers manager Billy Martin protested game claiming Rico Petrocelli was out of baseline","1974BOS.EVA.regular.comment.csv",29
"BOS197407120",66,"$missed squeeze play","1974BOS.EVA.regular.comment.csv",30
"BOS197408190",12,"Debut game for Jim Rice","1974BOS.EVA.regular.comment.csv",31
"BOS197408210",40,"Bill Melton couldn't see out of right eye","1974BOS.EVA.regular.comment.csv",32
"BOS197409050",52,"Debut game for Fred Lynn","1974BOS.EVA.regular.comment.csv",33
"BOS197409080",30,"ej,garcp101,P,sprim901,Called third strike Pedro Garcia ejected by HP umpire Marty Springstead","1974BOS.EVA.regular.comment.csv",34
"BOS197409080",56,"Debut game for Roger Miller","1974BOS.EVA.regular.comment.csv",35
"BOS197409100",61,"ej,johnd106,M,denkd901,Fan interference call $fan interference; argument about allowing run to score; Red Sox Manager Darrell Johnson ejected by HP umpire Don Denkinger","1974BOS.EVA.regular.comment.csv",36
"BOS197409200",56,"50 minute rain delay","1974BOS.EVA.regular.comment.csv",37
"BOS197409210",5,"2:29 rain delay","1974BOS.EVA.regular.comment.csv",38
"BOS197409210",39,"30 minute rain delay","1974BOS.EVA.regular.comment.csv",39
"BOS197409210",47,"31 minute rain delay","1974BOS.EVA.regular.comment.csv",40
"BOS197409210",90,"$game ended at 8:41 P.M.","1974BOS.EVA.regular.comment.csv",41
"BOS197410010",1,"Debut game for Steve Barr","1974BOS.EVA.regular.comment.csv",42
