"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"PIT197504110",7,1,"robeb101",1,8,11,"tavef101",6,58
"PIT197504110",7,1,"robib101",1,9,11,"reusj001",1,59
"PIT197504110",8,0,"mendm101",1,8,6,"robeb101",11,61
"PIT197504110",8,0,"demel101",1,9,1,"robib101",11,61
"PIT197504110",9,1,"popop101",1,8,11,"mendm101",6,75
"PIT197504110",9,1,"baldr101",0,9,1,"koosj001",1,75
"PIT197504110",9,1,"kirke102",1,9,11,"demel101",1,76
"PIT197504110",9,1,"scarm101",0,9,1,"baldr101",1,78
"PIT197504130",7,0,"krane101",0,9,11,"seavt001",1,57
"PIT197504130",7,1,"parkh101",0,9,1,"krane101",11,58
"PIT197504130",9,0,"garrw101",0,7,11,"grotj101",2,73
"PIT197504130",9,0,"gallb101",0,8,11,"harrb101",6,74
"PIT197504140",4,0,"demel101",1,9,1,"moosb101",1,31
"PIT197504140",5,1,"kirke102",1,9,11,"demel101",1,43
"PIT197504140",6,0,"mcdos101",1,9,1,"kirke102",11,45
"PIT197504140",8,1,"zamoo101",0,9,1,"reusr001",1,61
"PIT197504140",8,1,"popop101",1,8,11,"tavef101",6,61
"PIT197504140",8,1,"robib101",1,9,11,"mcdos101",1,62
"PIT197504140",8,1,"knowd101",0,9,1,"zamoo101",1,64
"PIT197504140",9,0,"popop101",1,8,6,"popop101",11,66
"PIT197504140",9,0,"giusd101",1,9,1,"robib101",11,66
"PIT197504160",3,1,"popop101",1,9,11,"ellid101",1,27
"PIT197504160",4,0,"mcdos101",1,9,1,"popop101",11,31
"PIT197504160",7,1,"robib101",1,8,11,"tavef101",6,59
"PIT197504160",7,1,"robeb101",1,9,11,"mcdos101",1,60
"PIT197504160",8,0,"mendm101",1,8,6,"robib101",11,61
"PIT197504160",8,0,"hernr102",1,9,1,"robeb101",11,61
"PIT197504160",9,1,"howea001",1,9,11,"hernr102",1,78
"PIT197504170",7,0,"breeh101",0,8,11,"riveb101",7,54
"PIT197504170",7,0,"whitj001",0,8,12,"breeh101",11,55
"PIT197504170",7,1,"whitj001",0,8,7,"whitj001",12,57
"PIT197504170",8,1,"robeb101",1,8,11,"tavef101",6,68
"PIT197504170",9,0,"mendm101",1,8,6,"robeb101",11,69
"PIT197504170",9,0,"moraj001",0,8,11,"whitj001",7,71
"PIT197504170",9,0,"demel101",1,9,1,"reusj001",1,72
"PIT197504170",9,0,"scott001",0,8,12,"moraj001",11,72
"PIT197504170",9,1,"scott001",0,8,7,"scott001",12,78
"PIT197504170",9,1,"robib101",1,9,11,"demel101",1,78
"PIT197504170",9,1,"murrd001",0,9,1,"mcnad102",1,83
"PIT197504250",8,0,"harmt101",0,6,12,"boonb001",2,63
"PIT197504250",8,0,"johnj002",0,7,11,"andem101",9,63
"PIT197504250",8,0,"giusd101",1,9,1,"kisob001",1,64
"PIT197504250",8,1,"cox-l101",0,6,2,"harmt101",12,65
"PIT197504250",8,1,"johnj002",0,7,9,"johnj002",11,65
"PIT197504250",9,0,"huttt101",0,9,11,"carls001",1,69
"PIT197504260",5,1,"hoerj101",0,9,1,"twitw101",1,44
"PIT197504260",6,0,"browo102",0,9,11,"hoerj101",1,48
"PIT197504260",6,1,"schur101",0,9,1,"browo102",11,51
"PIT197504260",8,1,"mcgrt001",0,9,1,"schur101",1,63
"PIT197504260",9,0,"taylt101",0,9,11,"mcgrt001",1,66
"PIT197504270",7,0,"johnj002",0,7,11,"andem101",9,48
"PIT197504270",7,1,"johnj002",0,7,9,"johnj002",11,49
"PIT197504270",7,1,"robeb101",1,8,11,"mendm101",6,51
"PIT197504270",7,1,"tavef101",1,8,12,"robeb101",11,52
"PIT197504270",7,1,"schur101",0,9,1,"undet001",1,52
"PIT197504270",8,0,"tavef101",1,8,6,"tavef101",12,55
"PIT197504270",8,0,"huttt101",0,9,11,"schur101",1,56
"PIT197504270",8,1,"mcgrt001",0,9,1,"huttt101",11,58
"PIT197504290",7,1,"hernk001",0,7,3,"martt102",7,48
"PIT197504290",7,1,"smitr101",0,3,9,"smitr101",3,48
"PIT197504290",7,1,"melel101",0,6,7,"melel101",9,48
"PIT197504290",8,1,"kirke102",1,8,11,"tavef101",6,58
"PIT197504290",9,0,"mendm101",1,8,6,"kirke102",11,61
"PIT197504300",6,0,"cated101",0,9,11,"gibsb101",1,39
