"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID","FILENAME_TX","LINE_NUMBER_CT"
"BOS197604130",2,1,"pruir101",0,8,2,"fossr101",2,16,"1976BOS.EVA.regular.sub.csv",2
"BOS197604130",4,0,"clevr101",1,0,1,"lee-b101",1,36,"1976BOS.EVA.regular.sub.csv",3
"BOS197604130",5,1,"browj109",0,0,1,"dobsp101",1,51,"1976BOS.EVA.regular.sub.csv",4
"BOS197604130",8,1,"larod101",0,0,1,"browj109",1,79,"1976BOS.EVA.regular.sub.csv",5
"BOS197604130",8,1,"johnd103",1,1,11,"carbb101",10,79,"1976BOS.EVA.regular.sub.csv",6
"BOS197604140",4,1,"hoodd101",0,0,1,"bibbj001",1,34,"1976BOS.EVA.regular.sub.csv",7
"BOS197604140",4,1,"johnd103",1,1,11,"carbb101",10,34,"1976BOS.EVA.regular.sub.csv",8
"BOS197604140",6,0,"houst101",1,0,1,"jenkf101",1,53,"1976BOS.EVA.regular.sub.csv",9
"BOS197604140",7,1,"kernj001",0,0,1,"hoodd101",1,65,"1976BOS.EVA.regular.sub.csv",10
"BOS197604140",9,1,"larod101",0,0,1,"kernj001",1,77,"1976BOS.EVA.regular.sub.csv",11
"BOS197604140",9,1,"millr001",1,2,12,"doyld102",4,78,"1976BOS.EVA.regular.sub.csv",12
"BOS197604150",4,0,"poled101",1,0,1,"wiser101",1,29,"1976BOS.EVA.regular.sub.csv",13
"BOS197604150",6,1,"carrc103",0,0,1,"johnb105",1,57,"1976BOS.EVA.regular.sub.csv",14
"BOS197604150",9,1,"garrr101",0,4,7,"jonec102",7,80,"1976BOS.EVA.regular.sub.csv",15
"BOS197604170",6,1,"gossr001",0,0,1,"forst001",1,47,"1976BOS.EVA.regular.sub.csv",16
"BOS197604170",8,1,"doyld102",1,2,11,"grifd101",4,63,"1976BOS.EVA.regular.sub.csv",17
"BOS197604170",8,1,"vuckp001",0,0,1,"gossr001",1,68,"1976BOS.EVA.regular.sub.csv",18
"BOS197604170",9,0,"doyld102",1,2,4,"doyld102",11,72,"1976BOS.EVA.regular.sub.csv",19
"BOS197604180",3,0,"clevr101",1,0,1,"lee-b101",1,22,"1976BOS.EVA.regular.sub.csv",20
"BOS197604180",4,0,"may-c101",0,5,11,"johnl101",10,32,"1976BOS.EVA.regular.sub.csv",21
"BOS197604180",5,0,"willj102",1,0,1,"clevr101",1,37,"1976BOS.EVA.regular.sub.csv",22
"BOS197604180",6,0,"garrr101",0,4,12,"jonec102",7,51,"1976BOS.EVA.regular.sub.csv",23
"BOS197604180",6,1,"garrr101",0,4,7,"garrr101",12,52,"1976BOS.EVA.regular.sub.csv",24
"BOS197604180",8,0,"joner102",1,0,1,"willj102",1,63,"1976BOS.EVA.regular.sub.csv",25
"BOS197604190",1,1,"terrj101",0,1,4,"olivt102",4,3,"1976BOS.EVA.regular.sub.csv",26
"BOS197604190",8,0,"kusic101",0,1,11,"terrj101",4,55,"1976BOS.EVA.regular.sub.csv",27
"BOS197604190",8,1,"randb101",0,1,4,"kusic101",11,56,"1976BOS.EVA.regular.sub.csv",28
"BOS197604190",8,1,"campb001",0,0,1,"deckj101",1,56,"1976BOS.EVA.regular.sub.csv",29
"BOS197604200",1,0,"terrj101",0,1,12,"olivt102",4,1,"1976BOS.EVA.regular.sub.csv",30
"BOS197604200",1,1,"terrj101",0,1,4,"terrj101",12,5,"1976BOS.EVA.regular.sub.csv",31
"BOS197604200",3,1,"luebs101",0,0,1,"goltd101",1,30,"1976BOS.EVA.regular.sub.csv",32
"BOS197604200",7,0,"kusic101",0,1,11,"terrj101",4,57,"1976BOS.EVA.regular.sub.csv",33
"BOS197604200",7,1,"randb101",0,1,4,"kusic101",11,58,"1976BOS.EVA.regular.sub.csv",34
"BOS197604200",8,1,"albuv101",0,0,1,"luebs101",1,68,"1976BOS.EVA.regular.sub.csv",35
"BOS197604200",8,1,"dills101",1,1,11,"carbb101",10,69,"1976BOS.EVA.regular.sub.csv",36
"BOS197605040",6,0,"poled101",1,0,1,"lee-b101",1,49,"1976BOS.EVA.regular.sub.csv",37
"BOS197605040",6,1,"poqut101",0,1,7,"wohlj001",7,54,"1976BOS.EVA.regular.sub.csv",38
"BOS197605040",6,1,"littm101",0,0,1,"fitza101",1,56,"1976BOS.EVA.regular.sub.csv",39
"BOS197605040",6,1,"mcclb001",0,0,1,"littm101",1,59,"1976BOS.EVA.regular.sub.csv",40
"BOS197605040",7,1,"birdd101",0,0,1,"mcclb001",1,65,"1976BOS.EVA.regular.sub.csv",41
"BOS197605040",8,0,"willj102",1,0,1,"poled101",1,71,"1976BOS.EVA.regular.sub.csv",42
"BOS197605050",7,0,"houst101",1,0,1,"jenkf101",1,55,"1976BOS.EVA.regular.sub.csv",43
"BOS197605050",7,0,"nelsd101",0,6,11,"solat101",10,60,"1976BOS.EVA.regular.sub.csv",44
"BOS197605050",7,0,"poqut101",0,6,12,"nelsd101",11,61,"1976BOS.EVA.regular.sub.csv",45
"BOS197605050",7,0,"clevr101",1,0,1,"houst101",1,61,"1976BOS.EVA.regular.sub.csv",46
"BOS197605050",8,1,"pattm101",0,0,1,"splip001",1,70,"1976BOS.EVA.regular.sub.csv",47
"BOS197605050",8,1,"mings101",0,0,1,"pattm101",1,71,"1976BOS.EVA.regular.sub.csv",48
"BOS197605050",8,1,"littm101",0,0,1,"mings101",1,72,"1976BOS.EVA.regular.sub.csv",49
"BOS197605050",9,0,"willj102",1,0,1,"clevr101",1,79,"1976BOS.EVA.regular.sub.csv",50
"BOS197605050",9,1,"whitf001",0,7,4,"rojac101",4,81,"1976BOS.EVA.regular.sub.csv",51
"BOS197605050",9,1,"doyld102",1,1,11,"grifd101",4,83,"1976BOS.EVA.regular.sub.csv",52
"BOS197605081",4,0,"poled101",1,0,1,"wiser101",1,27,"1976BOS.EVA.regular.sub.csv",53
"BOS197605081",4,1,"hargs101",0,0,1,"singb101",1,39,"1976BOS.EVA.regular.sub.csv",54
"BOS197605081",6,0,"millr001",1,3,8,"lynnf001",8,47,"1976BOS.EVA.regular.sub.csv",55
"BOS197605081",8,1,"moatd101",0,5,9,"burrj001",9,67,"1976BOS.EVA.regular.sub.csv",56
"BOS197605081",9,0,"houst101",1,0,1,"poled101",1,72,"1976BOS.EVA.regular.sub.csv",57
"BOS197605081",9,0,"fregj101",0,5,11,"moatd101",9,74,"1976BOS.EVA.regular.sub.csv",58
"BOS197605081",9,1,"randl101",0,5,9,"fregj101",11,76,"1976BOS.EVA.regular.sub.csv",59
"BOS197605081",9,1,"coopc001",1,8,11,"dills101",5,77,"1976BOS.EVA.regular.sub.csv",60
"BOS197605081",9,1,"hoerj101",0,0,1,"hargs101",1,79,"1976BOS.EVA.regular.sub.csv",61
"BOS197605081",9,1,"johnd103",1,1,11,"carbb101",10,79,"1976BOS.EVA.regular.sub.csv",62
"BOS197605081",9,1,"grifd101",1,2,11,"doyld102",4,80,"1976BOS.EVA.regular.sub.csv",63
"BOS197605082",2,0,"clevr101",1,0,1,"tianl101",1,20,"1976BOS.EVA.regular.sub.csv",64
"BOS197605082",6,0,"joner102",1,0,1,"clevr101",1,54,"1976BOS.EVA.regular.sub.csv",65
"BOS197605082",6,1,"moatd101",0,1,8,"benij001",8,60,"1976BOS.EVA.regular.sub.csv",66
"BOS197605082",7,0,"heisb101",1,8,5,"burlr001",6,64,"1976BOS.EVA.regular.sub.csv",67
"BOS197605082",7,0,"dills101",1,1,6,"dills101",5,64,"1976BOS.EVA.regular.sub.csv",68
"BOS197605090",5,0,"randl101",0,2,12,"ellij101",10,43,"1976BOS.EVA.regular.sub.csv",69
"BOS197605090",7,0,"willj102",1,0,1,"lee-b101",1,59,"1976BOS.EVA.regular.sub.csv",70
"BOS197605090",7,1,"foucs101",0,0,1,"perrg101",1,67,"1976BOS.EVA.regular.sub.csv",71
"BOS197605090",9,1,"moatd101",0,5,9,"burrj001",9,82,"1976BOS.EVA.regular.sub.csv",72
"BOS197605140",7,0,"hansb101",0,7,11,"thomg001",8,54,"1976BOS.EVA.regular.sub.csv",73
"BOS197605140",7,0,"bevak001",0,7,12,"hansb101",11,55,"1976BOS.EVA.regular.sub.csv",74
"BOS197605140",7,0,"willj102",1,0,1,"poled101",1,55,"1976BOS.EVA.regular.sub.csv",75
"BOS197605140",7,0,"sharb102",0,9,11,"garcp101",4,56,"1976BOS.EVA.regular.sub.csv",76
"BOS197605140",7,1,"sharb102",0,9,8,"sharb102",11,57,"1976BOS.EVA.regular.sub.csv",77
"BOS197605140",7,1,"johnt102",0,7,4,"bevak001",12,57,"1976BOS.EVA.regular.sub.csv",78
"BOS197605140",7,1,"sader101",0,0,1,"brobp101",1,59,"1976BOS.EVA.regular.sub.csv",79
"BOS197605140",8,1,"murpt101",0,0,1,"sader101",1,64,"1976BOS.EVA.regular.sub.csv",80
"BOS197605140",9,0,"heisb101",1,7,5,"dills101",5,68,"1976BOS.EVA.regular.sub.csv",81
"BOS197605150",6,1,"sharb102",0,6,9,"darwb101",9,46,"1976BOS.EVA.regular.sub.csv",82
"BOS197605150",7,1,"rodre102",0,0,1,"colbj101",1,54,"1976BOS.EVA.regular.sub.csv",83
"BOS197605150",7,1,"petrr101",1,7,11,"dills101",5,55,"1976BOS.EVA.regular.sub.csv",84
"BOS197605150",7,1,"lynnf001",1,8,11,"grifd101",4,56,"1976BOS.EVA.regular.sub.csv",85
"BOS197605150",7,1,"sader101",0,0,1,"rodre102",1,58,"1976BOS.EVA.regular.sub.csv",86
"BOS197605150",7,1,"ricej001",1,1,11,"millr001",8,58,"1976BOS.EVA.regular.sub.csv",87
"BOS197605150",7,1,"murpt101",0,0,1,"sader101",1,61,"1976BOS.EVA.regular.sub.csv",88
"BOS197605150",8,0,"petrr101",1,7,5,"petrr101",11,63,"1976BOS.EVA.regular.sub.csv",89
"BOS197605150",8,0,"lynnf001",1,8,8,"lynnf001",11,63,"1976BOS.EVA.regular.sub.csv",90
"BOS197605150",8,0,"doyld102",1,1,4,"ricej001",11,63,"1976BOS.EVA.regular.sub.csv",91
"BOS197605160",6,0,"hansb101",0,9,11,"garcp101",4,47,"1976BOS.EVA.regular.sub.csv",92
"BOS197605160",6,0,"clevr101",1,0,1,"wiser101",1,47,"1976BOS.EVA.regular.sub.csv",93
"BOS197605160",6,0,"johnt102",0,9,12,"hansb101",11,48,"1976BOS.EVA.regular.sub.csv",94
