"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"FILENAME_TX","LINE_NUMBER_CT"

"PHI197604100","19760410",0,"Saturday",0,"F","D","PIT","PHI","PHI12","medid101","kaatj101","varge901","olsea901","davis901","rennd901","","",42147,"Phillies","Carl P. McCarty","Carl P. McCarty","1994/07/14 12:46PM","",1,0,0,0,-1,0,0,0,167,11,5,4,12,9,1,2,7,11,"demel101","mcgrt001","","","stenr101",4,"sangm101",2,"oliva001",8,"starw101",3,"ziskr101",7,"parkd001",9,"hebnr001",5,"tavef101",6,"medid101",1,"cashd101",4,"bowal001",6,"schmm001",5,"luzig001",7,"alled101",3,"johnj002",9,"maddg001",8,"oatej101",2,"kaatj101",1,"demel101","mcgrt001","","",,,66,,,,10001100101,01000003000,42,2,0,0,5,0,1,0,2,1,3,0,0,1,0,4,4,4,0,0,33,13,0,0,0,38,1,0,0,4,2,2,0,6,2,5,1,1,0,0,3,3,3,1,0,33,15,0,1,0,,,,,,,,,,,"Larry Demery","Tug McGraw","(none)","mendm101","Mario Mendoza","Rennie Stennett","Manny Sanguillen","Al Oliver","Willie Stargell","Richie Zisk","Dave Parker","Richie Hebner","Frank Taveras","Doc Medich","Dave Cash","Larry Bowa","Mike Schmidt","Greg Luzinski","Dick Allen","Jay Johnstone","Garry Maddox","Johnny Oates","Jim Kaat",,1976PHI.EVN.regular.game.csv",2

"PHI197604110","19760411",0,"Sunday",0,"F","D","PIT","PHI","PHI12","kisob001","carls001","olsea901","davis901","rennd901","varge901","","",18373,"Phillies","Carl P. McCarty","Carl P. McCarty","1994/07/14 2:09PM","",1,0,0,0,-1,0,0,0,140,9,8,3,13,10,0,1,6,9,"kisob001","carls001","moosb101","","stenr101",4,"sangm101",2,"oliva001",8,"starw101",3,"ziskr101",7,"parkd001",9,"hebnr001",5,"tavef101",6,"kisob001",1,"cashd101",4,"bowal001",6,"schmm001",5,"luzig001",7,"alled101",3,"johnj002",9,"maddg001",8,"boonb001",2,"carls001",1,"moosb101","garbg001","","",,,54,,,,000230120,000021000,36,1,2,0,8,1,1,0,3,0,8,1,0,1,0,2,3,3,0,0,27,13,0,1,0,35,2,0,1,3,0,0,1,3,0,3,0,1,0,0,5,7,7,0,0,27,10,0,2,0,,,,,,,,,,,"Bruce Kison","Steve Carlton","Bob Moose","ziskr101","Richie Zisk","Rennie Stennett","Manny Sanguillen","Al Oliver","Willie Stargell","Richie Zisk","Dave Parker","Richie Hebner","Frank Taveras","Bruce Kison","Dave Cash","Larry Bowa","Mike Schmidt","Greg Luzinski","Dick Allen","Jay Johnstone","Garry Maddox","Bob Boone","Steve Carlton",,1976PHI.EVN.regular.game.csv",3

"PHI197604230","19760423",0,"Friday",0,"F","N","ATL","PHI","PHI12","mortc102","lonbj101","mcshj901","willa901","gormt101","pryop901","","",29398,"Phillies","Carl P. McCarty","Carl P. McCarty","1994/07/16 1:23PM","",1,0,0,0,-1,0,0,0,184,9,6,5,8,8,3,0,12,10,"dalcb101","mcgrt001","sosae101","","offir101",8,"roysj001",5,"wynnj101",7,"evand001",3,"hendk101",9,"lacyl001",4,"pocob001",2,"chand101",6,"mortc102",1,"cashd101",4,"bowal001",6,"johnj002",9,"luzig001",7,"alled101",3,"schmm001",5,"maddg001",8,"boonb001",2,"lonbj101",1,"sosae101","reedr001","","",,,54,,,,000001005,101011100,34,2,0,0,6,0,0,0,11,1,4,0,0,1,0,3,3,3,1,0,27,13,3,2,0,33,2,1,0,4,0,1,0,8,2,2,1,1,2,0,5,6,6,0,0,27,8,0,1,0,,,,,,,,,,,"Bruce DalCanton","Tug McGraw","Elias Sosa","pacit001","Tom Paciorek","Rowland Office","Jerry Royster","Jim Wynn","Darrell Evans","Ken Henderson","Leon Lacy","Biff Pocoroba","Darrel Chaney","Carl Morton","Dave Cash","Larry Bowa","Jay Johnstone","Greg Luzinski","Dick Allen","Mike Schmidt","Garry Maddox","Bob Boone","Jim Lonborg",,1976PHI.EVN.regular.game.csv",4

"PHI197604240","19760424",0,"Saturday",0,"F","N","ATL","PHI","PHI12","messa101","carls001","willa901","gormt101","pryop901","mcshj901","","",25477,"Phillies","Carl P. McCarty","Carl P. McCarty","1994/07/17 4:02AM","",1,0,0,0,-1,0,0,0,161,9,5,10,6,11,0,3,7,6,"reedr001","sosae101","","","offir101",8,"roysj001",5,"evand001",3,"wynnj101",7,"pacit001",9,"lacyl001",4,"pocob001",2,"chand101",6,"messa101",1,"cashd101",4,"bowal001",6,"johnj002",9,"luzig001",7,"alled101",3,"schmm001",5,"maddg001",8,"boonb001",2,"carls001",1,"dalcb101","mcgrt001","","",,,51,,,,010003010,00500005x,32,0,0,0,4,0,1,0,6,0,10,1,0,0,0,4,10,10,0,0,24,6,2,0,0,35,2,0,2,9,0,0,1,4,0,10,3,0,0,0,3,4,4,2,0,27,7,0,0,0,,,,,,,,,,,"Ron Reed","Elias Sosa","(none)","schmm001","Mike Schmidt","Rowland Office","Jerry Royster","Darrell Evans","Jim Wynn","Tom Paciorek","Leon Lacy","Biff Pocoroba","Darrel Chaney","Andy Messersmith","Dave Cash","Larry Bowa","Jay Johnstone","Greg Luzinski","Dick Allen","Mike Schmidt","Garry Maddox","Bob Boone","Steve Carlton",,1976PHI.EVN.regular.game.csv",5

"PHI197604250","19760425",0,"Sunday",0,"F","D","ATL","PHI","PHI12","niekp001","chril101","gormt101","pryop901","mcshj901","willa901","","",10565,"Phillies","Carl P. McCarty","Carl P. McCarty","1994/07/17 9:50AM","",1,0,0,0,-1,0,0,0,145,9,3,2,6,5,1,0,6,4,"niekp001","chril101","sosae101","","offir101",8,"roysj001",5,"wynnj101",7,"evand001",3,"may-d101",9,"lacyl001",4,"pocob001",2,"chand101",6,"niekp001",1,"cashd101",4,"bowal001",6,"johnj002",9,"luzig001",7,"huttt101",3,"schmm001",5,"maddg001",8,"boonb001",2,"chril101",1,"sosae101","garbg001","","",,,54,,,,100002000,000000020,33,1,1,1,3,0,0,0,3,0,6,2,0,0,0,3,2,2,0,0,27,10,1,0,0,30,1,1,0,2,1,1,0,1,0,6,0,1,0,0,2,3,3,1,0,27,12,0,0,0,,,,,,,,,,,"Phil Niekro","Larry Christenson","Elias Sosa","roysj001","Jerry Royster","Rowland Office","Jerry Royster","Jim Wynn","Darrell Evans","Dave May","Leon Lacy","Biff Pocoroba","Darrel Chaney","Phil Niekro","Dave Cash","Larry Bowa","Jay Johnstone","Greg Luzinski","Tom Hutton","Mike Schmidt","Garry Maddox","Bob Boone","Larry Christenson",,1976PHI.EVN.regular.game.csv",6

