GAME_ID,EVENT_ID,COMMENT_TX
"SFN197604090",68,"Debut game for Glenn Burke"
"SFN197604250",30,"$Frank Tavaras out on appeal for missing 2B"
"SFN197604260",86,"ej,willc101,P,varge901,Fighting with Vic Harris ej,harrv101,P,varge901,Fighting with Charlie Williams $Charlie Williams' pitch glanced off Vic Harris' hand; Harris started to 1B but turned to the mound and starting yelling at Williams, who threw a right punch at Harris; both benches cleared;  Williams and Harris ejected by HP umpire Ed Vargo"
"SFN197605010",0,"Protest=V $Jim Barr brushed back Rick Monday"
"SFN197605010",11,"$Jim Barr brushed back Steve Swisher"
"SFN197605010",19,"ej,cardj101,P,rungp901,Threw batting helmet after knockdown pitch $Jim Barr threw a pitch near Jose Cardenal; Barr warned by HP umpire Paul Runge; the Giants argued the warning; Barr and Cardenal yelled at each other and the latter threw his helmet at Barr; Barr was restrained and both benches cleared; Cardenal ejected by Runge"
"SFN197605010",21,"ej,madlb001,P,rungp901,Charging the mound Bill Madlock marched toward the mound but was restrained by catcher Marc Hill; Madlock reached around and punched pitcher Jim Barr; both benches cleared and several fights ensued; Madlock ejected by HP umpire Paul Runge; the Cubs protested the game when Barr was not ejected"
"SFN197606080",2,"Debut game for Gary Roenicke"
"SFN197606231",3,"$Shift on for Willie McCovey"
"SFN197606232",6,"$Dave WInfield trapped the ball off the wall; play disputed"
"SFN197607181",2,"$Marc Hill left with injured left hand"
"SFN197608170",55,"$Chris Speier called for interference"
"SFN197608180",71,"Game called due to rain"
"SFN197608190",14,"ej,sangm101,P,wendh901,Call at 1B Manny Sanguillen ejected by 1B umpire Harry Wendelstedt"
"SFN197609040",0,"$John Grubb fouled ball off right knee"
"SFN197609060",28,"missing play in SFN197609060"
"SFN197609100",1,"Debut game for Bob Knepper"
"SFN197609110",1,"Debut game for Frank Riccelli"
"SFN197609230",3,"$Bill Buckner called for interference"
"SFN197609250",2,"$Enos Cabell called for interference"
"SFN197609260",67,"$Jose Cruz tripled but out on appeal for missing 2B"
