"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"FILENAME_TX","LINE_NUMBER_CT"

"MIN197804140","19780414",0,"Friday",0,"T","D","SEA","MIN","MIN02","houst101","zahng001","pales901","denkd901","phild901","mccol901","","",17425,"11","Dunkle","Dunkle","1997/02/21 8:50PM","",1,0,50,0,12,0,0,1,155,9,5,14,10,15,1,2,6,11,"zahng001","houst101","","","cruzj002",6,"baezj101",4,"bochb001",7,"stanl102",10,"robel001",9,"joner002",8,"steib001",5,"meyed001",3,"paslk101",2,"riveb101",9,"carer001",3,"fordd001",8,"kusic101",10,"smalr001",6,"wyneb001",2,"wolfl101",5,"norww101",7,"randb101",4,"montj101","","","",,,51,,,,000031010,24003500x,36,1,0,1,4,0,0,0,2,0,3,0,1,2,0,5,14,14,1,0,24,13,0,0,0,38,4,1,0,14,0,1,2,8,0,4,0,0,0,0,1,3,3,0,0,27,14,0,2,0,,,,,,,,,,,"Geoff Zahn","Tom House","(none)","kusic101","Craig Kusick","Julio Cruz","Jose Baez","Bruce Bochte","Leroy Stanton","Leon Roberts","Ruppert Jones","Bill Stein","Dan Meyer","Kevin Pasley","Bombo Rivera","Rod Carew","Dan Ford","Craig Kusick","Roy Smalley","Butch Wynegar","Larry Wolfe","Willie Norwood","Bob Randall",,1978MIN.EVA.regular.game.csv",2

"MIN197804150","19780415",0,"Saturday",0,"T","D","SEA","MIN","MIN02","toddj102","goltd101","denkd901","phild901","mccol901","pales901","","",7471,"Twins","M. Pankin","M. Pankin","1997/02/09 3:05PM","",1,0,54,0,14,0,0,0,177,11,5,6,9,9,2,0,7,8,"johnt103","montj101","","","cruzj002",6,"braus001",10,"bochb001",7,"joner002",8,"meyed001",3,"steib001",5,"halej101",9,"stinb101",2,"baezj101",4,"cubbm101",5,"smalr001",6,"carer001",3,"adamg101",10,"fordd001",8,"poweh101",9,"wyneb001",2,"norww101",7,"randb101",4,"montj101","johnt103","","",,,64,,,,00005000000,03000011001,41,1,0,0,5,0,0,0,4,0,7,1,1,0,0,2,4,4,1,0,31,16,0,0,0,39,2,0,0,5,0,0,0,6,1,6,1,1,0,0,2,5,5,0,0,33,15,0,0,0,,,,,,,,,,,"Tom Johnson","John Montague","(none)","wolfl101","Larry Wolfe","Julio Cruz","Steve Braun","Bruce Bochte","Ruppert Jones","Dan Meyer","Bill Stein","John Hale","Bob Stinson","Jose Baez","Mike Cubbage","Roy Smalley","Rod Carew","Glenn Adams","Dan Ford","Hosken Powell","Butch Wynegar","Willie Norwood","Bob Randall",,1978MIN.EVA.regular.game.csv",3

"MIN197804161","19780416",1,"Sunday",0,"T","D","SEA","MIN","MIN02","poled101","ericr101","phild901","mccol901","pales901","denkd901","","",0,"Twins","M. Pankin","M. Pankin","1997/02/09 3:23PM","",1,0,54,0,10,0,0,1,177,9,8,5,10,13,1,2,10,8,"poled101","ericr101","rawls001","","cruzj002",4,"meyed001",3,"bochb001",7,"stanl102",10,"joner002",8,"steib001",5,"halej101",9,"stinb101",2,"reync001",6,"cubbm101",5,"smalr001",6,"carer001",3,"wyneb001",2,"adamg101",10,"fordd001",8,"poweh101",9,"norww101",7,"randb101",4,"rawls001","thayg101","","",,,54,,,,401020001,001020011,34,2,0,0,8,1,3,1,6,0,2,1,1,0,0,2,4,4,0,0,27,14,0,3,0,37,1,0,1,5,0,1,0,2,0,2,1,0,2,0,3,5,5,0,1,27,10,0,0,0,,,,,,,,,,,"Dick Pole","Roger Erickson","Shane Rawley","bochb001","Bruce Bochte","Julio Cruz","Dan Meyer","Bruce Bochte","Leroy Stanton","Ruppert Jones","Bill Stein","John Hale","Bob Stinson","Craig Reynolds","Mike Cubbage","Roy Smalley","Rod Carew","Butch Wynegar","Glenn Adams","Dan Ford","Hosken Powell","Willie Norwood","Bob Randall",,1978MIN.EVA.regular.game.csv",4

"MIN197804162","19780416",2,"Sunday",0,"T","D","SEA","MIN","MIN02","houst101","johnd104","mccol901","pales901","denkd901","phild901","","",14021,"Twins","M. Pankin","M. Pankin","1997/02/09 3:44PM","",1,0,0,0,-1,0,0,0,141,9,7,2,10,13,2,1,6,12,"houst101","johnd104","","","stinb101",2,"baezj101",4,"bochb001",7,"stanl102",10,"joner002",8,"robel001",9,"meyed001",3,"steib001",5,"reync001",6,"riveb101",9,"carer001",3,"fordd001",8,"kusic101",10,"smalr001",6,"wolfl101",5,"norww101",7,"borgg101",2,"randb101",4,"","thayg101","","",,,54,,,,105000100,100100000,34,0,1,1,7,1,0,0,5,0,2,1,1,2,0,1,2,2,0,0,27,10,0,2,0,39,2,0,0,2,0,1,0,1,0,2,0,0,2,0,3,7,7,2,0,27,16,0,2,0,,,,,,,,,,,"Tom House","Dave Johnson","(none)","stinb101","Bob Stinson","Bob Stinson","Jose Baez","Bruce Bochte","Leroy Stanton","Ruppert Jones","Leon Roberts","Dan Meyer","Bill Stein","Craig Reynolds","Bombo Rivera","Rod Carew","Dan Ford","Craig Kusick","Roy Smalley","Larry Wolfe","Willie Norwood","Glenn Borgmann","Bob Randall",,1978MIN.EVA.regular.game.csv",5

"MIN197804170","19780417",0,"Monday",115,"T","D","OAK","MIN","MIN02","brobp101","thorp101","pales901","denkd901","phild901","mccol901","","",2054,"Twins/A's","Dobrow","Dobrow","1997/02/10 1:24PM","",1,0,53,0,20,0,0,0,152,9,7,2,8,9,0,1,3,11,"brobp101","thorp101","","","dilom001",7,"edwam101",4,"guerm101",6,"alexg101",10,"reved101",3,"essij001",2,"grosw001",5,"armat001",8,"thomg101",9,"cubbm101",5,"smalr001",6,"carer001",3,"wyneb001",2,"chilr101",7,"fordd001",8,"poweh101",9,"adamg101",10,"randb101",4,"sosae101","serug101","","",,,54,,,,042000100,200000000,32,1,1,2,7,0,1,0,4,0,6,0,1,0,0,2,2,2,0,0,27,9,0,0,0,36,3,0,0,2,0,0,1,3,0,4,0,0,0,0,2,7,7,0,0,27,9,0,0,0,,,,,,,,,,,"Pete Broberg","Paul Thormodsgard","(none)","dilom001","Miguel Dilone","Miguel Dilone","Mike Edwards","Mario Guerrero","Gary Alexander","Dave Revering","Jim Essian","Wayne Gross","Tony Armas","Gary Thomasson","Mike Cubbage","Roy Smalley","Rod Carew","Butch Wynegar","Rich Chiles","Dan Ford","Hosken Powell","Glenn Adams","Bob Randall",,1978MIN.EVA.regular.game.csv",6
