"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"MIN197804140",2,1,"burks102",0,0,1,"houst101",1,201978MIN.EVA.regular.sub.csv",2

"MIN197804140",5,1,"rawls001",0,0,1,"burks102",1,561978MIN.EVA.regular.sub.csv",3

"MIN197804140",7,1,"honer001",0,0,1,"rawls001",1,751978MIN.EVA.regular.sub.csv",4

"MIN197804140",8,1,"montj101",0,0,1,"honer001",1,831978MIN.EVA.regular.sub.csv",5

"MIN197804150",7,1,"chilr101",1,9,11,"randb101",4,571978MIN.EVA.regular.sub.csv",6

"MIN197804150",7,1,"montj101",0,0,1,"toddj102",1,581978MIN.EVA.regular.sub.csv",7

"MIN197804150",8,0,"wolfl101",1,9,5,"chilr101",11,621978MIN.EVA.regular.sub.csv",8

"MIN197804150",8,0,"cubbm101",1,1,4,"cubbm101",5,621978MIN.EVA.regular.sub.csv",9

"MIN197804150",9,0,"robel001",0,9,11,"baezj101",4,741978MIN.EVA.regular.sub.csv",10

"MIN197804150",9,0,"milbl001",0,9,12,"robel001",11,751978MIN.EVA.regular.sub.csv",11

"MIN197804150",9,1,"reync001",0,9,6,"milbl001",12,771978MIN.EVA.regular.sub.csv",12

"MIN197804150",9,1,"cruzj002",0,1,4,"cruzj002",6,771978MIN.EVA.regular.sub.csv",13

"MIN197804150",10,0,"johnt103",1,0,1,"goltd101",1,801978MIN.EVA.regular.sub.csv",14

"MIN197804161",5,0,"redfp101",1,0,1,"ericr101",1,451978MIN.EVA.regular.sub.csv",15

"MIN197804161",9,0,"milbl001",0,4,12,"stanl102",10,781978MIN.EVA.regular.sub.csv",16

"MIN197804161",9,0,"thayg101",1,0,1,"redfp101",1,811978MIN.EVA.regular.sub.csv",17

"MIN197804161",9,1,"chilr101",1,9,11,"randb101",4,841978MIN.EVA.regular.sub.csv",18

"MIN197804161",9,1,"rawls001",0,0,1,"poled101",1,861978MIN.EVA.regular.sub.csv",19

"MIN197804162",3,0,"serug101",1,0,1,"johnd104",1,291978MIN.EVA.regular.sub.csv",20

"MIN197804162",8,0,"thayg101",1,0,1,"serug101",1,701978MIN.EVA.regular.sub.csv",21

"MIN197804162",8,1,"halej101",0,6,9,"robel001",9,751978MIN.EVA.regular.sub.csv",22

"MIN197804170",7,0,"nortb101",0,2,11,"edwam101",4,571978MIN.EVA.regular.sub.csv",23

"MIN197804170",7,1,"stags101",0,2,4,"nortb101",11,591978MIN.EVA.regular.sub.csv",24

"MIN197804170",7,1,"sosae101",0,0,1,"brobp101",1,621978MIN.EVA.regular.sub.csv",25

"MIN197804170",8,0,"serug101",1,0,1,"thorp101",1,641978MIN.EVA.regular.sub.csv",26

"MIN197804170",8,1,"moraj001",1,9,11,"randb101",4,721978MIN.EVA.regular.sub.csv",27

"MIN197804170",9,0,"moraj001",1,9,3,"moraj001",11,731978MIN.EVA.regular.sub.csv",28

"MIN197804170",9,0,"carer001",1,3,4,"carer001",3,731978MIN.EVA.regular.sub.csv",29

"MIN197804190",7,0,"nortb101",0,2,11,"edwam101",4,551978MIN.EVA.regular.sub.csv",30

"MIN197804190",7,0,"johnt103",1,0,1,"zahng001",1,561978MIN.EVA.regular.sub.csv",31

"MIN197804190",7,1,"stags101",0,2,4,"nortb101",11,601978MIN.EVA.regular.sub.csv",32

"MIN197804190",7,1,"laceb001",0,0,1,"langr001",1,621978MIN.EVA.regular.sub.csv",33

"MIN197804190",7,1,"moraj001",1,1,11,"cubbm101",5,621978MIN.EVA.regular.sub.csv",34

"MIN197804190",8,0,"wolfl101",1,1,5,"moraj001",11,631978MIN.EVA.regular.sub.csv",35

"MIN197804190",8,1,"murpd002",0,9,9,"thomg101",9,681978MIN.EVA.regular.sub.csv",36

"MIN197804190",8,1,"kusic101",1,6,11,"adamg101",10,721978MIN.EVA.regular.sub.csv",37

"MIN197804190",8,1,"heavd101",0,0,1,"laceb001",1,721978MIN.EVA.regular.sub.csv",38

"MIN197804190",9,1,"chilr101",1,1,11,"wolfl101",5,821978MIN.EVA.regular.sub.csv",39

"MIN197804190",9,1,"sosae101",0,0,1,"heavd101",1,831978MIN.EVA.regular.sub.csv",40

"MIN197804190",10,0,"randb101",1,9,5,"randb101",4,871978MIN.EVA.regular.sub.csv",41

"MIN197804190",10,0,"kusic101",1,6,3,"kusic101",10,871978MIN.EVA.regular.sub.csv",42

"MIN197804190",10,0,"carer001",1,3,4,"carer001",3,871978MIN.EVA.regular.sub.csv",43

"MIN197804190",10,0,"johnt103",1,1,1,"chilr101",11,871978MIN.EVA.regular.sub.csv",44

"MIN197804190",11,0,"riveb101",1,1,7,"johnt103",1,981978MIN.EVA.regular.sub.csv",45

"MIN197804190",11,0,"serug101",1,8,1,"norww101",7,981978MIN.EVA.regular.sub.csv",46

"MIN197804190",11,0,"adamm102",0,4,12,"alexg101",10,981978MIN.EVA.regular.sub.csv",47

"MIN197804210",7,1,"larod101",0,0,1,"aased001",1,621978MIN.EVA.regular.sub.csv",48

