"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"OAK197804100",2,0,"murpd002",1,3,8,"armat001",8,12
"OAK197804100",5,1,"montj101",0,0,1,"abbog001",1,41
"OAK197804100",7,0,"milbl001",0,4,12,"stanl102",10,51
"OAK197804100",7,0,"heavd101",1,0,1,"johnj001",1,52
"OAK197804100",7,0,"stinb101",0,8,11,"paslk101",2,54
"OAK197804100",7,1,"stinb101",0,8,2,"stinb101",11,55
"OAK197804100",7,1,"rawls001",0,0,1,"montj101",1,57
"OAK197804100",7,1,"nortb101",1,3,11,"murpd002",8,58
"OAK197804100",8,0,"nortb101",1,3,8,"nortb101",11,61
"OAK197804100",8,0,"braus001",0,1,11,"cruzj002",4,62
"OAK197804100",8,1,"baezj101",0,1,4,"braus001",11,64
"OAK197804100",9,0,"halej101",0,4,11,"milbl001",10,68
"OAK197804110",8,0,"braus001",0,9,11,"reync001",6,53
"OAK197804110",8,0,"laceb001",1,0,1,"brobp101",1,56
"OAK197804110",8,1,"milbl001",0,9,6,"braus001",11,58
"OAK197804110",8,1,"adamm102",1,2,11,"edwam101",4,60
"OAK197804110",9,0,"stags101",1,2,4,"adamm102",11,62
"OAK197804110",9,0,"robeb101",0,8,11,"stinb101",2,65
"OAK197804110",9,0,"sosae101",1,0,1,"laceb001",1,65
"OAK197804120",7,0,"laceb001",1,0,1,"langr001",1,50
"OAK197804120",7,1,"murpd002",1,5,12,"reved101",3,55
"OAK197804120",7,1,"romoe101",0,0,1,"honer001",1,57
"OAK197804120",7,1,"nortb101",1,6,12,"essij001",2,57
"OAK197804120",8,0,"murpd002",1,5,9,"murpd002",12,60
"OAK197804120",8,0,"newmj001",1,6,2,"nortb101",12,60
"OAK197804120",8,0,"thomg101",1,9,3,"thomg101",9,60
"OAK197804120",8,0,"heavd101",1,0,1,"laceb001",1,62
"OAK197804120",8,0,"braus001",0,4,11,"stanl102",10,62
"OAK197804120",8,1,"rawls001",0,0,1,"romoe101",1,67
"OAK197804120",8,1,"adamm102",1,5,11,"murpd002",9,67
"OAK197804120",9,0,"grosw001",1,7,3,"grosw001",5,68
"OAK197804120",9,0,"adamm102",1,5,5,"adamm102",11,68
"OAK197804120",9,0,"thomg101",1,9,9,"thomg101",3,68
"OAK197804130",6,1,"nortb101",1,2,11,"edwam101",4,46
"OAK197804130",6,1,"burks102",0,0,1,"mitcp101",1,48
"OAK197804130",7,0,"stags101",1,2,4,"nortb101",11,49
"OAK197804130",9,0,"laceb001",1,0,1,"keoum001",1,61
"OAK197804140",7,0,"lansc001",0,6,12,"solat101",3,48
"OAK197804140",7,0,"heavd101",1,0,1,"wirta101",1,48
"OAK197804140",7,1,"fairr101",0,6,3,"lansc001",12,49
"OAK197804140",7,1,"hartp001",0,0,1,"knapc101",1,52
"OAK197804140",7,1,"murpd002",1,9,12,"thomg101",9,53
"OAK197804140",7,1,"nortb101",1,2,11,"edwam101",4,54
"OAK197804140",8,0,"murpd002",1,9,9,"murpd002",12,55
"OAK197804140",8,0,"stags101",1,2,4,"nortb101",11,55
"OAK197804140",8,1,"adamm102",1,4,12,"alexg101",10,60
"OAK197804140",9,0,"jackr002",0,4,11,"rudij101",10,64
"OAK197804160",7,0,"sosae101",1,0,1,"johnj001",1,52
"OAK197804160",8,0,"laceb001",1,0,1,"sosae101",1,60
"OAK197804160",8,0,"fairr101",0,4,11,"jackr002",3,60
"OAK197804160",8,1,"fairr101",0,4,3,"fairr101",11,64
"OAK197804160",8,1,"larod101",0,0,1,"aased001",1,64
"OAK197804160",8,1,"nortb101",1,9,11,"thomg101",9,64
"OAK197804160",8,1,"adamm102",1,2,11,"edwam101",4,66
"OAK197804160",8,1,"perem101",1,2,12,"adamm102",11,67
"OAK197804160",9,0,"stags101",1,2,4,"perem101",12,69
"OAK197804160",9,0,"nortb101",1,9,8,"nortb101",11,69
"OAK197804160",9,0,"armat001",1,8,9,"armat001",8,69
"OAK197804160",11,0,"heavd101",1,0,1,"laceb001",1,82
"OAK197804160",11,0,"mullr001",0,7,11,"lansc001",5,84
"OAK197804160",11,0,"solat101",0,8,11,"rettm101",10,85
"OAK197804160",11,0,"hampi101",0,8,12,"solat101",11,86
"OAK197804160",11,1,"landk001",0,5,7,"bayld001",7,90
"OAK197804160",11,1,"mullr001",0,7,6,"mullr001",11,90
"OAK197804160",11,1,"chald101",0,6,5,"chald101",6,90
"OAK197804160",11,1,"milld101",0,0,1,"larod101",1,90
"OAK197804160",11,1,"murpd002",1,4,12,"alexg101",10,94
"OAK197804160",11,1,"bretk101",0,0,1,"milld101",1,94
"OAK197804160",11,1,"hartp001",0,0,1,"bretk101",1,95
"OAK197804251",6,0,"murpd002",1,3,7,"pagem001",7,42
"OAK197804251",6,0,"laceb001",1,0,1,"brobp101",1,45
"OAK197804251",6,0,"kusic101",0,5,11,"adamg101",10,46
"OAK197804251",6,0,"sosae101",1,0,1,"laceb001",1,46
"OAK197804251",6,0,"chilr101",0,5,11,"kusic101",11,46
"OAK197804251",6,1,"scarm101",0,0,1,"thorp101",1,51
"OAK197804251",6,1,"thayg101",0,0,1,"scarm101",1,54
"OAK197804251",7,1,"serug101",0,0,1,"thayg101",1,65
"OAK197804251",8,1,"johnd104",0,0,1,"serug101",1,70
"OAK197804251",9,0,"moraj001",0,9,11,"randb101",4,74
"OAK197804252",7,0,"murpd002",1,4,7,"alexg101",7,49
"OAK197804252",7,0,"laceb001",1,0,1,"langr001",1,52
"OAK197804252",7,0,"wolfl101",0,1,11,"cubbm101",5,52
"OAK197804252",7,0,"kusic101",0,4,11,"adamg101",10,55
"OAK197804252",7,0,"heavd101",1,0,1,"laceb001",1,55
"OAK197804252",7,1,"wolfl101",0,1,5,"wolfl101",11,56
"OAK197804252",8,1,"essij001",1,4,11,"murpd002",7,65
"OAK197804252",9,0,"dilom001",1,4,7,"essij001",11,68
"OAK197804252",9,1,"stags101",1,7,12,"grosw001",5,74
"OAK197804252",10,0,"perem101",1,7,5,"stags101",12,76
"OAK197804252",10,0,"chilr101",0,8,11,"norww101",7,81
"OAK197804252",10,1,"johnt103",0,0,1,"zahng001",1,82
"OAK197804252",10,1,"chilr101",0,8,7,"chilr101",11,82
"OAK197804252",14,0,"colej102",1,0,1,"heavd101",1,110
"OAK197804260",7,0,"laceb001",1,0,1,"keoum001",1,55
"OAK197804260",7,1,"thayg101",0,0,1,"ericr101",1,61
"OAK197804260",8,0,"kusic101",0,6,11,"adamg101",10,65
"OAK197804260",9,1,"murpd002",1,2,12,"guerm101",6,76
"OAK197804260",9,1,"johnt103",0,0,1,"thayg101",1,77
"OAK197804260",9,1,"dilom001",1,4,12,"alexg101",10,78
"OAK197804260",10,0,"perem101",1,2,6,"murpd002",12,79
"OAK197804260",11,0,"moraj001",0,7,11,"poweh101",9,87
"OAK197804260",11,0,"sosae101",1,0,1,"laceb001",1,87
"OAK197804260",11,0,"chilr101",0,7,11,"moraj001",11,87
"OAK197804260",11,1,"chilr101",0,7,9,"chilr101",11,90
