"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX","FILENAME_TX","LINE_NUMBER_CT"
"KCA198004100","19800410",0,"Thursday",735,"T","N","DET","KCA","KAN06","morrj001","leond001","phild901","dimul901","clara901","pales901","","",34901,"KC","Bill Disney","Bill Disney","1995/06/12 2:16PM","",1,0,65,0,14,0,0,4,148,9,5,1,9,3,1,1,4,6,"morrj001","leond001","","kemps001","whitl001",4,"gibsk001",8,"kemps001",7,"hebnr001",5,"thomj001",3,"summc001",10,"parrl001",2,"peter001",9,"wagnm001",6,"wilsw001",8,"mcrah001",10,"bretg001",5,"aikew001",3,"lacop101",7,"quirj001",2,"hurdc001",9,"whitf001",4,"washu001",6,"","chrig101","","",,,54,,,,000103001,001000000,33,1,2,2,5,0,0,0,3,0,4,1,1,2,0,1,0,0,0,0,27,11,0,0,0,31,2,0,0,1,0,0,0,3,0,5,1,0,0,0,2,4,4,0,1,27,15,1,3,0,,,,,,,,,,,"Jack Morris","Dennis Leonard","(none)","kemps001","Steve Kemp","Lou Whitaker","Kirk Gibson","Steve Kemp","Richie Hebner","Jason Thompson","Champ Summers","Lance Parrish","Rick Peters","Mark Wagner","Willie Wilson","Hal McRae","George Brett","Willie Aikens","Pete LaCock","Jamie Quirk","Clint Hurdle","Frank White","U L Washington",,,"1980KCA.EVA.regular.game.csv",2
"KCA198004110","19800411",0,"Friday",735,"T","N","DET","KCA","KAN06","schad001","gural001","dimul901","clara901","pales901","phild901","","",14605,"KC","Bill Disney","Bill disney","1995/06/12 2:41PM","",1,0,42,0,14,0,0,4,133,9,0,4,6,7,0,0,7,3,"gural001","schad001","","lacop101","whitl001",4,"jonel001",9,"kemps001",7,"parrl001",2,"thomj001",3,"wockj001",10,"broot001",5,"stegd001",8,"wagnm001",6,"wilsw001",8,"whitf001",4,"bretg001",5,"mcrah001",10,"aikew001",3,"wathj001",2,"lacop101",7,"dethb101",9,"washu001",6,"undep101","","","",,,51,,,,000000000,00001030x,31,0,0,0,0,0,0,0,3,0,5,1,0,1,0,2,4,4,0,0,24,11,0,0,0,29,2,0,0,4,0,0,0,2,1,4,0,1,0,0,1,0,0,0,0,27,13,0,2,0,,,,,,,,,,,"Larry Gura","Dan Schatzeder","(none)","lacop101","Pete LaCock","Lou Whitaker","Lynn Jones","Steve Kemp","Lance Parrish","Jason Thompson","John Wockenfuss","Tom Brookens","Dave Stegman","Mark Wagner","Willie Wilson","Frank White","George Brett","Hal McRae","Willie Aikens","John Wathan","Pete LaCock","Bob Detherage","U L Washington",,,"1980KCA.EVA.regular.game.csv",3
"KCA198004120","19800412",0,"Saturday",135,"T","D","DET","KCA","KAN06","wilcm001","galer001","clara901","pales901","phild901","dimul901","","",16130,"KC","Bill Disney","Bill Disney","1995/06/14 5:29AM","",1,0,50,0,16,0,0,0,179,9,6,8,10,15,1,2,9,6,"pattm101","undep101","","chald101","whitl001",4,"gibsk001",8,"kemps001",7,"hebnr001",5,"thomj001",3,"summc001",10,"peter001",9,"dyerd101",2,"wagnm001",6,"wilsw001",8,"whitf001",4,"bretg001",5,"mcrah001",10,"aikew001",3,"lacop101",7,"quirj001",2,"hurdc001",9,"washu001",6,"undep101","pattm101","","",,,51,,,,002030100,14100002x,37,2,1,0,6,0,0,0,5,0,7,2,0,1,0,3,8,8,0,0,24,11,0,2,0,36,5,3,0,7,0,1,0,1,0,4,3,0,2,0,2,5,5,0,0,27,15,0,1,0,,,,,,,,,,,"Marty Pattin","Pat Underwood","(none)","chald101","Dave Chalk","Lou Whitaker","Kirk Gibson","Steve Kemp","Richie Hebner","Jason Thompson","Champ Summers","Rick Peters","Duffy Dyer","Mark Wagner","Willie Wilson","Frank White","George Brett","Hal McRae","Willie Aikens","Pete LaCock","Jamie Quirk","Clint Hurdle","U L Washington",,,"1980KCA.EVA.regular.game.csv",4
"KCA198004130","19800413",0,"Sunday",135,"T","D","DET","KCA","KAN06","rozed001","splip001","clara901","pales901","phild901","dimul901","","",17720,"KC","Bill Disney","Bill disney","1995/06/14 9:11AM","",1,0,52,0,20,0,0,0,149,9,2,3,10,8,0,1,6,8,"splip001","rozed001","chrig101","lacop101","whitl001",4,"gibsk001",8,"jonel001",9,"parrl001",2,"thomj001",3,"wockj001",10,"broot001",5,"stegd001",7,"wagnm001",6,"wilsw001",8,"whitf001",4,"bretg001",5,"mcrah001",10,"aikew001",3,"lacop101",7,"quirj001",2,"hurdc001",9,"washu001",6,"lopea001","chrig101","","",,,51,,,,000000002,00010020x,32,2,0,1,2,1,0,0,2,0,1,2,1,2,0,2,3,3,0,0,24,11,0,1,0,30,0,0,0,3,0,0,0,5,2,2,1,0,1,0,3,2,2,0,0,27,17,0,2,0,,,,,,,,,,,"Paul Splittorff","Dave Rozema","Gary Christenson","lacop101","Pete LaCock","Lou Whitaker","Kirk Gibson","Lynn Jones","Lance Parrish","Jason Thompson","John Wockenfuss","Tom Brookens","Dave Stegman","Mark Wagner","Willie Wilson","Frank White","George Brett","Hal McRae","Willie Aikens","Pete LaCock","Jamie Quirk","Clint Hurdle","U L Washington",,,"1980KCA.EVA.regular.game.csv",5
"KCA198004210","19800421",0,"Monday",736,"T","N","TOR","KCA","KAN06","stied001","galer001","mckej901","hendt901","(none)","barnl901","","",21117,"KC/Toronto","Bill Disney","Bill Disney","1995/06/15 6:46AM","",1,0,84,0,0,0,0,4,149,9,7,1,8,5,1,2,6,6,"stied001","galer001","","bonnb001","grifa001",6,"boser101",8,"maybj101",3,"hower001",5,"veleo101",10,"bonnb001",9,"garcd001",4,"aingd101",7,"davib101",2,"wilsw001",8,"whitf001",4,"bretg001",5,"aikew001",3,"mcrah001",10,"lacop101",7,"quirj001",2,"hurdc001",9,"washu001",6,"","busbs101","","",,,54,,,,000300004,000000001,34,4,0,0,6,1,0,0,5,1,4,1,0,0,0,1,1,1,0,0,27,13,0,1,0,31,1,0,0,1,0,0,0,3,0,3,3,0,0,0,3,4,3,0,0,27,6,0,1,0,,,,,,,,,,,"Dave Stieb","Rich Gale","(none)","bonnb001","Barry Bonnell","Alfredo Griffin","Rick Bosetti","John Mayberry","Roy Howell","Otto Velez","Barry Bonnell","Damaso Garcia","Danny Ainge","Bob Davis","Willie Wilson","Frank White","George Brett","Willie Aikens","Hal McRae","Pete LaCock","Jamie Quirk","Clint Hurdle","U L Washington",,,"1980KCA.EVA.regular.game.csv",6
"KCA198004220","19800422",0,"Tuesday",735,"T","N","TOR","KCA","KAN06","mirap001","splip001","hendt901","barnl901","(none)","mckej901","","",16993,"KC/Toronto","Bill Disney","Bill Disney","1995/06/16 5:35AM","",1,0,82,0,-1,0,0,4,128,9,2,7,7,12,1,2,5,5,"splip001","mirap001","","wathj001","grifa001",6,"boser101",8,"maybj101",3,"veleo101",10,"hower001",5,"bonnb001",9,"garcd001",4,"aingd101",7,"davib101",2,"wilsw001",8,"whitf001",4,"bretg001",5,"mcrah001",7,"aikew001",3,"wathj001",2,"chald101",10,"dethb101",9,"washu001",6,"buskt101","pattm101","","",,,51,,,,000000020,03000103x,34,1,0,0,2,0,0,0,0,0,1,0,0,1,0,3,7,7,0,0,24,16,0,3,0,34,3,0,0,7,0,0,0,2,0,2,1,0,2,0,2,2,2,0,0,27,11,0,1,0,,,,,,,,,,,"Paul Splittorff","Paul Mirabella","(none)","wathj001","John Wathan","Alfredo Griffin","Rick Bosetti","John Mayberry","Otto Velez","Roy Howell","Barry Bonnell","Damaso Garcia","Danny Ainge","Bob Davis","Willie Wilson","Frank White","George Brett","Hal McRae","Willie Aikens","John Wathan","Dave Chalk","Bob Detherage","U L Washington",,,"1980KCA.EVA.regular.game.csv",7
"KCA198004230","19800423",0,"Wednesday",735,"T","N","TOR","KCA","KAN06","clanj001","leond001","barnl901","mckej901","hendt901","evanj901","","",18855,"KC/Toronto","Bill Disney","Bill Disney","1995/06/17 7:03AM","",1,0,74,0,-1,0,0,4,153,9,4,7,7,11,1,0,4,9,"chrig101","mclaj001","quisd001","bretg001","grifa001",6,"boser101",8,"maybj101",3,"hower001",5,"veleo101",10,"bonnb001",9,"garcd001",4,"upshw001",7,"white002",2,"wilsw001",8,"braus001",7,"bretg001",5,"aikew001",3,"mcrah001",10,"wathj001",2,"hurdc001",9,"whitf001",4,"mullr001",6,"moorb101","quisd001","","",,,51,,,,100000030,00010114x,33,2,1,1,4,0,0,0,2,0,8,1,0,1,0,4,4,4,0,0,24,9,0,0,0,36,5,1,0,7,0,0,0,4,2,1,2,0,0,0,3,4,4,0,0,27,10,0,1,0,,,,,,,,,,,"Gary Christenson","Joey McLaughlin","Dan Quisenberry","bretg001","George Brett","Alfredo Griffin","Rick Bosetti","John Mayberry","Roy Howell","Otto Velez","Barry Bonnell","Damaso Garcia","Willie Upshaw","Ernie Whitt","Willie Wilson","Steve Braun","George Brett","Willie Aikens","Hal McRae","John Wathan","Clint Hurdle","Frank White","Rance Mulliniks",,,"1980KCA.EVA.regular.game.csv",8
"KCA198004250","19800425",0,"Friday",0,"T","N","BAL","KCA","KAN06","stons101","gural001","koscg901","denkd901","mccol901","fordd901","","",20436,"Orioles","G. Fitzgerald","G. Fitzgerald","1993/12/21 8:50PM","",1,0,0,0,-1,0,0,4,138,9,0,7,4,9,4,0,7,6,"gural001","stons101","","whitf001","bumba001",8,"dauer001",4,"singk001",9,"murre001",3,"decid001",5,"roeng001",7,"may-l101",10,"dempr001",2,"garck001",6,"wilsw001",8,"whitf001",4,"bretg001",5,"aikew001",3,"mcrah001",10,"wathj001",2,"lacop101",7,"hurdc001",9,"mullr001",6,"stews001","","","",,,51,,,,000000000,60000010x,30,0,0,0,0,0,0,0,4,0,2,0,1,0,0,2,3,3,0,0,24,11,0,2,0,34,3,1,1,7,0,0,0,3,0,5,0,0,2,0,1,0,0,0,0,27,9,0,0,0,,,,,,,,,,,"Larry Gura","Steve Stone","(none)","whitf001","Frank White","Al Bumbry","Rich Dauer","Ken Singleton","Eddie Murray","Doug DeCinces","Gary Roenicke","Lee May","Rick Dempsey","Kiko Garcia","Willie Wilson","Frank White","George Brett","Willie Aikens","Hal McRae","John Wathan","Pete LaCock","Clint Hurdle","Rance Mulliniks",,,"1980KCA.EVA.regular.game.csv",9
"KCA198004260","19800426",0,"Saturday",0,"T","D","BAL","KCA","KAN06","flanm001","galer001","denkd901","mccol901","fordd901","koscg901","","",25925,"Orioles","G. Fitzgerald","G. Fitzgerald","1993/12/21 9:12PM","",1,0,0,0,-1,0,0,0,154,9,4,0,8,7,1,2,8,8,"flanm001","galer001","","bumba001","bumba001",8,"dauer001",4,"kellp101",10,"singk001",9,"murre001",3,"lowej001",7,"decid001",5,"dempr001",2,"garck001",6,"wilsw001",8,"whitf001",4,"chald101",5,"mcrah001",10,"wathj001",2,"aikew001",3,"terrj101",7,"dethb101",9,"washu001",6,"","quisd001","","",,,54,,,,000020020,000000000,33,1,1,1,4,0,1,1,4,0,7,1,1,0,0,1,0,0,0,0,27,13,0,1,0,33,1,0,0,0,1,0,0,1,0,4,0,0,1,0,2,4,4,0,0,27,8,0,0,0,,,,,,,,,,,"Mike Flanagan","Rich Gale","(none)","bumba001","Al Bumbry","Al Bumbry","Rich Dauer","Pat Kelly","Ken Singleton","Eddie Murray","John Lowenstein","Doug DeCinces","Rick Dempsey","Kiko Garcia","Willie Wilson","Frank White","Dave Chalk","Hal McRae","John Wathan","Willie Aikens","Jerry Terrell","Bob Detherage","U L Washington",,,"1980KCA.EVA.regular.game.csv",10
"KCA198004270","19800427",0,"Sunday",0,"T","D","BAL","KCA","KAN06","martd001","splip001","mccol901","fordd901","koscg901","denkd901","","",20496,"Orioles","G. Fitzgerald","G. Fitzgerald","1993/12/21 10:39PM","",1,0,0,0,-1,0,0,0,122,9,2,3,6,5,0,1,7,2,"splip001","fordd101","","quirj001","bumba001",8,"belam101",6,"singk001",9,"murre001",3,"roeng001",7,"may-l101",10,"rayff001",5,"dauer001",4,"skagd101",2,"wilsw001",8,"whitf001",4,"mcrah001",10,"aikew001",3,"wathj001",2,"quirj001",5,"lacop101",7,"hurdc001",9,"washu001",6,"fordd101","","","",,,51,,,,010100000,00000210x,31,1,0,0,0,1,0,0,4,0,2,0,0,2,0,2,3,3,0,0,24,14,0,1,0,28,0,1,1,3,0,0,0,1,0,2,2,0,1,0,1,1,1,0,0,27,16,0,2,0,,,,,,,,,,,"Paul Splittorff","Dave Ford","(none)","quirj001","Jamie Quirk","Al Bumbry","Mark Belanger","Ken Singleton","Eddie Murray","Gary Roenicke","Lee May","Floyd Rayford","Rich Dauer","Dave Skaggs","Willie Wilson","Frank White","Hal McRae","Willie Aikens","John Wathan","Jamie Quirk","Pete LaCock","Clint Hurdle","U L Washington",,,"1980KCA.EVA.regular.game.csv",11
