"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"FILENAME_TX","LINE_NUMBER_CT"

"LAN198104090","19810409",0,"Thursday",111,"F","D","HOU","LAN","LOS03","niekj001","valef001","engeb901","dalej901","rungp901","quicj901","","",50511,"Astros/Dodgers","C. Chestnut","C. Chestnut","1995/03/03 6:40PM","",1,0,0,0,-1,0,0,0,137,9,0,2,5,8,0,0,6,7,"valef001","niekj001","","cey-r001","puhlt001",9,"reync001",6,"cedec001",8,"cruzj001",7,"howea001",5,"robed102",3,"thond001",4,"pujol001",2,"niekj001",1,"loped001",4,"landk001",8,"baked002",7,"garvs001",3,"cey-r001",5,"guerp001",9,"sciom001",2,"russb001",6,"valef001",1,"smitd001","","","",,,51,,,,000000000,00010100x,31,1,0,0,0,0,0,0,2,0,5,0,0,1,0,2,2,2,1,0,24,7,0,0,0,29,2,1,0,2,1,1,0,2,0,3,2,1,0,0,1,0,0,0,0,27,9,0,1,0,,,,,,,,,,,"Fernando Valenzuela","Joe Niekro","(none)","cey-r001","Ron Cey","Terry Puhl","Craig Reynolds","Cesar Cedeno","Jose Cruz","Art Howe","Dave Roberts","Dickie Thon","Luis Pujols","Joe Niekro","Davey Lopes","Ken Landreaux","Dusty Baker","Steve Garvey","Ron Cey","Pedro Guerrero","Mike Scioscia","Bill Russell","Fernando Valenzuela",,1981LAN.EVN.regular.game.csv",2

"LAN198104110","19810411",0,"Saturday",708,"F","N","HOU","LAN","LOS03","suttd001","hootb001","dalej901","rungp901","quicj901","engeb901","","",51691,"Astros/Dodgers","C. Chestnut","C. Chestnut","1995/03/03 7:00PM","",1,0,0,0,-1,0,0,0,176,9,4,7,12,12,0,0,8,10,"hootb001","suttd001","","russb001","puhlt001",9,"reync001",6,"cedec001",8,"cruzj001",7,"heepd001",3,"howea001",5,"ashba001",2,"landr001",4,"suttd001",1,"loped001",4,"landk001",8,"baked002",7,"garvs001",3,"cey-r001",5,"guerp001",9,"sciom001",2,"russb001",6,"hootb001",1,"sambj001","castr001","","",,,51,,,,100000003,04002100x,38,2,0,0,4,0,0,0,1,0,4,1,0,1,0,4,7,7,0,0,24,5,0,0,0,34,4,1,0,7,1,1,0,5,1,8,0,0,0,0,2,4,4,0,0,27,12,0,1,0,,,,,,,,,,,"Burt Hooton","Don Sutton","(none)","russb001","Bill Russell","Terry Puhl","Craig Reynolds","Cesar Cedeno","Jose Cruz","Danny Heep","Art Howe","Alan Ashby","Rafael Landestoy","Don Sutton","Davey Lopes","Ken Landreaux","Dusty Baker","Steve Garvey","Ron Cey","Pedro Guerrero","Mike Scioscia","Bill Russell","Burt Hooton",,1981LAN.EVN.regular.game.csv",3

"LAN198104120","19810412",0,"Sunday",108,"F","D","HOU","LAN","LOS03","ruhlv001","sutcr001","rungp901","quicj901","engeb901","dalej901","","",50734,"Astros/Dodgers","C. Chestnut","C. Chestnut","1995/03/03 7:12PM","",1,0,0,0,-1,0,0,0,136,9,2,3,6,8,1,1,3,6,"sutcr001","ruhlv001","howes001","","leonj001",9,"reync001",6,"cedec001",8,"cruzj001",7,"heepd001",3,"howea001",5,"ashba001",2,"landr001",4,"ruhlv001",1,"loped001",4,"landk001",8,"baked002",7,"garvs001",3,"cey-r001",5,"guerp001",9,"sciom001",2,"russb001",6,"sutcr001",1,"lacof001","howes001","","",,,51,,,,000001010,01200000x,31,2,0,1,2,0,1,0,0,0,5,0,0,1,0,3,3,3,0,0,24,8,0,0,0,33,2,0,1,3,0,0,0,0,0,8,0,1,0,0,2,2,2,0,0,27,14,0,1,0,,,,,,,,,,,"Rick Sutcliffe","Vern Ruhle","Steve Howe","russb001","Bill Russell","Jeff Leonard","Craig Reynolds","Cesar Cedeno","Jose Cruz","Danny Heep","Art Howe","Alan Ashby","Rafael Landestoy","Vern Ruhle","Davey Lopes","Ken Landreaux","Dusty Baker","Steve Garvey","Ron Cey","Pedro Guerrero","Mike Scioscia","Bill Russell","Rick Sutcliffe",,1981LAN.EVN.regular.game.csv",4

"LAN198104230","19810423",0,"Thursday",0,"F","N","SDN","LAN","LOS03","wiser101","sutcr001","crawj901","varge901","davis901","tatat901","","",35027,"Dodgers/Padres","Dobrow","Dobrow","1995/04/16 11:47PM","",1,0,0,0,-1,0,0,0,158,9,1,3,5,9,1,1,3,6,"sutcr001","wiser101","howes001","sutcr001","richg001",7,"smito001",6,"joner002",8,"bassr101",3,"lefej001",9,"salal001",5,"kennt001",2,"philm101",4,"wiser101",1,"loped001",4,"landk001",8,"baked002",7,"garvs001",3,"cey-r001",5,"guerp001",9,"sciom001",2,"russb001",6,"sutcr001",1,"littj102","howes001","","",,,51,,,,000000010,01000110x,27,0,0,1,1,0,0,0,3,0,4,1,2,3,1,2,2,2,0,0,24,14,0,2,0,29,0,0,0,3,1,0,0,3,0,2,4,1,1,0,2,1,1,0,0,27,17,0,3,0,,,,,,,,,,,"Rick Sutcliffe","Rick Wise","Steve Howe","sutcr001","Rick Sutcliffe","Gene Richards","Ozzie Smith","Ruppert Jones","Randy Bass","Joe Lefebvre","Luis Salazar","Terry Kennedy","Mike Phillips","Rick Wise","Davey Lopes","Ken Landreaux","Dusty Baker","Steve Garvey","Ron Cey","Pedro Guerrero","Mike Scioscia","Bill Russell","Rick Sutcliffe",,1981LAN.EVN.regular.game.csv",5

"LAN198104240","19810424",0,"Friday",0,"F","N","SDN","LAN","LOS03","curtj001","welcb001","varge901","davis901","tatat901","crawj901","","",49256,"Dodgers/Padres","Dobrow","Dobrow","1995/04/21 11:31AM","",1,0,0,0,-1,0,0,0,177,9,6,5,11,11,0,0,7,9,"lucag001","castr001","lollt001","joner002","richg001",7,"smito001",6,"joner002",8,"bassr101",3,"kennt001",2,"lefej001",9,"salal001",5,"philm101",4,"curtj001",1,"loped001",4,"landk001",8,"baked002",7,"garvs001",3,"cey-r001",5,"guerp001",9,"yeags001",2,"russb001",6,"welcb001",1,"lollt001","howes001","","",,,54,,,,010000203,201100100,37,1,0,1,6,0,0,0,3,0,6,1,1,0,0,5,5,5,1,0,27,11,0,1,0,35,1,0,3,5,1,1,0,4,0,7,0,0,1,0,4,6,6,0,0,27,6,0,0,0,,,,,,,,,,,"Gary Lucas","Robert Castillo","Tim Lollar","joner002","Ruppert Jones","Gene Richards","Ozzie Smith","Ruppert Jones","Randy Bass","Terry Kennedy","Joe Lefebvre","Luis Salazar","Mike Phillips","Jack Curtis","Davey Lopes","Ken Landreaux","Dusty Baker","Steve Garvey","Ron Cey","Pedro Guerrero","Steve Yeager","Bill Russell","Bob Welch",,1981LAN.EVN.regular.game.csv",6

"LAN198104250","19810425",0,"Saturday",0,"F","N","SDN","LAN","LOS03","muras001","hootb001","davis901","tatat901","crawj901","varge901","","",44985,"Dodgers/Padres","Dobrow","Dobrow","1995/04/23 12:45PM","",1,0,0,0,-1,0,0,0,183,11,1,2,8,10,0,1,6,9,"howes001","littj102","","mondr001","richg001",7,"smito001",6,"joner002",8,"bassr101",3,"kennt001",2,"lefej001",9,"salal001",5,"philm101",4,"muras001",1,"loped001",4,"landk001",8,"johnj002",7,"garvs001",3,"cey-r001",5,"mondr001",9,"sciom001",2,"thomd001",6,"hootb001",1,"littj102","howes001","","",,,64,,,,10000000000,10000000001,37,1,0,0,1,0,0,0,3,1,5,1,1,0,0,2,2,2,0,0,31,12,0,0,0,39,1,1,0,2,2,0,0,1,0,5,2,0,0,0,2,1,1,0,0,33,20,0,2,0,,,,,,,,,,,"Steve Howe","John Littlefield","(none)","mondr001","Rick Monday","Gene Richards","Ozzie Smith","Ruppert Jones","Randy Bass","Terry Kennedy","Joe Lefebvre","Luis Salazar","Mike Phillips","Steve Mura","Davey Lopes","Ken Landreaux","Jay Johnstone","Steve Garvey","Ron Cey","Rick Monday","Mike Scioscia","Derrell Thomas","Burt Hooton",,1981LAN.EVN.regular.game.csv",7

"LAN198104260","19810426",0,"Sunday",107,"F","D","SDN","LAN","LOS03","eichj001","reusj001","tatat901","crawj901","varge901","davis901","","",50533,"Dodgers/Padres ","Dobrow","Dobrow","1995/04/24 6:54PM","",1,0,0,0,-1,0,0,0,158,9,2,3,7,10,0,0,5,9,"reusj001","lucag001","","smitr101","richg001",7,"smito001",6,"joner002",8,"evanb101",4,"salal001",5,"bassr101",3,"edwad101",9,"swiss101",2,"eichj001",1,"loped001",4,"mondr001",9,"baked002",7,"garvs001",3,"cey-r001",5,"guerp001",8,"sciom001",2,"russb001",6,"reusj001",1,"lucag001","","","",,,51,,,,000000110,00001101x,30,1,0,0,2,2,0,0,2,0,3,0,2,0,0,2,3,3,0,0,24,11,0,1,0,28,2,1,0,3,2,0,0,6,1,7,0,0,1,0,1,2,2,0,0,27,19,0,0,0,,,,,,,,,,,"Jerry Reuss","Gary Lucas","(none)","smitr101","Reggie Smith","Gene Richards","Ozzie Smith","Ruppert Jones","Barry Evans","Luis Salazar","Randy Bass","Dave Edwards","Steve Swisher","Juan Eichelberger","Davey Lopes","Rick Monday","Dusty Baker","Steve Garvey","Ron Cey","Pedro Guerrero","Mike Scioscia","Bill Russell","Jerry Reuss",,1981LAN.EVN.regular.game.csv",8

"LAN198104270","19810427",0,"Monday",0,"F","N","SFN","LAN","LOS03","grift101","valef001","brocf901","willc901","pryop901","mcshj901","","",49478,"Giants","David Annis","Marc Stephenson","1996/03/12 8:46PM","",1,0,0,0,-1,0,0,0,174,9,0,5,7,11,0,0,8,12,"valef001","grift101","","valef001","morgj001",4,"cabee001",3,"clarj001",9,"evand001",5,"hernl001",7,"martj001",8,"may-m001",2,"lemaj001",6,"grift101",1,"loped001",4,"landk001",8,"baked002",7,"garvs001",3,"cey-r001",5,"guerp001",9,"sciom001",2,"russb001",6,"valef001",1,"breif001","","","",,,51,,,,000000000,00040010x,31,0,0,0,0,0,0,0,4,1,7,1,1,2,0,2,5,5,1,0,24,9,0,0,0,33,2,0,0,5,1,0,0,7,4,5,2,0,0,0,1,0,0,0,0,27,10,1,2,0,,,,,,,,,,,"Fernando Valenzuela","Tom Griffin","(none)","valef001","Fernando Valenzuela","Joe Morgan","Enos Cabell","Jack Clark","Darrell Evans","Larry Herndon","Jerry Martin","Milt May","Johnnie LeMaster","Tom Griffin","Davey Lopes","Ken Landreaux","Dusty Baker","Steve Garvey","Ron Cey","Pedro Guerrero","Mike Scioscia","Bill Russell","Fernando Valenzuela",,1981LAN.EVN.regular.game.csv",9

"LAN198104280","19810428",0,"Tuesday",0,"F","N","SFN","LAN","LOS03","ripla101","sutcr001","willc901","pryop901","mcshj901","brocf901","","",39899,"Giants","David Annis","Marc Stephenson","1996/03/12 10:08PM","",1,0,0,0,-1,0,0,0,129,9,6,1,6,3,0,0,4,3,"ripla101","sutcr001","","nortb101","nortb101",8,"cabee001",3,"morgj001",4,"evand001",5,"clarj001",9,"hernl001",7,"may-m001",2,"smitb101",6,"ripla101",1,"loped001",4,"landk001",8,"baked002",7,"garvs001",3,"cey-r001",5,"guerp001",9,"sciom001",2,"russb001",6,"sutcr001",1,"","forst001","","",,,54,,,,002001030,000000001,32,2,0,2,6,0,0,0,5,0,4,1,0,1,0,1,1,1,0,0,27,9,0,1,0,29,0,0,1,1,0,0,0,2,0,8,0,0,1,0,3,6,6,0,0,27,12,0,1,0,,,,,,,,,,,"Allen Ripley","Rick Sutcliffe","(none)","nortb101","Bill North","Bill North","Enos Cabell","Joe Morgan","Darrell Evans","Jack Clark","Larry Herndon","Milt May","Billy Smith","Allen Ripley","Davey Lopes","Ken Landreaux","Dusty Baker","Steve Garvey","Ron Cey","Pedro Guerrero","Mike Scioscia","Bill Russell","Rick Sutcliffe",,1981LAN.EVN.regular.game.csv",10

"LAN198104290","19810429",0,"Wednesday",0,"F","N","SFN","LAN","LOS03","bluev001","welcb001","pryop901","mcshj901","brocf901","willc901","","",39110,"Giants","David Annis","Marc Stephenson","1996/03/12 10:21PM","",1,0,0,0,-1,0,0,0,147,9,3,2,5,6,0,0,5,5,"bluev001","welcb001","mintg001","may-m001","nortb101",8,"cabee001",3,"morgj001",4,"evand001",5,"clarj001",9,"hernl001",7,"may-m001",2,"lemaj001",6,"bluev001",1,"thomd001",4,"landk001",8,"baked002",7,"garvs001",3,"cey-r001",5,"guerp001",9,"yeags001",2,"russb001",6,"welcb001",1,"mintg001","castr001","","",,,54,,,,000200100,000000002,31,4,0,0,3,1,0,0,3,0,7,0,0,0,0,2,2,2,0,0,27,10,0,2,0,30,1,0,1,2,1,0,0,3,0,5,0,0,0,0,2,3,3,0,0,27,8,0,0,0,,,,,,,,,,,"Vida Blue","Bob Welch","Greg Minton","may-m001","Milt May","Bill North","Enos Cabell","Joe Morgan","Darrell Evans","Jack Clark","Larry Herndon","Milt May","Johnnie LeMaster","Vida Blue","Derrell Thomas","Ken Landreaux","Dusty Baker","Steve Garvey","Ron Cey","Pedro Guerrero","Steve Yeager","Bill Russell","Bob Welch",,1981LAN.EVN.regular.game.csv",11

