"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX","FILENAME_TX","LINE_NUMBER_CT"
"NYN198104150","19810415",0,"Wednesday",207,"F","D","SLN","NYN","NYC17","marts101","zachp001","mcshj901","brocf901","willb901","pryop901","","",15205,"Cardinals/Mets","C. Chestnut","C. Chestnut","1995/04/01 9:12PM","",1,0,45,0,-1,0,0,1,147,9,3,5,5,5,5,1,5,8,"zachp001","marts101","allen001","flynd001","tempg001",6,"oberk001",5,"hernk001",3,"hendg001",9,"portd001",2,"lezcs001",7,"scott001",8,"herrt001",4,"marts101",1,"wilsm001",9,"tavef101",6,"mazzl001",8,"kingd001",7,"staur001",3,"brooh001",5,"treva001",2,"flynd001",4,"zachp001",1,"ottej101","allen001","","",,,51,,,,002000010,04000100x,31,3,0,0,3,0,0,0,4,0,7,0,0,1,0,2,1,1,0,0,24,13,0,2,0,27,0,1,0,4,2,0,0,8,1,6,1,0,1,0,3,2,2,0,0,27,11,0,1,0,,,,,,,,,,,"Pat Zachry","Silvio Martinez","Neil Allen","flynd001","Doug Flynn","Garry Templeton","Ken Oberkfell","Keith Hernandez","George Hendrick","Darrell Porter","Sixto Lezcano","Tony Scott","Tom Herr","Silvio Martinez","Mookie Wilson","Frank Taveras","Lee Mazzilli","Dave Kingman","Rusty Staub","Hubie Brooks","Alex Trevino","Doug Flynn","Pat Zachry",,,"1981NYN.EVN.regular.game.csv",2
"NYN198104160","19810416",0,"Thursday",208,"F","D","SLN","NYN","NYC17","rinca101","scotm001","brocf901","willb901","pryop901","mcshj901","","",10921,"Cardinals/Mets","C. Chestnut","C. Chestnut","1995/04/03 12:43PM","",1,0,59,0,-1,0,1,1,150,9,5,1,10,7,2,1,10,7,"rinca101","scotm001","suttb001","hernk001","tempg001",6,"oberk001",5,"hernk001",3,"hendg001",9,"portd001",2,"lezcs001",7,"scott001",8,"herrt001",4,"rinca101",1,"wilsm001",9,"tavef101",6,"mazzl001",8,"kingd001",7,"staur001",3,"brooh001",5,"treva001",2,"flynd001",4,"scotm001",1,"suttb001","rearj001","","",,,54,,,,000120002,100000000,36,1,1,3,5,1,0,0,5,0,8,1,1,0,0,2,0,0,0,0,27,11,0,2,0,33,3,0,0,1,0,0,1,1,0,4,1,0,2,0,3,5,5,0,0,27,8,0,0,0,,,,,,,,,,,"Andy Rincon","Mike Scott","Bruce Sutter","hernk001","Keith Hernandez","Garry Templeton","Ken Oberkfell","Keith Hernandez","George Hendrick","Darrell Porter","Sixto Lezcano","Tony Scott","Tom Herr","Andy Rincon","Mookie Wilson","Frank Taveras","Lee Mazzilli","Dave Kingman","Rusty Staub","Hubie Brooks","Alex Trevino","Doug Flynn","Mike Scott",,,"1981NYN.EVN.regular.game.csv",3
"NYN198104180","19810418",0,"Saturday",0,"F","D","MON","NYN","NYC17","gullb001","joner101","westj901","harrl901","fiels901","froeb901","","",23710,"New York Mets","Tim Cashion","Tim Cashion","1981/04/19 5:17PM","",1,0,0,0,-1,0,0,0,160,9,5,3,9,9,1,2,6,9,"gullb001","joner101","bahns101","valee001","raint001",7,"scotr101",4,"dawsa001",8,"valee001",9,"cartg001",2,"parrl002",5,"cromw101",3,"speic001",6,"gullb001",1,"wilsm001",9,"tavef101",6,"mazzl001",8,"kingd001",7,"staur001",3,"brooh001",5,"treva001",2,"flynd001",4,"joner101",1,"bahns101","milld101","","",,,54,,,,300001100,001000011,32,2,0,2,5,1,1,0,4,0,3,1,1,3,0,2,3,3,0,0,27,5,0,0,0,37,3,0,1,3,0,0,0,2,0,10,0,0,0,0,3,2,2,0,0,27,13,0,3,0,,,,,,,,,,,"Bill Gullickson","Randy Jones","Stan Bahnsen","valee001","Ellis Valentine","Tim Raines","Rod Scott","Andre Dawson","Ellis Valentine","Gary Carter","Larry Parrish","Warren Cromartie","Chris Speier","Bill Gullickson","Mookie Wilson","Frank Taveras","Lee Mazzilli","Dave Kingman","Rusty Staub","Hubie Brooks","Alex Trevino","Doug Flynn","Randy Jones",,,"1981NYN.EVN.regular.game.csv",4
"NYN198104191","19810419",1,"Sunday",0,"F","D","MON","NYN","NYC17","burrr001","swanc001","harrl901","fiels901","froeb901","westj901","","",0,"Expos","Dobrow","Dobrow","1995/07/23 11:56AM","",1,0,0,0,-1,0,0,0,169,9,4,3,11,13,1,2,6,13,"burrr001","swanc001","frymw101","","raint001",7,"scotr101",4,"dawsa001",8,"valee001",9,"cartg001",2,"parrl002",5,"cromw101",3,"speic001",6,"burrr001",1,"wilsm001",8,"tavef101",6,"staur001",3,"kingd001",7,"younj001",9,"brooh001",5,"hodgr001",2,"flynd001",4,"swanc001",1,"frymw101","allen001","","",,,54,,,,001101010,000000030,37,1,0,1,3,0,0,0,0,0,5,2,1,0,0,4,1,1,0,0,27,9,0,1,0,39,1,0,1,3,0,0,0,4,0,7,0,1,0,0,4,3,3,0,0,27,14,0,0,0,,,,,,,,,,,"Ray Burris","Craig Swan","Woodie Fryman","","(none)","Tim Raines","Rod Scott","Andre Dawson","Ellis Valentine","Gary Carter","Larry Parrish","Warren Cromartie","Chris Speier","Ray Burris","Mookie Wilson","Frank Taveras","Rusty Staub","Dave Kingman","Joel Youngblood","Hubie Brooks","Ron Hodges","Doug Flynn","Craig Swan",,,"1981NYN.EVN.regular.game.csv",5
"NYN198104192","19810419",2,"Sunday",0,"F","D","MON","NYN","NYC17","lea-c001","zachp001","fiels901","froeb901","westj901","harrl901","","",21464,"New York Mets","Tim Cashion","Tim Cashion","1981/04/19 2:22PM","",1,0,0,0,-1,4,0,0,140,9,2,7,4,16,0,2,6,9,"zachp001","lea-c001","","kingd001","raint001",7,"scotr101",4,"dawsa001",8,"valee001",9,"cromw101",3,"wallt001",5,"speic001",6,"ramor001",2,"lea-c001",1,"tavef101",6,"treva001",2,"staur001",3,"kingd001",7,"jorgm001",9,"younj001",8,"brooh001",5,"flynd001",4,"zachp001",1,"lee-b101","","","",,,51,,,,020000000,10510000x,32,0,0,2,2,0,0,1,2,0,3,1,0,0,0,3,7,7,0,0,24,14,0,1,0,38,2,0,1,7,0,0,0,2,0,2,2,1,1,0,1,2,2,0,0,27,9,0,1,0,,,,,,,,,,,"Pat Zachry","Charlie Lea","(none)","kingd001","Dave Kingman","Tim Raines","Rod Scott","Andre Dawson","Ellis Valentine","Warren Cromartie","Tim Wallach","Chris Speier","Bobby Ramos","Charlie Lea","Frank Taveras","Alex Trevino","Rusty Staub","Dave Kingman","Mike Jorgensen","Joel Youngblood","Hubie Brooks","Doug Flynn","Pat Zachry",,,"1981NYN.EVN.regular.game.csv",6
"NYN198104280","19810428",0,"Tuesday",0,"F","N","PIT","NYN","NYC17","rhodr001","scotm001","wendh901","rennd901","monte901","weyel901","","",6973,"Pirates?","C. Chestnut","C. Chestnut","1995/04/30 10:45AM","",1,0,0,0,-1,0,0,0,148,9,8,0,14,9,0,4,8,6,"rhodr001","scotm001","","","moreo001",8,"folit001",6,"parkd001",9,"easlm001",7,"madlb001",5,"thomj001",3,"nicos001",2,"law-v001",4,"rhodr001",1,"wilsm001",9,"tavef101",6,"mazzl001",8,"kingd001",7,"staur001",3,"steaj001",5,"treva001",2,"flynd001",4,"scotm001",1,"","milld101","","",,,54,,,,005011100,000000000,37,1,1,1,8,1,3,0,2,0,5,0,1,0,0,1,0,0,0,0,27,17,0,4,0,31,0,0,0,0,0,0,0,2,0,5,0,0,4,0,4,6,6,0,0,27,9,0,0,0,,,,,,,,,,,"Rick Rhoden","Mike Scott","(none)","parkd001","Dave Parker","Omar Moreno","Tim Foli","Dave Parker","Mike Easler","Bill Madlock","Jason Thompson","Steve Nicosia","Vance Law","Rick Rhoden","Mookie Wilson","Frank Taveras","Lee Mazzilli","Dave Kingman","Rusty Staub","John Stearns","Alex Trevino","Doug Flynn","Mike Scott",,,"1981NYN.EVN.regular.game.csv",7
"NYN198104290","19810429",0,"Wednesday",0,"F","N","PIT","NYN","NYC17","bibbj001","robed101","rennd901","monte901","weyel901","wendh901","","",7175,"Pirates?","Chris Chestnut","Chris Chestnut","1995/04/30 1:18PM","",1,0,0,0,-1,0,0,0,154,9,10,0,13,5,0,2,8,8,"bibbj001","robed101","","","moreo001",8,"folit001",6,"parkd001",9,"madlb001",5,"lacyl001",7,"alexg101",3,"penat001",2,"law-v001",4,"bibbj001",1,"wilsm001",9,"tavef101",6,"mazzl001",8,"kingd001",7,"steaj001",5,"staur001",3,"treva001",2,"flynd001",4,"robed101",1,"","allen001","","",,,54,,,,051301000,000000000,41,2,4,1,8,0,1,0,3,0,8,0,0,0,0,1,0,0,0,0,27,13,0,1,0,31,1,0,0,0,0,0,0,4,0,3,0,0,1,0,5,7,7,0,1,27,8,0,0,0,,,,,,,,,,,"Jim Bibby","Dave Roberts","(none)","alexg101","Gary Alexander","Omar Moreno","Tim Foli","Dave Parker","Bill Madlock","Leon Lacy","Gary Alexander","Tony Pena","Vance Law","Jim Bibby","Mookie Wilson","Frank Taveras","Lee Mazzilli","Dave Kingman","John Stearns","Rusty Staub","Alex Trevino","Doug Flynn","Dave Roberts",,,"1981NYN.EVN.regular.game.csv",8
"NYN198104300","19810430",0,"Thursday",0,"F","N","PIT","NYN","NYC17","candj001","joner101","monte901","weyel901","wendh901","rennd901","","",5553,"Mets","Dobrow","Dobrow","1995/05/24 1:11PM","",1,0,0,0,-1,0,0,0,145,9,7,4,11,10,1,3,9,8,"candj001","joner101","jackg101","folit001","moreo001",8,"folit001",6,"parkd001",9,"madlb001",5,"lacyl001",7,"alexg101",3,"nicos001",2,"law-v001",4,"candj001",1,"tavef101",6,"steaj001",3,"mazzl001",8,"kingd001",7,"younj001",9,"brooh001",5,"treva001",2,"flynd001",4,"joner101",1,"jackg101","rearj001","","",,,54,,,,102103000,001100002,39,2,1,1,7,0,1,1,2,0,7,1,0,0,0,3,4,4,0,0,27,9,0,1,0,36,6,0,0,4,0,0,0,3,0,4,0,0,1,0,3,3,3,1,0,27,11,0,0,0,,,,,,,,,,,"John Candelaria","Randy Jones","Grant Jackson","folit001","Tim Foli","Omar Moreno","Tim Foli","Dave Parker","Bill Madlock","Leon Lacy","Gary Alexander","Steve Nicosia","Vance Law","John Candelaria","Frank Taveras","John Stearns","Lee Mazzilli","Dave Kingman","Joel Youngblood","Hubie Brooks","Alex Trevino","Doug Flynn","Randy Jones",,,"1981NYN.EVN.regular.game.csv",9
"NYN198105010","19810501",0,"Friday",0,"F","N","SDN","NYN","NYC17","eichj001","zachp001","engeb901","dalej901","rungp901","quicj901","","",7181,"Mets/Padres","Dobrow","Dobrow","1995/05/25 4:53PM","",1,0,0,0,-1,0,0,0,146,9,4,2,8,7,0,2,6,8,"urrej101","zachp001","lucag001","kennt001","smito001",6,"joner002",8,"richg001",7,"kennt001",2,"lefej001",9,"perkb001",3,"salal001",5,"bonij001",4,"eichj001",1,"younj001",9,"bailb001",6,"mazzl001",8,"kingd001",7,"steaj001",5,"staur001",3,"treva001",2,"flynd001",4,"zachp001",1,"lucag001","haust101","","",,,54,,,,000013000,020000000,31,0,0,0,3,0,1,1,4,0,7,2,1,0,0,3,2,2,0,0,27,16,0,0,0,34,0,2,1,2,0,0,0,3,0,7,0,0,0,0,2,4,4,0,0,27,12,0,0,0,,,,,,,,,,,"John Urrea","Pat Zachry","Gary Lucas","kennt001","Terry Kennedy","Ozzie Smith","Ruppert Jones","Gene Richards","Terry Kennedy","Joe Lefebvre","Broderick Perkins","Luis Salazar","Juan Bonilla","Juan Eichelberger","Joel Youngblood","Bob Bailor","Lee Mazzilli","Dave Kingman","John Stearns","Rusty Staub","Alex Trevino","Doug Flynn","Pat Zachry",,,"1981NYN.EVN.regular.game.csv",10
"NYN198105020","19810502",0,"Saturday",0,"F","D","SDN","NYN","NYC17","welsc001","lynce001","dalej901","rungp901","quicj901","engeb901","","",6276,"Padres/Mets","Dobrow","Dobrow","1995/05/31 4:27AM","",1,0,0,0,-1,0,0,0,143,9,2,6,9,11,1,0,7,6,"falcp001","welsc001","","steaj001","smito001",6,"joner002",8,"richg001",7,"kennt001",2,"lefej001",9,"perkb001",3,"salal001",5,"bonij001",4,"welsc001",1,"wilsm001",8,"bailb001",6,"steaj001",3,"kingd001",7,"younj001",9,"brooh001",5,"treva001",2,"flynd001",4,"lynce001",1,"lollt001","falcp001","","",,,51,,,,000020000,30300000x,34,1,0,0,2,0,1,0,1,0,6,0,0,1,0,4,6,6,0,1,24,16,0,1,0,33,1,1,1,6,0,0,0,3,0,4,1,1,1,0,2,2,2,0,0,27,11,0,1,0,,,,,,,,,,,"Pete Falcone","Chris Welsh","(none)","steaj001","John Stearns","Ozzie Smith","Ruppert Jones","Gene Richards","Terry Kennedy","Joe Lefebvre","Broderick Perkins","Luis Salazar","Juan Bonilla","Chris Welsh","Mookie Wilson","Bob Bailor","John Stearns","Dave Kingman","Joel Youngblood","Hubie Brooks","Alex Trevino","Doug Flynn","Ed Lynch",,,"1981NYN.EVN.regular.game.csv",11
