GAME_ID,EVENT_ID,COMMENT_TX
"CHA198204180",48,"ej,roeng001,P,voltv901,Call at HP Gary Roenicke ejected by HP umpire Vic Voltaggio"
"CHA198204180",50,"ej,ripkc801,C,shulj901,Call at 2B Orioles coach Cal Ripken Sr ejected by 2B umpire John Shulock after Al Bumbry overslid 2B"
"CHA198204210",67,"$Rick Cerone called for interference at 2B"
"CHA198204262",1,"Debut game for Chico Escarrega"
"CHA198204262",13,"WP may be later"
"CHA198204290",6,"SB may be with Kemp at bat"
"CHA198204290",49,"DWS: contradiction on time of these two subs - sheet has them in different innings, which cannot be.  There was a DP involving the third baseman in the 6th, so checking DP  totals should answer question - I think Cabell should have it, not Brookens, sheet subs imply reverse"
"CHA198204290",55,"WP may be with Trammell at bat"
"CHA198204300",21,"SB may be with Wockenfuss at batt"
"CHA198204300",72,"CS may be with Fisk at bat"
"CHA198205010",41,"SB may be with Turner at bat"
"CHA198205040",53,"CS could be during other at bats"
"CHA198205040",69,"SB could be elsewhere"
"CHA198205170",13,"Last play S8 on Sox sheet."
"CHA198205180",0,"West wind; 5-8 MPH. $Threatening weather; severe storm warning."
"CHA198205190",0,"SW wind."
"CHA198205190",57,"$Carlton Fisk aggravated bad back on checked swing"
"CHA198205190",82,"Last play (S)'9P' on Texas sheet."
"CHA198205210",55,"Not sure when wild pitch occurred"
"CHA198205210",57,"Game called for rain with 1-2 count on LeFlore"
"CHA198205220",34,"Not sure when Hayes stole 2b"
"CHA198205230",65,"ej,dennj001,P,neudj901,Call at 1B (from bench) John Denny ejected by 1B umpire Jerry Neudecker from bench"
"CHA198205230",67,"$ball 4 when Salome Barojas went to mouth"
"CHA198205230",115,"Not sure when wild pitch occurred"
"CHA198205250",1,"Debut game for Keith Creel"
"CHA198205250",8,"$Line drive off Keith Creel to George Brett for first out"
"CHA198205250",15,"$Tom Paciorek left with pulled leg muscle"
"CHA198205250",51,"$Frank White left with injured leg"
"CHA198206090",0,"$Umpire Dave Phillips did not work game because he attended the funeral of umpire Lou DiMuro, who had been killed when struck by a car in Arlington, TX after the June 6 game"
"CHA198206090",46,"oak says s8"
"CHA198206090",51,"oak says 53"
"CHA198206090",54,"oak says 41"
"CHA198206090",70,"oak says 7"
"CHA198206090",74,"oak says 8-8-7"
"CHA198206210",73,"53 minute rain delay"
"CHA198207080",70,"$Harold Baines called for interference for running into his own batted ball"
"CHA198207080",73,"Debut game for Lorenzo Gray"
"CHA198207240",5,"ej,cox-b103,M,fordd901,Call at 1B ej,gastc101,C,fordd901,Call at 1B ej,sullj103,C,fordd901,Call at 1B Blue Jays manager Bobby Cox, coaches John Sullivan and Cito Gaston ejected by 1B umpire Dale Ford"
"CHA198207240",70,"Kevin Hickey injured ankle at 1B"
"CHA198207250",30,"$Tony Bernzard lunged at fly ball, which tipped off his glove and was caught by Harold Baines"
"CHA198208010",45,"ej,houkr101,M,mcclt901,Check swing $Red Sox manager Houk ejected by 3B umpire McClelland for arguing check swing strike 2 to Yastrzemski"
"CHA198208280",67,"ej,otisa001,P,mccol901,Fan interference (Threw bat) Amos Otis ejected by 1B umpire Larry McCoy after being called out for fan interference on foul fly; Otis threw his bat in protest of the call"
"CHA198208300",83,"Missing play from CHA198208300"
"CHA198208310",14,"Not sure when wp occurred"
"CHA198209010",62,"Debut game for Kevin Rhomberg"
"CHA198209020",72,"Debut game for Ron Kittle"
"CHA198209030",2,"Debut game for Pete O'Brien"
"CHA198209130",84,"Debut game for Gary Pettis"
"CHA198209150",45,"Debut game for Ricky Adams"
"CHA198209182",0,"$Tied record for longest AL night game"
"CHA198209182",3,"$Mike Davis called for interference at 3B"
"CHA198209182",39,"Debut game for Greg Walker"
"CHA198209272",15,"$Mike Squires caught Todd Cruz with the hidden ball trick"
