"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"NYA198504160",7,0,"shirb001",1,0,1,"white001",1,65
"NYA198504160",7,1,"nelsg001",0,0,1,"lollt001",1,67
"NYA198504160",7,1,"burnb001",0,0,1,"nelsg001",1,73
"NYA198504160",7,1,"hassr001",1,9,11,"cotth001",8,73
"NYA198504160",7,1,"matav001",1,9,11,"hassr001",11,73
"NYA198504160",8,0,"righd001",1,0,1,"shirb001",1,74
"NYA198504160",8,0,"matav001",1,9,8,"matav001",11,74
"NYA198504160",8,0,"flets001",0,1,11,"guilo001",6,76
"NYA198504160",8,0,"pacit001",0,2,11,"law-r001",7,77
"NYA198504160",8,1,"spild001",0,0,1,"burnb001",1,79
"NYA198504160",8,1,"flets001",0,1,6,"flets001",11,79
"NYA198504160",8,1,"pacit001",0,2,7,"pacit001",11,79
"NYA198504180",7,0,"bordr001",1,0,1,"rasmd001",1,55
"NYA198504180",7,0,"hairj001",0,8,11,"salal001",8,55
"NYA198504180",7,1,"bostd001",0,8,8,"hairj001",11,58
"NYA198504180",8,0,"righd001",1,0,1,"bordr001",1,65
"NYA198504180",8,0,"gambo001",0,2,11,"flets001",5,65
"NYA198504180",8,1,"hulet001",0,2,5,"gambo001",11,69
"NYA198504180",9,0,"hillm001",0,8,11,"bostd001",8,75
"NYA198504190",8,1,"waddt001",0,0,1,"heatn001",1,61
"NYA198504190",9,0,"cowlj001",1,0,1,"guidr001",1,63
"NYA198504190",9,0,"hallm001",0,6,11,"castc001",10,65
"NYA198504190",9,1,"hassr001",1,7,11,"berrd001",5,68
"NYA198504190",9,1,"moreo001",1,8,12,"wyneb001",2,70
"NYA198504190",9,1,"brads001",1,9,11,"cotth001",8,70
"NYA198504200",6,0,"shirb001",1,0,1,"niekp001",1,52
"NYA198504200",6,1,"jeffm001",0,0,1,"romaj001",1,57
"NYA198504200",9,0,"righd001",1,0,1,"shirb001",1,75
"NYA198504200",9,0,"bentb001",0,9,11,"fiscm001",6,75
"NYA198504210",5,1,"vonod001",0,0,1,"ruhlv001",1,35
"NYA198504210",6,0,"bordr001",1,0,1,"white001",1,42
"NYA198504210",7,1,"bayld001",1,5,11,"hassr001",10,51
"NYA198504210",7,1,"fiscm001",0,9,4,"bernt001",4,51
"NYA198504210",7,1,"berrd001",1,7,11,"paglm001",5,53
"NYA198504210",8,0,"berrd001",1,7,5,"berrd001",11,55
"NYA198504210",8,1,"sampb001",1,1,11,"moreo001",8,59
"NYA198504210",8,1,"wyneb001",1,2,11,"brads001",2,60
"NYA198504210",9,0,"cotth001",1,1,8,"sampb001",11,61
"NYA198504210",9,0,"wyneb001",1,2,2,"wyneb001",11,61
"NYA198504210",9,1,"waddt001",0,0,1,"vonod001",1,66
"NYA198504230",6,0,"shirb001",1,0,1,"cowlj001",1,42
"NYA198504230",7,1,"stanb001",0,0,1,"boydo001",1,59
"NYA198504230",9,0,"righd001",1,0,1,"shirb001",1,74
"NYA198504230",10,0,"lyons001",0,5,12,"armat001",8,82
"NYA198504230",10,0,"nichr001",0,7,11,"gedmr001",2,83
"NYA198504230",10,1,"lyons001",0,5,8,"lyons001",12,84
"NYA198504230",10,1,"sullm001",0,7,2,"nichr001",11,84
"NYA198504230",10,1,"ojedb001",0,0,1,"stanb001",1,85
"NYA198504230",11,1,"cotth001",1,8,12,"wyneb001",2,93
"NYA198504240",3,1,"craws001",0,0,1,"nippa001",1,30
"NYA198504240",8,1,"ojedb001",0,0,1,"craws001",1,65
"NYA198504240",8,1,"berrd001",1,7,11,"paglm001",5,67
"NYA198504240",9,0,"berrd001",1,7,5,"berrd001",11,68
"NYA198504240",9,1,"cotth001",1,8,12,"wyneb001",2,73
"NYA198504240",9,1,"stanb001",0,0,1,"ojedb001",1,74
"NYA198504240",9,1,"hassr001",1,2,11,"randw001",4,75
"NYA198504250",7,1,"cleam001",0,0,1,"hursb001",1,62
"NYA198504250",8,0,"righd001",1,0,1,"niekp001",1,67
"NYA198504250",9,0,"nichr001",0,7,11,"gedmr001",2,74
"NYA198505030",5,1,"lacom001",0,0,1,"jackd001",1,41
"NYA198505030",6,1,"paglm001",1,7,11,"berrd001",5,47
"NYA198505030",7,0,"paglm001",1,7,5,"paglm001",11,51
"NYA198505030",8,1,"gural001",0,0,1,"lacom001",1,65
"NYA198505030",9,0,"hendr001",1,1,7,"hendr001",8,69
"NYA198505030",9,0,"cotth001",1,8,8,"sampb001",7,69
"NYA198505040",8,1,"jonem001",0,0,1,"leibc001",1,65
"NYA198505040",9,0,"hendr001",1,1,7,"hendr001",8,68
"NYA198505040",9,0,"cotth001",1,8,8,"sampb001",7,68
"NYA198505050",6,1,"beckj001",0,0,1,"blacb001",1,46
"NYA198505050",6,1,"grifk001",1,8,11,"sampb001",7,49
"NYA198505050",7,0,"grifk001",1,8,7,"grifk001",11,51
"NYA198505050",7,0,"iorgd001",0,9,11,"bianb001",6,56
"NYA198505050",7,1,"conco001",0,9,6,"iorgd001",11,57
"NYA198505050",8,0,"righd001",1,0,1,"niekp001",1,64
"NYA198505050",8,0,"mcrah001",0,4,11,"ortaj001",10,65
"NYA198505050",8,1,"quisd001",0,0,1,"beckj001",1,66
"NYA198505050",8,1,"paglm001",1,7,11,"berrd001",5,67
"NYA198505050",9,0,"paglm001",1,7,5,"paglm001",11,71
"NYA198505130",2,0,"moreo001",1,1,8,"hendr001",8,10
"NYA198505130",2,0,"coopd001",1,0,1,"white001",1,14
"NYA198505130",3,0,"cowlj001",1,0,1,"coopd001",1,24
"NYA198505130",6,1,"filsp001",0,0,1,"smitm002",1,57
"NYA198505130",6,1,"berrd001",1,8,11,"paglm001",5,57
