"BOS198705060",29,"$line drive hit Roger Clemens on the ankle"FILENAME_TX","LINE_NUMBER_CT"

"BOS198705260",45,"Might be 863dp"1987BOS.EVA.regular.comment.csv",2

"BOS198705260",49,"$Mel Hall out passing Joe Carter at 3B on overthrow by Wade Boggs"1987BOS.EVA.regular.comment.csv",3

"BOS198705280",1,"Debut game for John Leister"1987BOS.EVA.regular.comment.csv",4

"BOS198706060",108,"$Marty Barrett dropped ball to get faster runner"1987BOS.EVA.regular.comment.csv",5

"BOS198706070",56,"$Wade Boggs injured in collision"1987BOS.EVA.regular.comment.csv",6

"BOS198706210",59,"Debut game for Todd Benzinger"1987BOS.EVA.regular.comment.csv",7

"BOS198706220",59,"$Game called for rain; Schiraldi threw three pitches"1987BOS.EVA.regular.comment.csv",8

"BOS198706230",28,"$Billy Robidoux threw pickoff attempt into LF"1987BOS.EVA.regular.comment.csv",9

"BOS198706290",3,"$Jim Rice injured on play"1987BOS.EVA.regular.comment.csv",10

"BOS198707160",63,"$Mike Davis out with a twisted knee"1987BOS.EVA.regular.comment.csv",11

"BOS198707200",28,"$line drive off Willie Fraser's knee"1987BOS.EVA.regular.comment.csv",12

"BOS198707250",12,"Debut game for Sam Horn"1987BOS.EVA.regular.comment.csv",13

"BOS198707250",16,"$Oil Can Boyd called for obstruction on 3B line"1987BOS.EVA.regular.comment.csv",14

"BOS198708100",21,"$Tony Fernandez re-injured leg"1987BOS.EVA.regular.comment.csv",15

"BOS198708110",58,"$umpire ruled ball was trapped"1987BOS.EVA.regular.comment.csv",16

"BOS198708120",53,"$Marty Barrett dropped liner to create rundown double play"1987BOS.EVA.regular.comment.csv",17

"BOS198708141",73,"ej,russj001,P,pales901,Balls and strikes (after being relieved) Jeff Russell ejected by HP umpire Steve Palermo after being relieved"1987BOS.EVA.regular.comment.csv",18

"BOS198708230",63,"$Jeff Sellers injured"1987BOS.EVA.regular.comment.csv",19

"BOS198709070",0,"Debut for umpire Joseph Mickel"1987BOS.EVA.regular.comment.csv",20

"BOS198709080",29,"$2 hour, 24 minute rain delay at this point"1987BOS.EVA.regular.comment.csv",21

"BOS198709080",55,"$30 minute rain delay at this point"1987BOS.EVA.regular.comment.csv",22

"BOS198709080",68,"ej,pinil001,M,mccol901,Fair/foul on HR $Yankees manager Piniella ejected by 1B umpire McCoy for arguing that Easler's ball was a homer, not foul"1987BOS.EVA.regular.comment.csv",23

"BOS198709090",48,"ej,pinil001,M,mccol901,Call at 1B Yankees manager Lou Piniella ejected by 1B umpire Larry McCoy for arguing the call at 1B; Piniella took the bag and threw it after being ejected"1987BOS.EVA.regular.comment.csv",24

"BOS198709100",1,"Debut game for Jose Mesa"1987BOS.EVA.regular.comment.csv",25

"BOS198709120",74,"Debut game for Jody Reed"1987BOS.EVA.regular.comment.csv",26

"BOS198709210",1,"Poor scorecard-some advances in this game are assumed"1987BOS.EVA.regular.comment.csv",27

"BOS198709230",35,"$Bill Madlock's 2000th hit"1987BOS.EVA.regular.comment.csv",28

"BOS198709230",41,"$ball caromed off Ellis Burks's glove to Todd Benzinger"1987BOS.EVA.regular.comment.csv",29

"BOS198710040",50,"$Rick Manning slipped in puddle"1987BOS.EVA.regular.comment.csv",30

