"GAME_ID","EVENT_ID","COMMENT_TX","FILENAME_TX","LINE_NUMBER_CT"
"DET198804170",27,"$22nd homer over RF roof in history of park","1988DET.EVA.regular.comment.csv",2
"DET198804270",14,"rain starts","1988DET.EVA.regular.comment.csv",3
"DET198804300",78,"Ball four called when Henneman went to his mouth","1988DET.EVA.regular.comment.csv",4
"DET198805150",15,"ej,heatm001,P,mcclt901,Obstruction call $catcher Mike Heath called for obstruction on batter Gene Larkin who was trying to run to 1B on the dropped third strike; Heath objected to the ruling and was ejected by HP umpire Tim McClelland","1988DET.EVA.regular.comment.csv",5
"DET198805150",31,"$the pitch hit Larkin in the helmet and he left on a stretcher","1988DET.EVA.regular.comment.csv",6
"DET198805260",39,"$ball bounced off 3B bag into foul ground","1988DET.EVA.regular.comment.csv",7
"DET198806140",26,"$Dickie Noles was slow covering first base","1988DET.EVA.regular.comment.csv",8
"DET198806140",48,"ej,robif103,M,clara901,Mimicking umpire (put hands on hips) Orioles manager Frank Robinson ejected by 3B umpire Al Clark for mimicking Clark by putting his hands on his hips","1988DET.EVA.regular.comment.csv",9
"DET198806160",1,"$3B Tom Brookens threw wild into bullpen, RF Chet Lemon bobbled the ball and then threw wild","1988DET.EVA.regular.comment.csv",10
"DET198806160",37,"$Luis Salazar ran into his bunted ball","1988DET.EVA.regular.comment.csv",11
"DET198806160",51,"$Gary Pettis' throw hit Tony Fernandez","1988DET.EVA.regular.comment.csv",12
"DET198806180",19,"$Chet Lemon injured wrist running into bullpen dugout and left game","1988DET.EVA.regular.comment.csv",13
"DET198806190",22,"$Alan Trammell left because he could not hold bat","1988DET.EVA.regular.comment.csv",14
"DET198806200",38,"$Gary Pettis batted lefthanded because of injured left shoulder","1988DET.EVA.regular.comment.csv",15
"DET198806220",54,"29 minute rain delay","1988DET.EVA.regular.comment.csv",16
"DET198806220",76,"Game called for rain","1988DET.EVA.regular.comment.csv",17
"DET198807010",31,"$Matt Nokes hit 1st and 4th pitches into RF upper deck, just foul","1988DET.EVA.regular.comment.csv",18
"DET198807010",37,"Home run off 3rd deck","1988DET.EVA.regular.comment.csv",19
"DET198807020",24,"Homer off facing of 3rd deck","1988DET.EVA.regular.comment.csv",20
"DET198807030",26,"Home run in lower deck bleachers at 440' sign","1988DET.EVA.regular.comment.csv",21
"DET198807030",30,"Luis Salazar dropped ball attempting to throw","1988DET.EVA.regular.comment.csv",22
"DET198807040",3,"Originally called a single and error; Lemon fell down","1988DET.EVA.regular.comment.csv",23
"DET198807040",49,"ej,snydj103,M,reilm901,Arguing fair/foul on HR Mariners manager Jim Snyder ejected by 1B umpire Mike Reilly arguing that Darrell Evans' home run was foul","1988DET.EVA.regular.comment.csv",24
"DET198807040",63,"$inside pitch knocked down Pat Sheridan; both teams warned","1988DET.EVA.regular.comment.csv",25
"DET198807040",71,"$ball 4 called when Hernandez went to mouth","1988DET.EVA.regular.comment.csv",26
"DET198807100",45,"$Line drive by Nokes hit 2b umpire Voltaggio","1988DET.EVA.regular.comment.csv",27
"DET198807260",15,"$ball slipped out of Larry Owen's hand on attempted pickoff","1988DET.EVA.regular.comment.csv",28
"DET198807300",0,"Start delayed 48 minutes by rain","1988DET.EVA.regular.comment.csv",29
"DET198808051",21,"1:39 rain delay","1988DET.EVA.regular.comment.csv",30
"DET198808051",39,"1:06 rain delay","1988DET.EVA.regular.comment.csv",31
"DET198808051",49,"Dennis Lamp hurt leg","1988DET.EVA.regular.comment.csv",32
"DET198808052",69,"ej,morgj101,M,scotd901,Called third strike ej,owens001,P,scotd901,Called third strike Spike Owen and Red Sox manager Joe Morgan ejected by HP umpire Dale Scott","1988DET.EVA.regular.comment.csv",33
"DET198808150",44,"$Gary Gaetti twisted his ankle sliding into 2B","1988DET.EVA.regular.comment.csv",34
"DET198808170",19,"$Allan Anderson dove, caught bunt pop, somersaulted & threw to 1B","1988DET.EVA.regular.comment.csv",35
"DET198808180",0,"25 minute rain delay at start of game","1988DET.EVA.regular.comment.csv",36
"DET198808180",44,"$Kelly Paris' arm broken in collision with Tom Brookens at 1B","1988DET.EVA.regular.comment.csv",37
"DET198808180",80,"$Gary Redus lost Tom Brookens' fly in the lights","1988DET.EVA.regular.comment.csv",38
"DET198809020",18,"40 minute rain delay","1988DET.EVA.regular.comment.csv",39
"DET198809030",77,"$Darryl Hamilton and Dale Sveum injured in collision","1988DET.EVA.regular.comment.csv",40
"DET198809030",78,"Debut game for Gary Sheffield","1988DET.EVA.regular.comment.csv",41
"DET198809040",66,"ej,hernw001,P,koscg901,Throwing at batter Guillermo Hernandez ejected by HP umpire Greg Kosc for throwing at Paul Molitor","1988DET.EVA.regular.comment.csv",42
"DET198809160",29,"ej,lemoc001,P,hirsj901,Called third strike (Threw bat) Chet Lemon ejected by HP umpire John Hirschbeck for throwing his bat after called third strike","1988DET.EVA.regular.comment.csv",43
"DET198809160",79,"18 minute rain delay","1988DET.EVA.regular.comment.csv",44
"DET198809180",1,"Debut game for Bob Milacki","1988DET.EVA.regular.comment.csv",45
"DET198809180",58,"1:17 rain delay (5:06-6:23)","1988DET.EVA.regular.comment.csv",46
"DET198809190",0,"34 minute rain delay at start","1988DET.EVA.regular.comment.csv",47
"DET198809200",56,"ej,cartj001,P,fordd901,Call at 3B Joe Carter ejected by 3B umpire Dale Ford","1988DET.EVA.regular.comment.csv",48
