"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"TEX199004090",4,1,"welld001",0,0,1,"stott001",1,371990TEX.EVA.regular.sub.csv",2

"TEX199004090",6,0,"jeffm001",1,0,1,"ryann001",1,491990TEX.EVA.regular.sub.csv",3

"TEX199004090",6,1,"willf002",0,0,1,"welld001",1,541990TEX.EVA.regular.sub.csv",4

"TEX199004090",8,0,"russj001",1,0,1,"jeffm001",1,681990TEX.EVA.regular.sub.csv",5

"TEX199004090",8,1,"ackej001",0,0,1,"willf002",1,691990TEX.EVA.regular.sub.csv",6

"TEX199004090",8,1,"daugj001",1,9,11,"kunkj001",6,721990TEX.EVA.regular.sub.csv",7

"TEX199004090",8,1,"husoj001",1,9,12,"daugj001",11,731990TEX.EVA.regular.sub.csv",8

"TEX199004090",9,0,"husoj001",1,9,6,"husoj001",12,741990TEX.EVA.regular.sub.csv",9

"TEX199004170",6,1,"fosst001",0,0,1,"knudm001",1,461990TEX.EVA.regular.sub.csv",10

"TEX199004170",6,1,"crimc001",0,0,1,"fosst001",1,501990TEX.EVA.regular.sub.csv",11

"TEX199004170",7,0,"jeffm001",1,0,1,"browk001",1,561990TEX.EVA.regular.sub.csv",12

"TEX199004170",7,1,"mirap001",0,0,1,"crimc001",1,591990TEX.EVA.regular.sub.csv",13

"TEX199004170",8,1,"stanm002",1,7,11,"petrg001",2,681990TEX.EVA.regular.sub.csv",14

"TEX199004170",9,0,"stanm002",1,7,2,"stanm002",11,701990TEX.EVA.regular.sub.csv",15

"TEX199004170",9,0,"bragg001",0,6,11,"brocg001",3,701990TEX.EVA.regular.sub.csv",16

"TEX199004180",5,0,"mielg001",1,0,1,"moyej001",1,411990TEX.EVA.regular.sub.csv",17

"TEX199004180",5,0,"bohab001",1,0,1,"mielg001",1,441990TEX.EVA.regular.sub.csv",18

"TEX199004180",5,0,"mcmuc001",1,0,1,"bohab001",1,481990TEX.EVA.regular.sub.csv",19

"TEX199004180",5,0,"brocg001",0,1,11,"shefg001",5,491990TEX.EVA.regular.sub.csv",20

"TEX199004180",5,1,"brocg001",0,1,3,"brocg001",11,521990TEX.EVA.regular.sub.csv",21

"TEX199004180",5,1,"polig001",0,3,5,"vaugg001",7,521990TEX.EVA.regular.sub.csv",22

"TEX199004180",5,1,"bragg001",0,6,7,"bragg001",9,521990TEX.EVA.regular.sub.csv",23

"TEX199004180",5,1,"deerr001",0,7,9,"deerr001",3,521990TEX.EVA.regular.sub.csv",24

"TEX199004180",5,1,"bateb001",0,9,4,"sveud001",4,521990TEX.EVA.regular.sub.csv",25

"TEX199004180",5,1,"krueb001",0,0,1,"navaj001",1,551990TEX.EVA.regular.sub.csv",26

"TEX199004180",6,1,"kreuc001",1,7,11,"petrg001",2,611990TEX.EVA.regular.sub.csv",27

"TEX199004180",6,1,"kunkj001",1,1,11,"husoj001",6,641990TEX.EVA.regular.sub.csv",28

"TEX199004180",6,1,"crimc001",0,0,1,"krueb001",1,661990TEX.EVA.regular.sub.csv",29

"TEX199004180",7,0,"kunkj001",1,1,6,"kunkj001",11,671990TEX.EVA.regular.sub.csv",30

"TEX199004180",7,0,"kreuc001",1,7,2,"kreuc001",11,671990TEX.EVA.regular.sub.csv",31

"TEX199004180",7,0,"rogek001",1,0,1,"mcmuc001",1,701990TEX.EVA.regular.sub.csv",32

"TEX199004180",7,1,"boslt001",1,7,11,"kreuc001",2,771990TEX.EVA.regular.sub.csv",33

"TEX199004180",7,1,"fosst001",0,0,1,"crimc001",1,771990TEX.EVA.regular.sub.csv",34

"TEX199004180",7,1,"stanm002",1,7,11,"boslt001",11,771990TEX.EVA.regular.sub.csv",35

