"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"KCA199104080",7,1,"orosj001",0,0,1,"swing001",1,601991KCA.EVA.regular.sub.csv",2

"KCA199104080",8,0,"montj002",1,0,1,"sabeb001",1,661991KCA.EVA.regular.sub.csv",3

"KCA199104080",9,0,"allrb001",0,8,11,"fermf001",6,751991KCA.EVA.regular.sub.csv",4

"KCA199104090",8,1,"pecob001",1,7,12,"macfm001",2,561991KCA.EVA.regular.sub.csv",5

"KCA199104090",9,0,"pecob001",1,7,4,"pecob001",12,601991KCA.EVA.regular.sub.csv",6

"KCA199104090",9,0,"maynb001",1,9,2,"shumt001",4,601991KCA.EVA.regular.sub.csv",7

"KCA199104090",9,1,"joned001",0,0,1,"candt001",1,631991KCA.EVA.regular.sub.csv",8

"KCA199104090",9,1,"wardt001",0,4,9,"bellj002",7,631991KCA.EVA.regular.sub.csv",9

"KCA199104090",9,1,"websm001",0,9,7,"websm001",9,631991KCA.EVA.regular.sub.csv",10

"KCA199104100",9,0,"montj002",1,0,1,"appik001",1,621991KCA.EVA.regular.sub.csv",11

"KCA199104120",4,1,"habyj001",0,0,1,"caryc001",1,441991KCA.EVA.regular.sub.csv",12

"KCA199104120",7,0,"craws001",1,0,1,"davis001",1,621991KCA.EVA.regular.sub.csv",13

"KCA199104120",7,1,"eisej001",1,8,11,"thurg001",7,651991KCA.EVA.regular.sub.csv",14

"KCA199104120",7,1,"guetl001",0,0,1,"habyj001",1,671991KCA.EVA.regular.sub.csv",15

"KCA199104120",8,0,"eisej001",1,8,7,"eisej001",11,681991KCA.EVA.regular.sub.csv",16

"KCA199104120",8,1,"pecob001",1,2,11,"seitk001",5,731991KCA.EVA.regular.sub.csv",17

"KCA199104120",8,1,"mormr001",1,5,11,"gibsk001",10,761991KCA.EVA.regular.sub.csv",18

"KCA199104120",9,0,"davim001",1,0,1,"craws001",1,771991KCA.EVA.regular.sub.csv",19

"KCA199104120",9,0,"pecob001",1,2,5,"pecob001",11,771991KCA.EVA.regular.sub.csv",20

"KCA199104120",9,0,"leyrj001",0,8,11,"lovut001",5,771991KCA.EVA.regular.sub.csv",21

"KCA199104130",5,0,"schad001",1,0,1,"sabeb001",1,431991KCA.EVA.regular.sub.csv",22

"KCA199104130",5,0,"aquil001",1,0,1,"schad001",1,471991KCA.EVA.regular.sub.csv",23

"KCA199104130",6,1,"cadag001",0,0,1,"leart001",1,601991KCA.EVA.regular.sub.csv",24

"KCA199104130",7,0,"gordt001",1,0,1,"aquil001",1,651991KCA.EVA.regular.sub.csv",25

"KCA199104130",7,1,"mormr001",1,6,11,"cromw101",3,691991KCA.EVA.regular.sub.csv",26

"KCA199104130",7,1,"macfm001",1,8,11,"maynb001",2,711991KCA.EVA.regular.sub.csv",27

"KCA199104130",7,1,"farrs001",0,0,1,"cadag001",1,711991KCA.EVA.regular.sub.csv",28

"KCA199104130",8,0,"mormr001",1,6,3,"mormr001",11,731991KCA.EVA.regular.sub.csv",29

"KCA199104130",8,0,"macfm001",1,8,2,"macfm001",11,731991KCA.EVA.regular.sub.csv",30

"KCA199104130",8,1,"gereb001",0,6,2,"nokem001",2,761991KCA.EVA.regular.sub.csv",31

"KCA199104130",8,1,"velar001",0,8,5,"lovut001",5,761991KCA.EVA.regular.sub.csv",32

"KCA199104130",8,1,"mcrab001",1,6,11,"mormr001",3,811991KCA.EVA.regular.sub.csv",33

"KCA199104130",9,0,"pecob001",1,6,3,"mcrab001",11,821991KCA.EVA.regular.sub.csv",34

"KCA199104130",9,0,"lusas001",0,2,12,"mattd001",10,851991KCA.EVA.regular.sub.csv",35

"KCA199104140",7,1,"montr002",0,0,1,"hawka001",1,571991KCA.EVA.regular.sub.csv",36

"KCA199104140",8,1,"plune001",0,0,1,"montr002",1,641991KCA.EVA.regular.sub.csv",37

"KCA199104140",9,0,"davim001",1,0,1,"boddm001",1,701991KCA.EVA.regular.sub.csv",38

"KCA199104140",9,0,"pecob001",1,8,6,"stilk001",6,701991KCA.EVA.regular.sub.csv",39

"KCA199104140",9,0,"blowm001",0,6,11,"nokem001",2,711991KCA.EVA.regular.sub.csv",40

"KCA199104140",9,0,"lusas001",0,6,12,"blowm001",11,721991KCA.EVA.regular.sub.csv",41

"KCA199104140",9,0,"montj002",1,0,1,"davim001",1,741991KCA.EVA.regular.sub.csv",42

"KCA199104140",9,0,"hallm001",0,9,11,"espia001",6,741991KCA.EVA.regular.sub.csv",43

"KCA199104140",9,0,"velar001",0,9,12,"hallm001",11,751991KCA.EVA.regular.sub.csv",44

