"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID","FILENAME_TX","LINE_NUMBER_CT"
"SLN199104190",7,0,"bookr001",0,9,11,"mulht001",1,53,"1991SLN.EVN.regular.sub.csv",2
"SLN199104190",7,1,"boevj001",0,9,1,"bookr001",11,54,"1991SLN.EVN.regular.sub.csv",3
"SLN199104190",7,1,"thomm001",1,9,11,"tewkb001",1,55,"1991SLN.EVN.regular.sub.csv",4
"SLN199104190",8,0,"agosj001",1,9,1,"thomm001",11,58,"1991SLN.EVN.regular.sub.csv",5
"SLN199104190",8,0,"smitl001",1,9,1,"agosj001",1,61,"1991SLN.EVN.regular.sub.csv",6
"SLN199104201",1,1,"greet001",0,9,1,"grimj001",1,15,"1991SLN.EVN.regular.sub.csv",7
"SLN199104201",3,0,"wilsc001",1,6,5,"zeilt001",5,29,"1991SLN.EVN.regular.sub.csv",8
"SLN199104201",5,1,"morrj003",0,1,8,"dyksl001",8,50,"1991SLN.EVN.regular.sub.csv",9
"SLN199104201",6,1,"chamw001",0,5,9,"krukj001",9,57,"1991SLN.EVN.regular.sub.csv",10
"SLN199104201",7,0,"olivo001",1,4,1,"guerp001",3,60,"1991SLN.EVN.regular.sub.csv",11
"SLN199104201",7,0,"perrg001",1,9,3,"delej001",1,60,"1991SLN.EVN.regular.sub.csv",12
"SLN199104201",7,1,"hudlr001",1,5,12,"josef001",9,66,"1991SLN.EVN.regular.sub.csv",13
"SLN199104201",8,0,"hudlr001",1,5,9,"hudlr001",12,70,"1991SLN.EVN.regular.sub.csv",14
"SLN199104201",8,0,"penag001",1,8,4,"oquej001",4,70,"1991SLN.EVN.regular.sub.csv",15
"SLN199104201",9,0,"holld001",0,9,11,"greet001",1,79,"1991SLN.EVN.regular.sub.csv",16
"SLN199104202",4,1,"akerd001",0,9,1,"lapod001",1,39,"1991SLN.EVN.regular.sub.csv",17
"SLN199104202",6,1,"thomm001",1,9,11,"smitb001",1,54,"1991SLN.EVN.regular.sub.csv",18
"SLN199104202",6,1,"perrg001",1,2,11,"penag001",4,56,"1991SLN.EVN.regular.sub.csv",19
"SLN199104202",7,0,"terrs001",1,2,1,"perrg001",11,58,"1991SLN.EVN.regular.sub.csv",20
"SLN199104202",7,0,"hudlr001",1,3,4,"hudlr001",8,58,"1991SLN.EVN.regular.sub.csv",21
"SLN199104202",7,0,"thomm001",1,9,8,"thomm001",11,58,"1991SLN.EVN.regular.sub.csv",22
"SLN199104202",8,0,"morrj003",0,7,11,"holld001",5,68,"1991SLN.EVN.regular.sub.csv",23
"SLN199104202",8,0,"dauld001",0,8,11,"lakes001",2,69,"1991SLN.EVN.regular.sub.csv",24
"SLN199104202",8,0,"hayec001",0,9,11,"akerd001",1,70,"1991SLN.EVN.regular.sub.csv",25
"SLN199104202",8,1,"mcdor001",0,7,1,"morrj003",11,73,"1991SLN.EVN.regular.sub.csv",26
"SLN199104202",8,1,"dauld001",0,8,2,"dauld001",11,73,"1991SLN.EVN.regular.sub.csv",27
"SLN199104202",8,1,"hayec001",0,9,5,"hayec001",11,73,"1991SLN.EVN.regular.sub.csv",28
"SLN199104202",8,1,"lankr001",1,2,11,"terrs001",1,76,"1991SLN.EVN.regular.sub.csv",29
"SLN199104202",9,0,"agosj001",1,2,1,"lankr001",11,78,"1991SLN.EVN.regular.sub.csv",30
"SLN199104202",9,0,"carpc001",1,2,1,"agosj001",1,79,"1991SLN.EVN.regular.sub.csv",31
"SLN199104202",9,1,"smito001",1,4,12,"guerp001",3,82,"1991SLN.EVN.regular.sub.csv",32
"SLN199104202",10,0,"hudlr001",1,3,3,"hudlr001",4,85,"1991SLN.EVN.regular.sub.csv",33
"SLN199104202",10,0,"smito001",1,4,6,"smito001",12,85,"1991SLN.EVN.regular.sub.csv",34
"SLN199104202",10,0,"oquej001",1,8,4,"oquej001",6,85,"1991SLN.EVN.regular.sub.csv",35
"SLN199104202",10,0,"hayev001",0,7,11,"mcdor001",1,86,"1991SLN.EVN.regular.sub.csv",36
"SLN199104202",10,1,"willm002",0,7,1,"hayev001",11,91,"1991SLN.EVN.regular.sub.csv",37
"SLN199104202",10,1,"gedmr001",1,2,11,"carpc001",1,94,"1991SLN.EVN.regular.sub.csv",38
"SLN199104210",3,0,"perem002",1,9,1,"hillk001",1,26,"1991SLN.EVN.regular.sub.csv",39
"SLN199104210",5,1,"penag001",1,9,11,"perem002",1,43,"1991SLN.EVN.regular.sub.csv",40
"SLN199104210",6,0,"terrs001",1,9,1,"penag001",11,49,"1991SLN.EVN.regular.sub.csv",41
"SLN199104210",6,1,"thomm001",1,9,11,"terrs001",1,58,"1991SLN.EVN.regular.sub.csv",42
"SLN199104210",7,0,"agosj001",1,9,1,"thomm001",11,60,"1991SLN.EVN.regular.sub.csv",43
"SLN199104210",7,1,"boevj001",0,9,1,"dejej001",1,65,"1991SLN.EVN.regular.sub.csv",44
"SLN199104210",7,1,"mcdor001",0,7,1,"hayec001",5,68,"1991SLN.EVN.regular.sub.csv",45
"SLN199104210",7,1,"holld001",0,9,5,"boevj001",1,68,"1991SLN.EVN.regular.sub.csv",46
"SLN199104210",7,1,"gedmr001",1,9,11,"agosj001",1,71,"1991SLN.EVN.regular.sub.csv",47
"SLN199104210",8,0,"carpc001",1,9,1,"gedmr001",11,72,"1991SLN.EVN.regular.sub.csv",48
"SLN199104210",9,1,"willm002",0,4,1,"jordr001",3,83,"1991SLN.EVN.regular.sub.csv",49
"SLN199104210",9,1,"krukj001",0,7,3,"mcdor001",1,83,"1991SLN.EVN.regular.sub.csv",50
"SLN199104210",9,1,"guerp001",1,8,11,"oquej001",4,87,"1991SLN.EVN.regular.sub.csv",51
"SLN199104210",9,1,"hudlr001",1,9,11,"carpc001",1,88,"1991SLN.EVN.regular.sub.csv",52
"SLN199104210",10,0,"smitl001",1,8,1,"guerp001",11,90,"1991SLN.EVN.regular.sub.csv",53
"SLN199104210",10,0,"hudlr001",1,9,4,"hudlr001",11,90,"1991SLN.EVN.regular.sub.csv",54
"SLN199104210",10,0,"morrj003",0,8,11,"chamw001",9,92,"1991SLN.EVN.regular.sub.csv",55
"SLN199104210",10,1,"morrj003",0,8,9,"morrj003",11,93,"1991SLN.EVN.regular.sub.csv",56
"SLN199104220",6,1,"thomm001",1,9,11,"moyej001",1,43,"1991SLN.EVN.regular.sub.csv",57
"SLN199104220",7,0,"perem002",1,9,1,"thomm001",11,45,"1991SLN.EVN.regular.sub.csv",58
"SLN199104220",8,1,"perrg001",1,9,11,"perem002",1,59,"1991SLN.EVN.regular.sub.csv",59
"SLN199104220",8,1,"penag001",1,8,12,"oquej001",4,59,"1991SLN.EVN.regular.sub.csv",60
"SLN199104220",8,1,"assep001",0,9,1,"bosks001",1,61,"1991SLN.EVN.regular.sub.csv",61
"SLN199104220",9,0,"agosj001",1,9,1,"perrg001",11,62,"1991SLN.EVN.regular.sub.csv",62
"SLN199104220",9,0,"penag001",1,8,4,"penag001",12,62,"1991SLN.EVN.regular.sub.csv",63
"SLN199104220",9,1,"gracm001",0,6,3,"salal001",3,65,"1991SLN.EVN.regular.sub.csv",64
"SLN199104220",9,1,"smitd001",0,9,1,"assep001",1,66,"1991SLN.EVN.regular.sub.csv",65
"SLN199104220",9,1,"hudlr001",1,4,12,"guerp001",3,67,"1991SLN.EVN.regular.sub.csv",66
"SLN199104230",5,1,"lancl001",0,9,1,"sutcr001",1,42,"1991SLN.EVN.regular.sub.csv",67
"SLN199104230",8,0,"carpc001",1,9,1,"tewkb001",1,58,"1991SLN.EVN.regular.sub.csv",68
"SLN199104230",8,0,"bellg001",0,7,11,"berrd002",2,58,"1991SLN.EVN.regular.sub.csv",69
"SLN199104230",8,0,"smitd003",0,8,11,"scotg001",5,59,"1991SLN.EVN.regular.sub.csv",70
"SLN199104230",8,0,"salal001",0,9,11,"lancl001",1,60,"1991SLN.EVN.regular.sub.csv",71
"SLN199104230",8,0,"smitl001",1,9,1,"carpc001",1,61,"1991SLN.EVN.regular.sub.csv",72
"SLN199104230",8,1,"sloch001",0,9,1,"salal001",11,63,"1991SLN.EVN.regular.sub.csv",73
"SLN199104230",8,1,"walkc001",0,5,5,"walkc001",7,63,"1991SLN.EVN.regular.sub.csv",74
"SLN199104230",8,1,"bellg001",0,7,7,"bellg001",11,63,"1991SLN.EVN.regular.sub.csv",75
"SLN199104230",8,1,"pappe001",0,8,2,"smitd003",11,63,"1991SLN.EVN.regular.sub.csv",76
"SLN199104240",3,0,"wilsc001",1,6,5,"zeilt001",5,15,"1991SLN.EVN.regular.sub.csv",77
"SLN199104240",6,1,"thomm001",1,9,11,"delej001",1,42,"1991SLN.EVN.regular.sub.csv",78
"SLN199104240",7,0,"perem002",1,9,1,"thomm001",11,47,"1991SLN.EVN.regular.sub.csv",79
"SLN199104240",7,1,"scotg001",0,6,5,"salal001",5,51,"1991SLN.EVN.regular.sub.csv",80
"SLN199104240",8,0,"smitd003",0,9,11,"bielm001",1,57,"1991SLN.EVN.regular.sub.csv",81
"SLN199104240",8,1,"assep001",0,9,1,"smitd003",11,60,"1991SLN.EVN.regular.sub.csv",82
"SLN199104240",8,1,"hudlr001",1,9,11,"perem002",1,60,"1991SLN.EVN.regular.sub.csv",83
"SLN199104240",9,0,"agosj001",1,9,1,"hudlr001",11,63,"1991SLN.EVN.regular.sub.csv",84
"SLN199104240",9,1,"penag001",1,4,12,"guerp001",3,70,"1991SLN.EVN.regular.sub.csv",85
"SLN199104240",9,1,"perrg001",1,7,11,"gedmr001",2,70,"1991SLN.EVN.regular.sub.csv",86
"SLN199104260",6,1,"joneb002",0,9,1,"boydo001",1,47,"1991SLN.EVN.regular.sub.csv",87
"SLN199104260",8,0,"agosj001",1,9,1,"smitb001",1,60,"1991SLN.EVN.regular.sub.csv",88
"SLN199104260",8,0,"riesn001",0,9,11,"joneb002",1,61,"1991SLN.EVN.regular.sub.csv",89
"SLN199104260",8,1,"rusks001",0,9,1,"riesn001",11,62,"1991SLN.EVN.regular.sub.csv",90
"SLN199104260",8,1,"burkt001",0,9,1,"rusks001",1,68,"1991SLN.EVN.regular.sub.csv",91
"SLN199104260",9,0,"grism001",0,2,11,"martd002",8,70,"1991SLN.EVN.regular.sub.csv",92
"SLN199104270",7,0,"carpc001",1,9,1,"hillk001",1,53,"1991SLN.EVN.regular.sub.csv",93
"SLN199104270",7,0,"bulle001",0,9,11,"mahlr001",1,54,"1991SLN.EVN.regular.sub.csv",94
"SLN199104270",7,0,"grism001",0,8,12,"reyeg001",2,54,"1991SLN.EVN.regular.sub.csv",95
"SLN199104270",7,1,"freys001",0,3,1,"caldi001",7,58,"1991SLN.EVN.regular.sub.csv",96
"SLN199104270",7,1,"grism001",0,8,7,"grism001",12,58,"1991SLN.EVN.regular.sub.csv",97
"SLN199104270",7,1,"santn001",0,9,2,"bulle001",11,58,"1991SLN.EVN.regular.sub.csv",98
"SLN199104270",7,1,"hudlr001",1,9,11,"carpc001",1,59,"1991SLN.EVN.regular.sub.csv",99
"SLN199104270",8,0,"terrs001",1,9,1,"hudlr001",11,63,"1991SLN.EVN.regular.sub.csv",100
"SLN199104270",8,0,"owens001",0,6,12,"folet001",6,66,"1991SLN.EVN.regular.sub.csv",101
"SLN199104270",8,1,"joneb002",0,3,1,"freys001",1,67,"1991SLN.EVN.regular.sub.csv",102
"SLN199104270",8,1,"owens001",0,6,6,"owens001",12,67,"1991SLN.EVN.regular.sub.csv",103
"SLN199104270",9,0,"smitl001",1,9,1,"terrs001",1,71,"1991SLN.EVN.regular.sub.csv",104
"SLN199104280",3,0,"terrs001",1,9,1,"moyej001",1,26,"1991SLN.EVN.regular.sub.csv",105
"SLN199104280",6,0,"bulle001",0,9,11,"sampb002",1,55,"1991SLN.EVN.regular.sub.csv",106
"SLN199104280",6,1,"joneb002",0,9,1,"bulle001",11,57,"1991SLN.EVN.regular.sub.csv",107
"SLN199104280",7,0,"perem002",1,8,1,"oquej001",4,60,"1991SLN.EVN.regular.sub.csv",108
"SLN199104280",7,0,"penag001",1,9,4,"terrs001",1,60,"1991SLN.EVN.regular.sub.csv",109
"SLN199104280",7,1,"rusks001",0,9,1,"joneb002",1,64,"1991SLN.EVN.regular.sub.csv",110
"SLN199104280",7,1,"walkl001",0,6,9,"noboj001",9,64,"1991SLN.EVN.regular.sub.csv",111
"SLN199104280",7,1,"burkt001",0,9,1,"rusks001",1,68,"1991SLN.EVN.regular.sub.csv",112
"SLN199104280",7,1,"perrg001",1,7,11,"pagnt001",2,71,"1991SLN.EVN.regular.sub.csv",113
"SLN199104280",8,0,"gedmr001",1,7,2,"perrg001",11,72,"1991SLN.EVN.regular.sub.csv",114
"SLN199104280",8,0,"hassr001",0,7,11,"reyeg001",2,73,"1991SLN.EVN.regular.sub.csv",115
"SLN199104280",8,0,"martd002",0,8,11,"owens001",6,74,"1991SLN.EVN.regular.sub.csv",116
"SLN199104280",8,0,"santn001",0,9,11,"burkt001",1,75,"1991SLN.EVN.regular.sub.csv",117
"SLN199104280",8,0,"agosj001",1,8,1,"perem002",1,76,"1991SLN.EVN.regular.sub.csv",118
"SLN199104280",8,1,"freys001",0,8,1,"martd002",11,79,"1991SLN.EVN.regular.sub.csv",119
"SLN199104280",8,1,"folet001",0,7,6,"hassr001",11,79,"1991SLN.EVN.regular.sub.csv",120
"SLN199104280",8,1,"santn001",0,9,2,"santn001",11,79,"1991SLN.EVN.regular.sub.csv",121
"SLN199104280",8,1,"gilkb001",1,8,11,"agosj001",1,79,"1991SLN.EVN.regular.sub.csv",122
"SLN199104280",9,0,"carpc001",1,1,1,"thomm001",7,83,"1991SLN.EVN.regular.sub.csv",123
"SLN199104280",9,0,"gilkb001",1,8,7,"gilkb001",11,83,"1991SLN.EVN.regular.sub.csv",124
"SLN199104290",7,1,"perrg001",1,9,11,"tewkb001",1,57,"1991SLN.EVN.regular.sub.csv",125
"SLN199104290",7,1,"stanm003",0,9,1,"smolj001",1,57,"1991SLN.EVN.regular.sub.csv",126
"SLN199104290",7,1,"penag001",1,8,12,"oquej001",4,58,"1991SLN.EVN.regular.sub.csv",127
"SLN199104290",8,0,"agosj001",1,9,1,"perrg001",11,61,"1991SLN.EVN.regular.sub.csv",128
"SLN199104290",8,0,"penag001",1,8,4,"penag001",12,61,"1991SLN.EVN.regular.sub.csv",129
"SLN199104290",8,0,"blauj001",0,2,11,"treaj001",4,62,"1991SLN.EVN.regular.sub.csv",130
"SLN199104290",8,1,"berej001",0,9,1,"stanm003",1,64,"1991SLN.EVN.regular.sub.csv",131
"SLN199104290",8,1,"blauj001",0,2,4,"blauj001",11,64,"1991SLN.EVN.regular.sub.csv",132
"SLN199104290",9,0,"nixoo001",0,4,12,"justd001",9,68,"1991SLN.EVN.regular.sub.csv",133
"SLN199104290",9,0,"perem002",1,9,1,"agosj001",1,70,"1991SLN.EVN.regular.sub.csv",134
"SLN199104290",9,1,"nixoo001",0,4,9,"nixoo001",12,71,"1991SLN.EVN.regular.sub.csv",135
"SLN199104290",9,1,"thomm001",1,9,11,"perem002",1,73,"1991SLN.EVN.regular.sub.csv",136
"SLN199104290",9,1,"merck001",0,7,1,"heatm001",2,73,"1991SLN.EVN.regular.sub.csv",137
"SLN199104290",9,1,"olsog002",0,9,2,"berej001",1,73,"1991SLN.EVN.regular.sub.csv",138
