"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID","FILENAME_TX","LINE_NUMBER_CT"
"ATL199204090",5,0,"berej001",1,9,1,"avers001",1,44,"1992ATL.EVN.regular.sub.csv",2
"ATL199204090",5,1,"hickb001",0,9,1,"burkj001",1,49,"1992ATL.EVN.regular.sub.csv",3
"ATL199204090",5,1,"huntb001",1,5,11,"breas001",3,50,"1992ATL.EVN.regular.sub.csv",4
"ATL199204090",5,1,"hereg001",0,6,1,"snydc001",7,50,"1992ATL.EVN.regular.sub.csv",5
"ATL199204090",5,1,"feldm001",0,9,7,"hickb001",1,50,"1992ATL.EVN.regular.sub.csv",6
"ATL199204090",6,0,"huntb001",1,5,3,"huntb001",11,51,"1992ATL.EVN.regular.sub.csv",7
"ATL199204090",6,1,"willj001",1,9,11,"berej001",1,61,"1992ATL.EVN.regular.sub.csv",8
"ATL199204090",7,0,"merck001",1,9,1,"willj001",11,62,"1992ATL.EVN.regular.sub.csv",9
"ATL199204090",8,0,"jamec001",0,6,11,"hereg001",1,78,"1992ATL.EVN.regular.sub.csv",10
"ATL199204090",8,0,"riveb001",1,4,1,"justd001",9,79,"1992ATL.EVN.regular.sub.csv",11
"ATL199204090",8,0,"lyons001",1,9,9,"merck001",1,79,"1992ATL.EVN.regular.sub.csv",12
"ATL199204090",8,0,"mcnaj001",0,8,11,"manwk001",2,80,"1992ATL.EVN.regular.sub.csv",13
"ATL199204090",8,1,"jackm001",0,6,1,"jamec001",11,82,"1992ATL.EVN.regular.sub.csv",14
"ATL199204090",8,1,"pattj001",0,2,4,"thomr003",4,82,"1992ATL.EVN.regular.sub.csv",15
"ATL199204090",8,1,"mcnaj001",0,8,2,"mcnaj001",11,82,"1992ATL.EVN.regular.sub.csv",16
"ATL199204090",8,1,"berrd002",1,7,11,"olsog002",2,84,"1992ATL.EVN.regular.sub.csv",17
"ATL199204090",8,1,"lemkm001",1,8,11,"bellr001",6,85,"1992ATL.EVN.regular.sub.csv",18
"ATL199204090",9,0,"blauj001",1,6,6,"blauj001",4,86,"1992ATL.EVN.regular.sub.csv",19
"ATL199204090",9,0,"berrd002",1,7,2,"berrd002",11,86,"1992ATL.EVN.regular.sub.csv",20
"ATL199204090",9,0,"lemkm001",1,8,4,"lemkm001",11,86,"1992ATL.EVN.regular.sub.csv",21
"ATL199204090",9,1,"righd001",0,6,1,"jackm001",1,89,"1992ATL.EVN.regular.sub.csv",22
"ATL199204100",1,1,"beckr001",0,9,1,"burbd001",1,16,"1992ATL.EVN.regular.sub.csv",23
"ATL199204100",5,0,"pattj001",0,9,11,"beckr001",1,41,"1992ATL.EVN.regular.sub.csv",24
"ATL199204100",5,1,"hickb001",0,9,1,"pattj001",11,42,"1992ATL.EVN.regular.sub.csv",25
"ATL199204100",5,1,"huntb001",1,5,11,"breas001",3,45,"1992ATL.EVN.regular.sub.csv",26
"ATL199204100",6,0,"huntb001",1,5,3,"huntb001",11,46,"1992ATL.EVN.regular.sub.csv",27
"ATL199204100",6,0,"freem001",1,9,1,"leibc001",1,49,"1992ATL.EVN.regular.sub.csv",28
"ATL199204100",7,0,"lemkm001",1,6,4,"blauj001",4,57,"1992ATL.EVN.regular.sub.csv",29
"ATL199204100",7,0,"feldm001",0,9,11,"hickb001",1,57,"1992ATL.EVN.regular.sub.csv",30
"ATL199204100",7,1,"jackm001",0,9,1,"feldm001",11,62,"1992ATL.EVN.regular.sub.csv",31
"ATL199204100",7,1,"smitl002",1,9,11,"freem001",1,62,"1992ATL.EVN.regular.sub.csv",32
"ATL199204100",8,0,"penaa001",1,9,1,"smitl002",11,65,"1992ATL.EVN.regular.sub.csv",33
"ATL199204100",9,0,"leonm001",0,9,11,"jackm001",1,73,"1992ATL.EVN.regular.sub.csv",34
"ATL199204100",9,0,"stanm003",1,9,1,"penaa001",1,76,"1992ATL.EVN.regular.sub.csv",35
"ATL199204110",6,1,"feldm001",0,6,7,"leonm001",7,50,"1992ATL.EVN.regular.sub.csv",36
"ATL199204110",7,0,"berej001",1,9,1,"bielm001",1,53,"1992ATL.EVN.regular.sub.csv",37
"ATL199204110",7,1,"lyons001",1,9,11,"berej001",1,59,"1992ATL.EVN.regular.sub.csv",38
"ATL199204110",8,0,"merck001",1,9,1,"lyons001",11,62,"1992ATL.EVN.regular.sub.csv",39
"ATL199204110",9,1,"lemkm001",1,8,11,"bellr001",6,75,"1992ATL.EVN.regular.sub.csv",40
"ATL199204110",9,1,"willj001",1,9,11,"merck001",1,76,"1992ATL.EVN.regular.sub.csv",41
"ATL199204120",7,0,"jamec001",0,8,11,"uribj001",6,54,"1992ATL.EVN.regular.sub.csv",42
"ATL199204120",7,0,"snydc001",0,9,11,"downk001",1,55,"1992ATL.EVN.regular.sub.csv",43
"ATL199204120",7,1,"righd001",0,8,1,"jamec001",11,57,"1992ATL.EVN.regular.sub.csv",44
"ATL199204120",7,1,"snydc001",0,9,6,"snydc001",11,57,"1992ATL.EVN.regular.sub.csv",45
"ATL199204120",7,1,"branj001",0,8,1,"righd001",1,60,"1992ATL.EVN.regular.sub.csv",46
"ATL199204120",8,1,"hereg001",0,8,1,"branj001",1,69,"1992ATL.EVN.regular.sub.csv",47
"ATL199204120",9,0,"colbc001",0,8,11,"hereg001",1,76,"1992ATL.EVN.regular.sub.csv",48
"ATL199204120",9,0,"freem001",1,9,1,"glavt001",1,77,"1992ATL.EVN.regular.sub.csv",49
"ATL199204120",9,0,"leonm001",0,9,11,"snydc001",6,77,"1992ATL.EVN.regular.sub.csv",50
"ATL199204240",7,1,"blauj001",1,8,11,"bellr001",6,55,"1992ATL.EVN.regular.sub.csv",51
"ATL199204240",7,1,"willj001",1,9,11,"smolj001",1,56,"1992ATL.EVN.regular.sub.csv",52
"ATL199204240",8,0,"berej001",1,9,1,"willj001",11,57,"1992ATL.EVN.regular.sub.csv",53
"ATL199204240",8,0,"blauj001",1,8,6,"blauj001",11,57,"1992ATL.EVN.regular.sub.csv",54
"ATL199204240",9,0,"anthe001",0,9,11,"kiled001",1,67,"1992ATL.EVN.regular.sub.csv",55
"ATL199204240",9,1,"joned001",0,9,1,"anthe001",11,68,"1992ATL.EVN.regular.sub.csv",56
"ATL199204240",9,1,"huntb001",1,5,12,"breas001",3,70,"1992ATL.EVN.regular.sub.csv",57
"ATL199204250",7,0,"yelde001",0,9,11,"portm001",1,56,"1992ATL.EVN.regular.sub.csv",58
"ATL199204250",7,1,"boevj001",0,9,1,"yelde001",11,57,"1992ATL.EVN.regular.sub.csv",59
"ATL199204250",9,0,"ramir001",0,7,11,"servs002",2,69,"1992ATL.EVN.regular.sub.csv",60
"ATL199204260",5,0,"freem001",1,9,1,"bielm001",1,43,"1992ATL.EVN.regular.sub.csv",61
"ATL199204260",6,0,"anthe001",0,9,11,"harnp001",1,52,"1992ATL.EVN.regular.sub.csv",62
