GAME_ID,EVENT_ID,COMMENT_TX
"TEX199204140",32,"ej,robij002,P,tscht901,Throwing at Junior Felix Jeff Robinson ejected by HP umpire Tim Tschida for throwing at Junior Felix"
"TEX199204140",62,"Joe Grahe left with bruised hand"
"TEX199204140",63,"Dickie Thon out of appeal; he went to 2B without retouching 1B"
"TEX199205080",48,"Kevin Brown dropped the throw in and walked towards the ball, allowing Kevin Setizer to advance"
"TEX199205080",49,"$the line drive struck Kevin Brown, who grabbed the ball and stepped on 1B"
"TEX199205210",0,"1:20 rain delay before start of game"
"TEX199205210",70,"fan interference"
"TEX199205230",36,"ej,mcrah001,M,craft901,Call at 2B Royals manager Hal McRae ejected by 2B umpire Terry Craft"
"TEX199206010",1,"Nolan Ryan left with strained left hamstring"
"TEX199206010",38,"51 rain delay"
"TEX199206010",39,"31 rain delay"
"TEX199206010",43,"Jeff Huson left with strained little finger on left hand"
"TEX199206030",17,"Debut game for Russ McGinnis"
"TEX199206030",61,"Russ McGinnins injured on foul ball"
"TEX199206050",45,"$catcher Gene Petralli picked up grounder in front of HP and tagged Kent Hrbek"
"TEX199206060",57,"Debut game for Danny Leon"
"TEX199206070",51,"ej,valeb102,M,craft901,Checked swing Rangers manager Bobby Valentine ejected by HP umpire Terry Craft arguing checked swing on Brian Downing"
"TEX199206080",61,"Juan Gonzalez hurt his ankle running to 1B"
"TEX199206190",10,"20 minute light failure delay"
"TEX199206200",48,"ej,clarj001,P,fordd901,Called third strike ej,hobsb101,M,fordd901,Called third strike Jack Clark and Red Sox manager Butch Hobson ejected by HP umpire Dale Ford"
"TEX199206220",93,"Ed Nunez left the game after being hit on the knee by the batted ball"
"TEX199207040",42,"214th time Nolan Ryan struck out 10+ in a game"
"TEX199207060",39,"ej,flets001,P,cobld901,Balls and strikes Scott Fletcher ejected by HP umpire Drew Coble"
"TEX199207080",75,"$Gene Petralli's line drive struck pitcher Doug Henry and deflected to 2B Scott Fletcher"
"TEX199207090",6,"Debut game for Jeff Frye"
"TEX199207100",12,"Jeff Huson left with bruised hip"
"TEX199207160",47,"Nolan Ryan's 5600th strikeout"
"TEX199208050",27,"$Jose Canseco tied a major league record with seven consecutive walks"
"TEX199208050",57,"Debut game for Matt Whiteside"
"TEX199208060",44,"ej,cansj001,P,garcr901,Called third strike Jose Canseco ejected by HP umpire Richie Garcia"
"TEX199208060",66,"ej,ryann001,P,garcr901,Intentional HBP Nolan Ryan ejected by HP umpire Richie Garcia; 10-minute delay when fans threw debris onto the field"
"TEX199208140",35,"Dean Palmer left with injured hand"
"TEX199208270",28,"ej,samuj001,P,johnm901,Called third strike Juan Samuel ejected by HP umpire Mark Johnson"
"TEX199209111",92,"Debut game for Domingo Martinez"
"TEX199209120",1,"Debut game for Dan Smith"
"TEX199209130",74,"Jeff Huson left with unknown injury"
"TEX199209230",58,"ej,gagng001,P,cobld901,Called third strike Greg Gagne ejected by HP umpire Drew Coble"
"TEX199204140",32,"ej,robij002,P,tscht901,Throwing at Junior Felix Jeff Robinson ejected by HP umpire Tim Tschida for throwing at Junior Felix"
"TEX199204140",62,"Joe Grahe left with bruised hand"
"TEX199204140",63,"Dickie Thon out of appeal; he went to 2B without retouching 1B"
"TEX199205080",48,"Kevin Brown dropped the throw in and walked towards the ball, allowing Kevin Setizer to advance"
"TEX199205080",49,"$the line drive struck Kevin Brown, who grabbed the ball and stepped on 1B"
"TEX199205210",0,"1:20 rain delay before start of game"
"TEX199205210",70,"fan interference"
"TEX199205230",36,"ej,mcrah001,M,craft901,Call at 2B Royals manager Hal McRae ejected by 2B umpire Terry Craft"
"TEX199206010",1,"Nolan Ryan left with strained left hamstring"
"TEX199206010",38,"51 rain delay"
"TEX199206010",39,"31 rain delay"
"TEX199206010",43,"Jeff Huson left with strained little finger on left hand"
"TEX199206030",17,"Debut game for Russ McGinnis"
"TEX199206030",61,"Russ McGinnins injured on foul ball"
"TEX199206050",45,"$catcher Gene Petralli picked up grounder in front of HP and tagged Kent Hrbek"
"TEX199206060",57,"Debut game for Danny Leon"
"TEX199206070",51,"ej,valeb102,M,craft901,Checked swing Rangers manager Bobby Valentine ejected by HP umpire Terry Craft arguing checked swing on Brian Downing"
"TEX199206080",61,"Juan Gonzalez hurt his ankle running to 1B"
"TEX199206190",10,"20 minute light failure delay"
"TEX199206200",48,"ej,clarj001,P,fordd901,Called third strike ej,hobsb101,M,fordd901,Called third strike Jack Clark and Red Sox manager Butch Hobson ejected by HP umpire Dale Ford"
