GAME_ID,EVENT_ID,COMMENT_TX
"CAL199304060",17,"Debut game for Joe Kmak"
"CAL199304220",3,"$Carlos Baerga called for interference"
"CAL199305150",0,"ej,rodgb102,M,cobld901,Arguing tag play ej,wathj001,C,cobld901,Balls and strikes Angels manager Buck Rodgers ejected by HP umpire Drew Coble sometime in game Angels coach John Wathan ejected by HP Umpire Drew Coble sometime in game"
"CAL199305160",0,"ej,coned001,P,merrd901,Call at HP ej,mcrah001,M,merrd901,Call at HP David Cone and Royals manager Hal McRae ejected by HP umpire Durwood Merrill sometime in game"
"CAL199305310",69,"Debut game for Darryl Scott"
"CAL199306020",51,"ej,curtc001,P,denkd901,Bench-clearing brawl ej,easld001,P,denkd901,Bench-clearing brawl ej,javis001,P,denkd901,Bench-clearing brawl ej,coled001,P,denkd901,Bench-clearing brawl ej,eichm001,P,denkd901,Bench-clearing brawl ej,sprae001,P,denkd901,Bench-clearing brawl $shortly after Chad Curtis and Tim Salmon went into the dugout, Curtis jumped back onto the field and ran towards Ed Sprague at 3B; Sprague had been yelling at Curtis as he rounded the bases on the homer; 3B coach Ken Macha tried to keep the two players apart; both benches emptied and an 18-minute melee ensued; the scrum moved towards the seats and Darnell Coles tried to punch a fan but missed and hit a police officer who was trying to keep the fans off the field; fans started throwing promotion baseballs onto the field; ejected by HP umpire Don Denkinger: Curtis, Sprague, Coles, Stan Javier, Damion Easley and Mark Eichhorn"
"CAL199306130",81,"Debut game for Larry Gonzales"
"CAL199306170",47,"ej,pattk001,P,cousd901,Balls and strikes Ken Patterson ejected by HP umpire Derryl Cousins"
"CAL199306190",1,"Debut game for Scott Ruffcorn"
"CAL199306200",82,"Debut game for Rod Correia"
"CAL199307270",13,"Debut game for Eduardo Perez"
"CAL199307280",18,"Debut game for Ty VanBurkleo"
"CAL199307280",55,"$Rickey Henderson called for interference"
"CAL199307290",1,"Debut game for Phil Leftwich"
"CAL199308050",0,"ej,mcrah001,M,roe-r901,Called third strike Royals manager Hal McRae ejected by HP umpire Rocky Roe sometime in game"
"CAL199308210",1,"Debut game for Mark Holzemer"
"CAL199308220",74,"ej,garnp001,M,koscg901,Interference non-call Brewers manager Phil Garner ejected by 1B umpire Greg Kosc"
"CAL199309200",72,"Debut game for Norberto Martin"
"CAL199309210",61,"Debut game for Chris Howard"
