GAME_ID,EVENT_ID,COMMENT_TX
"CHN199304070",17,"$Otis Nixon called for interference"
"CHN199304070",20,"Debut game for Matt Walbeck"
"CHN199304230",74,"ej,olivj001,P,herna901,Called third strike Joe Oliver ejected by HP umpire Angel Hernandez"
"CHN199305070",1,"$Darrell Sherman called for interference"
"CHN199305070",42,"ej,belld001,P,bonig901,Called third strike (Threw equipment) Derek Bell ejected by HP umpire Greg Bonin for throwing equipment after being called out on strikes"
"CHN199305260",40,"ej,lefej101,M,darlg901,Balls and strikes Cubs manager Jim Lefebvre ejected by HP umpire Gary Darling agruing a called strike to Ryne Sandberg"
"CHN199305260",41,"ej,sandr001,P,willc901,Call at 1B ej,cottc101,C,willc901,Call at 1B Ryne Sandberg and Cubs coach Chuck Cottier ejected by 1B umpire Charlie Williams for arguing the close play at 1B"
"CHN199305280",48,"game called for rain"
"CHN199306160",11,"Debut game for Mitch Lyden"
"CHN199306160",41,"$Jose Bautista called for interference"
"CHN199306170",1,"Debut game for Turk Wendell"
"CHN199307150",2,"Debut game for Roberto Mejia"
"CHN199307150",15,"Debut game for Kevin Roberson"
"CHN199307150",50,"$Mike Morgan called for interference"
"CHN199307180",70,"game called for rain"
"CHN199307280",18,"Debut game for Brad Ausmus"
"CHN199308020",35,"$Sammy Sosa thought his catch was the third out and ran into the infield with the ball after making the catch; Al Martin scored from 2B on Sosa's mental mistake"
"CHN199308020",57,"Paul Wagner left after aggravating a tender hamstring trying to field a bunt by Mike Harkey in the fourth"
"CHN199308020",60,"$Carlos Garcia had hit two homers in the game"
"CHN199308020",62,"ej,minob001,P,relic901,Throwing at Mark Grace ej,scanb001,P,rungp901,Fighting after Minor hit Grace ej,marta001,P,rungp901,Fighting after Minor hit Grace $Blas Minor's first pitch to Mark Grace was inside; it glanced off catcher Don Slaught's glove and struck HP umpire Charlie Reliford; the second pitch was behind Grace; Grace yelled at Minor but stayed at HP; both benches cleared and a shoving match ensued; Minor ejected by Reliford; Bob Scanlan and Al Martin ejected by 3B umpire Paul Runge"
"CHN199308020",72,"ej,leylj801,M,relic901,Arguing for a warning to pitcher Pirates manager Jim Leyland ejected by HP umpire Charlie Reliford for demanding a warning to the pitcher"
"CHN199308020",91,"ej,smitl002,P,relic901,Balls and strikes ej,virdb101,C,relic901,Balls and strikes Lonnie Smith ejected by HP umpire Charlie Reliford for throwing his bat after being called out on strikes; Pirates coach Bill Virdon also ejected by Reliford; Smith refused to leave the bench, holding up the game for several minutes"
"CHN199308040",1,"ej,leylj801,M,laynj901,Warning to pitcher $both teams warned by HP umpire Jerry Layne; Pirates manager Jim Leyland ejected by Layne for protesting the warning"
"CHN199308040",67,"ej,bosks001,P,laynj901,Throwing at Jeff King ej,lefej101,M,laynj901,Boskie threw at Jeff King Shawn Boskie and Cubs manager Jim Lefebvre ejected by HP umpire Jerry Layne; Boskie threw at Jeff King after both teams had been warned"
"CHN199308050",64,"$Scott Bullett called for interference"
"CHN199309180",0,"ej,muset101,C,rungp901,Pitcher warmup pitch count Cubs coach Tony Muser ejected by 3B umpire Paul Runge sometime in game"
"CHN199309190",1,"Debut game for Steve Trachsel"
"CHN199309190",6,"Debut game for Eddie Zambrano"
"CHN199309210",67,"Debut game for Marc Ronan"
