"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"ATL199510210",7,1,"assep001",0,9,1,"herso001",1,471995WS.EVE.post.sub.csv",2

"ATL199510210",7,1,"devem001",1,6,11,"klesr001",7,471995WS.EVE.post.sub.csv",3

"ATL199510210",7,1,"tavaj001",0,5,1,"murre001",3,481995WS.EVE.post.sub.csv",4

"ATL199510210",7,1,"sorrp001",0,9,3,"assep001",1,481995WS.EVE.post.sub.csv",5

"ATL199510210",7,1,"polol001",1,7,11,"obric001",2,481995WS.EVE.post.sub.csv",6

"ATL199510210",8,0,"lopej001",1,7,2,"polol001",11,511995WS.EVE.post.sub.csv",7

"ATL199510210",8,0,"devem001",1,6,7,"devem001",11,511995WS.EVE.post.sub.csv",8

"ATL199510210",8,1,"embra001",0,5,1,"tavaj001",1,561995WS.EVE.post.sub.csv",9

"ATL199510220",6,1,"smitd003",1,9,11,"glavt001",1,531995WS.EVE.post.sub.csv",10

"ATL199510220",6,1,"embra001",0,9,1,"martd001",1,551995WS.EVE.post.sub.csv",11

"ATL199510220",7,0,"mcmig001",1,9,1,"smitd003",11,561995WS.EVE.post.sub.csv",12

"ATL199510220",7,0,"devem001",1,6,7,"klesr001",7,561995WS.EVE.post.sub.csv",13

"ATL199510220",7,0,"kirbw001",0,9,11,"embra001",1,571995WS.EVE.post.sub.csv",14

"ATL199510220",7,0,"penaa001",1,9,1,"mcmig001",1,621995WS.EVE.post.sub.csv",15

"ATL199510220",7,1,"poolj001",0,9,1,"kirbw001",11,631995WS.EVE.post.sub.csv",16

"ATL199510220",8,0,"sorrp001",0,8,11,"penat001",2,701995WS.EVE.post.sub.csv",17

"ATL199510220",8,0,"wohlm001",1,5,1,"justd001",9,701995WS.EVE.post.sub.csv",18

"ATL199510220",8,0,"polol001",1,9,7,"penaa001",1,701995WS.EVE.post.sub.csv",19

"ATL199510220",8,0,"devem001",1,6,9,"devem001",7,701995WS.EVE.post.sub.csv",20

"ATL199510220",8,1,"aloms001",0,8,2,"sorrp001",11,711995WS.EVE.post.sub.csv",21

"ATL199510220",8,1,"tavaj001",0,9,1,"poolj001",1,711995WS.EVE.post.sub.csv",22

"ATL199510220",9,0,"amarr002",0,9,11,"tavaj001",1,741995WS.EVE.post.sub.csv",23

"CLE199510240",3,1,"clonb001",0,0,1,"smolj001",1,261995WS.EVE.post.sub.csv",24

"CLE199510240",5,1,"merck001",0,0,1,"clonb001",1,431995WS.EVE.post.sub.csv",25

"CLE199510240",7,0,"smitd003",0,9,11,"bellr001",6,541995WS.EVE.post.sub.csv",26

"CLE199510240",7,1,"mordm001",0,9,6,"smitd003",11,551995WS.EVE.post.sub.csv",27

"CLE199510240",7,1,"mcmig001",0,0,1,"merck001",1,611995WS.EVE.post.sub.csv",28

"CLE199510240",8,0,"assep001",1,0,1,"nagyc001",1,641995WS.EVE.post.sub.csv",29

"CLE199510240",8,0,"devem001",0,6,11,"klesr001",10,681995WS.EVE.post.sub.csv",30

"CLE199510240",8,0,"tavaj001",1,0,1,"assep001",1,681995WS.EVE.post.sub.csv",31

"CLE199510240",8,1,"kirbw001",1,8,12,"sorrp001",3,731995WS.EVE.post.sub.csv",32

"CLE199510240",8,1,"wohlm001",0,0,1,"mcmig001",1,731995WS.EVE.post.sub.csv",33

"CLE199510240",9,0,"perrh001",1,8,3,"kirbw001",12,771995WS.EVE.post.sub.csv",34

"CLE199510240",9,0,"mesaj001",1,0,1,"tavaj001",1,771995WS.EVE.post.sub.csv",35

"CLE199510240",11,1,"penaa001",0,0,1,"wohlm001",1,991995WS.EVE.post.sub.csv",36

"CLE199510240",11,1,"espia001",1,3,12,"baerc001",4,1001995WS.EVE.post.sub.csv",37

"CLE199510250",7,0,"assep001",1,0,1,"hillk001",1,571995WS.EVE.post.sub.csv",38

"CLE199510250",7,1,"devem001",0,2,7,"polol001",7,621995WS.EVE.post.sub.csv",39

"CLE199510250",7,1,"mcmig001",0,0,1,"avers001",1,621995WS.EVE.post.sub.csv",40

"CLE199510250",7,1,"thomj002",1,8,11,"espia001",5,621995WS.EVE.post.sub.csv",41

"CLE199510250",8,0,"thomj002",1,8,5,"thomj002",11,661995WS.EVE.post.sub.csv",42

"CLE199510250",8,0,"tavaj001",1,0,1,"assep001",1,661995WS.EVE.post.sub.csv",43

"CLE199510250",8,0,"embra001",1,0,1,"tavaj001",1,721995WS.EVE.post.sub.csv",44

"CLE199510250",9,0,"mordm001",0,6,11,"klesr001",10,781995WS.EVE.post.sub.csv",45

"CLE199510250",9,1,"wohlm001",0,0,1,"mcmig001",1,811995WS.EVE.post.sub.csv",46

"CLE199510250",9,1,"sorrp001",1,7,11,"perrh001",3,821995WS.EVE.post.sub.csv",47

"CLE199510250",9,1,"borbp001",0,0,1,"wohlm001",1,831995WS.EVE.post.sub.csv",48

"CLE199510260",5,0,"smitd003",0,9,11,"bellr001",6,331995WS.EVE.post.sub.csv",49

"CLE199510260",5,1,"mordm001",0,9,6,"smitd003",11,361995WS.EVE.post.sub.csv",50

"CLE199510260",7,0,"kirbw001",1,8,9,"sorrp001",3,501995WS.EVE.post.sub.csv",51

"CLE199510260",7,0,"perrh001",1,7,3,"ramim002",9,501995WS.EVE.post.sub.csv",52

"CLE199510260",7,0,"lopej001",0,8,11,"obric001",2,521995WS.EVE.post.sub.csv",53

"CLE199510260",7,1,"lopej001",0,8,2,"lopej001",11,531995WS.EVE.post.sub.csv",54

"CLE199510260",8,1,"clonb001",0,0,1,"maddg002",1,601995WS.EVE.post.sub.csv",55

"CLE199510260",9,0,"mesaj001",1,0,1,"herso001",1,641995WS.EVE.post.sub.csv",56

"ATL199510280",5,1,"poolj001",0,9,1,"martd001",1,391995WS.EVE.post.sub.csv",57

"ATL199510280",7,0,"devem001",1,6,7,"klesr001",7,501995WS.EVE.post.sub.csv",58

"ATL199510280",7,1,"hillk001",0,9,1,"poolj001",1,541995WS.EVE.post.sub.csv",59

"ATL199510280",7,1,"embra001",0,6,1,"ramim002",9,551995WS.EVE.post.sub.csv",60

"ATL199510280",7,1,"amarr002",0,9,9,"hillk001",1,551995WS.EVE.post.sub.csv",61

"ATL199510280",8,1,"tavaj001",0,6,1,"embra001",1,641995WS.EVE.post.sub.csv",62

"ATL199510280",8,1,"polol001",1,9,11,"glavt001",1,661995WS.EVE.post.sub.csv",63

"ATL199510280",8,1,"assep001",0,6,1,"tavaj001",1,661995WS.EVE.post.sub.csv",64

"ATL199510280",9,0,"wohlm001",1,9,1,"polol001",11,671995WS.EVE.post.sub.csv",65

"ATL199510280",9,0,"sorrp001",0,2,11,"vizqo001",6,681995WS.EVE.post.sub.csv",66

