"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"DET199604090",4,0,"keagg001",1,0,1,"aldrs001",1,321996DET.EVA.regular.sub.csv",2

"DET199604090",4,1,"diaza001",0,6,7,"jordr001",3,361996DET.EVA.regular.sub.csv",3

"DET199604090",4,1,"amarr001",0,1,3,"amarr001",7,361996DET.EVA.regular.sub.csv",4

"DET199604090",4,1,"menhp001",0,0,1,"wolcb001",1,391996DET.EVA.regular.sub.csv",5

"DET199604090",4,1,"wellb002",0,0,1,"menhp001",1,421996DET.EVA.regular.sub.csv",6

"DET199604090",6,0,"sorrp001",0,1,11,"amarr001",3,551996DET.EVA.regular.sub.csv",7

"DET199604090",6,1,"sorrp001",0,1,3,"sorrp001",11,581996DET.EVA.regular.sub.csv",8

"DET199604090",7,1,"bartk001",1,6,12,"wille001",10,681996DET.EVA.regular.sub.csv",9

"DET199604090",8,0,"myerm001",1,0,1,"keagg001",1,721996DET.EVA.regular.sub.csv",10

"DET199604090",8,0,"lewir001",1,0,1,"myerm001",1,751996DET.EVA.regular.sub.csv",11

"DET199604090",8,1,"ayalb002",0,0,1,"wellb002",1,771996DET.EVA.regular.sub.csv",12

"DET199604090",9,0,"willb001",1,0,1,"lewir001",1,801996DET.EVA.regular.sub.csv",13

"DET199604090",9,0,"coraj001",0,7,11,"davir002",5,811996DET.EVA.regular.sub.csv",14

"DET199604090",9,0,"strad002",0,8,11,"wilsd001",2,821996DET.EVA.regular.sub.csv",15

"DET199604100",6,1,"menhp001",0,0,1,"hurte001",1,511996DET.EVA.regular.sub.csv",16

"DET199604110",6,0,"chrim001",1,0,1,"gohrg001",1,411996DET.EVA.regular.sub.csv",17

"DET199604110",8,1,"jackm001",0,0,1,"johnr005",1,641996DET.EVA.regular.sub.csv",18

"DET199604110",9,0,"verer001",1,0,1,"chrim001",1,661996DET.EVA.regular.sub.csv",19

"DET199604110",9,0,"gomec001",1,9,6,"trama001",6,661996DET.EVA.regular.sub.csv",20

"DET199604110",9,1,"pridc001",1,5,11,"wille001",10,751996DET.EVA.regular.sub.csv",21

"DET199604120",7,0,"lewir001",1,0,1,"liraf001",1,511996DET.EVA.regular.sub.csv",22

"DET199604120",7,0,"myerm001",1,0,1,"lewir001",1,561996DET.EVA.regular.sub.csv",23

"DET199604120",7,1,"jamem001",0,0,1,"finlc001",1,621996DET.EVA.regular.sub.csv",24

"DET199604120",8,1,"pridc001",1,6,11,"bautd001",10,681996DET.EVA.regular.sub.csv",25

"DET199604120",9,0,"verer001",1,0,1,"myerm001",1,701996DET.EVA.regular.sub.csv",26

"DET199604120",9,1,"perct001",0,0,1,"jamem001",1,731996DET.EVA.regular.sub.csv",27

"DET199604120",9,1,"fabrj001",0,8,2,"slaud001",2,731996DET.EVA.regular.sub.csv",28

"DET199604130",6,0,"keagg001",1,0,1,"sodoc001",1,481996DET.EVA.regular.sub.csv",29

"DET199604130",6,1,"eichm001",0,0,1,"sands001",1,551996DET.EVA.regular.sub.csv",30

"DET199604130",7,0,"myerm001",1,0,1,"keagg001",1,621996DET.EVA.regular.sub.csv",31

"DET199604130",8,0,"slaud001",0,8,11,"fabrj001",2,681996DET.EVA.regular.sub.csv",32

"DET199604130",8,1,"slaud001",0,8,2,"slaud001",11,721996DET.EVA.regular.sub.csv",33

"DET199604130",8,1,"sprid001",0,0,1,"eichm001",1,721996DET.EVA.regular.sub.csv",34

"DET199604130",9,0,"willb001",1,0,1,"myerm001",1,781996DET.EVA.regular.sub.csv",35

"DET199604130",9,0,"howej002",0,7,11,"ariag001",5,821996DET.EVA.regular.sub.csv",36

"DET199604140",6,0,"chrim001",1,0,1,"aldrs001",1,471996DET.EVA.regular.sub.csv",37

"DET199604140",8,0,"lewir001",1,0,1,"chrim001",1,611996DET.EVA.regular.sub.csv",38

"DET199604140",8,1,"jamem001",0,0,1,"langm001",1,641996DET.EVA.regular.sub.csv",39

"DET199604140",9,0,"aldrm001",0,9,11,"disag001",6,711996DET.EVA.regular.sub.csv",40

"DET199604140",9,1,"schod001",0,9,6,"aldrm001",11,731996DET.EVA.regular.sub.csv",41

"DET199604140",9,1,"higgb001",1,7,11,"bautd001",9,731996DET.EVA.regular.sub.csv",42

"DET199604140",9,1,"bartk001",1,7,12,"higgb001",11,741996DET.EVA.regular.sub.csv",43

"DET199604140",9,1,"hyert001",1,9,11,"trama001",6,751996DET.EVA.regular.sub.csv",44

"DET199604240",2,0,"maxcb001",1,0,1,"sodoc001",1,171996DET.EVA.regular.sub.csv",45

"DET199604240",3,1,"mahop001",0,0,1,"rodrf001",1,331996DET.EVA.regular.sub.csv",46

"DET199604240",3,1,"reboj001",0,1,4,"knobc001",4,331996DET.EVA.regular.sub.csv",47

"DET199604240",3,1,"benne001",0,0,1,"mahop001",1,391996DET.EVA.regular.sub.csv",48

"DET199604240",5,0,"verer001",1,0,1,"maxcb001",1,501996DET.EVA.regular.sub.csv",49

"DET199604240",5,1,"nauld001",0,0,1,"benne001",1,561996DET.EVA.regular.sub.csv",50

"DET199604240",6,0,"myerm001",1,0,1,"verer001",1,641996DET.EVA.regular.sub.csv",51

"DET199604240",6,0,"coomr001",0,7,11,"stahs001",3,661996DET.EVA.regular.sub.csv",52

"DET199604240",6,1,"coomr001",0,7,3,"coomr001",11,711996DET.EVA.regular.sub.csv",53

"DET199604240",7,0,"lewir001",1,0,1,"myerm001",1,751996DET.EVA.regular.sub.csv",54

"DET199604240",8,0,"willb001",1,0,1,"lewir001",1,831996DET.EVA.regular.sub.csv",55

"DET199604240",8,1,"parrj002",0,0,1,"nauld001",1,931996DET.EVA.regular.sub.csv",56

"DET199604240",8,1,"bautd001",1,4,11,"fielc001",3,951996DET.EVA.regular.sub.csv",57

"DET199604240",9,0,"hyert001",1,2,3,"hyert001",7,961996DET.EVA.regular.sub.csv",58

"DET199604240",9,0,"bautd001",1,4,7,"bautd001",11,961996DET.EVA.regular.sub.csv",59

"DET199604240",9,0,"gomec001",1,9,6,"trama001",6,961996DET.EVA.regular.sub.csv",60

"DET199604240",9,0,"chrim001",1,0,1,"willb001",1,961996DET.EVA.regular.sub.csv",61

"DET199604240",9,0,"halec001",0,3,11,"molip001",10,991996DET.EVA.regular.sub.csv",62

"DET199604240",9,0,"duram001",0,6,11,"holld001",5,1021996DET.EVA.regular.sub.csv",63

"DET199604240",9,1,"reboj001",0,1,5,"reboj001",4,1031996DET.EVA.regular.sub.csv",64

"DET199604240",9,1,"halec001",0,3,4,"halec001",10,1031996DET.EVA.regular.sub.csv",65

"DET199604240",9,1,"parrj002",0,6,1,"duram001",11,1031996DET.EVA.regular.sub.csv",66

"DET199604250",6,0,"maxcb001",1,0,1,"aldrs001",1,531996DET.EVA.regular.sub.csv",67

"DET199604250",7,0,"stahs001",0,6,11,"coomr001",3,581996DET.EVA.regular.sub.csv",68

"DET199604250",7,0,"verer001",1,0,1,"maxcb001",1,631996DET.EVA.regular.sub.csv",69

"DET199604250",7,1,"stahs001",0,6,3,"stahs001",11,661996DET.EVA.regular.sub.csv",70

"DET199604250",7,1,"hansg001",0,0,1,"hawkl001",1,661996DET.EVA.regular.sub.csv",71

"DET199604250",8,1,"reboj001",0,5,5,"holld001",5,741996DET.EVA.regular.sub.csv",72

"DET199604250",8,1,"hyert001",1,9,11,"bartk001",7,741996DET.EVA.regular.sub.csv",73

"DET199604250",8,1,"gomec001",1,2,11,"trama001",6,761996DET.EVA.regular.sub.csv",74

"DET199604250",9,0,"hyert001",1,9,3,"hyert001",11,781996DET.EVA.regular.sub.csv",75

"DET199604250",9,0,"bautd001",1,4,7,"fielc001",3,781996DET.EVA.regular.sub.csv",76

"DET199604250",9,0,"gomec001",1,2,6,"gomec001",11,781996DET.EVA.regular.sub.csv",77

"DET199604250",9,0,"willb001",1,0,1,"verer001",1,781996DET.EVA.regular.sub.csv",78

"DET199604250",9,0,"halec001",0,3,11,"molip001",10,841996DET.EVA.regular.sub.csv",79

"DET199604250",9,0,"beckr002",0,4,12,"cordm001",7,861996DET.EVA.regular.sub.csv",80

"DET199604250",9,1,"beckr002",0,4,7,"beckr002",12,881996DET.EVA.regular.sub.csv",81

"DET199604260",5,0,"chrim001",1,0,1,"keagg001",1,471996DET.EVA.regular.sub.csv",82

"DET199604260",5,1,"smala001",0,0,1,"johnd003",1,501996DET.EVA.regular.sub.csv",83

"DET199604260",7,0,"hyert001",1,4,3,"fielc001",3,691996DET.EVA.regular.sub.csv",84

"DET199604260",7,0,"bourr001",0,9,11,"bordm001",6,731996DET.EVA.regular.sub.csv",85

"DET199604260",7,1,"bourr001",0,9,6,"bourr001",11,741996DET.EVA.regular.sub.csv",86

"DET199604260",7,1,"youne002",0,1,9,"youne002",8,741996DET.EVA.regular.sub.csv",87

"DET199604260",7,1,"batta001",0,5,8,"munop001",9,741996DET.EVA.regular.sub.csv",88

"DET199604260",7,1,"lovut001",0,2,3,"giamj001",3,741996DET.EVA.regular.sub.csv",89

"DET199604260",7,1,"brisj001",0,0,1,"smala001",1,741996DET.EVA.regular.sub.csv",90

"DET199604260",8,0,"olsog001",1,0,1,"chrim001",1,791996DET.EVA.regular.sub.csv",91

"DET199604260",8,0,"bartk001",1,1,8,"curtc001",8,791996DET.EVA.regular.sub.csv",92

"DET199604260",8,1,"willg002",0,6,2,"steit001",2,821996DET.EVA.regular.sub.csv",93

"DET199604260",9,0,"lewir001",1,0,1,"olsog001",1,861996DET.EVA.regular.sub.csv",94

"DET199604270",6,1,"lovut001",0,4,3,"mcgwm001",3,411996DET.EVA.regular.sub.csv",95

"DET199604270",8,0,"myerm001",1,0,1,"liraf001",1,551996DET.EVA.regular.sub.csv",96

"DET199604270",8,0,"verer001",1,0,1,"myerm001",1,571996DET.EVA.regular.sub.csv",97

"DET199604270",8,1,"hyert001",1,8,11,"parem001",2,621996DET.EVA.regular.sub.csv",98

"DET199604270",8,1,"wengd001",0,0,1,"reyec001",1,641996DET.EVA.regular.sub.csv",99

"DET199604270",8,1,"taylb001",0,0,1,"wengd001",1,661996DET.EVA.regular.sub.csv",100

"DET199604270",9,0,"flahj001",1,8,2,"hyert001",11,671996DET.EVA.regular.sub.csv",101

"DET199604270",9,1,"youne002",0,1,9,"youne002",8,701996DET.EVA.regular.sub.csv",102

"DET199604270",9,1,"batta001",0,2,8,"batta001",7,701996DET.EVA.regular.sub.csv",103

"DET199604270",9,1,"planp001",0,5,7,"berrg001",9,701996DET.EVA.regular.sub.csv",104

"DET199604280",5,0,"lewir001",1,0,1,"gohrg001",1,411996DET.EVA.regular.sub.csv",105

"DET199604280",6,0,"lovut001",0,4,12,"mcgwm001",3,521996DET.EVA.regular.sub.csv",106

"DET199604280",6,1,"lovut001",0,4,3,"lovut001",12,531996DET.EVA.regular.sub.csv",107

"DET199604280",8,0,"olsog001",1,0,1,"lewir001",1,631996DET.EVA.regular.sub.csv",108

"DET199604280",8,0,"planp001",0,2,11,"giamj001",10,641996DET.EVA.regular.sub.csv",109

"DET199604280",8,1,"mohlm001",0,0,1,"wojcs001",1,661996DET.EVA.regular.sub.csv",110

"DET199604280",8,1,"batta001",0,1,7,"batta001",8,661996DET.EVA.regular.sub.csv",111

"DET199604280",8,1,"youne002",0,3,8,"berrg001",7,661996DET.EVA.regular.sub.csv",112

"DET199604280",9,0,"willb001",1,0,1,"olsog001",1,701996DET.EVA.regular.sub.csv",113

"DET199604280",9,1,"parem001",1,9,11,"bartk001",8,781996DET.EVA.regular.sub.csv",114

"DET199604280",9,1,"taylb001",0,0,1,"mohlm001",1,781996DET.EVA.regular.sub.csv",115

"DET199604280",9,1,"higgb001",1,9,11,"parem001",11,781996DET.EVA.regular.sub.csv",116

"DET199605020",7,1,"cookd001",0,0,1,"wittb001",1,551996DET.EVA.regular.sub.csv",117

"DET199605020",7,1,"hereg001",0,0,1,"cookd001",1,561996DET.EVA.regular.sub.csv",118

"DET199605020",8,0,"tettm001",0,9,11,"elstk001",6,601996DET.EVA.regular.sub.csv",119

"DET199605020",8,0,"myerm001",1,0,1,"liraf001",1,601996DET.EVA.regular.sub.csv",120

"DET199605020",8,1,"mclem001",0,9,4,"tettm001",11,621996DET.EVA.regular.sub.csv",121

"DET199605020",8,1,"stilk001",0,8,6,"stilk001",4,621996DET.EVA.regular.sub.csv",122

"DET199605020",9,0,"willb001",1,0,1,"myerm001",1,661996DET.EVA.regular.sub.csv",123

"DET199605030",2,0,"chrim001",1,0,1,"keagg001",1,161996DET.EVA.regular.sub.csv",124

"DET199605030",6,0,"lewir001",1,0,1,"chrim001",1,451996DET.EVA.regular.sub.csv",125

"DET199605030",6,0,"bartk001",1,1,8,"curtc001",8,451996DET.EVA.regular.sub.csv",126

"DET199605030",7,0,"wille001",1,3,5,"frymt001",5,511996DET.EVA.regular.sub.csv",127

"DET199605030",7,0,"hyert001",1,4,3,"fielc001",3,511996DET.EVA.regular.sub.csv",128

"DET199605030",7,0,"gomec001",1,9,6,"trama001",6,511996DET.EVA.regular.sub.csv",129

"DET199605030",7,1,"wortc001",0,3,3,"clarw001",3,551996DET.EVA.regular.sub.csv",130

"DET199605030",7,1,"bufod001",0,2,9,"rodri001",2,551996DET.EVA.regular.sub.csv",131

"DET199605030",7,1,"valld001",0,4,2,"gonzj002",9,551996DET.EVA.regular.sub.csv",132

"DET199605030",8,0,"verer001",1,0,1,"lewir001",1,581996DET.EVA.regular.sub.csv",133

"DET199605030",9,0,"olsog001",1,0,1,"verer001",1,651996DET.EVA.regular.sub.csv",134

"DET199605030",9,1,"newsw001",0,5,9,"newsw001",10,701996DET.EVA.regular.sub.csv",135

"DET199605030",9,1,"bufod001",0,2,8,"bufod001",9,701996DET.EVA.regular.sub.csv",136

"DET199605030",9,1,"hillk001",0,1,1,"hamid001",8,701996DET.EVA.regular.sub.csv",137

"DET199605040",7,0,"verer001",1,0,1,"gohrg001",1,541996DET.EVA.regular.sub.csv",138

"DET199605040",8,0,"myerm001",1,0,1,"verer001",1,581996DET.EVA.regular.sub.csv",139

"DET199605040",8,0,"willb001",1,0,1,"myerm001",1,621996DET.EVA.regular.sub.csv",140

"DET199605040",9,1,"hyert001",1,8,11,"flahj001",2,701996DET.EVA.regular.sub.csv",141

"DET199605040",9,1,"wille001",1,9,11,"bartk001",8,711996DET.EVA.regular.sub.csv",142

"DET199605050",6,0,"lewir001",1,0,1,"limaj001",1,451996DET.EVA.regular.sub.csv",143

"DET199605050",8,1,"russj001",0,0,1,"grosk001",1,621996DET.EVA.regular.sub.csv",144

"DET199605050",8,1,"hyert001",1,8,11,"parem001",2,621996DET.EVA.regular.sub.csv",145

"DET199605050",9,0,"flahj001",1,8,2,"hyert001",11,651996DET.EVA.regular.sub.csv",146

"DET199605050",9,0,"myerm001",1,0,1,"lewir001",1,651996DET.EVA.regular.sub.csv",147

"DET199605050",9,1,"hennm001",0,0,1,"russj001",1,681996DET.EVA.regular.sub.csv",148

"DET199605170",6,1,"karcm001",0,0,1,"ferna001",1,541996DET.EVA.regular.sub.csv",149

"DET199605170",7,0,"myerm001",1,0,1,"liraf001",1,561996DET.EVA.regular.sub.csv",150

"DET199605170",8,0,"moutl001",0,2,11,"martd002",8,631996DET.EVA.regular.sub.csv",151

"DET199605170",8,0,"lewir001",1,0,1,"myerm001",1,671996DET.EVA.regular.sub.csv",152

"DET199605170",8,1,"lewid001",0,2,8,"moutl001",11,691996DET.EVA.regular.sub.csv",153

"DET199605170",8,1,"flahj001",1,8,11,"parem001",2,701996DET.EVA.regular.sub.csv",154

"DET199605170",8,1,"hernr001",0,0,1,"karcm001",1,731996DET.EVA.regular.sub.csv",155

"DET199605170",9,0,"flahj001",1,8,2,"flahj001",11,751996DET.EVA.regular.sub.csv",156

"DET199605170",10,0,"olsog001",1,0,1,"lewir001",1,851996DET.EVA.regular.sub.csv",157

"DET199605170",10,1,"snopc001",0,3,5,"thomf001",3,931996DET.EVA.regular.sub.csv",158

"DET199605170",10,1,"ventr001",0,4,3,"ventr001",5,931996DET.EVA.regular.sub.csv",159

"DET199605180",2,0,"keagg001",1,0,1,"farrj001",1,151996DET.EVA.regular.sub.csv",160

"DET199605180",2,1,"mccak001",0,0,1,"baldj002",1,221996DET.EVA.regular.sub.csv",161

"DET199605180",5,0,"verer001",1,0,1,"keagg001",1,481996DET.EVA.regular.sub.csv",162

"DET199605180",7,0,"lewir001",1,0,1,"verer001",1,651996DET.EVA.regular.sub.csv",163

"DET199605180",7,1,"simab001",0,0,1,"mccak001",1,701996DET.EVA.regular.sub.csv",164

"DET199605180",7,1,"snopc001",0,1,6,"philt001",7,701996DET.EVA.regular.sub.csv",165

"DET199605180",7,1,"moutl001",0,9,7,"guilo001",6,701996DET.EVA.regular.sub.csv",166

"DET199605180",8,0,"myerm001",1,0,1,"lewir001",1,741996DET.EVA.regular.sub.csv",167

"DET199605180",8,0,"bartk001",1,1,8,"curtc001",7,741996DET.EVA.regular.sub.csv",168

"DET199605180",8,0,"wille001",1,3,5,"frymt001",5,741996DET.EVA.regular.sub.csv",169

"DET199605180",8,0,"parem001",1,4,3,"fielc001",3,741996DET.EVA.regular.sub.csv",170

"DET199605180",8,0,"bautd001",1,5,9,"nievm001",9,741996DET.EVA.regular.sub.csv",171

"DET199605180",8,0,"singd001",1,9,7,"singd001",8,741996DET.EVA.regular.sub.csv",172

"DET199605180",8,0,"kreuc001",0,3,11,"thomf001",3,791996DET.EVA.regular.sub.csv",173

