"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX"
"SFN199704010","19970401",0,"Tuesday",118,"F","D","PIT","SFN","SFO02","liebj001","gardm001","tatat901","davig901","rapue901","barnr901","","",41996,"","","","","",0,1,62,6,23,4,1,1,184,9,5,2,10,6,1,2,10,6,"ruebm001","rodrr004","ericj001","","womat001",4,"allej001",8,"marta001",7,"johnm001",3,"elstk001",6,"kendj001",2,"guilj001",9,"randj002",5,"liebj001",1,"hamid001",8,"vizcj001",6,"hillg001",9,"bondb001",7,"kentj001",4,"snowj001",3,"wilkr001",2,"muelb001",5,"gardm001",1,"ericj001","henrd002","","",,,54,,,,000011201,000101000,38,4,0,0,4,1,0,0,3,0,11,2,0,0,0,4,1,1,0,0,27,9,0,0,0,31,0,0,0,2,0,2,0,2,0,5,1,0,0,0,5,3,3,0,0,27,10,0,0,0,,,,,,,,,,,"Matt Ruebel","Rich Rodriguez","John Ericks","elstk001","Kevin Elster","Tony Womack","Jermaine Allensworth","Al Martin","Mark Johnson","Kevin Elster","Jason Kendall","Jose Guillen","Joe Randa","Jon Lieber","Darryl Hamilton","Jose Vizcaino","Glenallen Hill","Barry Bonds","Jeff Kent","J.T. Snow","Rick Wilkins","Bill Mueller","Mark Gardner",,
"SFN199704030","19970403",0,"Thursday",706,"F","N","PIT","SFN","SFO02","cooks001","ferno001","davig901","rapue901","barnr901","tatat901","","",8099,"","","","","",0,1,60,1,20,4,1,4,205,9,5,7,10,9,0,0,10,12,"ferno001","cooks001","beckr001","","womat001",4,"allej001",8,"marta001",7,"johnm001",3,"elstk001",6,"kendj001",2,"guilj001",9,"randj002",5,"cooks001",1,"hamid001",8,"vizcj001",6,"hillg001",9,"bondb001",7,"kentj001",4,"snowj001",3,"muelb001",5,"wilkr001",2,"ferno001",1,"rincr001","beckr001","","",,,51,,,,000041000,31020001x,37,3,1,1,5,0,0,0,5,0,8,1,0,0,0,5,7,7,1,0,24,12,0,1,0,27,2,0,1,7,1,2,0,13,0,7,0,2,0,0,7,5,5,0,0,27,8,0,0,0,,,,,,,,,,,"Osvaldo Fernandez","Steve Cooke","Rodney Beck","bondb001","Barry Bonds","Tony Womack","Jermaine Allensworth","Al Martin","Mark Johnson","Kevin Elster","Jason Kendall","Jose Guillen","Joe Randa","Steve Cooke","Darryl Hamilton","Jose Vizcaino","Glenallen Hill","Barry Bonds","Jeff Kent","J.T. Snow","Bill Mueller","Rick Wilkins","Osvaldo Fernandez",,
"SFN199704040","19970404",0,"Friday",706,"F","N","NYN","SFN","SFO02","mlicd001","ruetk001","danlk901","marsr901","poncl901","kellj901","","",8380,"","","","","",0,1,53,3,15,4,1,4,180,9,4,6,9,10,1,0,7,7,"rodrr004","jordr002","beckr001","","johnl001",8,"olerj001",3,"gilkb001",7,"hundt001",2,"huskb001",5,"baerc001",4,"ochoa001",9,"alfoe001",6,"mlicd001",1,"hamid001",8,"vizcj001",6,"hillg001",9,"bondb001",7,"kentj001",4,"snowj001",3,"wilkr001",2,"muelb001",5,"ruetk001",1,"borlt001","beckr001","","",,,51,,,,000102001,00030030x,34,3,1,0,4,0,0,0,4,0,6,0,0,0,0,4,6,6,0,1,24,11,0,1,0,32,0,1,0,6,0,1,0,4,0,4,0,0,1,0,5,4,4,0,0,27,16,0,0,0,,,,,,,,,,,"Rich Rodriguez","Rico Jordan","Rodney Beck","hillg001","Glenallen Hill","Lance Johnson","John Olerud","Bernard Gilkey","Todd Hundley","Butch Huskey","Carlos Baerga","Alex Ochoa","Edgardo Alfonzo","Dave Mlicki","Darryl Hamilton","Jose Vizcaino","Glenallen Hill","Barry Bonds","Jeff Kent","J.T. Snow","Rick Wilkins","Bill Mueller","Kirk Rueter",,
"SFN199704050","19970405",0,"Saturday",106,"F","D","NYN","SFN","SFO02","reedr002","vanlb001","marsr901","poncl901","kellj901","danlk901","","",13768,"","","","","",0,1,61,3,10,4,1,1,148,9,0,2,3,6,1,0,4,3,"roa-j001","manub001","beckr001","","johnl001",8,"olerj001",3,"gilkb001",7,"hundt001",2,"alfoe001",5,"baerc001",4,"ochoa001",9,"ordor001",6,"reedr002",1,"hamid001",8,"vizcj001",6,"bondb001",7,"kentj001",4,"javis001",9,"snowj001",3,"muelb001",5,"berrd002",2,"vanlb001",1,"manub001","beckr001","","",,,51,,,,000000000,00000002x,30,0,0,0,0,0,0,0,1,0,6,2,0,0,0,2,2,2,0,0,24,9,0,3,0,27,1,0,0,2,0,0,0,2,0,6,0,1,2,0,4,0,0,0,0,27,6,0,0,0,,,,,,,,,,,"Joe Roa","Barry Manuel","Rodney Beck","wilkr001","Rick Wilkins","Lance Johnson","John Olerud","Bernard Gilkey","Todd Hundley","Edgardo Alfonzo","Carlos Baerga","Alex Ochoa","Rey Ordonez","Rick Reed","Darryl Hamilton","Jose Vizcaino","Barry Bonds","Jeff Kent","Stan Javier","J.T. Snow","Bill Mueller","Damon Berryhill","Bill VanLandingham",,
"SFN199704060","19970406",0,"Sunday",106,"F","D","NYN","SFN","SFO02","bohab001","gardm001","poncl901","kellj901","danlk901","marsr901","","",15073,"","","","","",0,1,58,3,15,4,1,2,146,9,4,2,11,6,0,1,6,4,"bohab001","gardm001","franj001","","johnl001",8,"olerj001",3,"gilkb001",7,"hundt001",2,"everc001",9,"baerc001",4,"huskb001",5,"ordor001",6,"bohab001",1,"javis001",8,"vizcj001",6,"hillg001",9,"bondb001",7,"kentj001",4,"snowj001",3,"muelb001",5,"wilkr001",2,"gardm001",1,"franj001","poolj001","","",,,54,,,,300000001,100000010,34,1,0,0,4,0,1,0,2,0,5,0,2,0,0,3,2,2,0,0,27,12,0,1,0,31,3,0,0,2,0,0,0,2,0,6,1,0,1,0,4,4,4,1,0,27,11,0,0,0,,,,,,,,,,,"Brian Bohanon","Mark Gardner","John Franco","gilkb001","Bernard Gilkey","Lance Johnson","John Olerud","Bernard Gilkey","Todd Hundley","Carl Everett","Carlos Baerga","Butch Huskey","Rey Ordonez","Brian Bohanon","Stan Javier","Jose Vizcaino","Glenallen Hill","Barry Bonds","Jeff Kent","J.T. Snow","Bill Mueller","Rick Wilkins","Mark Gardner",,
"SFN199704070","19970407",0,"Monday",708,"F","N","PHI","SFN","SFO02","maduc001","estes001","ripps901","hirsm901","froeb901","willc901","","",7525,"","","","","",0,1,59,4,12,4,1,4,176,9,3,4,7,5,1,0,9,7,"estes001","maduc001","beckr001","","moram001",4,"stock001",6,"jeffg001",7,"tartd001",9,"brogr001",3,"roles001",5,"liebm001",2,"magew001",8,"maduc001",1,"hamid001",8,"vizcj001",6,"hillg001",9,"bondb001",7,"kentj001",4,"snowj001",3,"wilkr001",2,"muelb001",5,"estes001",1,"plane001","beckr001","","",,,51,,,,000002100,31000000x,33,2,0,0,3,1,0,0,5,0,7,0,0,0,0,4,4,4,1,0,24,8,0,1,0,26,1,0,0,4,0,1,0,8,1,8,0,1,0,0,5,3,3,0,0,27,13,0,0,0,,,,,,,,,,,"Shawn Estes","Calvin Maduro","Rodney Beck","kentj001","Jeff Kent","Mickey Morandini","Kevin Stocker","Gregg Jefferies","Danny Tartabull","Rico Brogna","Scott Rolen","Mike Lieberthal","Wendell Magee","Calvin Maduro","Darryl Hamilton","Jose Vizcaino","Glenallen Hill","Barry Bonds","Jeff Kent","J.T. Snow","Rick Wilkins","Bill Mueller","Shawn Estes",,
"SFN199704080","19970408",0,"Tuesday",706,"F","N","PHI","SFN","SFO02","leitm001","ferno001","hirsm901","froeb901","willc901","ripps901","","",6260,"","","","","",0,1,56,4,30,4,1,4,167,9,2,1,5,3,2,1,4,5,"leitm001","ferno001","bottr001","","moram001",4,"stock001",6,"jeffg001",7,"may-d001",9,"brogr001",3,"roles001",5,"liebm001",2,"magew001",8,"leitm001",1,"hamid001",8,"vizcj001",6,"hillg001",9,"bondb001",7,"kentj001",4,"snowj001",3,"wilkr001",2,"muelb001",5,"ferno001",1,"bottr001","tavaj001","","",,,54,,,,100000100,010000000,30,0,0,0,2,1,0,0,2,0,4,1,0,2,0,3,0,0,0,0,27,9,0,1,0,29,0,0,0,1,0,1,0,3,0,5,0,0,0,0,4,1,1,0,0,27,14,0,2,0,,,,,,,,,,,"Mark Leiter","Osvaldo Fernandez","Ricky Bottalico","roles001","Scott Rolen","Mickey Morandini","Kevin Stocker","Gregg Jefferies","Derrick May","Rico Brogna","Scott Rolen","Mike Lieberthal","Wendell Magee","Mark Leiter","Darryl Hamilton","Jose Vizcaino","Glenallen Hill","Barry Bonds","Jeff Kent","J.T. Snow","Rick Wilkins","Bill Mueller","Osvaldo Fernandez",,
"SFN199704090","19970409",0,"Wednesday",1237,"F","D","PHI","SFN","SFO02","munob001","ruetk001","froeb901","willc901","ripps901","hirsm901","","",7617,"","","","","",0,1,63,3,12,4,1,1,129,9,0,3,5,9,0,0,4,10,"ruetk001","munob001","beckr001","","moram001",4,"sefck001",6,"jeffg001",7,"hudlr001",9,"dauld001",3,"roles001",5,"parem001",2,"magew001",8,"munob001",1,"hamid001",8,"vizcj001",6,"bondb001",7,"kentj001",4,"hillg001",9,"snowj001",3,"muelb001",5,"jensm001",2,"ruetk001",1,"plane001","beckr001","","",,,51,,,,000000000,20100000x,31,1,0,0,0,0,0,0,0,0,5,0,0,1,0,4,3,3,0,0,24,9,0,0,0,32,3,0,1,3,0,0,0,5,0,5,1,1,0,0,3,0,0,0,0,27,11,0,1,0,,,,,,,,,,,"Kirk Rueter","Bobby Munoz","Rodney Beck","bondb001","Barry Bonds","Mickey Morandini","Kevin Sefcik","Gregg Jefferies","Rex Hudler","Darren Daulton","Scott Rolen","Mark Parent","Wendell Magee","Bobby Munoz","Darryl Hamilton","Jose Vizcaino","Barry Bonds","Jeff Kent","Glenallen Hill","J.T. Snow","Bill Mueller","Marcus Jensen","Kirk Rueter",,
"SFN199704180","19970418",0,"Friday",704,"F","N","FLO","SFN","SFO02","leita001","gardm001","westj901","wintm901","laynj901","nauep901","","",10518,"","","","","",0,1,55,1,10,3,3,4,210,9,4,5,9,10,0,0,6,12,"henrd002","nen-r001","","","castl001",4,"rente001",6,"shefg001",9,"bonib001",5,"aloum001",7,"eisej001",3,"floyc001",8,"johnc002",2,"leita001",1,"powed002",8,"vizcj001",6,"hillg001",9,"bondb001",7,"kentj001",4,"lewim001",5,"snowj001",3,"wilkr001",2,"gardm001",1,"nen-r001","henrd002","","",,,51,,,,000000301,010000013,33,0,0,2,4,0,1,0,3,0,7,1,1,0,0,4,5,5,0,0,24,9,0,2,0,32,1,2,0,5,0,0,0,9,3,6,0,0,1,0,4,4,4,0,0,27,10,0,0,0,,,,,,,,,,,"Doug Henry","Robb Nen","(none)","kentj001","Jeff Kent","Luis Castillo","Edgar Renteria","Gary Sheffield","Bobby Bonilla","Moises Alou","Jim Eisenreich","Cliff Floyd","Charles Johnson","Al Leiter","Dante Powell","Jose Vizcaino","Glenallen Hill","Barry Bonds","Jeff Kent","Mark Lewis","J.T. Snow","Rick Wilkins","Mark Gardner",,
"SFN199704190","19970419",0,"Saturday",107,"F","D","FLO","SFN","SFO02","saunt001","estes001","wintm901","laynj901","nauep901","westj901","","",16197,"","","","","",0,1,63,1,6,2,1,3,139,9,2,3,4,6,0,0,2,5,"estes001","saunt001","beckr001","","abbok002",4,"rente001",6,"shefg001",9,"aloum001",7,"conij001",3,"ariaa001",5,"floyc001",8,"johnc002",2,"saunt001",1,"javis001",8,"vizcj001",6,"hillg001",9,"bondb001",7,"kentj001",4,"lewim001",5,"snowj001",3,"jensm001",2,"estes001",1,"hellr001","beckr001","","",,,51,,,,200000000,00001002x,28,0,1,1,2,0,0,0,3,0,8,0,2,1,0,2,3,3,1,0,24,7,0,0,0,29,1,0,0,3,0,0,0,3,1,10,0,1,0,0,2,2,2,0,0,27,12,0,1,0,,,,,,,,,,,"Shawn Estes","Tony Saunders","Rodney Beck","hillg001","Glenallen Hill","Kurt Abbott","Edgar Renteria","Gary Sheffield","Moises Alou","Jeff Conine","Alex Arias","Cliff Floyd","Charles Johnson","Tony Saunders","Stan Javier","Jose Vizcaino","Glenallen Hill","Barry Bonds","Jeff Kent","Mark Lewis","J.T. Snow","Marcus Jensen","Shawn Estes",,
