"GAME_ID","EVENT_ID","COMMENT_TX","FILENAME_TX","LINE_NUMBER_CT"
"SLN199704280",49,"ej,larut101,M,kellj901,Called third strike $Cardinals manager LaRussa ejected by HP umpire Kellogg for called third strike to DeShields","1997SLN.EVN.regular.comment.csv",2
"SLN199705070",90,"Debut game for Tom McGraw","1997SLN.EVN.regular.comment.csv",3
"SLN199705110",75,"ej,biess001,P,laynj901,Called third strike Steve Bieser ejected by HP umpire Jerry Layne","1997SLN.EVN.regular.comment.csv",4
"SLN199705210",10,"ej,vuckp001,C,vanol901,Balls and strikes $Jason Kendall thought he had walked on the 3-2 pitch; HP umpire Larry Vanover made a late call on the strikeout and Joe Randa was tagged out advancing to 2B on what he thought was a walk; Pirates coach Pete Vuckovich ejected by Vanover","1997SLN.EVN.regular.comment.csv",5
"SLN199705210",62,"ej,johnm001,P,poncl901,Brawl ej,difem001,P,poncl901,Brawl $runner Mark Johnson and catcher Mike Difelice fought after the collision at the plate; both players ejected by HP umpire Larry Poncino","1997SLN.EVN.regular.comment.csv",6
"SLN199706010",1,"ej,guerw001,P,froeb901,Using doctored bat $Wilton Guerrero's bat shattered when he hit the ball; HP umpire Steve Rippley picked up the pieces and noticed that the bat had been corked; he showed the pieces to crew chief Bruce Froemming, who ejected Guerrero","1997SLN.EVN.regular.comment.csv",7
"SLN199706020",51,"Debut game for Rigo Beltran","1997SLN.EVN.regular.comment.csv",8
"SLN199706141",0,"Debut for umpire Greg Gibson","1997SLN.EVN.regular.comment.csv",9
"SLN199706200",12,"Debut game for Aaron Boone","1997SLN.EVN.regular.comment.csv",10
"SLN199706200",51,"ej,boona001,P,darlg901,Call at HP (threw helmet) $Aaron Boone ejected by HP Umpire Gary Darling; Boone threw his helmet after being called out at the plate and thus was ejected in his debut game","1997SLN.EVN.regular.comment.csv",11
"SLN199707050",47,"ej,vuckp001,C,tatat901,Balls and strikes $Pirates coach Vuckovich ejected by HP umpire Tata for arguing balls and strikes at end of mound visit","1997SLN.EVN.regular.comment.csv",12
"SLN199707050",54,"ej,smitm004,P,tatat901,Balls and strikes Mark Smith ejected by HP umpire Terry Tata","1997SLN.EVN.regular.comment.csv",13
"SLN199707210",1,"ej,hamid001,P,laynj901,Balls and strikes ej,baked002,M,laynj901,Balls and strikes Darryl Hamilton and Giants manager Dusty Baker ejected by HP umpire Jerry Layne","1997SLN.EVN.regular.comment.csv",14
"SLN199708090",67,"ej,larut101,M,grege901,Balls and strikes $Cardinals manager LaRussa ejected by HP umpire Gregg at end of home 8th for arguing balls and strikes","1997SLN.EVN.regular.comment.csv",15
"SLN199708090",73,"$John Mabry called for interference","1997SLN.EVN.regular.comment.csv",16
"SLN199709010",46,"ej,bellj002,P,rapue901,Called third strike (refused to pick up equipment) Albert Belle ejected by HP umpire Ed Rapuano","1997SLN.EVN.regular.comment.csv",17
"SLN199709030",23,"Debut game for Eli Marrero","1997SLN.EVN.regular.comment.csv",18
"SLN199709030",30,"Debut game for Luis Ordaz","1997SLN.EVN.regular.comment.csv",19
"SLN199709230",72,"ej,kingc001,P,davig901,Balls and strikes Curtis King ejected by HP umpire Gerry Davis","1997SLN.EVN.regular.comment.csv",20
