"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID","FILENAME_TX","LINE_NUMBER_CT"
"SFN199804070",5,1,"nitkc001",0,9,1,"halaj001",1,43,"1998SFN.EVN.regular.sub.csv",2
"SFN199804070",6,0,"reeds001",1,9,1,"herso001",1,50,"1998SFN.EVN.regular.sub.csv",3
"SFN199804070",6,1,"hayec001",1,9,11,"reeds001",1,53,"1998SFN.EVN.regular.sub.csv",4
"SFN199804070",7,0,"tavaj001",1,9,1,"hayec001",11,55,"1998SFN.EVN.regular.sub.csv",5
"SFN199804070",7,0,"spieb001",0,8,11,"ausmb001",2,55,"1998SFN.EVN.regular.sub.csv",6
"SFN199804070",7,0,"clard001",0,9,11,"nitkc001",1,56,"1998SFN.EVN.regular.sub.csv",7
"SFN199804070",7,1,"magnm001",0,9,1,"clard001",11,61,"1998SFN.EVN.regular.sub.csv",8
"SFN199804070",7,1,"euset001",0,8,2,"spieb001",11,61,"1998SFN.EVN.regular.sub.csv",9
"SFN199804070",8,1,"benam001",1,9,11,"tavaj001",1,71,"1998SFN.EVN.regular.sub.csv",10
"SFN199804070",9,0,"nen-r001",1,9,1,"benam001",11,72,"1998SFN.EVN.regular.sub.csv",11
"SFN199804070",9,0,"everc001",0,9,11,"magnm001",1,74,"1998SFN.EVN.regular.sub.csv",12
"SFN199804070",9,1,"wagnb001",0,9,1,"everc001",11,75,"1998SFN.EVN.regular.sub.csv",13
"SFN199804070",10,1,"sancr001",1,9,11,"nen-r001",1,87,"1998SFN.EVN.regular.sub.csv",14
"SFN199804080",7,0,"reeds001",1,9,1,"ruetk001",1,56,"1998SFN.EVN.regular.sub.csv",15
"SFN199804080",7,1,"benam001",1,9,11,"reeds001",1,58,"1998SFN.EVN.regular.sub.csv",16
"SFN199804080",7,1,"millt002",0,9,1,"limaj001",1,61,"1998SFN.EVN.regular.sub.csv",17
"SFN199804080",7,1,"scanb001",0,9,1,"millt002",1,62,"1998SFN.EVN.regular.sub.csv",18
"SFN199804080",8,0,"ortir001",1,9,1,"benam001",11,63,"1998SFN.EVN.regular.sub.csv",19
"SFN199804080",8,0,"howej002",0,9,11,"scanb001",1,68,"1998SFN.EVN.regular.sub.csv",20
"SFN199804080",8,0,"poolj001",1,9,1,"ortir001",1,68,"1998SFN.EVN.regular.sub.csv",21
"SFN199804080",8,0,"euset001",0,9,11,"howej002",11,68,"1998SFN.EVN.regular.sub.csv",22
"SFN199804080",8,1,"henrd002",0,9,1,"euset001",11,69,"1998SFN.EVN.regular.sub.csv",23
"SFN199804080",8,1,"maynb001",1,9,11,"poolj001",1,73,"1998SFN.EVN.regular.sub.csv",24
"SFN199804080",9,0,"johnj006",1,9,1,"maynb001",11,74,"1998SFN.EVN.regular.sub.csv",25
"SFN199804080",9,1,"wagnb001",0,9,1,"henrd002",1,82,"1998SFN.EVN.regular.sub.csv",26
"SFN199804080",9,1,"hayec001",1,5,11,"snowj001",3,82,"1998SFN.EVN.regular.sub.csv",27
"SFN199804090",6,1,"diaza001",1,9,11,"gardm001",1,54,"1998SFN.EVN.regular.sub.csv",28
"SFN199804090",7,0,"johnj006",1,9,1,"diaza001",11,55,"1998SFN.EVN.regular.sub.csv",29
"SFN199804090",7,1,"nitkc001",0,9,1,"bergs001",1,58,"1998SFN.EVN.regular.sub.csv",30
"SFN199804090",9,1,"johnb002",1,7,11,"maynb001",2,72,"1998SFN.EVN.regular.sub.csv",31
"SFN199804090",9,1,"hayec001",1,9,11,"johnj006",1,74,"1998SFN.EVN.regular.sub.csv",32
"SFN199804100",7,0,"tavaj001",1,7,1,"hayec001",5,52,"1998SFN.EVN.regular.sub.csv",33
"SFN199804100",7,0,"muelb001",1,9,5,"darwd001",1,52,"1998SFN.EVN.regular.sub.csv",34
"SFN199804100",7,0,"gaetg001",0,9,11,"stott001",1,54,"1998SFN.EVN.regular.sub.csv",35
"SFN199804100",7,1,"frasj001",0,9,1,"gaetg001",11,56,"1998SFN.EVN.regular.sub.csv",36
"SFN199804100",8,1,"benam001",1,7,11,"tavaj001",1,70,"1998SFN.EVN.regular.sub.csv",37
"SFN199804100",8,1,"loopb001",0,6,1,"mabrj001",9,71,"1998SFN.EVN.regular.sub.csv",38
"SFN199804100",8,1,"jordb001",0,9,9,"frasj001",1,71,"1998SFN.EVN.regular.sub.csv",39
"SFN199804100",9,0,"nen-r001",1,7,1,"benam001",11,73,"1998SFN.EVN.regular.sub.csv",40
"SFN199804110",6,1,"bottk001",0,6,1,"gantr001",7,49,"1998SFN.EVN.regular.sub.csv",41
