"BOS199904130",11,"$Lewis tagged up, planning to score after catch, but Valentin, runner on 2nd, thought ball would hit the wall and took off, hoping to score; the ball was caught and Valentin was out for passing Lewis to complete DP","FILENAME_TX","LINE_NUMBER_CT"
"BOS199904160",76,"Debut game for Creighton Gubanich","1999BOS.EVA.regular.comment.csv",2
"BOS199904230",40,"ej,wrigj002,P,koscg901,Intentional HBP ej,lewid001,P,koscg901,Fight after HBP $Darren Lewis stood at HP and yelled at Jaret Wright, who challenged Lewis; both benches emptied and punches were thrown; Lewis and Wright were ejected by HP umpire Greg Kosc","1999BOS.EVA.regular.comment.csv",3
"BOS199904230",47,"ej,cormr001,P,koscg901,Intentional HBP ej,thomj002,P,koscg901,Fight after HBP $Rheal Cormier's pitch hit Jim Thome in the ribs; both benches cleared and Red Sox catcher Jason Varitek tackled David Justice; Cormier and Thome were ejected by HP umpire Greg Kosc","1999BOS.EVA.regular.comment.csv",4
"BOS199905080",1,"Debut game for Juan Pena","1999BOS.EVA.regular.comment.csv",5
"BOS199905090",38,"ej,mcdoj001,P,shulj901,Call at 3B (Runner left too early) Jack McDowell ejected by 3B umpire John Shulock from bench; McDowell was on the disabled list at the time","1999BOS.EVA.regular.comment.csv",6
"BOS199905230",41,"ej,willj107,M,fostm901,Balls and strikes $Red Sox manager Williams ejected by HP umpire Foster for arguing balls and strikes wit Valentin at bat","1999BOS.EVA.regular.comment.csv",7
"BOS199905310",68,"ej,andem002,P,meric901,Intentional HBP ej,ausmb001,P,meric901,Arguing teammate's ejection ej,parrl002,M,meric901,Arguing player's ejection $Pitcher Anderson ejected by HP umpire Meriwether for intentional HBP; Tigers Ausmus and manager Parrish ejected by Meriwether for arguing Anderson's ejection","1999BOS.EVA.regular.comment.csv",8
"BOS199906040",0,"Debut for umpire Jim Reynolds","1999BOS.EVA.regular.comment.csv",9
"BOS199906150",54,"$Brent Gates called for interference","1999BOS.EVA.regular.comment.csv",10
"BOS199907010",21,"Debut game for Wilton Veras","1999BOS.EVA.regular.comment.csv",11
"BOS199907190",1,"Debut game for Tomo Ohka","1999BOS.EVA.regular.comment.csv",12
"BOS199908140",41,"ej,pinil001,M,merrd901,Call at HP ej,smits801,C,roe-r901,Call at HP $Mariners manager Piniella ejected by HP umpire Merrill and Mariners coach Smith ejected by 2B umpire Roe for arguing same call","1999BOS.EVA.regular.comment.csv",13
