"GAME ID","EVENT_ID","COMMENT_TX","FILENAME_TX","LINE_NUMBER_CT"
"COL200004130",30,"Debut game for Justin Brunette","2000COL.EVN.regular.comment.csv",2
"COL200004280",57,"Debut game for Eric Cammack","2000COL.EVN.regular.comment.csv",3
"COL200005130",87,"Debut game for Bubba Carpenter","2000COL.EVN.regular.comment.csv",4
"COL200005240",0,"58 minute rain delay in the ninth inning","2000COL.EVN.regular.comment.csv",5
"COL200005240",76,"58-minute rain delay, umpire Froemming rules game suspended which allows Rockies to remove Myers before PA is completed","2000COL.EVN.regular.comment.csv",6
"COL200005250",64,"Debut game for Raul Gonzalez","2000COL.EVN.regular.comment.csv",7
"COL200005260",46,"DWS: this is the best I can piece together, don't like it","2000COL.EVN.regular.comment.csv",8
"COL200006260",32,"$1:34 rain delay at this point","2000COL.EVN.regular.comment.csv",9
"COL200006260",45,"ej,hammj001,P,monte901,Balls and strikes $Hammonds ejected by HP umpire Montague after called strike 2","2000COL.EVN.regular.comment.csv",10
"COL200006270",73,"ej,bellb001,M,laynj901,Non-ejection of player $Rockies manager Bell ejected by HP umpire Layne for arguing that pitcher should be ejected for throwing near Goodwin'd head","2000COL.EVN.regular.comment.csv",11
"COL200007130",72,"ej,bellb001,M,demud901,Non-ejection of player $Rockies manager Bell ejected by 1B umpire Demuth for arguing pitcher should be ejected for intentional HBP","2000COL.EVN.regular.comment.csv",12
"COL200007130",80,"ej,jimej001,P,carlm901,Intentional HBP Jose Jimenez ejected by HP umpire Mark Carlson","2000COL.EVN.regular.comment.csv",13
"COL200007140",66,"originally scored E4","2000COL.EVN.regular.comment.csv",14
"COL200007150",64,"ej,sulls001,P,eddid901,Intentional HBP ej,bellb001,M,eddid901,Intentional HBP ej,heltt001,P,eddid901,Bench-clearing brawl ej,huntb002,P,eddid901,Charging the mound after HBP $Scott Sullivan threw near Brian Hunter's head in retaliation for Stan Belinda hitting Ken Griffey in the previous half inning; Hunter charged the mound and swung at Sullivan; both benches emptied; Sullivan, Hunter, Todd Helton and Reds manager Buddy Bell ejected by HP umpire Doug Eddings","2000COL.EVN.regular.comment.csv",15
"COL200007171",1,"Debut game for Marcus Jones","2000COL.EVN.regular.comment.csv",16
"COL200007220",49,"$Klesko beat the throw and tag but Mayne blocked the plate; great play by Mayne and great call by Rippley","2000COL.EVN.regular.comment.csv",17
"COL200007220",53,"Debut game for Dave Maurer","2000COL.EVN.regular.comment.csv",18
"COL200007230",57,"ej,bochb002,M,timmt901,Catch/no catch $Padres manager Bochy ejected by 2B umpire Timmons for arguing that ball hit by Vitiello was not cleanly caught","2000COL.EVN.regular.comment.csv",19
"COL200008060",58,"ej,bellb001,M,everm901,Warning to both teams after HBP $HP umpire Mike Everitt warned both teams; Rockies Manager Buddy Bell ejected by Everitt","2000COL.EVN.regular.comment.csv",20
"COL200008060",73,"Debut game for Craig House","2000COL.EVN.regular.comment.csv",21
"COL200008070",84,"Debut game for Juan Pierre","2000COL.EVN.regular.comment.csv",22
"COL200008220",98,"ej,galaa001,P,monte901,Charging mound after HBP ej,bellb001,M,monte901,Intentional HBP ej,wasdj001,P,monte901,Intentional HBP $Andres Galarraga charged the mound; Galarraga, John Wasdin & Rockies manager Buddy Bell ejected by HP umpire Ed Montague","2000COL.EVN.regular.comment.csv",23
"COL200008220",103,"$Brent Mayne is first non-pitcher to win a game since 1968 (Rocky Colavito)","2000COL.EVN.regular.comment.csv",24
"COL200009020",88,"Debut game for Elvis Pena","2000COL.EVN.regular.comment.csv",25
"COL200009040",81,"Jimenez ran the ball ball to first for the out","2000COL.EVN.regular.comment.csv",26
"COL200009050",61,"Debut game for Oswaldo Mairena","2000COL.EVN.regular.comment.csv",27
"COL200009100",42,"ej,bellb001,M,lampi901,Call at HP Rockies manager Buddy Bell ejected by HP umpire Ian Lamplugh","2000COL.EVN.regular.comment.csv",28
"COL200009230",0,"38 minute rain delay in the seventh","2000COL.EVN.regular.comment.csv",29
"COL200009230",54,"game called for rain","2000COL.EVN.regular.comment.csv",30
"COL200009280",48,"$Armando Reynoso called for interference for running into his own batted ball","2000COL.EVN.regular.comment.csv",31
