"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL"
"HOU200004070","PHI",1,0,0,0,1,"CX",0,0,"gland001","?","gland001","?","doteo001","?","doteo001","?","euset001","bagwj001","biggc001","camik001","bogat001","hidar001","ceder001","aloum001","","","","S9","T","F",8,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",9,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,1,"HOU","PHI","HOU",0,"T","F",0,0,0,0,0,"T","F",0,1,"T","T","gantr001","abreb001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,2,1,0,0,1,0,0,"aloum001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"HOU200004070","PHI",1,0,0,2,2,"BCBFS",0,0,"gantr001","?","gantr001","?","doteo001","?","doteo001","?","euset001","bagwj001","biggc001","camik001","bogat001","hidar001","ceder001","aloum001","gland001","","","K","F","F",7,2,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"2","","","","F","F","F","F","F","F","F","F","F","doteo001","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,2,"HOU","PHI","HOU",0,"F","F",0,0,0,1,1,"T","F",1,1,"T","T","abreb001","roles001","T","T",8,1,1,0,0,0,0,0,0,"euset001","","",2,2,0,0,0,0,3,1,1,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"HOU200004070","PHI",1,0,1,2,1,"BCBB",0,0,"abreb001","?","abreb001","?","doteo001","?","doteo001","?","euset001","bagwj001","biggc001","camik001","bogat001","hidar001","ceder001","aloum001","gland001","","","SB2","F","F",9,3,4,"F","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,2,0,0,"","","","","T","F","F","F","F","F","F","F","F","doteo001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,3,"HOU","PHI","HOU",0,"F","F",0,0,0,2,2,"T","F",1,2,"T","T","roles001","brogr001","T","T",8,1,1,0,0,0,0,0,0,"euset001","","",3,3,0,0,0,0,1,1,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"HOU200004070","PHI",1,0,1,3,2,"BCBBFX",0,0,"abreb001","?","abreb001","?","doteo001","?","doteo001","?","euset001","bagwj001","biggc001","camik001","bogat001","hidar001","ceder001","aloum001","","gland001","","7/F7","F","F",9,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","7",0,0,"N",0,"N",0,"N",0,0,2,0,"7","","","","F","F","F","F","F","F","F","F","F","","doteo001","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,4,"HOU","PHI","HOU",0,"F","F",0,0,0,2,2,"F","F",2,2,"T","T","roles001","brogr001","T","T",0,0,0,8,1,1,0,0,0,"","euset001","",3,3,0,0,0,0,3,1,0,1,1,0,0,"hidar001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"HOU200004070","PHI",1,0,2,0,2,"CSS",0,0,"roles001","?","roles001","?","doteo001","?","doteo001","?","euset001","bagwj001","biggc001","camik001","bogat001","hidar001","ceder001","aloum001","","gland001","","K","F","F",5,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"2","","","","F","F","F","F","F","F","F","F","F","","doteo001","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,5,"HOU","PHI","HOU",0,"F","T",0,0,0,3,3,"T","F",2,2,"T","T","brogr001","liebm001","T","T",0,0,0,8,1,1,0,0,0,"","euset001","",0,0,0,0,0,0,3,1,2,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"HOU200004070","PHI",1,1,0,2,1,"CBBX",0,0,"biggc001","?","biggc001","?","wolfr001","?","wolfr001","?","liebm001","brogr001","moram001","roles001","ariaa001","gantr001","gland001","abreb001","","","","S8","T","F",4,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,6,"HOU","HOU","PHI",1,"T","F",0,0,0,0,0,"T","F",0,1,"T","T","ceder001","bagwj001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,2,1,0,0,1,0,0,"gland001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"HOU200004070","PHI",1,1,0,2,1,"BFBX",0,0,"ceder001","?","ceder001","?","wolfr001","?","wolfr001","?","liebm001","brogr001","moram001","roles001","ariaa001","gantr001","gland001","abreb001","biggc001","","","36(1)/FO","F","F",8,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","36","","","F","F","F","F","F","F","F","F","F","wolfr001","","","F","F","F","F","F","","","","",0,6,0,0,3,0,0,0,0,7,"HOU","HOU","PHI",1,"F","F",0,0,0,1,1,"T","F",1,1,"T","T","bagwj001","camik001","T","T",4,1,6,0,0,0,0,0,0,"liebm001","","",2,2,0,0,0,0,2,0,0,1,1,0,0,"brogr001","T","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"HOU200004070","PHI",1,1,1,3,2,"BBBCFB",0,0,"bagwj001","?","bagwj001","?","wolfr001","?","wolfr001","?","liebm001","brogr001","moram001","roles001","ariaa001","gantr001","gland001","abreb001","ceder001","","","W.1-2","F","F",3,3,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","wolfr001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8,"HOU","HOU","PHI",1,"F","F",0,0,0,2,2,"T","F",1,3,"T","T","camik001","aloum001","T","T",8,2,7,0,0,0,0,0,0,"liebm001","","",4,4,0,0,0,0,2,1,0,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"HOU200004070","PHI",1,1,1,3,2,"BBFFBX",0,0,"camik001","?","camik001","?","wolfr001","?","wolfr001","?","liebm001","brogr001","moram001","roles001","ariaa001","gantr001","gland001","abreb001","bagwj001","ceder001","","9/F9.2-3","F","F",5,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"F","F","F","9",0,0,"N",0,"N",0,"N",0,1,3,0,"9","","","","F","F","F","F","F","F","F","F","F","wolfr001","wolfr001","","F","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,9,"HOU","HOU","PHI",1,"F","F",0,0,0,3,3,"T","F",3,5,"T","T","aloum001","hidar001","T","T",3,3,8,8,2,7,0,0,0,"liebm001","liebm001","",3,3,0,0,0,0,3,0,0,2,1,0,0,"abreb001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"HOU200004070","PHI",1,1,2,2,2,"BBCFFFX",0,0,"aloum001","?","aloum001","?","wolfr001","?","wolfr001","?","liebm001","brogr001","moram001","roles001","ariaa001","gantr001","gland001","abreb001","bagwj001","","ceder001","4/P4","F","F",9,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"P","F","F","4",0,0,"N",0,"N",0,"N",0,1,0,3,"4","","","","F","F","F","F","F","F","F","F","F","wolfr001","","wolfr001","F","F","F","F","F","","","","",0,4,0,0,0,0,0,0,0,10,"HOU","HOU","PHI",1,"F","T",0,0,0,4,4,"T","F",5,5,"T","T","hidar001","euset001","T","T",3,3,8,0,0,0,8,2,7,"liebm001","","liebm001",2,2,0,0,0,0,5,1,0,3,1,0,0,"moram001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
