"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX","FILENAME_TX","LINE_NUMBER_CT"
"OAK200004030","20000403",0,"Monday",705,"T","N","DET","OAK","OAK01","nomoh001","appik001","monte901","laynj901","barrt901","randt901","","",53498,"","","","","",0,1,60,0,15,0,0,1,193,9,7,4,11,4,0,2,12,3,"nomoh001","appik001","jonet003","","polol001",9,"ausmb001",2,"higgb001",7,"gonzj002",10,"clart002",3,"palmd002",5,"easld001",4,"encaj001",8,"cruzd001",6,"beckr002",8,"tejam001",6,"giamj001",3,"jahaj001",10,"staim001",9,"grieb001",7,"hernr002",2,"chave001",5,"menef001",4,"jonet003","tam-j001","","",,,54,,,,020400010,100110010,39,4,0,1,4,0,0,1,6,1,10,0,0,0,0,3,4,4,1,0,27,9,0,0,0,31,0,0,4,4,0,0,0,3,0,9,0,0,0,0,3,4,4,0,0,27,8,0,0,0,,,,,,,,,,,"Hideo Nomo","Kevin Appier","Todd Jones","polol001","Luis Polonia","Luis Polonia","Brad Ausmus","Bobby Higginson","Juan Gonzalez","Tony Clark","Dean Palmer","Damion Easley","Juan Encarnacion","Deivi Cruz","Rich Becker","Miguel Tejada","Jason Giambi","John Jaha","Matt Stairs","Ben Grieve","Ramon Hernandez","Eric Chavez","Frank Menechino",,,"2000OAK.EVA.regular.game.csv",2
"OAK200004040","20000404",0,"Tuesday",705,"T","N","DET","OAK","OAK01","nitkc001","hudst001","laynj901","barrt901","randt901","monte901","","",10188,"","","","","",0,1,58,3,14,0,0,1,159,9,1,3,2,5,1,0,5,5,"hudst001","nitkc001","isrij001","","polol001",9,"ausmb001",2,"higgb001",7,"palmd002",5,"clart002",3,"easld001",4,"fickr001",10,"encaj001",8,"cruzd001",6,"chrir001",8,"tejam001",6,"giamj001",3,"jahaj001",10,"staim001",9,"grieb001",7,"hernr002",2,"chave001",5,"menef001",4,"poolj001","isrij001","","",,,51,,,,000000001,00012000x,29,1,0,0,0,0,0,0,4,0,11,0,0,0,0,4,1,1,0,0,24,9,0,2,0,28,0,1,0,3,0,0,0,4,0,9,0,0,2,0,3,0,0,0,0,27,7,1,0,0,,,,,,,,,,,"Tim Hudson","C.J. Nitkowski","Jason Isringhausen","grieb001","Ben Grieve","Luis Polonia","Brad Ausmus","Bobby Higginson","Dean Palmer","Tony Clark","Damion Easley","Robert Fick","Juan Encarnacion","Deivi Cruz","Ryan Christenson","Miguel Tejada","Jason Giambi","John Jaha","Matt Stairs","Ben Grieve","Ramon Hernandez","Eric Chavez","Frank Menechino",,,"2000OAK.EVA.regular.game.csv",3
"OAK200004050","20000405",0,"Wednesday",1235,"T","D","DET","OAK","OAK01","moehb001","olivo001","barrt901","randt901","monte901","laynj901","","",10229,"","","","","",0,1,65,3,10,0,0,1,162,9,2,8,6,10,2,1,6,4,"olivo001","moehb001","","","polol001",9,"ausmb001",2,"higgb001",7,"palmd002",5,"clart002",3,"easld001",4,"fickr001",10,"encaj001",8,"cruzd001",6,"beckr002",8,"menef001",4,"giamj001",3,"jahaj001",10,"staim001",9,"grieb001",7,"hernr002",2,"chave001",5,"tejam001",6,"pattd001","servs001","","",,,51,,,,000001010,00301013x,31,0,0,0,2,0,0,1,3,0,4,0,0,3,0,5,5,5,1,0,24,10,0,1,0,31,2,0,2,7,0,3,0,2,0,6,0,0,1,0,3,2,2,0,0,27,12,0,3,0,,,,,,,,,,,"Omar Olivares","Brian Moehler","(none)","","(none)","Luis Polonia","Brad Ausmus","Bobby Higginson","Dean Palmer","Tony Clark","Damion Easley","Robert Fick","Juan Encarnacion","Deivi Cruz","Rich Becker","Frank Menechino","Jason Giambi","John Jaha","Matt Stairs","Ben Grieve","Ramon Hernandez","Eric Chavez","Miguel Tejada",,,"2000OAK.EVA.regular.game.csv",4
"OAK200004070","20000407",0,"Friday",705,"T","N","CHA","OAK","OAK01","eldrc001","hereg001","marqa901","brinj901","nelsj901","cousd901","","",10549,"","","","","",0,1,57,3,16,0,0,1,216,9,7,6,9,6,1,1,9,5,"eyres001","magnm001","foulk001","","durhr001",4,"valej003",6,"thomf001",3,"ordom001",9,"konep001",10,"singc001",8,"lee-c001",7,"nortg001",5,"paulj001",2,"beckr002",8,"menef001",4,"giamj001",3,"jahaj001",10,"staim001",9,"grieb001",7,"hernr002",2,"chave001",5,"tejam001",6,"foulk001","tam-j001","","",,,54,,,,200000140,300102000,34,3,0,1,7,0,0,1,7,2,9,0,1,1,1,5,6,6,0,0,27,7,0,2,0,29,1,0,2,5,1,0,1,7,0,11,1,0,2,0,5,6,6,0,0,27,11,0,2,0,,,,,,,,,,,"Scott Eyre","Mike Magnante","Keith Foulke","durhr001","Ray Durham","Ray Durham","Jose Valentin","Frank Thomas","Magglio Ordonez","Paul Konerko","Chris Singleton","Carlos Lee","Greg Norton","Josh Paul","Rich Becker","Frank Menechino","Jason Giambi","John Jaha","Matt Stairs","Ben Grieve","Ramon Hernandez","Eric Chavez","Miguel Tejada",,,"2000OAK.EVA.regular.game.csv",5
"OAK200004080","20000408",0,"Saturday",105,"T","D","CHA","OAK","OAK01","sirom001","mahar001","brinj901","nelsj901","cousd901","marqa901","","",13125,"","","","","",0,1,53,3,8,0,0,3,179,9,7,3,13,7,4,0,5,12,"sirom001","mahar001","","","durhr001",4,"valej003",6,"thomf001",10,"ordom001",9,"konep001",3,"singc001",8,"lee-c001",7,"wilsc002",5,"johnm003",2,"chrir001",8,"menef001",4,"giamj001",3,"jahaj001",10,"staim001",9,"saeno001",5,"grieb001",7,"tejam001",6,"fasas001",2,"howrb001","tam-j001","","",,,54,,,,012300010,100002000,37,1,0,1,6,0,0,0,2,0,4,2,1,2,0,5,1,1,0,0,27,7,0,0,0,36,2,0,0,2,0,1,0,5,0,8,0,0,0,0,3,7,7,0,0,27,13,0,2,0,,,,,,,,,,,"Mike Sirotka","Ron Mahay","(none)","ordom001","Magglio Ordonez","Ray Durham","Jose Valentin","Frank Thomas","Magglio Ordonez","Paul Konerko","Chris Singleton","Carlos Lee","Craig Wilson","Mark Johnson","Ryan Christenson","Frank Menechino","Jason Giambi","John Jaha","Matt Stairs","Olmedo Saenz","Ben Grieve","Miguel Tejada","Sal Fasano",,,"2000OAK.EVA.regular.game.csv",6
"OAK200004090","20000409",0,"Sunday",105,"T","D","CHA","OAK","OAK01","wellk001","appik001","nelsj901","cousd901","marqa901","brinj901","","",13280,"","","","","",0,1,58,3,12,0,0,1,180,9,2,14,9,9,1,0,7,5,"appik001","wellk001","","","durhr001",4,"valej003",6,"thomf001",3,"ordom001",9,"konep001",10,"singc001",8,"lee-c001",7,"nortg001",5,"johnm003",2,"beckr002",8,"menef001",4,"giamj001",3,"staim001",9,"grieb001",7,"giamj002",10,"tejam001",6,"chave001",5,"fasas001",2,"simab001","isrij001","","",,,51,,,,000002000,00021560x,34,1,0,1,2,0,0,0,2,0,5,0,0,2,0,4,13,13,0,0,24,5,0,1,0,30,0,1,2,14,0,3,0,10,1,6,1,0,1,0,3,2,2,0,0,27,8,0,2,0,,,,,,,,,,,"Kevin Appier","Kip Wells","(none)","giamj002","Jeremy Giambi","Ray Durham","Jose Valentin","Frank Thomas","Magglio Ordonez","Paul Konerko","Chris Singleton","Carlos Lee","Greg Norton","Mark Johnson","Rich Becker","Frank Menechino","Jason Giambi","Matt Stairs","Ben Grieve","Jeremy Giambi","Miguel Tejada","Eric Chavez","Sal Fasano",,,"2000OAK.EVA.regular.game.csv",7
"OAK200004100","20000410",0,"Monday",705,"T","N","CLE","OAK","OAK01","finlc001","hudst001","coope901","diazl901","reilm901","kellj901","","",9123,"","","","","",0,1,60,3,13,0,0,1,232,9,9,4,14,8,0,0,17,6,"kamis001","tam-j001","","","loftk001",10,"vizqo001",6,"alomr001",4,"ramim002",9,"thomj002",3,"justd001",7,"frymt001",5,"cruzj003",8,"diaze002",2,"chrir001",8,"menef001",4,"giamj001",3,"jahaj001",10,"staim001",9,"hernr002",2,"grieb001",7,"tejam001",6,"chave001",5,"karss001","matht002","","",,,54,,,,300100302,002002000,41,3,1,0,9,0,0,2,10,0,3,0,0,0,0,4,4,4,0,0,27,6,0,1,0,34,1,0,1,4,0,0,0,3,0,16,1,0,1,0,4,9,9,0,0,27,16,0,0,0,,,,,,,,,,,"Scott Kamieniecki","Jeff Tam","(none)","cruzj003","Jacob Cruz","Kenny Lofton","Omar Vizquel","Roberto Alomar","Manny Ramirez","Jim Thome","David Justice","Travis Fryman","Jacob Cruz","Einar Diaz","Ryan Christenson","Frank Menechino","Jason Giambi","John Jaha","Matt Stairs","Ramon Hernandez","Ben Grieve","Miguel Tejada","Eric Chavez",,,"2000OAK.EVA.regular.game.csv",8
"OAK200004110","20000411",0,"Tuesday",705,"T","N","CLE","OAK","OAK01","nagyc001","olivo001","diazl901","reilm901","kellj901","coope901","","",8638,"","","","","",0,1,68,5,9,0,0,1,178,9,5,1,7,4,0,1,8,6,"nagyc001","olivo001","","","loftk001",8,"vizqo001",6,"alomr001",4,"ramim002",9,"thomj002",3,"sexsr001",10,"justd001",7,"frymt001",5,"aloms001",2,"beckr002",8,"menef001",4,"giamj001",3,"jahaj001",10,"staim001",9,"grieb001",7,"hernr002",2,"chave001",5,"tejam001",6,"shuep001","joned001","","",,,54,,,,001121000,000100000,32,2,0,1,3,0,1,1,6,0,7,0,0,1,0,2,1,1,0,0,27,10,0,0,0,30,1,0,1,1,0,0,0,4,0,8,0,1,0,0,4,4,4,0,0,27,9,0,1,0,,,,,,,,,,,"Charles Nagy","Omar Olivares","(none)","justd001","David Justice","Kenny Lofton","Omar Vizquel","Roberto Alomar","Manny Ramirez","Jim Thome","Richie Sexson","David Justice","Travis Fryman","Sandy Alomar","Rich Becker","Frank Menechino","Jason Giambi","John Jaha","Matt Stairs","Ben Grieve","Ramon Hernandez","Eric Chavez","Miguel Tejada",,,"2000OAK.EVA.regular.game.csv",9
"OAK200004120","20000412",0,"Wednesday",1235,"T","D","CLE","OAK","OAK01","wrigj002","hereg001","reilm901","kellj901","coope901","diazl901","","",14683,"","","","","",0,1,64,1,6,0,0,2,153,9,5,0,8,5,0,0,2,4,"wrigj002","hereg001","","","loftk001",8,"vizqo001",6,"alomr001",4,"ramim002",9,"thomj002",3,"sexsr001",7,"justd001",10,"frymt001",5,"diaze002",2,"beckr002",8,"chave001",5,"giamj001",3,"staim001",10,"giamj002",9,"grieb001",7,"tejam001",6,"fasas001",2,"velaj001",4,"","isrij001","","",,,54,,,,000010301,000000000,32,3,0,1,4,0,0,0,2,0,7,0,0,1,0,1,0,0,0,0,27,8,0,2,0,29,0,0,0,0,0,0,0,2,0,6,0,0,2,0,3,5,5,0,0,27,9,0,3,0,,,,,,,,,,,"Jaret Wright","Gil Heredia","(none)","","(none)","Kenny Lofton","Omar Vizquel","Roberto Alomar","Manny Ramirez","Jim Thome","Richie Sexson","David Justice","Travis Fryman","Einar Diaz","Rich Becker","Eric Chavez","Jason Giambi","Matt Stairs","Jeremy Giambi","Ben Grieve","Miguel Tejada","Sal Fasano","Jorge Velandia",,,"2000OAK.EVA.regular.game.csv",10
"OAK200004210","20000421",0,"Friday",705,"T","N","BAL","OAK","OAK01","ponss001","olivo001","barrt901","laynj901","monte901","randt901","","",11802,"","","","","",0,1,57,3,24,0,0,2,206,9,11,9,15,11,0,1,6,11,"ponss001","olivo001","timlm001","","andeb001",8,"deshd001",4,"surhb001",7,"bellj002",9,"bainh001",10,"ripkc001",5,"clarw001",3,"johnc002",2,"bordm001",6,"beckr002",8,"tejam001",6,"giamj001",10,"saeno001",3,"staim001",9,"grieb001",7,"hernr002",2,"chave001",5,"velaj001",4,"timlm001","isrij001","","",,,54,,,,100023500,100002060,39,3,0,1,10,0,0,0,5,0,4,0,1,2,0,6,8,8,1,0,27,9,1,0,0,37,2,0,1,7,1,0,1,8,0,8,0,0,0,0,3,10,10,0,0,27,15,0,2,0,,,,,,,,,,,"Sidney Ponson","Omar Olivares","Mike Timlin","bordm001","Mike Bordick","Brady Anderson","Delino DeShields","B.J. Surhoff","Albert Belle","Harold Baines","Cal Ripken","Will Clark","Charles Johnson","Mike Bordick","Rich Becker","Miguel Tejada","Jason Giambi","Olmedo Saenz","Matt Stairs","Ben Grieve","Ramon Hernandez","Eric Chavez","Jorge Velandia",,,"2000OAK.EVA.regular.game.csv",11
