"GAME_ID","GAME_DT","GAME_CT","GAME_DY","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","AWAY_START_PIT_ID","HOME_START_PIT_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","BASE3_UMP_ID","LF_UMP_ID","RF_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","TRANSLATOR_RECORD_ID","INPUTTER_RECORD_ID","INPUT_RECORD_TS","EDIT_RECORD_TS","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","INN_CT","AWAY_SCORE_CT","HOME_SCORE_CT","AWAY_HITS_CT","HOME_HITS_CT","AWAY_ERR_CT","HOME_ERR_CT","AWAY_LOB_CT","HOME_LOB_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID","GWRBI_BAT_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD","HOME_LINEUP1_BAT_ID","HOME_LINEUP1_FLD_CD","HOME_LINEUP2_BAT_ID","HOME_LINEUP2_FLD_CD","HOME_LINEUP3_BAT_ID","HOME_LINEUP3_FLD_CD","HOME_LINEUP4_BAT_ID","HOME_LINEUP4_FLD_CD","HOME_LINEUP5_BAT_ID","HOME_LINEUP5_FLD_CD","HOME_LINEUP6_BAT_ID","HOME_LINEUP6_FLD_CD","HOME_LINEUP7_BAT_ID","HOME_LINEUP7_FLD_CD","HOME_LINEUP8_BAT_ID","HOME_LINEUP8_FLD_CD","HOME_LINEUP9_BAT_ID","HOME_LINEUP9_FLD_CD","AWAY_FINISH_PIT_ID","HOME_FINISH_PIT_ID","AWAY_TEAM_LEAGUE_ID","HOME_TEAM_LEAGUE_ID","AWAY_TEAM_GAME_CT","HOME_TEAM_GAME_CT","OUTS_CT","COMPLETION_TX","FORFEIT_TX","PROTEST_TX","AWAY_LINE_TX","HOME_LINE_TX","AWAY_AB_CT","AWAY_2B_CT","AWAY_3B_CT","AWAY_HR_CT","AWAY_BI_CT","AWAY_SH_CT","AWAY_SF_CT","AWAY_HP_CT","AWAY_BB_CT","AWAY_IBB_CT","AWAY_SO_CT","AWAY_SB_CT","AWAY_CS_CT","AWAY_GDP_CT","AWAY_XI_CT","AWAY_PITCHER_CT","AWAY_ER_CT","AWAY_TER_CT","AWAY_WP_CT","AWAY_BK_CT","AWAY_PO_CT","AWAY_A_CT","AWAY_PB_CT","AWAY_DP_CT","AWAY_TP_CT","HOME_AB_CT","HOME_2B_CT","HOME_3B_CT","HOME_HR_CT","HOME_BI_CT","HOME_SH_CT","HOME_SF_CT","HOME_HP_CT","HOME_BB_CT","HOME_IBB_CT","HOME_SO_CT","HOME_SB_CT","HOME_CS_CT","HOME_GDP_CT","HOME_XI_CT","HOME_PITCHER_CT","HOME_ER_CT","HOME_TER_CT","HOME_WP_CT","HOME_BK_CT","HOME_PO_CT","HOME_A_CT","HOME_PB_CT","HOME_DP_CT","HOME_TP_CT","UMP_HOME_NAME_TX","UMP_1B_NAME_TX","UMP_2B_NAME_TX","UMP_3B_NAME_TX","UMP_LF_NAME_TX","UMP_RF_NAME_TX","AWAY_MANAGER_ID","AWAY_MANAGER_NAME_TX","HOME_MANAGER_ID","HOME_MANAGER_NAME_TX","WIN_PIT_NAME_TX","LOSE_PIT_NAME_TX","SAVE_PIT_NAME_TX","GOAHEAD_RBI_ID","GOAHEAD_RBI_NAME_TX","AWAY_LINEUP1_BAT_NAME_TX","AWAY_LINEUP2_BAT_NAME_TX","AWAY_LINEUP3_BAT_NAME_TX","AWAY_LINEUP4_BAT_NAME_TX","AWAY_LINEUP5_BAT_NAME_TX","AWAY_LINEUP6_BAT_NAME_TX","AWAY_LINEUP7_BAT_NAME_TX","AWAY_LINEUP8_BAT_NAME_TX","AWAY_LINEUP9_BAT_NAME_TX","HOME_LINEUP1_BAT_NAME_TX","HOME_LINEUP2_BAT_NAME_TX","HOME_LINEUP3_BAT_NAME_TX","HOME_LINEUP4_BAT_NAME_TX","HOME_LINEUP5_BAT_NAME_TX","HOME_LINEUP6_BAT_NAME_TX","HOME_LINEUP7_BAT_NAME_TX","HOME_LINEUP8_BAT_NAME_TX","HOME_LINEUP9_BAT_NAME_TX","ADD_INFO_TX","ACQ_INFO_TX","FILENAME_TX","LINE_NUMBER_CT"
"TEX200004030","20000403",0,"Monday",205,"T","D","CHA","TEX","ARL02","sirom001","rogek001","davig901","joycj901","riekr901","emmep901","","",49332,"","","","","",0,1,59,4,25,0,0,2,159,9,4,10,10,11,3,0,5,6,"rogek001","sirom001","","","durhr001",4,"valej003",6,"thomf001",3,"ordom001",9,"konep001",10,"singc001",8,"lee-c001",7,"wilsc002",5,"johnm003",2,"clayr001",6,"greer001",7,"rodri001",2,"palmr001",10,"mater001",8,"segud001",3,"kaplg001",9,"evant001",5,"alicl001",4,"wunsk001","zimmj001","","",,,51,,,,001000003,01314010x,34,1,0,0,2,0,0,0,2,0,1,0,0,4,0,5,7,7,0,0,24,13,0,1,0,34,1,0,4,9,0,0,2,4,0,6,0,1,1,0,4,4,4,1,0,27,18,0,4,0,,,,,,,,,,,"Kenny Rogers","Mike Sirotka","(none)","rodri001","Ivan Rodriguez","Ray Durham","Jose Valentin","Frank Thomas","Magglio Ordonez","Paul Konerko","Chris Singleton","Carlos Lee","Craig Wilson","Mark Johnson","Royce Clayton","Rusty Greer","Ivan Rodriguez","Rafael Palmeiro","Ruben Mateo","David Segui","Gabe Kapler","Tom Evans","Luis Alicea",,,"2000TEX.EVA.regular.game.csv",2
"TEX200004040","20000404",0,"Tuesday",705,"T","N","CHA","TEX","ARL02","wellk001","hellr001","joycj901","riekr901","emmep901","davig901","","",29418,"","","","","",0,1,69,8,10,0,0,1,227,9,8,12,14,12,2,1,9,10,"cordf002","simab001","","","durhr001",4,"valej003",6,"thomf001",3,"ordom001",9,"konep001",5,"singc001",8,"lee-c001",10,"abboj002",7,"johnm003",2,"clayr001",6,"greer001",7,"rodri001",2,"palmr001",3,"mater001",8,"segud001",10,"kaplg001",9,"cataf001",4,"evant001",5,"howrb001","wettj001","","",,,51,,,,000411200,30001701x,41,5,1,1,8,0,0,1,2,0,6,1,0,0,0,7,10,10,0,0,24,7,0,1,0,35,3,0,2,9,1,0,0,10,1,9,1,0,1,0,6,8,8,0,0,27,8,0,0,0,,,,,,,,,,,"Francisco Cordero","Bill Simas","(none)","greer001","Rusty Greer","Ray Durham","Jose Valentin","Frank Thomas","Magglio Ordonez","Paul Konerko","Chris Singleton","Carlos Lee","Jeff Abbott","Mark Johnson","Royce Clayton","Rusty Greer","Ivan Rodriguez","Rafael Palmeiro","Ruben Mateo","David Segui","Gabe Kapler","Frank Catalanotto","Tom Evans",,,"2000TEX.EVA.regular.game.csv",3
"TEX200004050","20000405",0,"Wednesday",205,"T","D","CHA","TEX","ARL02","parqj001","olivd001","riekr901","emmep901","davig901","joycj901","","",25544,"","","","","",0,1,73,7,18,0,0,1,210,9,12,8,15,13,2,2,12,6,"foulk001","zimmj001","","","durhr001",4,"valej003",6,"thomf001",10,"ordom001",9,"konep001",3,"singc001",8,"lee-c001",7,"wilsc002",5,"paulj001",2,"clayr001",6,"curtc001",7,"rodri001",2,"palmr001",10,"mater001",8,"segud001",3,"kaplg001",9,"alicl001",4,"evant001",5,"howrb001","venam002","","",,,54,,,,220030005,000150011,38,7,0,1,12,2,2,0,9,1,7,2,0,1,0,4,7,7,0,0,27,10,0,2,0,38,1,0,2,7,1,0,0,2,0,8,0,0,2,0,5,9,9,2,0,27,9,0,1,0,,,,,,,,,,,"Keith Foulke","Jeff Zimmerman","(none)","singc001","Chris Singleton","Ray Durham","Jose Valentin","Frank Thomas","Magglio Ordonez","Paul Konerko","Chris Singleton","Carlos Lee","Craig Wilson","Josh Paul","Royce Clayton","Chad Curtis","Ivan Rodriguez","Rafael Palmeiro","Ruben Mateo","David Segui","Gabe Kapler","Luis Alicea","Tom Evans",,,"2000TEX.EVA.regular.game.csv",4
"TEX200004060","20000406",0,"Thursday",705,"T","N","CHA","TEX","ARL02","baldj002","loaie001","emmep901","davig901","joycj901","riekr901","","",28466,"","","","","",0,1,78,7,23,0,0,1,143,9,6,2,11,6,0,0,5,6,"baldj002","loaie001","","","durhr001",4,"valej003",6,"thomf001",10,"ordom001",9,"konep001",3,"singc001",8,"lee-c001",7,"wilsc002",5,"johnm003",2,"clayr001",6,"greer001",7,"rodri001",2,"palmr001",3,"mater001",8,"segud001",10,"kaplg001",9,"cataf001",4,"evant001",5,"howrb001","crabt001","","",,,54,,,,100310001,000020000,35,2,0,3,6,1,0,1,1,0,5,0,0,1,0,2,2,2,0,0,27,11,0,0,0,33,1,0,0,2,0,0,0,2,0,4,0,0,0,0,2,6,6,0,0,27,18,0,1,0,,,,,,,,,,,"James Baldwin","Esteban Loaiza","(none)","durhr001","Ray Durham","Ray Durham","Jose Valentin","Frank Thomas","Magglio Ordonez","Paul Konerko","Chris Singleton","Carlos Lee","Craig Wilson","Mark Johnson","Royce Clayton","Rusty Greer","Ivan Rodriguez","Rafael Palmeiro","Ruben Mateo","David Segui","Gabe Kapler","Frank Catalanotto","Tom Evans",,,"2000TEX.EVA.regular.game.csv",5
"TEX200004070","20000407",0,"Friday",705,"T","N","TOR","TEX","ARL02","castf001","clarm002","demud901","relic901","eddid901","carlm901","","",31619,"","","","","",0,1,77,4,23,0,0,2,169,9,5,11,11,11,0,1,6,6,"clarm002","castf001","","","stews002",7,"bushh001",4,"mondr002",9,"delgc001",3,"fullb001",10,"batit001",5,"fletd001",2,"cruzj004",8,"gonza001",6,"clayr001",6,"greer001",7,"rodri001",2,"palmr001",10,"mater001",8,"segud001",3,"kaplg001",9,"cataf001",4,"evant001",5,"frasj001","wettj001","","",,,51,,,,220000001,00322211x,35,0,1,2,4,0,0,1,2,0,9,0,0,3,0,3,11,11,0,0,24,10,0,2,0,31,1,0,5,10,1,1,1,7,0,4,0,0,2,0,4,4,4,0,0,27,17,0,3,0,,,,,,,,,,,"Mark Clark","Frank Castillo","(none)","","(none)","Shannon Stewart","Homer Bush","Raul Mondesi","Carlos Delgado","Brad Fullmer","Tony Batista","Darrin Fletcher","Jose Cruz","Alex S. Gonzalez","Royce Clayton","Rusty Greer","Ivan Rodriguez","Rafael Palmeiro","Ruben Mateo","David Segui","Gabe Kapler","Frank Catalanotto","Tom Evans",,,"2000TEX.EVA.regular.game.csv",6
"TEX200004080","20000408",0,"Saturday",705,"T","N","TOR","TEX","ARL02","welld001","rogek001","relic901","eddid901","carlm901","demud901","","",37128,"","","","","",0,1,56,3,12,0,0,2,172,9,4,0,10,9,0,1,7,9,"welld001","rogek001","","","stews002",7,"grebc001",4,"mondr002",9,"delgc001",3,"batit001",5,"cordm001",10,"cruzj004",8,"gonza001",6,"casta001",2,"clayr001",6,"greer001",7,"rodri001",2,"palmr001",3,"mater001",8,"segud001",10,"curtc001",9,"alicl001",4,"evant001",5,"","perim001","","",,,54,,,,101000200,000000000,36,2,0,1,4,0,1,0,1,0,5,0,1,0,0,1,0,0,0,0,27,13,0,0,0,34,2,0,0,0,1,0,0,1,0,5,0,1,0,0,3,3,3,0,0,27,12,0,1,0,,,,,,,,,,,"David Wells","Kenny Rogers","(none)","delgc001","Carlos Delgado","Shannon Stewart","Craig Grebeck","Raul Mondesi","Carlos Delgado","Tony Batista","Marty Cordova","Jose Cruz","Alex S. Gonzalez","Alberto Castillo","Royce Clayton","Rusty Greer","Ivan Rodriguez","Rafael Palmeiro","Ruben Mateo","David Segui","Chad Curtis","Luis Alicea","Tom Evans",,,"2000TEX.EVA.regular.game.csv",7
"TEX200004090","20000409",0,"Sunday",205,"T","D","TOR","TEX","ARL02","hallr001","hellr001","eddid901","carlm901","demud901","relic901","","",40186,"","","","","",0,1,66,8,15,0,0,1,181,9,5,7,7,9,0,3,8,6,"hellr001","hallr001","","","stews002",7,"bushh001",4,"mondr002",9,"delgc001",3,"batit001",5,"fullb001",10,"cruzj004",8,"fletd001",2,"gonza001",6,"clayr001",6,"greer001",7,"palmr001",10,"segud001",3,"mater001",8,"cataf001",4,"kaplg001",9,"alicl001",5,"haseb001",2,"kochb001","wettj001","","",,,51,,,,200010002,12003001x,35,6,0,0,3,0,0,0,5,0,9,1,1,1,0,4,7,7,0,0,24,10,0,1,0,32,3,1,1,7,0,0,0,5,0,5,0,0,1,0,5,2,2,0,0,27,6,0,1,0,,,,,,,,,,,"Rick Helling","Roy Halladay","(none)","segud001","David Segui","Shannon Stewart","Homer Bush","Raul Mondesi","Carlos Delgado","Tony Batista","Brad Fullmer","Jose Cruz","Darrin Fletcher","Alex S. Gonzalez","Royce Clayton","Rusty Greer","Rafael Palmeiro","David Segui","Ruben Mateo","Frank Catalanotto","Gabe Kapler","Luis Alicea","Bill Haselman",,,"2000TEX.EVA.regular.game.csv",8
"TEX200004170","20000417",0,"Monday",705,"T","N","NYA","TEX","ARL02","coned001","olivd001","kellj901","coope901","diazl901","reilm901","","",38166,"","","","","",0,1,72,5,6,0,0,2,232,11,5,4,8,11,1,1,4,8,"rivem002","crabt001","erdot001","","knobc001",4,"jeted001",6,"oneip001",9,"willb002",8,"martt002",3,"spens001",10,"posaj001",2,"kellb002",7,"bellc001",5,"clayr001",6,"curtc001",7,"rodri001",2,"palmr001",3,"segud001",10,"mater001",8,"kaplg001",9,"alicl001",4,"evant001",5,"erdot001","venam002","","",,,66,,,,00000020111,00200001010,40,0,0,2,5,0,0,0,2,0,9,1,1,1,0,6,4,4,1,0,33,12,0,3,0,38,2,0,1,4,3,0,1,3,0,6,1,1,2,0,4,5,5,0,0,33,13,0,2,0,,,,,,,,,,,"Mariano Rivera","Tim Crabtree","Todd Erdos","martt002","Tino Martinez","Chuck Knoblauch","Derek Jeter","Paul O'Neill","Bernie Williams","Tino Martinez","Shane Spencer","Jorge Posada","Roberto Kelly","Clay Bellinger","Royce Clayton","Chad Curtis","Ivan Rodriguez","Rafael Palmeiro","David Segui","Ruben Mateo","Gabe Kapler","Luis Alicea","Tom Evans",,,"2000TEX.EVA.regular.game.csv",9
"TEX200004180","20000418",0,"Tuesday",705,"T","N","NYA","TEX","ARL02","herno001","rogek001","coope901","diazl901","reilm901","kellj901","","",43644,"","","","","",0,1,85,7,22,0,0,2,170,9,6,3,11,8,0,1,8,6,"herno001","rogek001","","","knobc001",4,"jeted001",6,"oneip001",9,"willb002",8,"martt002",3,"posaj001",2,"kellb002",7,"spens001",10,"soria001",5,"clayr001",6,"curtc001",7,"rodri001",2,"palmr001",3,"segud001",10,"mater001",8,"kaplg001",9,"alicl001",4,"evant001",5,"","munom001","","",,,54,,,,300300000,020100000,36,3,0,2,5,0,0,1,4,0,1,0,1,1,0,1,3,3,0,0,27,7,0,0,0,34,2,0,1,3,0,1,0,1,0,5,0,0,0,0,3,6,6,1,0,27,17,0,1,0,,,,,,,,,,,"Orlando Hernandez","Kenny Rogers","(none)","jeted001","Derek Jeter","Chuck Knoblauch","Derek Jeter","Paul O'Neill","Bernie Williams","Tino Martinez","Jorge Posada","Roberto Kelly","Shane Spencer","Alfonso Soriano","Royce Clayton","Chad Curtis","Ivan Rodriguez","Rafael Palmeiro","David Segui","Ruben Mateo","Gabe Kapler","Luis Alicea","Tom Evans",,,"2000TEX.EVA.regular.game.csv",10
"TEX200004190","20000419",0,"Wednesday",205,"T","D","NYA","TEX","ARL02","clemr001","hellr001","diazl901","reilm901","kellj901","coope901","","",39294,"","","","","",0,1,80,8,20,0,0,2,202,10,5,4,12,7,0,3,12,6,"rivem002","zimmj001","","","johnl001",10,"jeted001",6,"oneip001",9,"willb002",8,"martt002",3,"posaj001",2,"leder001",7,"soria001",5,"delgw001",4,"mcdoj002",7,"alicl001",5,"palmr001",10,"segud001",3,"cataf001",4,"mater001",8,"kaplg001",9,"haseb001",2,"shels001",6,"rivem002","zimmj001","","",,,60,,,,0000101111,0000010120,42,3,0,2,5,0,1,0,4,0,11,3,0,0,0,3,4,4,0,0,30,12,0,1,0,35,3,0,2,4,1,0,1,3,0,6,1,0,1,0,3,5,5,0,0,30,11,0,1,0,,,,,,,,,,,"Mariano Rivera","Jeff Zimmerman","(none)","bellc001","Clay Bellinger","Lance Johnson","Derek Jeter","Paul O'Neill","Bernie Williams","Tino Martinez","Jorge Posada","Ricky Ledee","Alfonso Soriano","Wilson Delgado","Jason McDonald","Luis Alicea","Rafael Palmeiro","David Segui","Frank Catalanotto","Ruben Mateo","Gabe Kapler","Bill Haselman","Scott Sheldon",,,"2000TEX.EVA.regular.game.csv",11
