GAME_ID,EVENT_ID,COMMENT_TX
"HOU200104050",1,"Debut game for Ben Sheets"
"HOU200104050",47,"ej,jenkg001,P,dimum901,Balls and strikes ej,loped001,M,dimum901,Balls and strikes Geoff Jenkins and Brewers Manager Davey Lopes ejected by HP umpire Mike Dimuro"
"HOU200104080",1,"Debut game for Joe Beimel"
"HOU200104080",53,"previous two plays really one"
"HOU200104200",69,"Debut game for Jason Karnuth"
"HOU200104220",25,"$Biggio held at 3B but Vina's throw got past the catcher & pitcher and went into the dugout"
"HOU200105090",27,"overthrow, Lugo started for 3rd, just got back"
"HOU200105090",59,"$struck top of wall"
"HOU200105090",66,"TV confirms switch with no new fielders"
"HOU200105090",88,"$ball was over fence and Alou nearly caught it"
"HOU200105090",92,"very surprising this not scored as SH. Maybe ruling is that he had play beat at 3rd, but didn't seem so"
"HOU200105210",54,"$Adam Eaton called for interference"
"HOU200106030",74,"$LoDuca grounded to Bagwell, who stepped on 1B; Kreuter stayed at 3B and Hansen broke for 3B; Bagwell then threw to Lugo for a rundown with Hansen, who was attempting to return to 2B; Kreuter broke for home; Lugo threw to Eusebio who tagged out Kreuter and Hansen continued to 3B"
"HOU200106160",56,"$Caminiti pulled left hamstring rounding 1B on hit"
"HOU200106160",58,"$Ivan Rodriguez fell to turf after Biggio's grounder, removed as precaution concerning left hamstring"
"HOU200106190",57,"$line drive off Oswalt's forearm, left game with stitch marks on arm"
"HOU200106190",73,"$bad throw past plate, Biggio out trying for second"
"HOU200106240",1,"Debut game for Tim Redding"
"HOU200107040",26,"$7 consecutive strikeouts by Randy Johnson"
"HOU200107040",49,"$great catch by Eusebio"
"HOU200107150",6,"ej,spilh001,C,randt901,Balls and strikes Astros coach Harry Spilman ejected by HP umpire Tony Randazzo in 1st"
"HOU200107170",54,"ej,colob001,P,fleta901,Throwing at batter Bartolo Colon ejected by HP umpire Andy Fletcher"
"HOU200107310",31,"$Julio Lugo called for interference for running into his own batted ball"
"HOU200108010",49,"ej,valeb102,M,davig901,Call at 1B Mets Manager Bobby Valentine ejected by HP umpire Gerry Davis in 7th"
"HOU200108010",54,"apparently runner safe (so RBI), then E3 for adv"
"HOU200108050",1,"$Bergeron stepped on Miller's hand at 1B and cut it"
"HOU200108050",21,"ej,brocd001,P,hollm901,Bench jockeying Astros Doug Brocail ejected from bench by HP umpire Matt Hollowell"
"HOU200108050",30,"$Stevens held Alou as he rounded 1B but no call"
"HOU200108180",1,"Debut game for Carlos E. Hernandez"
"HOU200108180",9,"not clear why this is not a steal for Alou"
"HOU200108290",28,"ej,oestr001,C,wintm901,Call at HP Reds coach Ron Oester ejected by HP umpire Mike Winters"
"HOU200108300",70,"Debut game for Adam Everett"
"HOU200109210",61,"Debut game for Wilfredo Rodriguez"
"HOU200109210",81,"Debut game for Ricky Stone"
"HOU200109230",3,"umpchange,1,umphome,gibsg901 umpchange,1,ump2b,(None) $13 minute umpire injury delay as Reliford struck on head by McGriff's bat; Gibson moved behind plate for remainder of game"
"HOU200109230",57,"Elias gave Biggio two assists on this play. Their thinking: two different runners."
"HOU200109230",62,"$the ball hit the scoreboard and bounced over the fence; long argument by the Cubs; clearly a homer according to rules"
"HOU200109260",36,"$over the railroad track and out of the stadium"
"HOU200110020",2,"$infield shift for Bonds"
"HOU200110020",22,"$infield shift for Bonds"
"HOU200110020",39,"$infield shift for Bonds"
"HOU200110020",51,"$infield shift for Bonds"
"HOU200110020",68,"$infield shift for Bonds"
"HOU200110030",20,"High off column. Benard jogged out of box, should have been easy triple"
"HOU200110030",49,"these two plays go together, but we can't do it"
"HOU200110040",19,"$infield shift for Bonds"
"HOU200110040",78,"$home run #70 into the upper deck to tie McGwire's record estimated 440 ft."
