GAME_ID,EVENT_ID,COMMENT_TX
"SEA200204020",43,"Cirillo spiked in knee by Lofton"
"SEA200204020",66,"Debut game for Jon Rauch"
"SEA200204030",78,"Debut game for Luis Ugueto"
"SEA200204280",58,"$the famous 'walk, but slid over base play'; Jeter gets out by persuading umpire; argument but no ejections"
"SEA200205070",30,"scores 'on throw' - no RBI"
"SEA200205070",60,"Debut game for Julio Mateo"
"SEA200205090",79,"Debut game for Justin Kaye"
"SEA200205100",56,"Debut game for Rafael Soriano"
"SEA200205220",27,"fielding is correct"
"SEA200205220",36,"another strange one, fielding OK"
"SEA200205220",45,"$Cameron rounded third and was caught coming back"
"SEA200205250",18,"Debut game for Chris Snelling"
"SEA200206100",20,"Debut game for So Taguchi"
"SEA200207010",31,"ej,beltc001,P,eddid901,Called third strike Carlos Beltran ejected by HP umpire Doug Eddings"
"SEA200207260",63,"$acrobatic play by Eckstein off deflection by Lackey"
"SEA200207300",22,"$John Halama caught runner, ran at & tagged him"
"SEA200207300",75,"ej,cirij001,P,mealj901,Called third strike Jeff Cirillo ejected by HP umpire Jerry Meals"
"SEA200209010",81,"Debut game for Willie Bloomquist"
"SEA200209160",14,"ej,rodri001,P,carlm901,Called third strike Ivan Rodriguez ejected by HP umpire Mark Carlson"
"SEA200209170",71,"ej,powej001,P,hirsj901,Balls and strikes Jay Powell ejected by HP umpire John Hirschbeck"
"SEA200209170",79,"$the ball bounced over the wall but Rule 10.07(f) made it a single"
"SEA200209180",82,"ej,pinil001,M,buckc901,Call at 1B Mariners manager Lou Piniella ejected by CB Bucknor after call at 1B; Piniella threw his hat, kicked his hat, kicked the infield dirt and threw the 1B bag down the RF line twice; 1B coach John McLaren restrained him from getting to Bucknor; after the game, Piniella admitted that his hamstring & right shoulder hurt"
"SEA200209190",1,"Debut game for Ben Kozlowski"
"SEA200209210",8,"ej,perrg001,C,guccc901,Balls and strikes Mariners coach Gerald Perry ejected by HP umpire Chris Guccione in 2nd"
"SEA200209260",65,"ej,nelsj001,P,mcclt901,Balls and strikes Jeff Nelson ejected by HP umpire Tim McClelland"
