"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"ARI200303310",7,0,"prinb001",1,9,1,"johnr005",1,532003ARI.EVN.regular.sub.csv",2

"ARI200303310",7,1,"coraa001",0,7,4,"cabrj002",4,542003ARI.EVN.regular.sub.csv",3

"ARI200303310",8,0,"villo001",1,9,1,"prinb001",1,632003ARI.EVN.regular.sub.csv",4

"ARI200303310",8,1,"mccrq001",1,9,11,"villo001",1,672003ARI.EVN.regular.sub.csv",5

"ARI200303310",9,0,"rands001",1,9,1,"mccrq001",11,682003ARI.EVN.regular.sub.csv",6

"ARI200303310",9,0,"batim001",1,9,1,"rands001",1,732003ARI.EVN.regular.sub.csv",7

"ARI200304010",8,0,"wardd002",0,9,11,"pereo001",1,562003ARI.EVN.regular.sub.csv",8

"ARI200304010",8,0,"myerm001",1,9,1,"schic002",1,592003ARI.EVN.regular.sub.csv",9

"ARI200304010",8,0,"koplm001",1,9,1,"myerm001",1,612003ARI.EVN.regular.sub.csv",10

"ARI200304010",8,0,"romaj002",0,4,12,"mcgrf001",3,612003ARI.EVN.regular.sub.csv",11

"ARI200304010",8,1,"martt003",0,4,1,"romaj002",12,622003ARI.EVN.regular.sub.csv",12

"ARI200304010",8,1,"wardd002",0,9,3,"wardd002",11,622003ARI.EVN.regular.sub.csv",13

"ARI200304010",9,1,"quanp001",0,4,1,"martt003",1,702003ARI.EVN.regular.sub.csv",14

"ARI200304010",10,0,"mantm001",1,7,1,"overl001",3,732003ARI.EVN.regular.sub.csv",15

"ARI200304010",10,0,"gracm001",1,9,3,"koplm001",1,732003ARI.EVN.regular.sub.csv",16

"ARI200304010",10,0,"kinkm001",0,4,11,"quanp001",1,762003ARI.EVN.regular.sub.csv",17

"ARI200304010",10,1,"shuep001",0,4,1,"kinkm001",11,772003ARI.EVN.regular.sub.csv",18

"ARI200304010",10,1,"counc001",1,8,11,"barar001",2,772003ARI.EVN.regular.sub.csv",19

