"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"CIN200303310",4,1,"penaw001",1,9,11,"haynj001",1,372003CIN.EVN.regular.sub.csv",2

"CIN200303310",5,0,"heref001",1,9,1,"penaw001",11,382003CIN.EVN.regular.sub.csv",3

"CIN200303310",5,0,"sulls001",1,9,1,"heref001",1,412003CIN.EVN.regular.sub.csv",4

"CIN200303310",7,0,"riedj001",1,9,1,"sulls001",1,542003CIN.EVN.regular.sub.csv",5

"CIN200303310",7,1,"younk001",0,5,3,"simor001",3,592003CIN.EVN.regular.sub.csv",6

"CIN200303310",7,1,"taylr001",1,9,11,"riedj001",1,612003CIN.EVN.regular.sub.csv",7

"CIN200303310",7,1,"tavaj001",0,8,1,"wilsj002",6,622003CIN.EVN.regular.sub.csv",8

"CIN200303310",7,1,"nunea001",0,9,6,"bensk001",1,622003CIN.EVN.regular.sub.csv",9

"CIN200303310",8,0,"whitg001",1,9,1,"taylr001",11,632003CIN.EVN.regular.sub.csv",10

"CIN200303310",9,0,"wills002",1,9,1,"whitg001",1,712003CIN.EVN.regular.sub.csv",11

"CIN200303310",9,1,"beimj001",0,8,1,"tavaj001",1,742003CIN.EVN.regular.sub.csv",12

"CIN200304020",7,0,"nunea001",0,9,11,"wellk001",1,522003CIN.EVN.regular.sub.csv",13

"CIN200304020",7,0,"whitg001",1,9,1,"dempr002",1,572003CIN.EVN.regular.sub.csv",14

"CIN200304020",7,0,"sandr002",0,5,11,"simor001",3,572003CIN.EVN.regular.sub.csv",15

"CIN200304020",7,1,"torrs001",0,5,1,"sandr002",11,582003CIN.EVN.regular.sub.csv",16

"CIN200304020",7,1,"younk001",0,9,3,"nunea001",11,582003CIN.EVN.regular.sub.csv",17

"CIN200304020",7,1,"taylr001",1,9,11,"whitg001",1,582003CIN.EVN.regular.sub.csv",18

"CIN200304020",8,0,"manzj001",1,9,1,"taylr001",11,632003CIN.EVN.regular.sub.csv",19

"CIN200304020",8,0,"merck001",1,9,1,"manzj001",1,692003CIN.EVN.regular.sub.csv",20

"CIN200304020",8,1,"saues001",0,5,1,"torrs001",1,702003CIN.EVN.regular.sub.csv",21

"CIN200304020",8,1,"boehb001",0,5,1,"saues001",1,732003CIN.EVN.regular.sub.csv",22

"CIN200304020",9,0,"riedj001",1,7,1,"larsb001",5,742003CIN.EVN.regular.sub.csv",23

"CIN200304020",9,0,"lopef001",1,9,5,"merck001",1,742003CIN.EVN.regular.sub.csv",24

"CIN200304020",9,0,"mackr001",0,5,11,"boehb001",1,752003CIN.EVN.regular.sub.csv",25

"CIN200304020",9,1,"mackr001",0,5,9,"mackr001",11,772003CIN.EVN.regular.sub.csv",26

"CIN200304020",9,1,"willm005",0,6,1,"staim001",9,772003CIN.EVN.regular.sub.csv",27

"CIN200304030",5,0,"sulls001",1,9,1,"andej002",1,442003CIN.EVN.regular.sub.csv",28

"CIN200304030",7,0,"merck001",1,9,1,"sulls001",1,552003CIN.EVN.regular.sub.csv",29

"CIN200304030",7,0,"lopef001",1,1,5,"lopef001",6,572003CIN.EVN.regular.sub.csv",30

"CIN200304030",7,0,"manzj001",1,6,1,"larsb001",5,572003CIN.EVN.regular.sub.csv",31

"CIN200304030",7,0,"larkb001",1,9,6,"merck001",1,572003CIN.EVN.regular.sub.csv",32

"CIN200304030",7,1,"reyed001",0,9,1,"foggj001",1,642003CIN.EVN.regular.sub.csv",33

"CIN200304030",8,0,"simor001",0,9,11,"reyed001",1,672003CIN.EVN.regular.sub.csv",34

"CIN200304030",8,1,"tavaj001",0,9,1,"simor001",11,682003CIN.EVN.regular.sub.csv",35

