"GAME ID","EVENT_ID","COMMENT_TX","FILENAME_TX","LINE_NUMBER_CT"
"BAL200404040",24,"$Johnny Damon was hit by the throw and was called for interference for running inside the line","2004BAL.EVA.regular.comment.csv",2
"BAL200404040",77,"Debut game for Jose Bautista","2004BAL.EVA.regular.comment.csv",3
"BAL200404060",67,"$Millar suffered injury to head on the play and had to leave the game","2004BAL.EVA.regular.comment.csv",4
"BAL200404080",92,"$Jay Gibbons out on appeal","2004BAL.EVA.regular.comment.csv",5
"BAL200404240",103,"ej,toscc801,M,everm901,Interference non-call Blue Jays Manager Carlos Tosca ejected by HP umpire Mike Everitt for failing to call batter interference","2004BAL.EVA.regular.comment.csv",6
"BAL200405160",19,"$B.Molina left game with injured groin","2004BAL.EVA.regular.comment.csv",7
"BAL200405250",35,"Debut game for Denny Bautista","2004BAL.EVA.regular.comment.csv",8
"BAL200406090",32,"$Baerga left game with injured leg","2004BAL.EVA.regular.comment.csv",9
"BAL200406121",93,"ej,wilem101,C,wendh902,Balls and strikes Orioles coach Mark Wiley ejected by HP umpire Hunter Wendelstedt","2004BAL.EVA.regular.comment.csv",10
"BAL200406220",35,"$Bigbie left game with injured leg","2004BAL.EVA.regular.comment.csv",11
"BAL200406250",31,"$Mora left game with injured foot","2004BAL.EVA.regular.comment.csv",12
"BAL200406250",52,"Debut game for Sam McConnell","2004BAL.EVA.regular.comment.csv",13
"BAL200407051",31,"$fan interference","2004BAL.EVA.regular.comment.csv",14
"BAL200407090",42,"$Stairs left with injured foot","2004BAL.EVA.regular.comment.csv",15
"BAL200407110",22,"$Ken Harvey called for interference","2004BAL.EVA.regular.comment.csv",16
"BAL200407110",87,"$fan interference","2004BAL.EVA.regular.comment.csv",17
"BAL200407230",1,"Debut game for John Maine","2004BAL.EVA.regular.comment.csv",18
"BAL200407260",74,"$Hairston left with injured leg","2004BAL.EVA.regular.comment.csv",19
"BAL200408031",0,"$first game of day-night doubleheader","2004BAL.EVA.regular.comment.csv",20
"BAL200408032",0,"$second game of day-night doubleheader","2004BAL.EVA.regular.comment.csv",21
"BAL200408040",15,"57 minute rain delay with 2-0 count on Garcia","2004BAL.EVA.regular.comment.csv",22
"BAL200408060",22,"Debut game for Ryan Snare","2004BAL.EVA.regular.comment.csv",23
"BAL200408170",54,"$Roberts left game with injured foot","2004BAL.EVA.regular.comment.csv",24
"BAL200408170",67,"$Hairston left game with injured foot","2004BAL.EVA.regular.comment.csv",25
"BAL200408200",83,"Debut game for Val Majewski","2004BAL.EVA.regular.comment.csv",26
"BAL200409070",62,"ej,julij001,P,kulpr901,Pitch thrown at batter's head Jorge Julio ejected by HP umpire Ron Kulpa after pitch at Augie Ojeda's head","2004BAL.EVA.regular.comment.csv",27
"BAL200409080",50,"Debut game for Aaron Rakers","2004BAL.EVA.regular.comment.csv",28
"BAL200409080",72,"Debut game for J.D. Durbin","2004BAL.EVA.regular.comment.csv",29
"BAL200409260",31,"$Leon left game with injured leg","2004BAL.EVA.regular.comment.csv",30
"BAL200409300",16,"$Lopez left game with injured foot","2004BAL.EVA.regular.comment.csv",31
