"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID","FILENAME_TX","LINE_NUMBER_CT"
"LAN200404050",5,0,"robik002",0,5,12,"klesr001",7,42,"2004LAN.EVN.regular.sub.csv",2
"LAN200404050",5,1,"robik002",0,5,7,"robik002",12,44,"2004LAN.EVN.regular.sub.csv",3
"LAN200404050",6,0,"sancd001",1,9,1,"nomoh001",1,49,"2004LAN.EVN.regular.sub.csv",4
"LAN200404050",6,0,"longt002",0,9,11,"lawrb001",1,50,"2004LAN.EVN.regular.sub.csv",5
"LAN200404050",6,1,"valdi001",0,9,1,"longt002",11,52,"2004LAN.EVN.regular.sub.csv",6
"LAN200404050",6,1,"grabj001",1,9,11,"sancd001",1,54,"2004LAN.EVN.regular.sub.csv",7
"LAN200404050",6,1,"orope001",0,9,1,"valdi001",1,57,"2004LAN.EVN.regular.sub.csv",8
"LAN200404050",7,0,"alvaw001",1,9,1,"grabj001",11,60,"2004LAN.EVN.regular.sub.csv",9
"LAN200404050",7,1,"lines001",0,9,1,"orope001",1,66,"2004LAN.EVN.regular.sub.csv",10
"LAN200404050",8,1,"osuna002",0,9,1,"lines001",1,74,"2004LAN.EVN.regular.sub.csv",11
"LAN200404050",8,1,"wertj001",1,9,11,"alvaw001",1,74,"2004LAN.EVN.regular.sub.csv",12
"LAN200404050",9,0,"dreid001",1,9,1,"wertj001",11,79,"2004LAN.EVN.regular.sub.csv",13
"LAN200404050",9,1,"witaj001",0,9,1,"osuna002",1,84,"2004LAN.EVN.regular.sub.csv",14
"LAN200404050",9,1,"ventr001",1,8,11,"coraa001",4,87,"2004LAN.EVN.regular.sub.csv",15
"LAN200404060",6,0,"sancd001",1,9,1,"pereo001",1,47,"2004LAN.EVN.regular.sub.csv",16
"LAN200404060",6,1,"grabj001",1,9,11,"sancd001",1,48,"2004LAN.EVN.regular.sub.csv",17
"LAN200404060",6,1,"orope001",0,9,1,"peavj001",1,54,"2004LAN.EVN.regular.sub.csv",18
"LAN200404060",6,1,"lines001",0,9,1,"orope001",1,55,"2004LAN.EVN.regular.sub.csv",19
"LAN200404060",7,0,"motag001",1,9,1,"grabj001",11,56,"2004LAN.EVN.regular.sub.csv",20
"LAN200404060",7,0,"longt002",0,9,11,"lines001",1,60,"2004LAN.EVN.regular.sub.csv",21
"LAN200404060",7,1,"osuna002",0,6,1,"klesr001",7,61,"2004LAN.EVN.regular.sub.csv",22
"LAN200404060",7,1,"longt002",0,9,7,"longt002",11,61,"2004LAN.EVN.regular.sub.csv",23
"LAN200404060",7,1,"saeno001",1,9,11,"motag001",1,65,"2004LAN.EVN.regular.sub.csv",24
"LAN200404060",8,0,"martt003",1,9,1,"saeno001",11,66,"2004LAN.EVN.regular.sub.csv",25
"LAN200404060",8,0,"dreid001",1,9,1,"martt003",1,69,"2004LAN.EVN.regular.sub.csv",26
"LAN200404060",8,0,"lawrb001",0,4,12,"nevip001",3,70,"2004LAN.EVN.regular.sub.csv",27
"LAN200404060",8,1,"otsua001",0,4,1,"lawrb001",12,71,"2004LAN.EVN.regular.sub.csv",28
"LAN200404060",8,1,"vazqr001",0,6,3,"osuna002",1,71,"2004LAN.EVN.regular.sub.csv",29
"LAN200404060",9,0,"gagne001",1,9,1,"dreid001",1,76,"2004LAN.EVN.regular.sub.csv",30
"LAN200404060",9,1,"ventr001",1,9,11,"gagne001",1,83,"2004LAN.EVN.regular.sub.csv",31
"LAN200404070",8,0,"motag001",1,9,1,"weavj002",1,58,"2004LAN.EVN.regular.sub.csv",32
"LAN200404070",8,0,"robik002",0,4,12,"nevip001",3,59,"2004LAN.EVN.regular.sub.csv",33
"LAN200404070",8,1,"robik002",0,4,7,"robik002",12,64,"2004LAN.EVN.regular.sub.csv",34
"LAN200404070",8,1,"greek002",0,5,6,"klesr001",7,64,"2004LAN.EVN.regular.sub.csv",35
"LAN200404070",8,1,"vazqr001",0,8,3,"vazqr001",6,64,"2004LAN.EVN.regular.sub.csv",36
"LAN200404070",8,1,"grabj001",1,9,11,"motag001",1,64,"2004LAN.EVN.regular.sub.csv",37
"LAN200404070",9,0,"gagne001",1,9,1,"grabj001",11,68,"2004LAN.EVN.regular.sub.csv",38
"LAN200404070",9,0,"longt002",0,9,11,"eatoa001",1,68,"2004LAN.EVN.regular.sub.csv",39
"LAN200404070",9,1,"hofft001",0,9,1,"longt002",11,72,"2004LAN.EVN.regular.sub.csv",40
"LAN200404070",10,0,"limaj001",1,7,1,"belta001",5,76,"2004LAN.EVN.regular.sub.csv",41
"LAN200404070",10,0,"hernj001",1,9,5,"gagne001",1,76,"2004LAN.EVN.regular.sub.csv",42
"LAN200404070",10,1,"otsua001",0,9,1,"hofft001",1,79,"2004LAN.EVN.regular.sub.csv",43
"LAN200404070",11,0,"buchb002",0,9,11,"otsua001",1,84,"2004LAN.EVN.regular.sub.csv",44
"LAN200404070",11,1,"orope001",0,9,1,"buchb002",11,86,"2004LAN.EVN.regular.sub.csv",45
"LAN200404070",11,1,"valdi001",0,9,1,"orope001",1,89,"2004LAN.EVN.regular.sub.csv",46
"LAN200404090",6,1,"grabj001",1,9,11,"ishik001",1,55,"2004LAN.EVN.regular.sub.csv",47
"LAN200404090",6,1,"lopej002",0,7,1,"pellk001",7,55,"2004LAN.EVN.regular.sub.csv",48
"LAN200404090",6,1,"hockd001",0,9,7,"elars001",1,55,"2004LAN.EVN.regular.sub.csv",49
"LAN200404090",7,0,"alvaw001",1,9,1,"grabj001",11,60,"2004LAN.EVN.regular.sub.csv",50
"LAN200404090",7,1,"reeds001",0,1,1,"gonzl004",4,64,"2004LAN.EVN.regular.sub.csv",51
"LAN200404090",7,1,"milea001",0,7,4,"lopej002",1,64,"2004LAN.EVN.regular.sub.csv",52
"LAN200404100",3,1,"reyer001",0,4,8,"wilsp002",8,24,"2004LAN.EVN.regular.sub.csv",53
"LAN200404100",6,1,"grabj001",1,9,11,"nomoh001",1,53,"2004LAN.EVN.regular.sub.csv",54
"LAN200404100",7,0,"limaj001",1,9,1,"grabj001",11,56,"2004LAN.EVN.regular.sub.csv",55
"LAN200404100",7,0,"hockd001",0,9,11,"stard001",1,57,"2004LAN.EVN.regular.sub.csv",56
"LAN200404100",7,1,"fassj001",0,9,1,"hockd001",11,63,"2004LAN.EVN.regular.sub.csv",57
"LAN200404100",8,0,"motag001",1,9,1,"limaj001",1,66,"2004LAN.EVN.regular.sub.csv",58
"LAN200404100",8,0,"johnc002",0,9,11,"fassj001",1,70,"2004LAN.EVN.regular.sub.csv",59
"LAN200404100",8,1,"wendt001",0,9,1,"johnc002",11,71,"2004LAN.EVN.regular.sub.csv",60
"LAN200404100",9,0,"gagne001",1,9,1,"motag001",1,74,"2004LAN.EVN.regular.sub.csv",61
"LAN200404110",7,0,"dreid001",1,9,1,"pereo001",1,51,"2004LAN.EVN.regular.sub.csv",62
"LAN200404110",7,0,"martt003",1,9,1,"dreid001",1,55,"2004LAN.EVN.regular.sub.csv",63
"LAN200404110",7,1,"hockd001",0,7,7,"pellk001",7,56,"2004LAN.EVN.regular.sub.csv",64
"LAN200404110",7,1,"grabj001",1,9,11,"martt003",1,58,"2004LAN.EVN.regular.sub.csv",65
"LAN200404110",8,0,"sancd001",1,9,1,"grabj001",11,59,"2004LAN.EVN.regular.sub.csv",66
"LAN200404110",8,1,"fuenb001",0,9,1,"estes001",1,62,"2004LAN.EVN.regular.sub.csv",67
