GAME_ID,EVENT_ID,COMMENT_TX
"PHI200404180",42,"Pitcher change with 2-2 count, K to reliever"
"PHI200404210",0,"Protest=H"
"PHI200404210",84,"Ball was stuck under pad of left field wall; Phillies claimed there is no ground rule for this and ball was in play; Jeff Conine did not make a play so Placido Polanco would have scored; Phillies protest was declined next week"
"PHI200404220",11,"ej,gonza002,P,marqa901,Fighting with Todd Pratt ej,pratt001,P,marqa901,Fighting with Alex Gonzalez $Brett Myers first pitch was high and tight to Alex Gonzalez who took a step towards the mound and pointed at the pitcher; catcher Todd Pratt stepped between them and exchanged angry words with Gonzalez, who swatted at Pratt; Pratt hit Gonzalez with a right cross and the benches cleared; Pratt threw several punches; Carl Pavano threw David Bell to the ground; Pratt and Gonzalez were ejected by HP umpire Alfonzo Marquez"
"PHI200405040",48,"First homer into second deck in new park"
"PHI200405040",62,"Hernandez injured calf muscle fielding dribbler. Onto 15 day DL immediately after game"
"PHI200405060",71,"ej,michj001,P,demud901,Called third strike Jason Michaels ejected by HP umpire Dana DeMuth"
"PHI200405060",76,"ej,bowal001,M,demud901,Call at HP Philies Manager Larry Bowa ejected by HP umpire Dana DeMuth"
"PHI200405190",16,"$Nomo left with split finger nail"
"PHI200405190",31,"$Lieberthal hit on RIGHT side of helmet, just above ear as he turned to his left"
"PHI200405190",41,"Foul by Izturis ruled tip that was dropped. Bowa claimed it was missed. Next pitch was homer"
"PHI200405220",1,"Debut game for Justin Germano"
"PHI200405220",49,"$As Lieberthal threw to first to finish the DP, Giles upended him and throw went way down into corner"
"PHI200405230",64,"ej,paytj001,P,hoyej901,Call at 1B Jay Payton ejected by 1B umpire James Hoye"
"PHI200405280",5,"$C.Jones left game with injured leg. Hit by pitch in left quadriceps"
"PHI200405280",15,"$LaRoche left game with injured chest"
"PHI200405290",49,"$Padilla left with tendinitis in right triceps; onto 15 day DL after game"
"PHI200405310",45,"Originally scored as E2, changed to E9 next day"
"PHI200405310",66,"$Perez tried for the runner at third, but made a bad throw on the run to a moving target. Originally scored as FC, changed next day to E6, 2 UR"
"PHI200406140",10,"$Thome's 400th career homer"
"PHI200406140",84,"Game called for rain after long delay"
"PHI200406180",47,"Broken hand for Santiago, out for rest of year"
"PHI200406200",14,"Debut game for Mike Tonis"
"PHI200406290",1,"Debut game for Shawn Hill"
"PHI200406290",42,"$Burrell left game with injured groin"
"PHI200407030",55,"ej,pratt001,P,cuzzp901,Balls and strikes Todd Pratt ejected by HP umpire Phil Cuzzi from bench; not in game"
"PHI200407080",9,"$Michaels left game with injured leg"
"PHI200407090",19,"$the ball appeared to be foul but was called fair by 3B umpire Gerry Davis; LF Pat Burrell ran into the infield to protest and manager Larry Bowa ran out to argue; the umpires huddled but the call stood"
"PHI200407090",21,"ej,bowal001,M,drecb901,Fair/foul call Phillies Manager Larry Bowa ejected by HP umpire Bruce Dreckman for continuing to argue about the home run"
"PHI200407100",38,"$Adam LaRoche called for obstruction"
"PHI200407110",81,"ej,bowal001,M,drakr901,Balls and strikes Manager Larry Bowa ejected by HP umpire Rob Drake"
"PHI200407110",84,"ej,varsg001,C,drakr901,Balls and strikes Phillies coach Gary Varsho ejected by HP umpire Rob Drake"
"PHI200407230",0,"Debut for umpire John McArdle"
"PHI200407230",14,"umpchange,2,ump1b,westj901 umpchange,2,ump2b,emmep901 umpchange,2,ump3b,dimum901 $game began with college umpires on the bases because regulars were late arriving; regulars took field in the bottom of the second; West was scheduled to work the plate but did not; Spagnardi did arrive on time and thus worked the plate on consecutive days"
"PHI200408100",69,"$Charles Johnson out on appeal"
"PHI200408270",59,"Debut game for Pedro Liriano"
"PHI200408280",24,"$Wolf left game with injured elbow. On 8-31 onto DL with tendinitis"
"PHI200409010",45,"Debut game for Ryan Howard"
"PHI200409030",1,"Debut game for Gavin Floyd"
"PHI200409030",12,"$Ginter left game with injured foot"
