"GAME_ID","EVENT_ID","COMMENT_TX","FILENAME_TX","LINE_NUMBER_CT"
"FLO200704060",46,"Marlins catcher Miguel Olivo left the game due to an injured hand/wrist","2007FLO.EVN.regular.comment.csv",2
"FLO200704080",1,"Debut game for Zack Segovia","2007FLO.EVN.regular.comment.csv",3
"FLO200704080",11,"Marlins shortstop Hanley Ramirez left the game due to an injured leg","2007FLO.EVN.regular.comment.csv",4
"FLO200704100",0,"Suspend=20070411,,2,2,60","2007FLO.EVN.regular.comment.csv",5
"FLO200704100",1,"Debut game for Rick VandenHurk","2007FLO.EVN.regular.comment.csv",6
"FLO200704100",34,"49 minute rain delay","2007FLO.EVN.regular.comment.csv",7
"FLO200704100",58,"21 minute rain delay","2007FLO.EVN.regular.comment.csv",8
"FLO200704100",65,"ej,graft001,P,eddid901,Called third strike $Graffanino ejected by HP umpire Eddings for arguing called third strike","2007FLO.EVN.regular.comment.csv",9
"FLO200704100",85,"suspended,20070411,MIA01,rain $32 minute rain delay then suspended at 12:03am until the next day; first suspension under the new rules","2007FLO.EVN.regular.comment.csv",10
"FLO200704190",19,"Marlins third baseman Miguel Cabrera left the game due to an injured right oblique","2007FLO.EVN.regular.comment.csv",11
"FLO200704210",7,"$the ball slipped out of Chico's hand, sailed over the 1B dugout and into the seats","2007FLO.EVN.regular.comment.csv",12
"FLO200704210",57,"Marlins pitcher Anibal Sanchez left the game due to an injured leg","2007FLO.EVN.regular.comment.csv",13
"FLO200704240",11,"fan interference","2007FLO.EVN.regular.comment.csv",14
"FLO200705230",92,"ej,manuc101,M,timmt901,Call at HP ej,barar001,P,timmt901,Call at HP $throw beat runner to plate by wide margin, but Barajas missed tag; he and Phillies manager Manuel argued and were both ejected by HP umpire Tim Timmons","2007FLO.EVN.regular.comment.csv",15
"FLO200705230",94,"$Myers hurt shoulder on WP, left clutching arm. Walk charged to Myers","2007FLO.EVN.regular.comment.csv",16
"FLO200705240",0,"$Start of game delayed 1:25 by rain","2007FLO.EVN.regular.comment.csv",17
"FLO200705240",2,"$as catcher Olivo threw to second on steal, his hand hit Nunez in head, causing mild concussion","2007FLO.EVN.regular.comment.csv",18
"FLO200705240",19,"$Wild pitch was behind Willis, who glared at Lieber","2007FLO.EVN.regular.comment.csv",19
"FLO200705240",23,"ej,gonzf801,M,meric901,Call at 1B $Umpire Meriwether ruled Boone's foot was off base; Florida manager Gonzalez argued and was ejected","2007FLO.EVN.regular.comment.csv",20
"FLO200705240",34,"$First pitch was behind Lieber, causing warnings to both teams","2007FLO.EVN.regular.comment.csv",21
"FLO200705240",35,"$at end of inning Willis restrained by hitting coach Jim Presley to keep him from Lieber, who was held back by umpire Reed. 5 minute delay as players milled about","2007FLO.EVN.regular.comment.csv",22
"FLO200705260",13,"Mets right fielder Carlos Gomez left the game due to an injured leg","2007FLO.EVN.regular.comment.csv",23
"FLO200706080",10,"Devil Rays second baseman B. J. Upton injured left quad","2007FLO.EVN.regular.comment.csv",24
"FLO200706080",70,"$Pitch bounced off plate and hit catcher Navarro in throat. Left field on backboard, hospital checkup shows not serious","2007FLO.EVN.regular.comment.csv",25
"FLO200706120",59,"Originally scored E6, changed to single next day","2007FLO.EVN.regular.comment.csv",26
"FLO200706130",47,"$both benches empty and both teams warned","2007FLO.EVN.regular.comment.csv",27
"FLO200706130",56,"ej,tankt001,P,knigb901,Intentional HBP after warning ej,gonzf801,M,knigb901,Intentional HBP after warning ej,boona001,P,knigb901,Arguing ejections on intentional HBP $Pitcher Tankersley and Marlins manager Gonzalez and 1bman Boone ejected by HP umpire Knight for HBP after warning; Boone argued ejected for arguing after the other two ejections","2007FLO.EVN.regular.comment.csv",28
"FLO200706220",61,"$Justin Morneau collides with catcher Miguel Olivo","2007FLO.EVN.regular.comment.csv",29
"FLO200706220",62,"$Justin Morneau left with a bruised right lung and spent two days in the hospital","2007FLO.EVN.regular.comment.csv",30
"FLO200706240",35,"$Boone left the game due to a sore left knee","2007FLO.EVN.regular.comment.csv",31
"FLO200706240",39,"ej,cuddm001,P,younl901,Called third strike ej,gardr001,M,younl901,Arguing ejection of player $Cuddyer ejected by HP umpire Young for arguing called third strike; Twins manager Gardenhire also ejected by Young as heargued the ejection and unintentionally threw his hat","2007FLO.EVN.regular.comment.csv",32
"FLO200706300",69,"$Hanley Ramirez called for obstruction","2007FLO.EVN.regular.comment.csv",33
"FLO200707140",23,"originally scored PB, changed next day to WP","2007FLO.EVN.regular.comment.csv",34
"FLO200707200",42,"fan interference","2007FLO.EVN.regular.comment.csv",35
"FLO200707220",7,"$Ramirez partially dislocated left shoulder swinging at 0-1 pitch, left field in great pain","2007FLO.EVN.regular.comment.csv",36
"FLO200708020",39,"Marlins pitcher Renyel Pinto left the game due to an injured neck/shoulder","2007FLO.EVN.regular.comment.csv",37
