"BOS200804090",1,"$Lowell sprained his left thumb diving for the grounder","FILENAME_TX","LINE_NUMBER_CT"
"BOS200804090",12,"Red Sox third baseman Mike Lowell left the game due to a sprained left thumb","2008BOS.EVA.regular.comment.csv",2
"BOS200804120",49,"$Big shift accounts for odd GDP","2008BOS.EVA.regular.comment.csv",3
"BOS200804120",62,"$2:11 rain delay","2008BOS.EVA.regular.comment.csv",4
"BOS200804180",26,"$7th slam at Fenway for Ortiz to tie Ted Williams and Jim Rice for most in the park","2008BOS.EVA.regular.comment.csv",5
"BOS200804200",13,"ej,ramim002,P,emmep901,Called third strike Red Sox left fielder Manny Ramirez ejected by HP umpire Paul Emmel","2008BOS.EVA.regular.comment.csv",6
"BOS200804210",0,"$Patriots Day in Massachusetts; morning start due to Boston Marathon","2008BOS.EVA.regular.comment.csv",7
"BOS200804210",26,"Rangers pitcher Kason Gabbard left the game due to an injured back","2008BOS.EVA.regular.comment.csv",8
"BOS200804240",1,"Debut game for Justin Masterson","2008BOS.EVA.regular.comment.csv",9
"BOS200804290",20,"Red Sox right fielder J. D. Drew left the game due to an injured leg","2008BOS.EVA.regular.comment.csv",10
"BOS200805010",76,"ej,gibbj001,M,drecb901,Balk call $Coco Crisp appeared to fly out to RF to end the game but 2B umpire Bruce Dreckman called a balk on B.J. Ryan, thus negating the play; Blue Jays Manager John Gibbons ejected by 2B umpire Bruce Dreckman","2008BOS.EVA.regular.comment.csv",11
"BOS200805020",0,"2:27 rain delay before game","2008BOS.EVA.regular.comment.csv",12
"BOS200805171",20,"$into the front row of Monster Seats","2008BOS.EVA.regular.comment.csv",13
"BOS200805171",33,"$HP umpire Doug Eddings called Lugo out when the ball bounced up and struck the batter; Lugo was still in the batter's box at the time; the Red Sox argued the call to no avail; the interference stood","2008BOS.EVA.regular.comment.csv",14
"BOS200805180",41,"Debut game for Mark DiFelice","2008BOS.EVA.regular.comment.csv",15
"BOS200805190",67,"$Lester throws the 18th Red Sox no-hitter, just two years removed from cancer treatments","2008BOS.EVA.regular.comment.csv",16
"BOS200805220",66,"$the tenth time the Red Sox have hit two slams in one game, the most of any team","2008BOS.EVA.regular.comment.csv",17
"BOS200806030",4,"$hit on the left hand, breaking his index finger; onto the 15-day disabled list after the game","2008BOS.EVA.regular.comment.csv",18
"BOS200806040",6,"$Pedroia hit a ball down the RF line that curved around the pole fair but was called foul by 1B umpire Jeff Kellogg","2008BOS.EVA.regular.comment.csv",19
"BOS200806040",48,"$Boston pitcher Josh Beckett slipped as he delivered a pitch to Cliff Floyd; he was OK","2008BOS.EVA.regular.comment.csv",20
"BOS200806040",55,"$Rays SS Jason Bartlett put his knee down in front of the 2B bag on Coco Crisp's SB; Crisp sprained his left thumb on the play","2008BOS.EVA.regular.comment.csv",21
"BOS200806040",56,"$Crisp rounded the 3B bag too far and Bartlett threw behind him","2008BOS.EVA.regular.comment.csv",22
"BOS200806040",69,"ej,uptob001,P,emmep901,Called third strike Rays center fielder B. J. Upton ejected by HP umpire Paul Emmel","2008BOS.EVA.regular.comment.csv",23
"BOS200806040",72,"$Coco Crisp took out 2Bman Akinori Iwamura with his slide as a reaction to Bartlett's covering the bag in the sixth","2008BOS.EVA.regular.comment.csv",24
"BOS200806040",73,"$when Rays manager Joe Maddon went to the mound for the pitching change, he yelled something at the Red Sox dugout to Coco Crisp; they exchanged angry words before the umpires intervened","2008BOS.EVA.regular.comment.csv",25
