"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL"
"SDN200904060","LAN",1,0,0,2,1,"CBBX",0,0,"furcr001","?","furcr001","?","peavj001","?","peavj001","?","blanh001","gonza003","ecksd001","kouzk001","rodrl002","headc001","geruj001","gileb002","","","","S9/L","T","F",6,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",9,"L","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,1,"SDN","LAN","SDN",0,"T","F",0,0,0,0,0,"T","F",0,1,"T","T","hudso001","ramim002","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,2,1,0,0,1,0,0,"gileb002","F","F","F","F",4,0,0,0,2,0,0,0,0,0,F,F
"SDN200904060","LAN",1,0,0,0,0,"X",0,0,"hudso001","?","hudso001","?","peavj001","?","peavj001","?","blanh001","gonza003","ecksd001","kouzk001","rodrl002","headc001","geruj001","gileb002","furcr001","","","S8/L.1-2","F","F",4,2,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"L","F","F","",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","peavj001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2,"SDN","LAN","SDN",0,"F","F",0,0,0,1,1,"T","F",1,3,"T","T","ramim002","ethia001","T","T",6,1,1,0,0,0,0,0,0,"blanh001","","",0,0,0,0,0,0,1,0,0,0,1,0,0,"geruj001","F","F","F","F",4,4,0,0,2,0,0,0,0,0,F,F
"SDN200904060","LAN",1,0,0,0,0,"X",0,0,"ramim002","?","ramim002","?","peavj001","?","peavj001","?","blanh001","gonza003","ecksd001","kouzk001","rodrl002","headc001","geruj001","gileb002","hudso001","furcr001","","8/F","F","F",7,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","",0,0,"N",0,"N",0,"N",0,1,2,0,"8","","","","F","F","F","F","F","F","F","F","F","peavj001","peavj001","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,3,"SDN","LAN","SDN",0,"F","F",0,0,0,2,2,"T","F",3,3,"T","T","ethia001","martr004","T","T",4,2,2,6,1,1,0,0,0,"blanh001","blanh001","",0,0,0,0,0,0,1,0,0,0,1,0,0,"geruj001","F","F","F","F",0,4,4,0,2,0,0,0,0,0,F,F
"SDN200904060","LAN",1,0,1,1,1,"BCX",0,0,"ethia001","?","ethia001","?","peavj001","?","peavj001","?","blanh001","gonza003","ecksd001","kouzk001","rodrl002","headc001","geruj001","gileb002","hudso001","furcr001","","7/F","F","F",9,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","",0,0,"N",0,"N",0,"N",0,1,2,0,"7","","","","F","F","F","F","F","F","F","F","F","peavj001","peavj001","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,4,"SDN","LAN","SDN",0,"F","F",0,0,0,3,3,"T","F",3,3,"T","T","martr004","lonej001","T","T",4,2,2,6,1,1,0,0,0,"blanh001","blanh001","",1,1,0,0,0,0,2,1,0,0,1,0,0,"headc001","F","F","F","F",0,4,4,0,2,0,0,0,0,0,F,F
"SDN200904060","LAN",1,0,2,2,1,"CBB>B",0,0,"martr004","?","martr004","?","peavj001","?","peavj001","?","blanh001","gonza003","ecksd001","kouzk001","rodrl002","headc001","geruj001","gileb002","hudso001","furcr001","","SB3;SB2","F","F",2,5,4,"F","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,2,3,0,"","","","","T","T","F","F","F","F","F","F","F","peavj001","peavj001","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5,"SDN","LAN","SDN",0,"F","F",0,0,0,4,4,"T","F",3,6,"T","T","lonej001","kempm001","T","T",4,2,2,6,1,1,0,0,0,"blanh001","blanh001","",3,3,0,0,0,0,1,1,0,0,0,0,0,"","F","F","F","F",0,4,4,0,2,0,0,0,0,0,F,F
"SDN200904060","LAN",1,0,2,3,1,"CBB>B.B",0,0,"martr004","?","martr004","?","peavj001","?","peavj001","?","blanh001","gonza003","ecksd001","kouzk001","rodrl002","headc001","geruj001","gileb002","","hudso001","furcr001","W","F","F",2,5,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,2,3,"","","","","F","F","F","F","F","F","F","F","F","","peavj001","peavj001","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,6,"SDN","LAN","SDN",0,"F","F",0,0,0,4,4,"F","F",6,7,"T","T","lonej001","kempm001","T","T",0,0,0,4,2,2,6,1,1,"","blanh001","blanh001",4,4,0,0,0,0,1,1,0,0,0,0,0,"","F","F","F","F",0,0,4,4,2,0,0,0,0,0,F,F
"SDN200904060","LAN",1,0,2,1,2,"CFBX",0,0,"lonej001","?","lonej001","?","peavj001","?","peavj001","?","blanh001","gonza003","ecksd001","kouzk001","rodrl002","headc001","geruj001","gileb002","martr004","hudso001","furcr001","S7/L.3-H;2-H;1-3;BX2(724/TH)","F","F",3,6,20,"T","T",1,"F","F",1,"F","F",2,"F","F",7,"L","F","F","",0,0,"N",0,"N",0,"N",0,3,4,4,"724","","","","F","F","F","F","F","F","F","F","F","peavj001","peavj001","peavj001","F","F","F","F","F","","","","",0,4,0,0,7,2,0,0,0,7,"SDN","LAN","SDN",0,"F","T",0,0,0,5,5,"T","F",7,4,"T","T","kempm001","blakc001","T","T",2,5,6,4,2,2,6,1,1,"blanh001","blanh001","blanh001",1,1,0,0,0,0,3,1,0,1,1,0,2,"headc001","F","F","F","F",0,0,4,4,0,0,0,0,0,0,F,F
"SDN200904060","LAN",1,1,0,0,0,"X",2,0,"geruj001","?","geruj001","?","kuroh001","?","kuroh001","?","martr004","lonej001","hudso001","blakc001","furcr001","ramim002","kempm001","ethia001","","","","D9/L","T","F",8,1,21,"T","T",2,"F","F",0,"F","F",0,"F","F",9,"L","F","F","",0,0,"N",0,"N",0,"N",2,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8,"SDN","SDN","LAN",1,"T","F",0,2,0,0,0,"T","F",0,2,"T","T","ecksd001","gileb002","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,1,0,0,0,1,0,0,"ethia001","F","F","F","F",4,0,0,0,1,0,0,0,0,0,F,F
"SDN200904060","LAN",1,1,0,0,0,"X",2,0,"ecksd001","?","ecksd001","?","kuroh001","?","kuroh001","?","martr004","lonej001","hudso001","blakc001","furcr001","ramim002","kempm001","ethia001","","geruj001","","53/SH/BG.2-3","F","F",4,2,2,"T","F",0,"T","F",1,"F","F",0,"F","F",5,"G","T","F","",0,0,"N",0,"N",0,"N",0,0,3,0,"53","","","","F","F","F","F","F","F","F","F","F","","kuroh001","","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,9,"SDN","SDN","LAN",1,"F","F",0,2,0,1,1,"T","F",2,4,"T","T","gileb002","gonza003","T","T",0,0,0,8,1,8,0,0,0,"","martr004","",0,0,0,0,0,0,1,0,0,0,1,0,0,"blakc001","F","F","F","F",0,0,4,0,1,0,0,0,0,0,F,F
"SDN200904060","LAN",1,1,1,2,2,"CFBBFX",2,0,"gileb002","?","gileb002","?","kuroh001","?","kuroh001","?","martr004","lonej001","hudso001","blakc001","furcr001","ramim002","kempm001","ethia001","","","geruj001","63/G.3-H","F","F",9,3,2,"T","T",0,"F","F",1,"F","F",1,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,4,"63","","","","F","F","F","F","F","F","F","F","F","","","kuroh001","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,10,"SDN","SDN","LAN",1,"F","F",0,2,0,2,2,"T","F",4,0,"T","T","gonza003","kouzk001","T","T",0,0,0,0,0,0,8,1,8,"","","martr004",2,2,0,0,0,0,4,1,0,2,1,0,1,"furcr001","F","F","F","F",0,0,0,4,0,0,0,0,0,0,F,F
