"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"NYA200910280",8,0,"hughp001",1,0,1,"sabac001",1,51
"NYA200910280",8,0,"martd004",1,0,1,"hughp001",1,54
"NYA200910280",8,0,"robed002",1,0,1,"martd004",1,56
"NYA200910280",9,0,"brunb001",1,0,1,"robed002",1,62
"NYA200910280",9,0,"cokep001",1,0,1,"brunb001",1,66
"NYA200910290",7,1,"gardb001",1,7,12,"hairj002",9,52
"NYA200910290",7,1,"posaj001",1,9,11,"molij001",2,53
"NYA200910290",7,1,"parkc002",0,0,1,"martp001",1,53
"NYA200910290",7,1,"eyres001",0,0,1,"parkc002",1,55
"NYA200910290",8,0,"gardb001",1,7,8,"gardb001",12,56
"NYA200910290",8,0,"cabrm002",1,8,9,"cabrm002",8,56
"NYA200910290",8,0,"posaj001",1,9,2,"posaj001",11,56
"NYA200910290",8,0,"rivem002",1,0,1,"burna001",1,56
"NYA200910290",8,1,"madsr001",0,0,1,"eyres001",1,60
"PHI200910310",5,0,"happj001",1,9,1,"hamec001",1,41
"PHI200910310",6,1,"brune001",1,9,11,"happj001",1,54
"PHI200910310",7,0,"durbc001",1,9,1,"brune001",11,55
"PHI200910310",7,1,"chamj002",0,9,1,"petta001",1,61
"PHI200910310",8,0,"myerb001",1,9,1,"durbc001",1,64
"PHI200910310",8,0,"matsh001",0,9,11,"chamj002",1,66
"PHI200910310",8,1,"gardb001",0,7,8,"swisn001",9,68
"PHI200910310",8,1,"cabrm002",0,8,9,"cabrm002",8,68
"PHI200910310",8,1,"martd004",0,9,1,"matsh001",11,68
"PHI200910310",9,0,"madsr001",1,9,1,"myerb001",1,71
"PHI200910310",9,1,"hughp001",0,9,1,"martd004",1,75
"PHI200910310",9,1,"staim001",1,9,11,"madsr001",1,77
"PHI200910310",9,1,"rivem002",0,9,1,"hughp001",1,77
"PHI200911010",6,1,"gardb001",0,8,8,"cabrm002",8,50
"PHI200911010",6,1,"franb001",1,9,11,"blanj001",1,53
"PHI200911010",7,0,"parkc002",1,9,1,"franb001",11,54
"PHI200911010",7,1,"martd004",0,9,1,"sabac001",1,61
"PHI200911010",8,0,"madsr001",1,9,1,"parkc002",1,62
"PHI200911010",8,1,"chamj002",0,9,1,"martd004",1,67
"PHI200911010",9,0,"lidgb001",1,9,1,"madsr001",1,71
"PHI200911010",9,0,"matsh001",0,9,11,"chamj002",1,71
"PHI200911010",9,1,"rivem002",0,9,1,"matsh001",11,79
"PHI200911010",9,1,"staim001",1,9,11,"lidgb001",1,79
"PHI200911020",3,1,"robed002",0,9,1,"burna001",1,29
"PHI200911020",5,0,"posaj001",0,8,11,"molij001",2,39
"PHI200911020",5,0,"hinse001",0,9,11,"robed002",1,40
"PHI200911020",5,1,"posaj001",0,8,2,"posaj001",11,44
"PHI200911020",5,1,"aceva001",0,9,1,"hinse001",11,44
"PHI200911020",7,0,"hairj002",0,9,11,"aceva001",1,57
"PHI200911020",7,1,"cokep001",0,9,1,"hairj002",11,59
"PHI200911020",7,1,"hughp001",0,9,1,"cokep001",1,63
"PHI200911020",8,0,"franb001",1,2,8,"victs001",8,64
"PHI200911020",8,0,"parkc002",1,9,1,"lee-c003",1,67
"PHI200911020",8,1,"staim001",1,9,11,"parkc002",1,71
"PHI200911020",9,0,"madsr001",1,9,1,"staim001",11,73
"PHI200911020",9,0,"matsh001",0,9,11,"hughp001",1,74
"NYA200911040",4,0,"hairj002",1,2,7,"damoj001",7,27
"NYA200911040",5,1,"durbc001",0,0,1,"martp001",1,39
"NYA200911040",5,1,"happj001",0,0,1,"durbc001",1,43
"NYA200911040",6,0,"chamj002",1,0,1,"petta001",1,51
"NYA200911040",6,1,"parkc002",0,0,1,"happj001",1,54
"NYA200911040",7,0,"martd004",1,0,1,"chamj002",1,61
"NYA200911040",7,1,"eyres001",0,0,1,"parkc002",1,64
"NYA200911040",8,0,"rivem002",1,0,1,"martd004",1,68
"NYA200911040",8,1,"madsr001",0,0,1,"eyres001",1,73
"NYA200911040",9,0,"staim001",0,8,11,"franb001",7,75
