"GAME_ID","EVENT_ID","COMMENT_TX","FILENAME_TX","LINE_NUMBER_CT"
"ATL201204130",55,"replay,6,hartc001,MIL,tscht901,ATL02,O,N,I,,H $Cory Hart's fly hit the yellow stripe at the top of the wall in left center; it was ruled in play; Brewers manager Ron Roenicke asked about the call, so crew chief Tim Tschida watched the replay and upheld the call","2012ATL.EVN.regular.comment.csv",2
"ATL201204160",36,"Mets LF Jason Bay caught the ball over the top of the wall to pull a homer back from Jack Wilson","2012ATL.EVN.regular.comment.csv",3
"ATL201204180",58,"originally scored as E6, changed to single plus E6 on 4-20","2012ATL.EVN.regular.comment.csv",4
"ATL201204270",47,"Braves catcher Brian McCann left the game due to an injured side","2012ATL.EVN.regular.comment.csv",5
"ATL201205250",18,"Braves catcher David Ross left the game due to an injured groin","2012ATL.EVN.regular.comment.csv",6
"ATL201205270",27,"$Pastornicky flipped behind his back to second instead of trying for play at first; bad throw ruled an error","2012ATL.EVN.regular.comment.csv",7
"ATL201205290",43,"$Run was originally ruled unearned, changed next day to earned","2012ATL.EVN.regular.comment.csv",8
"ATL201206090",38,"Blue Jays left fielder Rajai Davis left the game due to an injured hand","2012ATL.EVN.regular.comment.csv",9
"ATL201206110",68,"ej,diazm003,P,marqa901,Balls and strikes Braves Matt Diaz ejected by HP umpire Alfonso Marquez; Diaz had gone into the clubhouse and watched his at bat and when he came back to the bench he yelled at Marquez about the second pitch called a strike","2012ATL.EVN.regular.comment.csv",10
"ATL201206120",65,"$Alex Rodriguez tied Lou Gehrig for the most career grand slams with 23","2012ATL.EVN.regular.comment.csv",11
"ATL201206160",22,"Braves pitcher Brandon Beachy left the game due to an injured elbow","2012ATL.EVN.regular.comment.csv",12
"ATL201206260",22,"D-backs pitcher Daniel Hudson left the game due to an injured arm","2012ATL.EVN.regular.comment.csv",13
"ATL201206300",58,"Michael Bourn called for batter interference","2012ATL.EVN.regular.comment.csv",14
"ATL201207010",48,"$originally scored as a single, but changed to E3 on 7-12-2012; Run remains earned and RBI stays","2012ATL.EVN.regular.comment.csv",15
"ATL201207130",16,"$the field lights went out causing a 16-minute delay during Josh Thole's at bat","2012ATL.EVN.regular.comment.csv",16
"ATL201207130",35,"Braves shortstop Jack Wilson left the game due to a dislocated middle joint on his right pinky suffered while chasing Josh Thole's grounder","2012ATL.EVN.regular.comment.csv",17
"ATL201207140",46,"ej,collt801,M,scotd901,Catch/trap call (reversed) $LF Jordany Valdespin attempted to catch Jason Heyward's sinking liner but caught it on one bounce; 3B umpire Dale Scott called it a catch and Martin Prado was tagged trying to go back to 1B; the umpires huddled and reversed the call to no catch and placed the runners on 1B and 2B; Mets Manager Terry Collins argued that they had one out on the play and was ejected by Scott","2012ATL.EVN.regular.comment.csv",18
"ATL201207150",36,"$Mets Johan Santana thought he had struck out Michael Bourn on the fourth pitch","2012ATL.EVN.regular.comment.csv",19
"ATL201207150",37,"ej,wartd101,C,buckc901,Balls and strikes $Mets Pitching Coach Dan Warthen went to the mound to talk with Johan Santana; when HP umpire CB Bucknor came out to break up the meeting, Warthen complained to Bucknor about the strike zone and was ejected by Bucknor","2012ATL.EVN.regular.comment.csv",20
"ATL201207170",28,"Giants catcher Hector Sanchez left the game due to an injured knee","2012ATL.EVN.regular.comment.csv",21
"ATL201207290",11,"$Phillies thought strike was caught and started to leave the field with several across foul line; umpire ruled the ball was not caught so Ross was safe at first","2012ATL.EVN.regular.comment.csv",22
"ATL201207310",72,"$originally scored as single and E7 to allow run to score; changed on 8-08-2012 to remove error which adds RBI and makes run earned","2012ATL.EVN.regular.comment.csv",23
"ATL201208030",29,"$originally scored as double, changed to E6 on 8-10-2012; removes RBI and makes run unearned","2012ATL.EVN.regular.comment.csv",24
"ATL201208180",0,"$Dodgers manager Don Mattingly served the first of a two-game suspension; team managed by bench coach Trey Hillman","2012ATL.EVN.regular.comment.csv",25
"ATL201208190",0,"$Dodgers manager Don Mattingly served the first of a two-game suspension; team managed by bench coach Trey Hillman","2012ATL.EVN.regular.comment.csv",26
"ATL201209030",10,"$Martin Prado's hit struck pitcher Tyler Chatwood on the shin; Chatwood retrieved the ball near the 1B line and threw over Prado to 1B; Jordan Pacheco dropped the ball when it arrived at the same time as Prado; the throw was in foul territory and Pacheco had to cross the line to catch it; Pacheco retrieved the ball and threw wildly to 3B for the second error","2012ATL.EVN.regular.comment.csv",27
"ATL201209040",67,"$pitcher Chad Durbin backed up the throw at 3B and bounced his throw to the plate","2012ATL.EVN.regular.comment.csv",28
"ATL201209060",16,"$pitcher Jhoulys Chacin swatted at the return throw from catcher Wilin Rosario; the ball glanced off his glove and caromed behind the mound, allowing Juan Francisco to score","2012ATL.EVN.regular.comment.csv",29
"ATL201209150",20,"Braves catcher Brian McCann left the game due to an injured leg","2012ATL.EVN.regular.comment.csv",30
"ATL201209150",24,"$the pitch hit the ground and caromed off catcher David Ross towards Danny Espinosa; the ball stuck under Espinosa's arm briefly and HP umpire Marty Foster called time and put Ian Desmond back on 2B; Nationals manager Davey Johnson talked to Foster and the umpires huddled; they decided that Espinosa did not intentionally hold the ball and allowed Desmond to advance to 3B","2012ATL.EVN.regular.comment.csv",31
"ATL201209150",46,"ej,johnd105,M,hudsm901,Call at 1B $Nationals manager Johnson ejected by 1B umpire Hudson for arguing that Prado was out at 1st","2012ATL.EVN.regular.comment.csv",32
