"NYA201204130",28,"$career homer #630, ties Griffey for 5th all-time","FILENAME_TX","LINE_NUMBER_CT"
"NYA201204170",22,"ej,spand001,P,gibsg901,Balls and strikes ej,gardr001,M,gibsg901,Balls and strikes $Denard Span complained about the called first strike; he and Twins manager Ron Gardenhire were ejected by HP umpire Greg Gibson","2012NYA.EVA.regular.comment.csv",2
"NYA201204270",67,"ej,giraj001,M,westj901,Balls and strikes Yankees Manager Joe Girardi ejected by HP umpire Joe West","2012NYA.EVA.regular.comment.csv",3
"NYA201205010",46,"$originally scored E7, changed to double on 5-04","2012NYA.EVA.regular.comment.csv",4
"NYA201205020",38,"$Yankees third baseman Eric Chavez injured himself diving for Hardy's double in top of inning; after three pitches, he complained of dizziness and Nunez completed the strikeout, which was charged to Chavez who went on DL next day with concussion symptoms","2012NYA.EVA.regular.comment.csv",5
"NYA201205100",22,"$pitcher David Price cut off the throw in the infield and threw to 2B","2012NYA.EVA.regular.comment.csv",6
"NYA201205120",66,"replay,9,carpm001,SEA,darlg901,NYC21,O,Y,I,,H $Mike Carp's fly to RF hit the top of the wall and rebounded back onto the field past Nick Swisher; it was ruled a home run by 1B umpire Scott Barry; the umpires huddled and crew chief Gary Darling watched the replay and overturned the call to in play; Carp was awarded a double and baserunner Kyle Seager allowed to score from 1B; Yankees manager Joe Girardi argued the ruling on Seager","2012NYA.EVA.regular.comment.csv",7
"NYA201205210",43,"Royals second baseman Chris Getz left the game due to an injured side","2012NYA.EVA.regular.comment.csv",8
"NYA201206260",54,"$Yankees LF Dewayne Wise fell into the seats as he tried to make a catch; it was clear that the ball hit the heel of his glove and fell out; Wise landed in the seats and was helped up by fans while a fan picked up the ball about six seats down the row; that fan held up the ball celebrating his good fortune; the play was ruled a catch by 3B umpire Mike DiMuro even though Wise did not have the ball in his glove","2012NYA.EVA.regular.comment.csv",9
"NYA201206260",61,"ej,hannj001,P,dimum901,Catch/no catch Indians third baseman Jack Hannahan ejected by 3B umpire Mike DiMuro arguing about the catch ruling in the previous inning","2012NYA.EVA.regular.comment.csv",10
"NYA201206270",35,"$Casey Kotchman's line drive struck Andy Pettitte's left ankle, fracturing his fibula","2012NYA.EVA.regular.comment.csv",11
"NYA201207160",60,"Blue Jays right fielder Jose Bautista left the game due to an injured wrist","2012NYA.EVA.regular.comment.csv",12
"NYA201207180",23,"Blue Jays third baseman Brett Lawrie left the game due to an injured leg","2012NYA.EVA.regular.comment.csv",13
"NYA201207180",57,"$Game called for lightning and rain","2012NYA.EVA.regular.comment.csv",14
"NYA201207290",73,"ej,valeb102,M,onorb901,HBP non-call ej,beckj002,P,hallt901,Bench jockeying $Red Sox manager Valentine ejected by HP umpire O'Nora for arguing Middlebrooks had been hit by pitch; Red Sox Beckett, not in game, ejected by O'Nora from bench for continuing to argue call","2012NYA.EVA.regular.comment.csv",15
"NYA201208040",47,"Mariners shortstop Brendan Ryan left the game due to an injured elbow","2012NYA.EVA.regular.comment.csv",16
"NYA201208150",63,"ej,kinsi001,P,carav901,Called third strike Rangers second baseman Ian Kinsler ejected by HP umpire Vic Carapazza","2012NYA.EVA.regular.comment.csv",17
"NYA201208160",50,"replay,6,jonea002,NYA,kellj901,NYC21,F,N,I,,H $Andruw Jones' fly down the LF line hit the facing of the upper deck a few feet fair; the Rangers thought it was foul so crew chief Jeff Kellogg watched the replay and upheld the call","2012NYA.EVA.regular.comment.csv",18
"NYA201208270",30,"Blue Jays pitcher Henderson Alvarez left the game due to an injured leg","2012NYA.EVA.regular.comment.csv",19
"NYA201208270",32,"Yankees first baseman Mark Teixeira left the game due to an injured leg","2012NYA.EVA.regular.comment.csv",20
"NYA201208270",56,"Blue Jays pitcher Aaron Laffey left the game due to an injured leg","2012NYA.EVA.regular.comment.csv",21
"NYA201209010",17,"Yankees center fielder Curtis Granderson left the game due to an injured leg","2012NYA.EVA.regular.comment.csv",22
"NYA201209160",27,"ej,maddj801,M,emmep901,Warnings to both teams $Matt Moore threw a fast ball near Curtis Granderson's head; HP umpire Paul Emmel warned both teams; Rays Manager Joe Maddon objected to the Warnings and was ejected by Emmel","2012NYA.EVA.regular.comment.csv",23
"NYA201209160",45,"Rays left fielder Sam Fuld left the game due to an injured leg","2012NYA.EVA.regular.comment.csv",24
"NYA201209160",69,"ej,joycm001,P,emmep901,Called third strike Rays designated hitter Matt Joyce ejected by HP umpire Paul Emmel","2012NYA.EVA.regular.comment.csv",25
"NYA201209191",47,"$Alex Rodriguez called for interference when he made contact with catcher Jeff Mathis","2012NYA.EVA.regular.comment.csv",26
"NYA201209210",18,"$Ichiro's comebacker went into the shirt of pitcher Jarrod Parker","2012NYA.EVA.regular.comment.csv",27
"NYA201209220",14,"$originally scored as E5., changed to single on 9-28-2012, makes one run now earned","2012NYA.EVA.regular.comment.csv",28
"NYA201210010",15,"replay,2,martr004,NYA,scotd901,NYC21,I,N,I,,H $Russell Martin's fly ball was touched by a fan in the front row and called a home run; the ball was close to being still in play when first touched; crew chief Dale Scott watched the replay and upheld the call","2012NYA.EVA.regular.comment.csv",29
