"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"BOS201404040",6,1,"smitw002",0,0,1,"estrm001",1,512014BOS.EVA.regular.sub.csv",2

"BOS201404040",6,1,"gomej001",1,5,11,"carpm001",7,512014BOS.EVA.regular.sub.csv",3

"BOS201404040",7,0,"gomej001",1,5,7,"gomej001",11,542014BOS.EVA.regular.sub.csv",4

"BOS201404040",7,0,"badeb001",1,0,1,"peavj001",1,542014BOS.EVA.regular.sub.csv",5

"BOS201404040",8,1,"kintb001",0,0,1,"smitw002",1,672014BOS.EVA.regular.sub.csv",6

"BOS201404040",9,0,"mujie001",1,0,1,"badeb001",1,702014BOS.EVA.regular.sub.csv",7

"BOS201404040",9,0,"milla002",1,0,1,"mujie001",1,782014BOS.EVA.regular.sub.csv",8

"BOS201404040",9,1,"rodrf003",0,0,1,"kintb001",1,812014BOS.EVA.regular.sub.csv",9

"BOS201404050",5,0,"capuc001",1,0,1,"buchc001",1,442014BOS.EVA.regular.sub.csv",10

"BOS201404050",6,1,"hendj001",0,0,1,"peraw001",1,532014BOS.EVA.regular.sub.csv",11

"BOS201404050",6,1,"dukez001",0,0,1,"hendj001",1,552014BOS.EVA.regular.sub.csv",12

"BOS201404050",7,0,"workb001",1,0,1,"capuc001",1,612014BOS.EVA.regular.sub.csv",13

"BOS201404050",7,1,"kintb001",0,0,1,"dukez001",1,642014BOS.EVA.regular.sub.csv",14

"BOS201404050",9,0,"uehak001",1,0,1,"workb001",1,742014BOS.EVA.regular.sub.csv",15

"BOS201404050",9,1,"smitw002",0,0,1,"kintb001",1,772014BOS.EVA.regular.sub.csv",16

"BOS201404050",9,1,"ortid001",1,9,11,"bradj001",9,792014BOS.EVA.regular.sub.csv",17

"BOS201404050",10,0,"navad002",1,3,9,"navad002",3,802014BOS.EVA.regular.sub.csv",18

"BOS201404050",10,0,"carpm001",1,9,3,"ortid001",11,802014BOS.EVA.regular.sub.csv",19

"BOS201404050",10,0,"tazaj001",1,0,1,"uehak001",1,802014BOS.EVA.regular.sub.csv",20

"BOS201404050",10,1,"thort001",0,0,1,"smitw002",1,862014BOS.EVA.regular.sub.csv",21

"BOS201404050",11,0,"badeb001",1,0,1,"tazaj001",1,892014BOS.EVA.regular.sub.csv",22

"BOS201404050",11,0,"milla002",1,0,1,"badeb001",1,932014BOS.EVA.regular.sub.csv",23

"BOS201404050",11,1,"rodrf003",0,0,1,"thort001",1,952014BOS.EVA.regular.sub.csv",24

"BOS201404060",7,1,"dukez001",0,0,1,"gally001",1,562014BOS.EVA.regular.sub.csv",25

"BOS201404060",8,0,"mujie001",1,0,1,"lestj001",1,592014BOS.EVA.regular.sub.csv",26

"BOS201404060",8,1,"thort001",0,0,1,"dukez001",1,642014BOS.EVA.regular.sub.csv",27

"BOS201404060",8,1,"genns001",0,2,4,"weekr001",4,642014BOS.EVA.regular.sub.csv",28

"BOS201404060",9,0,"milla002",1,0,1,"mujie001",1,682014BOS.EVA.regular.sub.csv",29

"BOS201404060",9,1,"piera001",1,9,11,"rossd001",2,752014BOS.EVA.regular.sub.csv",30

"BOS201404070",6,1,"figup001",0,0,1,"schet001",1,492014BOS.EVA.regular.sub.csv",31

"BOS201404070",7,1,"rosis001",0,0,1,"figup001",1,592014BOS.EVA.regular.sub.csv",32

"BOS201404070",8,0,"capuc001",1,0,1,"lackj001",1,642014BOS.EVA.regular.sub.csv",33

"BOS201404070",8,1,"tolls002",0,0,1,"rosis001",1,702014BOS.EVA.regular.sub.csv",34

"BOS201404070",9,0,"uehak001",1,0,1,"capuc001",1,742014BOS.EVA.regular.sub.csv",35

"BOS201404080",3,0,"badeb001",1,0,1,"doubf001",1,242014BOS.EVA.regular.sub.csv",36

"BOS201404080",6,0,"workb001",1,0,1,"badeb001",1,482014BOS.EVA.regular.sub.csv",37

"BOS201404080",6,0,"adduj002",0,4,11,"belta001",10,482014BOS.EVA.regular.sub.csv",38

