"GAME ID","EVENT_ID","COMMENT_TX","FILENAME_TX","LINE_NUMBER_CT"
"MIL201403310",46,"replay,6,braur002,MIL,barrt901,MIL06,,Y,M,ATL,C $Braves manager Fredi Gonzalez challenged the call at 1B when Ryan Braun was ruled safe; the review overturned the call, which was the first time a call was changed in the newly expanded replay system","2014MIL.EVN.regular.comment.csv",2
"MIL201404120",68,"replay,9,martr004,PIT,millb901,MIL06,,N,M,PIT,C $Pirates manager Clint Hurdle challenged the call at 1B when the throw was wide; replay confirmed the call that Mark Reynolds kept his foot on the bag","2014MIL.EVN.regular.comment.csv",3
"MIL201404140",32,"ej,carpm002,P,davib902,Called strike three Cardinals third baseman Matt Carpenter ejected by HP umpire Bob Davidson","2014MIL.EVN.regular.comment.csv",4
"MIL201404160",33,"Cardinals pitcher Joe Kelly left the game due to an injured leg","2014MIL.EVN.regular.comment.csv",5
"MIL201404160",36,"originally scored as single, changed to E6 on 04-22-2014","2014MIL.EVN.regular.comment.csv",6
"MIL201404250",6,"originally scored as double, changed to E7 on 05-02-2014","2014MIL.EVN.regular.comment.csv",7
"MIL201404250",24,"replay,3,braur002,MIL,cedeg901,MIL06,,Y,M,MIL,C $when Ryan Braun was called out, Brewers manager Ron Roenicke challenged the ruling; it was overturned by replay","2014MIL.EVN.regular.comment.csv",8
"MIL201404250",67,"replay,8,seguj002,CHN,cedeg901,MIL06,,Y,M,CHN,C $when Jean Segura was called safe at 1B, Cubs manager Rick Renteria challenged the ruling; it was overturned by replay","2014MIL.EVN.regular.comment.csv",9
"MIL201404260",66,"replay,9,casts001,CHN,cedeg901,MIL06,,N,M,CHN,C $when Starlin Castro was called out at 1B, Cubs manager Rick Renteria challenged the ruling; it was upheld by replay","2014MIL.EVN.regular.comment.csv",10
"MIL201405050",34,"replay,4,bolsm001,ARI,vanol901,MIL06,,Y,M,MIL,C $when Mike Bolsinger was called safe at 1B, Brewers manager Ron Roenicke challlenged the ruling; it was overturned by replay","2014MIL.EVN.regular.comment.csv",11
"MIL201405060",3,"replay,1,goldp001,ARI,vanol901,MIL06,,Y,M,ARI,A $when Gerardo Parra was called out at 1B on a pickoff, D-Backs manager Kirk Gibson challenged the ruling; it was overturned by replay","2014MIL.EVN.regular.comment.csv",12
"MIL201405100",31,"Brewers third baseman Aramis Ramirez left the game due to an injured leg","2014MIL.EVN.regular.comment.csv",13
"MIL201405110",72,"replay,8,murpj001,NYA,mealj901,MIL06,,Y,M,NYA,C $when J.R. Murphy was called out at 1B, Yankees manager Joe Girardi challenged the ruling; it was overturned by replay","2014MIL.EVN.regular.comment.csv",14
"MIL201405130",46,"Brewers center fielder Carlos Gomez left the game due to an injured back","2014MIL.EVN.regular.comment.csv",15
"MIL201405130",63,"replay,7,overl001,MIL,scotd901,MIL06,,N,M,MIL,C $when Lyle Overbay was called out at 1B, Brewers manager Ron Roenicke challenged the ruling; it was upheld by replay","2014MIL.EVN.regular.comment.csv",16
"MIL201405280",21,"$when Jonathan Lucroy was called out at 1B, Brewers manager Ron Roenicke talked to the umpires; the Orioles replay equipment in the clubhouse had failed in the first inning and Roenicke wanted to know if he could still use his equipment and make challenges; crew chief Jeff Kellogg requested a ruling on the issue; if either set of equipment is not working before the game, the other teams's equipment must be shut off; however, since this happened once the game started, the Brewers were allowed to use their gear; there was no official replay","2014MIL.EVN.regular.comment.csv",17
"MIL201405300",26,"$fan interference","2014MIL.EVN.regular.comment.csv",18
"MIL201405310",21,"replay,4,lakej001,CHN,mealj901,MIL06,,N,M,MIL,C $when Emilio Bonifacio was called safe at 2B, Brewers manager Ron Roenicke challenged the ruling; it was upheld by replay","2014MIL.EVN.regular.comment.csv",19
"MIL201405310",29,"$Darwin Barney called for obstruction","2014MIL.EVN.regular.comment.csv",20
"MIL201406010",31,"ej,rizza001,P,mealj901,Called third strike Cubs first baseman Anthony Rizzo ejected by HP umpire Jerry Meals","2014MIL.EVN.regular.comment.csv",21
"MIL201406230",13,"ej,willm003,M,wegnm901,Called third strike Nationals Manager Matt Williams ejected by HP umpire Mark Wegner for arguing the called third strike to Danny Espinosa","2014MIL.EVN.regular.comment.csv",22
"MIL201406250",75,"$Ian Desmond took exception to the slide by Carlos Gomez through Kevin Frandsen at 2B; as the Nationals left the field, Desmond and Gomez exchanged words; both benches cleared","2014MIL.EVN.regular.comment.csv",23
"MIL201406260",58,"replay,6,weekr001,COL,scotd901,MIL06,,N,M,COL,C $when Lyle Overbay was called safe at 1B, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2014MIL.EVN.regular.comment.csv",24
"MIL201406260",65,"Rockies catcher Wilin Rosario left the game due to an injured back","2014MIL.EVN.regular.comment.csv",25
"MIL201406270",64,"replay,8,ramia001,MIL,scotd901,MIL06,,Y,M,COL,A $when Carlos Gomez was called safe at 2B, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay because Gomez came off the bag","2014MIL.EVN.regular.comment.csv",26
"MIL201406280",18,"replay,3,lemad001,COL,scotd901,MIL06,,Y,M,MIL,A $the throw to 1B struck Josh Rutledge's helmet and Lyle Overbay; Rutledge started toward 2B before seeing the ball on the ground; Overbay tagged Rutledge, who was called safe at 1B; Brewers manager Ron Roenicke challenged the ruling, which was overturned by replay","2014MIL.EVN.regular.comment.csv",27
"MIL201406280",49,"Brewers shortstop Jean Segura left the game due to an injured leg","2014MIL.EVN.regular.comment.csv",28
"MIL201406280",54,"$Ryan Braun and Carlos Gomez collided with Gomez' jaw striking Braun's shoulder; Gomez left the game","2014MIL.EVN.regular.comment.csv",29
"MIL201406280",66,"replay,8,culbc001,COL,scotd901,MIL06,,N,M,COL,A $when Troy Tulowitzki was called out at 2B, Rockies manager Walt Weiss challenged the ruling; the call was upheld by replay","2014MIL.EVN.regular.comment.csv",30
"MIL201406290",42,"$Wilin Rosario reached 2B when the ball got past Aramis Ramirez at 3B and rolled down the line; Troy Tulowitzki scored and when Corey Dickerson tried to score, Jeff Bianchi threw home from down the LF line; Rosario ran to 3B and Jonathan Lucroy's throw to 3B went into LF","2014MIL.EVN.regular.comment.csv",31
"MIL201407100",58,"replay,8,howar001,PHI,kellj901,MIL06,,N,M,PHI,G $Ryan Howard's fly ball struck the LF pole on the bounce; Chase Utley scored from 1B but was put back on 3B; Phillies manager Ryne Sandberg challenged the ruling; the call of automatic double was upheld by replay","2014MIL.EVN.regular.comment.csv",32
"MIL201407100",63,"replay,8,hernc005,PHI,kellj901,MIL06,,Y,M,MIL,C $when Cesar Hernandez was called safe at 1B, Brewers manager Ron Roenicke challenged the ruling; the call was overturned by replay","2014MIL.EVN.regular.comment.csv",33
"MIL201407110",84,"ej,roenr001,M,carlm901,Balls and strikes Brewers Manager Ron Roenicke ejected by HP umpire Mark Carlson","2014MIL.EVN.regular.comment.csv",34
"MIL201407120",43,"replay,5,carpm002,SLN,nelsj901,MIL06,,Y,M,MIL,C $when Matt Carpenter was called safe at 1B, Brewers manager Ron Roenicke challenged the ruling; the call was overturned by replay","2014MIL.EVN.regular.comment.csv",35
"MIL201407210",35,"replay,4,gomec002,MIL,gormb901,MIL06,,N,U,,C $Chris Heisey lost the fly ball against the roof; the ball landed on the warning track and struck the wall behind the barrier wall; the ball caromed back onto the field and was ruled an automatic double; crew chief Brian Gorman requested a review, which upheld the call","2014MIL.EVN.regular.comment.csv",36
"MIL201407210",47,"replay,6,schus001,CIN,gormb901,MIL06,,N,M,MIL,A $when Skip Schumaker was called safe at 2B, Brewers manager Ron Roenicke challenged the ruling; the call was upheld by replay","2014MIL.EVN.regular.comment.csv",37
"MIL201407210",49,"ej,pricb801,M,rackd901,Checked swing Reds Manager Bryan Price ejected by HP umpire David Rackley","2014MIL.EVN.regular.comment.csv",38
"MIL201407220",30,"Brewers second baseman Scooter Gennett left the game due to an injured leg","2014MIL.EVN.regular.comment.csv",39
"MIL201407220",50,"replay,7,cozaz001,CIN,gormb901,MIL06,,N,M,MIL,I $when Zack Cozart was hit by a pitch while attempting to bunt, Brewers manager Ron Roenicke challenged the ruling; the call was upheld by replay","2014MIL.EVN.regular.comment.csv",40
"MIL201407220",53,"Reds shortstop Zack Cozart left the game due to an injured hand","2014MIL.EVN.regular.comment.csv",41
"MIL201407240",49,"replay,7,wrigd002,NYN,danlk901,MIL06,,N,M,NYN,C $when David Wright was called out at 1B, Mets manager Terry Collins challenged the ruling; the call was upheld by replay","2014MIL.EVN.regular.comment.csv",42
"MIL201407250",57,"replay,8,campe001,MIL,danlk901,MIL06,,Y,M,NYN,C $when Eric Campbell was called out at 1B, Mets manager Terry Collins challenged the ruling; the call was overturned by replay","2014MIL.EVN.regular.comment.csv",43
"MIL201407260",72,"replay,8,reynm001,MIL,danlk901,MIL06,,Y,M,NYN,C $when Mark Reynolds was called safe at 1B, Mets manager Terry Collins challenged the ruling; the call was overturned by replay; the original call was that Lucas Duda had come off the bag","2014MIL.EVN.regular.comment.csv",44
"MIL201407270",69,"replay,9,davik003,MIL,danlk901,MIL06,,N,M,NYN,C $when Khris Davis was called safe at 1B, Mets manager Terry Collins challenged the ruling; the call was upheld by replay","2014MIL.EVN.regular.comment.csv",45
"MIL201408050",16,"replay,3,pench001,SFN,hallt901,MIL06,,Y,M,SFN,C $when Hunter Pence was called out at 1B, Giants manager Bruce Bochy challenged the ruling; the call was overturned by replay","2014MIL.EVN.regular.comment.csv",46
"MIL201408050",75,"replay,9,panij002,SFN,hallt901,MIL06,,Y,M,MIL,C $when Joe Panik was called safe at 1B, Brewers manager Ron Roenicke challenged the ruling; the call was overturned by replay and the game was over","2014MIL.EVN.regular.comment.csv",47
"MIL201408070",36,"originally scored WP, changed to PB on 08-19-2014, making run unearned","2014MIL.EVN.regular.comment.csv",48
"MIL201408070",49,"$fan interference","2014MIL.EVN.regular.comment.csv",49
"MIL201408080",5,"Dodgers shortstop Hanley Ramirez left the game due to an injured side","2014MIL.EVN.regular.comment.csv",50
"MIL201408090",53,"replay,7,lucrj001,MIL,westj901,MIL06,,N,M,LAN,A $when Carlos Gomez was called safe at 2B, Dodgers manager Don Mattingly challenged the ruling; the call was upheld by replay","2014MIL.EVN.regular.comment.csv",51
"MIL201408100",34,"replay,4,ramia001,MIL,westj901,MIL06,,Y,M,LAN,A $Ryan Braun tried to advance on a pitch that got away from the catcher and was called safe; Dodgers manager Don Mattingly challenged the ruling; the call was overturned by replay","2014MIL.EVN.regular.comment.csv",52
"MIL201408200",69,"replay,7,genns001,MIL,culbf901,MIL06,,N,M,TOR,C $when Scotter Gennett was called safe at 1B, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay","2014MIL.EVN.regular.comment.csv",53
"MIL201408220",54,"replay,6,weekr001,MIL,davig901,MIL06,,N,M,MIL,C $when Aramis Ramirez was called out at 3B, Brewers manager Ron Roenicke challenged the ruling; the call was upheld by replay","2014MIL.EVN.regular.comment.csv",54
"MIL201408220",63,"originally scored E6, change to single on 09-08-2015, making both runs in inning earned","2014MIL.EVN.regular.comment.csv",55
