"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"NYN201510170",7,0,"dudal001",1,6,3,"cuddm001",3,482015NLCS.EVE.post.sub.csv",2

"NYN201510170",7,0,"lastt001",0,8,11,"rossd001",2,522015NLCS.EVE.post.sub.csv",3

"NYN201510170",7,1,"casts001",0,5,6,"casts001",4,532015NLCS.EVE.post.sub.csv",4

"NYN201510170",7,1,"montm001",0,7,2,"baezj001",6,532015NLCS.EVE.post.sub.csv",5

"NYN201510170",7,1,"lastt001",0,8,4,"lastt001",11,532015NLCS.EVE.post.sub.csv",6

"NYN201510170",7,1,"grimj002",0,9,1,"lestj001",1,572015NLCS.EVE.post.sub.csv",7

"NYN201510170",8,0,"coghc001",0,9,11,"grimj002",1,582015NLCS.EVE.post.sub.csv",8

"NYN201510170",8,0,"famij001",1,9,1,"harvm001",1,612015NLCS.EVE.post.sub.csv",9

"NYN201510170",8,1,"richc002",0,9,1,"coghc001",11,632015NLCS.EVE.post.sub.csv",10

"NYN201510170",8,1,"cahit001",0,9,1,"richc002",1,642015NLCS.EVE.post.sub.csv",11

"NYN201510180",6,0,"lastt001",0,9,11,"arrij001",1,392015NLCS.EVE.post.sub.csv",12

"NYN201510180",6,0,"niesj001",1,9,1,"syndn001",1,442015NLCS.EVE.post.sub.csv",13

"NYN201510180",6,1,"casts001",0,5,6,"casts001",4,452015NLCS.EVE.post.sub.csv",14

"NYN201510180",6,1,"woodt004",0,8,1,"baezj001",6,452015NLCS.EVE.post.sub.csv",15

"NYN201510180",6,1,"lastt001",0,9,4,"lastt001",11,452015NLCS.EVE.post.sub.csv",16

"NYN201510180",7,0,"reeda001",1,9,1,"niesj001",1,482015NLCS.EVE.post.sub.csv",17

"NYN201510180",7,1,"lagaj001",1,9,11,"reeda001",1,532015NLCS.EVE.post.sub.csv",18

"NYN201510180",8,0,"cespy001",1,4,7,"cespy001",8,542015NLCS.EVE.post.sub.csv",19

"NYN201510180",8,0,"clipt001",1,7,1,"confm001",7,542015NLCS.EVE.post.sub.csv",20

"NYN201510180",8,0,"lagaj001",1,9,8,"lagaj001",11,542015NLCS.EVE.post.sub.csv",21

"NYN201510180",8,0,"denoc001",0,8,11,"woodt004",1,542015NLCS.EVE.post.sub.csv",22

"NYN201510180",8,1,"richc002",0,8,1,"denoc001",11,582015NLCS.EVE.post.sub.csv",23

"NYN201510180",8,1,"strop001",0,8,1,"richc002",1,612015NLCS.EVE.post.sub.csv",24

"NYN201510180",9,0,"famij001",1,7,1,"clipt001",1,622015NLCS.EVE.post.sub.csv",25

"CHN201510200",4,1,"coghc001",1,8,11,"hendk001",1,342015NLCS.EVE.post.sub.csv",26

"CHN201510200",5,0,"richc002",1,8,1,"coghc001",11,352015NLCS.EVE.post.sub.csv",27

"CHN201510200",6,0,"cahit001",1,8,1,"richc002",1,422015NLCS.EVE.post.sub.csv",28

"CHN201510200",7,0,"woodt004",1,8,1,"cahit001",1,522015NLCS.EVE.post.sub.csv",29

"CHN201510200",7,0,"grimj002",1,8,1,"woodt004",1,552015NLCS.EVE.post.sub.csv",30

"CHN201510200",7,1,"lastt001",1,8,11,"grimj002",1,602015NLCS.EVE.post.sub.csv",31

"CHN201510200",8,0,"casts001",1,5,6,"casts001",4,612015NLCS.EVE.post.sub.csv",32

"CHN201510200",8,0,"lastt001",1,8,4,"lastt001",11,612015NLCS.EVE.post.sub.csv",33

"CHN201510200",8,0,"strop001",1,9,1,"baezj001",6,612015NLCS.EVE.post.sub.csv",34

"CHN201510200",8,0,"johnk003",0,9,11,"degrj001",1,632015NLCS.EVE.post.sub.csv",35

"CHN201510200",8,1,"cespy001",0,4,7,"cespy001",8,642015NLCS.EVE.post.sub.csv",36

"CHN201510200",8,1,"clipt001",0,7,1,"confm001",7,642015NLCS.EVE.post.sub.csv",37

"CHN201510200",8,1,"lagaj001",0,9,8,"johnk003",11,642015NLCS.EVE.post.sub.csv",38

"CHN201510200",8,1,"denoc001",1,9,11,"strop001",1,642015NLCS.EVE.post.sub.csv",39

"CHN201510200",9,0,"rondh001",1,9,1,"denoc001",11,682015NLCS.EVE.post.sub.csv",40

"CHN201510200",9,1,"famij001",0,7,1,"clipt001",1,722015NLCS.EVE.post.sub.csv",41

"CHN201510210",2,0,"woodt004",1,8,1,"hammj002",1,162015NLCS.EVE.post.sub.csv",42

"CHN201510210",2,1,"lagaj001",0,4,8,"cespy001",8,202015NLCS.EVE.post.sub.csv",43

"CHN201510210",4,0,"richc002",1,8,1,"woodt004",1,312015NLCS.EVE.post.sub.csv",44

"CHN201510210",5,1,"jacka001",1,8,11,"richc002",1,442015NLCS.EVE.post.sub.csv",45

"CHN201510210",5,1,"colob001",0,7,1,"confm001",7,482015NLCS.EVE.post.sub.csv",46

"CHN201510210",5,1,"nieuk001",0,9,7,"matzs001",1,482015NLCS.EVE.post.sub.csv",47

"CHN201510210",6,0,"cahit001",1,8,1,"jacka001",11,492015NLCS.EVE.post.sub.csv",48

"CHN201510210",7,0,"strop001",1,8,1,"cahit001",1,572015NLCS.EVE.post.sub.csv",49

"CHN201510210",7,0,"johnk003",0,7,11,"colob001",1,612015NLCS.EVE.post.sub.csv",50

"CHN201510210",7,1,"reeda001",0,7,1,"johnk003",11,632015NLCS.EVE.post.sub.csv",51

"CHN201510210",7,1,"lastt001",1,8,11,"strop001",1,632015NLCS.EVE.post.sub.csv",52

"CHN201510210",7,1,"montm001",1,9,11,"rossd001",2,642015NLCS.EVE.post.sub.csv",53

"CHN201510210",8,0,"casts001",1,5,6,"casts001",4,662015NLCS.EVE.post.sub.csv",54

"CHN201510210",8,0,"rodnf001",1,7,1,"baezj001",6,662015NLCS.EVE.post.sub.csv",55

"CHN201510210",8,0,"lastt001",1,8,4,"lastt001",11,662015NLCS.EVE.post.sub.csv",56

"CHN201510210",8,0,"montm001",1,9,2,"montm001",11,662015NLCS.EVE.post.sub.csv",57

"CHN201510210",8,1,"clipt001",0,7,1,"reeda001",1,712015NLCS.EVE.post.sub.csv",58

