"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID","FILENAME_TX","LINE_NUMBER_CT"
"NYA201504060",5,0,"martc007",1,0,1,"tanam001",1,36,"2015NYA.EVA.regular.sub.csv",2
"NYA201504060",6,0,"shrec001",1,0,1,"martc007",1,43,"2015NYA.EVA.regular.sub.csv",3
"NYA201504060",7,0,"carpd001",1,0,1,"shrec001",1,52,"2015NYA.EVA.regular.sub.csv",4
"NYA201504060",7,1,"loupa001",0,0,1,"hutcd001",1,54,"2015NYA.EVA.regular.sub.csv",5
"NYA201504060",8,1,"smoaj001",0,4,3,"encae001",3,60,"2015NYA.EVA.regular.sub.csv",6
"NYA201504060",8,1,"castm002",0,0,1,"loupa001",1,64,"2015NYA.EVA.regular.sub.csv",7
"NYA201504060",9,0,"wilsj004",1,0,1,"carpd001",1,65,"2015NYA.EVA.regular.sub.csv",8
"NYA201504060",9,0,"rogee002",1,0,1,"wilsj004",1,71,"2015NYA.EVA.regular.sub.csv",9
"NYA201504080",7,0,"martc007",1,0,1,"pinem001",1,49,"2015NYA.EVA.regular.sub.csv",10
"NYA201504080",7,1,"castm002",0,0,1,"dickr001",1,54,"2015NYA.EVA.regular.sub.csv",11
"NYA201504080",8,0,"betad001",1,0,1,"martc007",1,56,"2015NYA.EVA.regular.sub.csv",12
"NYA201504080",8,1,"loupa001",0,0,1,"castm002",1,63,"2015NYA.EVA.regular.sub.csv",13
"NYA201504080",8,1,"younc004",1,9,11,"gregd001",6,63,"2015NYA.EVA.regular.sub.csv",14
"NYA201504080",8,1,"cecib001",0,0,1,"loupa001",1,66,"2015NYA.EVA.regular.sub.csv",15
"NYA201504080",8,1,"osunr001",0,0,1,"cecib001",1,71,"2015NYA.EVA.regular.sub.csv",16
"NYA201504080",9,0,"younc004",1,9,9,"younc004",11,73,"2015NYA.EVA.regular.sub.csv",17
"NYA201504080",9,0,"petig001",1,3,4,"beltc001",9,73,"2015NYA.EVA.regular.sub.csv",18
"NYA201504080",9,0,"drews001",1,8,6,"drews001",4,73,"2015NYA.EVA.regular.sub.csv",19
"NYA201504080",9,0,"milla002",1,0,1,"betad001",1,73,"2015NYA.EVA.regular.sub.csv",20
"NYA201504080",9,0,"valed001",0,8,11,"smoaj001",3,73,"2015NYA.EVA.regular.sub.csv",21
"NYA201504090",6,0,"rogee002",1,0,1,"sabac001",1,44,"2015NYA.EVA.regular.sub.csv",22
"NYA201504090",6,1,"pillk001",0,7,7,"pillk001",8,45,"2015NYA.EVA.regular.sub.csv",23
"NYA201504090",6,1,"pompd001",0,8,8,"tolls001",7,45,"2015NYA.EVA.regular.sub.csv",24
"NYA201504090",6,1,"osunr001",0,0,1,"norrd002",1,50,"2015NYA.EVA.regular.sub.csv",25
"NYA201504090",6,1,"drews001",1,8,11,"petig001",4,51,"2015NYA.EVA.regular.sub.csv",26
"NYA201504090",7,0,"drews001",1,8,4,"drews001",11,52,"2015NYA.EVA.regular.sub.csv",27
"NYA201504090",8,1,"cecib001",0,0,1,"osunr001",1,63,"2015NYA.EVA.regular.sub.csv",28
"NYA201504090",9,0,"carpd001",1,0,1,"rogee002",1,68,"2015NYA.EVA.regular.sub.csv",29
"NYA201504090",9,0,"smoaj001",0,6,11,"valed001",3,68,"2015NYA.EVA.regular.sub.csv",30
"NYA201504090",9,1,"smoaj001",0,6,3,"smoaj001",11,71,"2015NYA.EVA.regular.sub.csv",31
"NYA201504090",9,1,"castm002",0,0,1,"cecib001",1,71,"2015NYA.EVA.regular.sub.csv",32
"NYA201504100",6,0,"martc007",1,0,1,"eovan001",1,45,"2015NYA.EVA.regular.sub.csv",33
"NYA201504100",6,1,"rossr002",0,0,1,"milew001",1,54,"2015NYA.EVA.regular.sub.csv",34
"NYA201504100",7,0,"wilsj004",1,0,1,"martc007",1,56,"2015NYA.EVA.regular.sub.csv",35
"NYA201504100",7,1,"ogana001",0,0,1,"rossr002",1,59,"2015NYA.EVA.regular.sub.csv",36
"NYA201504100",7,1,"beltc001",1,7,11,"younc004",9,59,"2015NYA.EVA.regular.sub.csv",37
"NYA201504100",7,1,"gregd001",1,9,11,"petig001",4,61,"2015NYA.EVA.regular.sub.csv",38
"NYA201504100",8,0,"beltc001",1,7,9,"beltc001",11,62,"2015NYA.EVA.regular.sub.csv",39
"NYA201504100",8,0,"drews001",1,8,4,"drews001",6,62,"2015NYA.EVA.regular.sub.csv",40
"NYA201504100",8,0,"gregd001",1,9,6,"gregd001",11,62,"2015NYA.EVA.regular.sub.csv",41
"NYA201504100",8,0,"betad001",1,0,1,"wilsj004",1,64,"2015NYA.EVA.regular.sub.csv",42
"NYA201504100",8,1,"tazaj001",0,0,1,"ogana001",1,65,"2015NYA.EVA.regular.sub.csv",43
"NYA201504100",9,1,"mujie001",0,0,1,"tazaj001",1,74,"2015NYA.EVA.regular.sub.csv",44
"NYA201504100",10,0,"milla002",1,0,1,"betad001",1,78,"2015NYA.EVA.regular.sub.csv",45
"NYA201504100",10,0,"victs001",0,7,11,"navad002",9,80,"2015NYA.EVA.regular.sub.csv",46
"NYA201504100",10,1,"victs001",0,7,9,"victs001",11,83,"2015NYA.EVA.regular.sub.csv",47
