"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"WAS201610070",6,1,"blanj001",0,9,1,"kersc001",1,502016NLD2.EVE.post.sub.csv",2

"WAS201610070",6,1,"difow001",1,9,11,"schem001",1,512016NLD2.EVE.post.sub.csv",3

"WAS201610070",6,1,"daytg001",0,5,1,"reddj001",9,532016NLD2.EVE.post.sub.csv",4

"WAS201610070",6,1,"puigy001",0,9,9,"blanj001",1,532016NLD2.EVE.post.sub.csv",5

"WAS201610070",7,0,"solis001",1,9,1,"difow001",11,542016NLD2.EVE.post.sub.csv",6

"WAS201610070",7,0,"kendh001",0,8,11,"tolea001",7,562016NLD2.EVE.post.sub.csv",7

"WAS201610070",7,1,"kendh001",0,8,7,"kendh001",11,592016NLD2.EVE.post.sub.csv",8

"WAS201610070",7,1,"baezp001",0,1,1,"utlec001",4,612016NLD2.EVE.post.sub.csv",9

"WAS201610070",7,1,"culbc001",0,5,4,"daytg001",1,612016NLD2.EVE.post.sub.csv",10

"WAS201610070",8,1,"drews001",1,7,11,"espid001",6,672016NLD2.EVE.post.sub.csv",11

"WAS201610070",8,1,"jansk001",0,1,1,"baezp001",1,672016NLD2.EVE.post.sub.csv",12

"WAS201610070",8,1,"robic001",1,8,11,"sevep001",2,682016NLD2.EVE.post.sub.csv",13

"WAS201610070",8,1,"heisc001",1,9,11,"solis001",1,692016NLD2.EVE.post.sub.csv",14

"WAS201610070",8,1,"taylm002",1,8,12,"robic001",11,692016NLD2.EVE.post.sub.csv",15

"WAS201610070",9,0,"drews001",1,7,6,"drews001",11,702016NLD2.EVE.post.sub.csv",16

"WAS201610070",9,0,"lobaj001",1,8,2,"taylm002",12,702016NLD2.EVE.post.sub.csv",17

"WAS201610070",9,0,"melam001",1,9,1,"heisc001",11,702016NLD2.EVE.post.sub.csv",18

"WAS201610090",5,0,"rzepm001",1,9,1,"roart001",1,412016NLD2.EVE.post.sub.csv",19

"WAS201610090",5,0,"puigy001",0,6,11,"pedej001",8,412016NLD2.EVE.post.sub.csv",20

"WAS201610090",5,0,"kendh001",0,8,11,"tolea001",7,432016NLD2.EVE.post.sub.csv",21

