"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"NYA201910040",5,0,"ottaa001",1,0,1,"paxtj001",1,392019ALD1.EVE.post.sub.csv",2

"NYA201910040",5,0,"kahnt001",1,0,1,"ottaa001",1,412019ALD1.EVE.post.sub.csv",3

"NYA201910040",5,1,"littz001",0,0,1,"berrj001",1,422019ALD1.EVE.post.sub.csv",4

"NYA201910040",5,1,"dufft001",0,0,1,"littz001",1,452019ALD1.EVE.post.sub.csv",5

"NYA201910040",6,0,"greec003",1,0,1,"kahnt001",1,532019ALD1.EVE.post.sub.csv",6

"NYA201910040",6,1,"stasc001",0,0,1,"dufft001",1,552019ALD1.EVE.post.sub.csv",7

"NYA201910040",7,0,"britz001",1,0,1,"greec003",1,602019ALD1.EVE.post.sub.csv",8

"NYA201910040",7,1,"gibsk002",0,0,1,"stasc001",1,652019ALD1.EVE.post.sub.csv",9

"NYA201910040",7,1,"maybc001",1,5,12,"stanm004",7,662019ALD1.EVE.post.sub.csv",10

"NYA201910040",8,0,"maybc001",1,5,7,"maybc001",12,742019ALD1.EVE.post.sub.csv",11

"NYA201910040",8,0,"happj001",1,0,1,"britz001",1,742019ALD1.EVE.post.sub.csv",12

"NYA201910040",8,0,"schoj001",0,9,11,"arral001",4,782019ALD1.EVE.post.sub.csv",13

"NYA201910040",8,1,"schoj001",0,9,4,"schoj001",11,792019ALD1.EVE.post.sub.csv",14

"NYA201910040",8,1,"gratb002",0,0,1,"gibsk002",1,792019ALD1.EVE.post.sub.csv",15

"NYA201910040",9,0,"chapa001",1,0,1,"happj001",1,822019ALD1.EVE.post.sub.csv",16

"NYA201910050",3,1,"dufft001",0,0,1,"dobnr001",1,232019ALD1.EVE.post.sub.csv",17

"NYA201910050",3,1,"smeld001",0,0,1,"dufft001",1,292019ALD1.EVE.post.sub.csv",18

"NYA201910050",6,0,"kahnt001",1,0,1,"tanam001",1,492019ALD1.EVE.post.sub.csv",19

"NYA201910050",6,1,"maybc001",1,5,12,"stanm004",7,542019ALD1.EVE.post.sub.csv",20

"NYA201910050",7,0,"maybc001",1,5,7,"maybc001",12,552019ALD1.EVE.post.sub.csv",21

"NYA201910050",7,0,"ottaa001",1,0,1,"kahnt001",1,552019ALD1.EVE.post.sub.csv",22

"NYA201910050",7,1,"stasc001",0,0,1,"smeld001",1,592019ALD1.EVE.post.sub.csv",23

"NYA201910050",7,1,"may-t001",0,0,1,"stasc001",1,632019ALD1.EVE.post.sub.csv",24

"NYA201910050",8,0,"lyont001",1,0,1,"ottaa001",1,642019ALD1.EVE.post.sub.csv",25

"NYA201910050",8,0,"schoj001",0,9,11,"cavej001",7,642019ALD1.EVE.post.sub.csv",26

"NYA201910050",8,1,"arral001",0,6,5,"arral001",4,672019ALD1.EVE.post.sub.csv",27

"NYA201910050",8,1,"sanom001",0,7,3,"sanom001",5,672019ALD1.EVE.post.sub.csv",28

"NYA201910050",8,1,"gonzm002",0,8,7,"gonzm002",3,672019ALD1.EVE.post.sub.csv",29

"NYA201910050",8,1,"schoj001",0,9,4,"schoj001",11,672019ALD1.EVE.post.sub.csv",30

"NYA201910050",8,1,"romos001",0,0,1,"may-t001",1,672019ALD1.EVE.post.sub.csv",31

"NYA201910050",8,1,"littz001",0,0,1,"romos001",1,702019ALD1.EVE.post.sub.csv",32

"NYA201910050",9,0,"loaij001",1,0,1,"lyont001",1,712019ALD1.EVE.post.sub.csv",33

"MIN201910070",5,1,"kahnt001",0,0,1,"sevel001",1,382019ALD1.EVE.post.sub.csv",34

"MIN201910070",5,1,"ottaa001",0,0,1,"kahnt001",1,412019ALD1.EVE.post.sub.csv",35

"MIN201910070",5,1,"greec003",0,0,1,"ottaa001",1,422019ALD1.EVE.post.sub.csv",36

"MIN201910070",6,0,"roget001",1,0,1,"odorj001",1,432019ALD1.EVE.post.sub.csv",37

"MIN201910070",7,1,"maybc001",0,5,7,"stanm004",7,542019ALD1.EVE.post.sub.csv",38

"MIN201910070",7,1,"cronc002",1,9,11,"cavej001",7,542019ALD1.EVE.post.sub.csv",39

"MIN201910070",7,1,"britz001",0,0,1,"greec003",1,552019ALD1.EVE.post.sub.csv",40

"MIN201910070",8,0,"gonzm002",1,8,7,"gonzm002",3,592019ALD1.EVE.post.sub.csv",41

"MIN201910070",8,0,"cronc002",1,9,3,"cronc002",11,592019ALD1.EVE.post.sub.csv",42

"MIN201910070",8,0,"romos001",1,0,1,"roget001",1,592019ALD1.EVE.post.sub.csv",43

"MIN201910070",8,1,"chapa001",0,0,1,"britz001",1,642019ALD1.EVE.post.sub.csv",44

"MIN201910070",9,0,"may-t001",1,0,1,"romos001",1,712019ALD1.EVE.post.sub.csv",45

