"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"CLE201904010",8,0,"morom001",1,6,4,"millb002",4,52
"CLE201904010",8,0,"cimba001",1,0,1,"clevm001",1,52
"CLE201904010",8,0,"pereo002",1,0,1,"cimba001",1,54
"CLE201904010",8,0,"cordr001",0,2,11,"palkd001",9,55
"CLE201904010",8,0,"edwaj001",1,0,1,"pereo002",1,55
"CLE201904010",8,1,"cordr001",0,2,9,"cordr001",11,59
"CLE201904010",8,1,"fry-j001",0,0,1,"novai001",1,59
"CLE201904010",8,1,"coved001",0,0,1,"fry-j001",1,62
"CLE201904010",8,1,"frarc001",0,0,1,"coved001",1,66
"CLE201904010",8,1,"alleg002",1,8,11,"naqut001",9,66
"CLE201904010",9,0,"alleg002",1,8,9,"alleg002",11,69
"CLE201904010",9,0,"handb001",1,0,1,"edwaj001",1,69
"CLE201904030",4,0,"olsot002",1,0,1,"klubc001",1,37
"CLE201904030",6,0,"oterd001",1,0,1,"olsot002",1,50
"CLE201904030",7,1,"garcl004",0,1,9,"garcl004",8,62
"CLE201904030",7,1,"engea001",0,6,8,"palkd001",9,62
"CLE201904030",7,1,"burrr002",0,0,1,"rodoc001",1,62
"CLE201904030",7,1,"naqut001",1,7,11,"perer003",2,63
"CLE201904030",8,0,"plawk001",1,1,2,"martl004",8,65
"CLE201904030",8,0,"luplj001",1,3,7,"luplj001",9,65
"CLE201904030",8,0,"alleg002",1,6,8,"alleg002",7,65
"CLE201904030",8,0,"naqut001",1,7,9,"naqut001",11,65
"CLE201904030",8,0,"ramin001",1,0,1,"oterd001",1,65
"CLE201904030",8,1,"herrk001",0,0,1,"burrr002",1,70
"CLE201904030",9,0,"cimba001",1,0,1,"ramin001",1,73
"CLE201904030",9,1,"jonen001",0,0,1,"herrk001",1,76
"CLE201904040",7,1,"mayzt001",0,0,1,"sanca006",1,53
"CLE201904040",7,1,"gavis001",0,0,1,"mayzt001",1,60
"CLE201904040",8,0,"morom001",1,2,5,"ramij003",5,61
"CLE201904040",8,0,"edwaj001",1,0,1,"bauet001",1,61
"CLE201904040",8,0,"handb001",1,0,1,"edwaj001",1,66
"CLE201904040",9,0,"hernt002",0,2,11,"brits001",9,74
"CLE201904050",6,1,"guerj002",0,0,1,"thort002",1,43
"CLE201904050",7,0,"ramin001",1,0,1,"biebs001",1,44
